Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Slit3,Robo2,FAPs,0.0,-1871.4575985451725,-0.015537442676290425,0.0,55.78412027652424,0.6321707305241077,175725.5130891496,0.5766839743928948
FAPs,Slit2,Robo2,FAPs,0.0,169.70545636673538,-0.05083236994726803,0.0,55.78412027652424,0.6321707305241077,41471.38374512301,0.5675754889398104
FAPs,Robo2,Robo2,FAPs,0.0,55.78412027652424,0.6321707305241077,0.0,55.78412027652424,0.6321707305241077,4256.342269924411,0.5454482881047119
FAPs,Bmp7,Bmpr1b,FAPs,0.0,0.03232730370638115,0.3903341578623124,0.0,126.3991819583469,0.06044289093266185,171.9837123084947,0.3563549051311556
FAPs,Nlgn1,Nrxn1,FAPs,-0.3333333333333333,-0.3816848554866934,0.0,0.33333333333333337,2.297115391283479,0.2534425075352105,3.0191930635437103,0.2534425075352105
FAPs,Rspo4,Lgr4,FAPs,-0.3333333333333333,1.331077470860112,0.4593994138945853,0.0,83.2323400607334,-0.03899756480668681,870.6272981445873,0.2528540731103417
FAPs,Col1a1,Gp6,FAPs,0.0,72748.54688340469,-0.02663268560825438,0.3333333333333333,2.3163631855281333,0.23699444178043075,643804.1669437175,0.22482471311999036
FAPs,Il19,Il20ra,FAPs,0.0,1.9838220251417764,0.2377660279104849,0.6666666666666667,1.9719705635699833,-0.07953518996381037,9.14321596949672,0.2099906036845435
FAPs,Slitrk6,Ptprs,FAPs,0.0,58.52005291207149,0.4849285222698598,0.0,784.4831460642731,-0.0224727645817856,189522.33526975254,0.2072676686577664
FAPs,Efna5,Epha7,FAPs,0.0,11.925992786050635,0.11826811810411395,0.0,57.72337240426812,0.2407070080981055,4394.478273248011,0.2052232072020112
FAPs,Col1a2,Gp6,FAPs,0.0,26501.087440680712,-0.04822785840342503,0.3333333333333333,2.3163631855281333,0.23699444178043075,381719.2627358884,0.19920145748736592
FAPs,Ntn1,Unc5d,FAPs,0.0,-190.3939713759924,-0.07547910175768746,0.0,2.690811719187728,0.7384961796074604,509.31170892084236,0.19491725981651895
FAPs,Gm13306,Ackr2,FAPs,0.0,1.019786781724208,0.2778477724353736,0.0,1.031955647911758,-0.040220016800647566,8.421630378321217,0.18584181503703828
