Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Adm,Ramp3,M2,0.0,-80.02063483410832,-0.056656557149787234,0.33333333333333337,4.224257382180735,0.3320490698373053,958.277194595002,0.18171524553099644
FAPs,Hc,C5ar1,M2,0.0,4.677881285362184,0.293979816522825,0.0,3.1064670061562083,-0.0039393505392371075,5577.538560516265,0.1516107112586314
FAPs,Hc,C5ar2,M2,0.0,4.677881285362184,0.293979816522825,0.0,85.71717431350031,0.009036451810757296,2062.2776271914354,0.1496462204920286
FAPs,Adipoq,Adipor1,M2,0.0,19.10353284929459,0.3466192496596576,0.0,131.5245425741341,0.021726213142883862,42774.995312373445,0.1313046866710166
FAPs,Ahsg,Insr,M2,-0.33333333333333337,0.6686033030717642,0.511374573006129,0.0,134.07813627827704,0.01220218418923541,1493.060469690703,0.112098677446739
FAPs,Ngf,Sort1,M2,0.0,19.378298522113468,0.3186873336491137,0.0,-71.86230707240668,-0.04887785145819623,10343.32575517436,0.1071429030130768
FAPs,Lgi2,Adam22,M2,0.0,-49.167372966535034,-0.020284391623510808,0.0,113.92914040501742,0.1089690542373344,22390.80585426934,0.098436434420923
FAPs,Mdk,Itga4,M2,0.0,239.78456937614268,0.16261062333694976,0.0,917.9400119600597,0.0023968268982431646,2278323.2980147917,0.0793419364780002
FAPs,Avp,Avpr2,M2,0.0,3.3442808607062964,0.20699813902499697,0.0,2.58267623187821,-0.03742907763659431,67.65357183158922,0.07500791110994952
FAPs,Zp3,Mertk,M2,0.0,3.6477077679303367,0.11805051539955548,0.0,597.8284020229497,0.002570644308014791,17628.29671294866,0.06935758193732716
FAPs,Mdk,Sdc4,M2,0.0,239.78456937614268,0.16261062333694976,0.0,-22.351827454660796,0.0312440191982013,211400.01721432648,0.06928774188616119
FAPs,Adipoq,Adipor2,M2,0.0,19.10353284929459,0.3466192496596576,0.0,17.392311293280045,-0.008382171435789287,10532.970666806379,0.066529596976082
FAPs,Lgi3,Adam22,M2,0.0,-15.27399740892023,-0.10373744190217572,0.0,113.92914040501742,0.1089690542373344,2415.767579159057,0.0657827572405904
FAPs,Mdk,Notch2,M2,0.0,239.78456937614268,0.16261062333694976,0.0,781.5427765433851,0.018605118387307492,1700958.5548957218,0.059912442076066615
FAPs,Cort,Sstr3,M2,0.0,2.928188343760241,0.15119610946416107,0.0,5.842548709959838,0.0823411361869364,54.85148861044065,0.0568050365993617
FAPs,Sema3d,Nrp1,M2,0.0,40.48714270314686,0.2009585402420306,0.0,-120.35838941007978,0.0048528492739942095,151325.5527022252,0.05634086901366581
FAPs,Col2a1,Mag,M2,0.0,12.186077520331665,0.10575339508224156,0.0,3.7890509494636806,0.018934110807362903,382.4651395092858,0.05577975049382669
FAPs,a,Mc1r,M2,0.0,1.9401959099303072,0.05923787991669016,0.0,13.70741860745188,0.0738368333729825,107.99406541637494,0.055267216363837114
