Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Il19,Il20ra,FAPs,0.0,1.5681366095986535,0.19344100116092086,0.6666666666666667,1.9719705635699833,-0.07953518996381037,9.585791249044767,0.16030235767140594
Inflammatory-Mac,Wnt8a,Fzd8,FAPs,0.0,35.627903753957945,0.2392416994062484,0.0,118.50189477538737,0.03381581021502112,23171.444090965586,0.1571014180344064
Inflammatory-Mac,Ccl5,Ackr2,FAPs,0.0,39.524684160332974,0.21366663620978252,0.0,1.031955647911758,-0.040220016800647566,485.89739122335294,0.1400153654262481
Inflammatory-Mac,Ntrk3,Ptprf,FAPs,0.0,1.6284705934018464,0.1890333435096827,0.0,149.80767714920597,0.009557857509314259,1313.9595046087775,0.13319967477308134
Inflammatory-Mac,Tnfsf13b,Tnfrsf17,FAPs,0.0,8.71928476272496,0.14825594675909393,0.3333333333333333,0.2821027254509203,0.28456403915031825,30.916952514816746,0.12792101633531244
Inflammatory-Mac,Uts2,Uts2r,FAPs,0.3333333333333333,2.911606728164664,0.13666403976866573,-0.33333333333333337,0.32160937893009844,0.2800430976244045,17.804020764697817,0.1143217673267428
Inflammatory-Mac,Gast,Cckbr,FAPs,0.33333333333333337,5.213565709711835,0.17642935188323358,0.0,-15.399810889225106,-0.207510577840622,12.954358439112296,0.10651595326964183
Inflammatory-Mac,L1cam,Ephb2,FAPs,0.0,91.96986188931334,0.10658753606616013,0.0,223.36917272282238,0.043920947680389344,135237.67652798552,0.09734126864863718
Inflammatory-Mac,Wnt8a,Fzd5,FAPs,0.0,35.627903753957945,0.2392416994062484,0.0,-25.229224014221245,-0.0026367757585596396,27655.31657966281,0.0961887581988011
Inflammatory-Mac,Clec4g,Lag3,FAPs,0.6666666666666667,8.63226186141431,0.4910069472175686,0.0,56.89461736028204,0.0061918429452662025,2771.9974147642097,0.09163618168265801
Inflammatory-Mac,Cntf,Cntfr,FAPs,0.0,2.450999079633598,0.1039996810332834,0.0,9.157771079196976,-0.028774547239549086,401.795864701104,0.0913651467385128
Inflammatory-Mac,Wnt6,Fzd7,FAPs,0.0,4.662929240469874,0.2580217503401533,0.0,11.650837276690366,0.043880447858063935,2011.555614022957,0.09091771784063404
Inflammatory-Mac,Ccl5,Ccr4,FAPs,0.0,39.524684160332974,0.21366663620978252,0.0,3.973959927112429,0.1046601757056001,1132.7500641827287,0.08995161956736047
Inflammatory-Mac,Fgf22,Fgfr2,FAPs,-0.33333333333333337,3.6428279201506433,0.1413691826442912,0.0,-40.17184617186098,-0.1384555237200712,361.42829034037214,0.08822380193143009
Inflammatory-Mac,Gnai2,Lhcgr,FAPs,0.0,-223.13470083108538,-0.00017069054781718165,0.0,2.9042925202806686,0.3982001478661771,8894.44239060274,0.08722319547543006
Inflammatory-Mac,Pspn,Gfra1,FAPs,0.0,11.183671083929283,0.119902218061703,0.0,269.01624223716493,0.017786255277964513,9454.248734565015,0.08645284836491722
Inflammatory-Mac,Fgf22,Fgfrl1,FAPs,-0.33333333333333337,3.6428279201506433,0.1413691826442912,0.0,-2.0081017404417025,-0.06640257725388421,1046.8781622967792,0.08433796424076972
Inflammatory-Mac,Gdf15,Gfral,FAPs,0.0,-71.49098738781026,0.013724993694349208,0.0,10.510111101367071,0.21074485325077447,4199.549535891549,0.0829000124344301
Inflammatory-Mac,Slit1,Robo2,FAPs,0.0,7.865477831125253,-0.020438002730532312,0.0,55.78412027652424,0.6321707305241077,2702.8277205450268,0.08203320649898965
Inflammatory-Mac,Ntrk3,Ptprs,FAPs,0.0,1.6284705934018464,0.1890333435096827,0.0,784.4831460642731,-0.0224727645817856,7619.074987812324,0.08084070550617739
Inflammatory-Mac,Il16,Kcnj15,FAPs,0.0,94.4522507216559,0.061570359118921725,0.0,81.21434682742961,0.15635307551953434,39339.46010153559,0.07924080364133129
Inflammatory-Mac,Ebi3,Il27ra,FAPs,0.0,27.61301980513289,0.09894705921033398,0.0,29.451775985404414,0.09068374555625608,4684.510065172655,0.07789517563788709
Inflammatory-Mac,Il11,Il11ra1,FAPs,0.0,10.105701594016026,0.1049531347173138,0.0,-141.39311069944313,-0.029888906660489486,7254.243505406268,0.0720917352062187
Inflammatory-Mac,Fgf22,Fgfr1,FAPs,-0.33333333333333337,3.6428279201506433,0.1413691826442912,0.0,-245.83620919007993,-0.0655696714868006,11875.746960413497,0.07122081615869616
Inflammatory-Mac,Ccl22,Ackr2,FAPs,0.0,10.600086785875963,0.11711152971783573,0.0,1.031955647911758,-0.040220016800647566,98.400299361892,0.07100580356177655
Inflammatory-Mac,Pspn,Gfra4,FAPs,0.0,11.183671083929283,0.119902218061703,0.0,6.894463508553003,0.18909501386312685,318.81743878412806,0.06718454466952506
Inflammatory-Mac,Ccl22,Ccr4,FAPs,0.0,10.600086785875963,0.11711152971783573,0.0,3.973959927112429,0.1046601757056001,180.90096407597576,0.06423206007183421
Inflammatory-Mac,Gdf7,Bmpr1a,FAPs,0.33333333333333337,3.4617216776049524,0.1129038392008406,0.0,-150.50670410582597,-0.001889615743752016,7816.675606000124,0.05702607988653746
Inflammatory-Mac,Efna3,Epha3,FAPs,0.3333333333333333,2.4036143198818127,0.06258587942432707,0.0,1502.9207397407972,-0.03489303836631785,9333.751773463846,0.05632821841181534
Inflammatory-Mac,Ccl5,Sdc1,FAPs,0.0,39.524684160332974,0.21366663620978252,0.0,51.4243534253481,-0.03420447721785591,26050.71254599433,0.055325624032239916
Inflammatory-Mac,L1cam,Egfr,FAPs,0.0,91.96986188931334,0.10658753606616013,0.0,-516.8550913035351,-0.04684860259553558,495499.014725615,0.0540261095742714
Inflammatory-Mac,Efna3,Epha7,FAPs,0.3333333333333333,2.4036143198818127,0.06258587942432707,0.0,57.72337240426812,0.2407070080981055,255.87409484457092,0.05247759044233735
Inflammatory-Mac,Efna2,Epha7,FAPs,0.0,35.804356971770595,0.04107351502108435,0.0,57.72337240426812,0.2407070080981055,5230.043551547334,0.051241862989774234
Inflammatory-Mac,Cdh1,Itgae,FAPs,0.0,6.590171477958293,0.1399081370237628,0.0,11.544114469555831,0.03455996195755301,653.6355859101658,0.0502605629691984
Inflammatory-Mac,Rspo1,Lgr4,FAPs,0.0,0.3350254278376319,0.13533251500681542,0.0,83.2323400607334,-0.03899756480668681,1558.783706383063,0.04931533787957587
Inflammatory-Mac,Il19,Il20rb,FAPs,0.0,1.5681366095986535,0.19344100116092086,0.0,16.625728493041038,0.02367262988333932,205.88870750623738,0.04883592703214893
