Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Btla,Vtcn1,MuSCs,0.0,21.919210915993318,0.04028832729802656,0.5,2.006182398657804,0.3301175049205319,357.05530741806785,0.2209225200068861
Inflammatory-Mac,Il12b,Il23r,MuSCs,0.0,9.210743777697662,0.15616241527387464,-0.33333333333333337,-1.1648512307143155,0.09199537555658266,12.046757642145494,0.1675323007195777
Inflammatory-Mac,Wnt8a,Fzd4,MuSCs,0.0,35.627903753957945,0.2392416994062484,0.0,1044.8822407389878,0.11418627739807552,95586.79503980614,0.13397851829330498
Inflammatory-Mac,Rspo1,Lgr5,MuSCs,0.0,0.3350254278376319,0.13533251500681542,0.0,149.50160231315328,0.058183624908044074,2600.6081835536124,0.13207393248644989
Inflammatory-Mac,Ccl5,Sdc1,MuSCs,0.0,39.524684160332974,0.21366663620978252,0.0,171.55075670631183,0.03161791747806286,59766.53268579103,0.13061258195270747
Inflammatory-Mac,Tnfsf13b,Tnfrsf13c,MuSCs,0.0,8.71928476272496,0.14825594675909393,0.0,18.541340488897504,0.12725553669271286,1559.2558683919144,0.12964050595234372
Inflammatory-Mac,Nrg2,Erbb3,MuSCs,0.0,12.104472183719322,0.16568566483187838,0.0,-94.6852448184683,-0.001008147108131241,2463.669268041679,0.1185904876403064
Inflammatory-Mac,L1cam,Cntn1,MuSCs,0.0,91.96986188931334,0.10658753606616013,0.0,25.60284328521755,0.2032111403222937,10197.886147544688,0.11471647955539913
Inflammatory-Mac,Alcam,Cd6,MuSCs,0.0,-367.3494517298332,-0.04031109202077249,0.0,13.428058763298075,0.2115434177029948,18290.125799676985,0.1040767442559732
Inflammatory-Mac,Cdh1,Igf1r,MuSCs,0.0,6.590171477958293,0.1399081370237628,0.0,587.6105045649331,0.06572712181595614,38573.485430698136,0.10281318683591667
Inflammatory-Mac,Ccl5,Sdc4,MuSCs,0.0,39.524684160332974,0.21366663620978252,0.0,55.018022692014945,0.0583981541410647,46883.2172815862,0.1006245067432697
Inflammatory-Mac,L1cam,Ptprz1,MuSCs,0.0,91.96986188931334,0.10658753606616013,0.0,12.958013330699202,-0.015208572922717269,12024.726566130154,0.0983433492608779
Inflammatory-Mac,Ccl5,Gpr75,MuSCs,0.0,39.524684160332974,0.21366663620978252,0.0,11.893643221094509,-0.01007176286454492,4788.088081804208,0.09467792581587177
Inflammatory-Mac,Cdh1,Itgae,MuSCs,0.0,6.590171477958293,0.1399081370237628,0.0,18.959667140222603,0.056466851863399385,1074.3777041375333,0.08243595026659042
