Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Slit1,Robo2,FAPs,0.0,69.68433304937584,0.10202558430642816,0.0,55.78412027652425,0.6321707305241077,9495.801090952084,0.2943699597101825
M2,Edn2,Ednra,FAPs,0.0,2.113439277945226,0.31148753850875976,0.0,285.9491168910481,0.030931193820984637,2716.2340747399357,0.2241586282596512
M2,Gdf7,Bmpr1a,FAPs,0.6666666666666667,6.8820852349762855,0.3151235155469222,0.0,-150.50670410582597,-0.001889615743752016,15862.29232474199,0.15972583143629332
M2,Gdf15,Gfral,FAPs,0.0,-117.22664714798478,0.02639508014773073,0.0,10.510111101367077,0.21074485325077447,7207.444393391374,0.14347613783589525
M2,Tnfsf13,Tnfrsf17,FAPs,0.0,-3.9465565952576815,0.05565239543534711,0.3333333333333333,0.2821027254509201,0.28456403915031825,11.272280666267918,0.1427053203964766
M2,Npy,Prlhr,FAPs,0.0,-0.4649470945449288,-0.0620003203463475,0.3333333333333333,1.008601748256998,0.16913185549835558,28.28700456239008,0.13457842360865402
M2,Gdf7,Acvr2a,FAPs,0.6666666666666667,6.8820852349762855,0.3151235155469222,0.0,-119.2606595433731,-0.02883364818211936,13488.852168632657,0.1179818954101812
M2,Pth2,Pth1r,FAPs,0.0,1.4402415305099363,0.288423682599393,0.0,35.265635053066006,-0.06680325278769128,289.42113697544926,0.1148044713514942
M2,Wnt3,Fzd1,FAPs,0.0,9.741559342730572,0.1312151210276377,0.0,-390.2413304389994,-0.011378779287452791,7580.0497201712315,0.10584397440705562
M2,Nppa,Npr3,FAPs,0.33333333333333337,3.491143044835706,0.15485745049320632,0.0,-39.38323264190677,-0.1200254945489968,100.6361538653035,0.09947999376244213
M2,Gnai2,Lhcgr,FAPs,0.0,-134.18610192251026,0.006239399744657703,0.0,2.90429252028067,0.3982001478661771,10398.58740917342,0.0970226806646768
M2,Pmch,Mchr1,FAPs,0.0,1.297337017232437,0.1515040264612866,0.0,3.420810762833049,-0.006729359246273936,28.95407975450405,0.09417904796505412
M2,L1cam,Ephb2,FAPs,0.0,91.66778619352372,0.10350310973192052,0.0,223.36917272282247,0.043920947680389344,127829.56638219544,0.09363614231267142
M2,Ccl17,Ackr2,FAPs,0.0,3.2090451359965395,0.12825079934527822,0.0,1.0319556479117589,-0.04022001680064746,25.012714695007176,0.0926340613285567
M2,Artn,Gfra1,FAPs,0.6666666666666667,9.517277527323207,0.1282764976248179,0.0,269.01624223716493,0.017786255277964624,7433.379669622725,0.090878164910473
M2,Gdf9,Bmpr1b,FAPs,0.0,21.241220276845787,0.09906393440976947,0.0,126.3991819583469,0.06044289093266185,6277.009309495788,0.0885828120021532
M2,Wnt3,Fzd8,FAPs,0.0,9.741559342730572,0.1312151210276377,0.0,118.50189477538737,0.03381581021502112,6708.236551488609,0.0861785636907632
M2,Gdf7,Bmpr2,FAPs,0.6666666666666667,6.8820852349762855,0.3151235155469222,0.0,-26.19036043066535,-0.010384504327950987,38583.89942539225,0.06769834823267949
M2,Uts2,Uts2r,FAPs,0.33333333333333337,0.59857514248927,0.03687443270294472,-0.33333333333333337,0.32160937893009844,0.2800430976244045,4.614899051329591,0.0658934490634782
M2,Efnb3,Ephb2,FAPs,0.0,10.293718755628259,0.0765435415804345,0.0,223.36917272282247,0.043920947680389344,9426.097852618932,0.065455209535109
M2,Nxph3,Nrxn1,FAPs,0.6666666666666667,1.2125970971630555,0.052144803715821815,0.33333333333333337,2.29711539128348,0.2534425075352105,17.5081244829689,0.06452646125624939
M2,Efnb3,Ephb3,FAPs,0.0,10.293718755628259,0.0765435415804345,0.0,294.9272569453699,-0.03489699991988293,12968.348989790513,0.06192565509249901
M2,Wnt1,Ror2,FAPs,0.0,1.9808739243215658,0.0619686739289837,0.0,51.67414033056508,-0.0031670567602001265,739.9446089081065,0.0570002927521154
M2,Il27,Il27ra,FAPs,0.0,-0.7898805406362008,0.07843349847985731,0.0,29.451775985404428,0.09068374555625597,663.7012006675078,0.0564926492061863
M2,Il16,Kcnj15,FAPs,0.0,38.17007452345598,-0.0007704184673748005,0.0,81.21434682742961,0.15635307551953434,33636.494619105586,0.054870766378066683
M2,Nlgn3,Nrxn1,FAPs,0.0,8.499203476191981,0.0366464284977195,0.33333333333333337,2.29711539128348,0.2534425075352105,99.13343673093945,0.054230759735371
M2,L1cam,Egfr,FAPs,0.0,91.66778619352372,0.10350310973192052,0.0,-516.8550913035333,-0.04684860259553558,509985.39754927706,0.053410181714103215
M2,Fgf8,Fgfr2,FAPs,0.3333333333333333,2.6258912505608527,0.08051271775507471,0.0,-40.17184617186101,-0.1384555237200712,344.10089803494077,0.05265030725746181
M2,Npy,Npy1r,FAPs,0.0,-0.4649470945449288,-0.0620003203463475,0.6666666666666667,5.55098650569078,0.06389038010840199,155.55705426410577,0.0513839210528594
M2,Wnt1,Fzd1,FAPs,0.0,1.9808739243215658,0.0619686739289837,0.0,-390.2413304389994,-0.011378779287452791,1458.928581526608,0.050565343952918805
M2,Gdf9,Bmpr1a,FAPs,0.0,21.241220276845787,0.09906393440976947,0.0,-150.50670410582597,-0.001889615743752016,47762.63334020462,0.0500925287837049
M2,Wnt3,Fzd7,FAPs,0.0,9.741559342730572,0.1312151210276377,0.0,11.65083727669031,0.043880447858063935,4209.280015443756,0.049769052213244
M2,Slit1,Robo1,FAPs,0.0,69.68433304937584,0.10202558430642816,0.0,449.089096077387,-0.057645139200189766,203677.4245870918,0.04954435694088705
M2,Fgf8,Fgfrl1,FAPs,0.3333333333333333,2.6258912505608527,0.08051271775507471,0.0,-2.0081017404417025,-0.06640257725388432,758.8077170898885,0.04918566725277429
