Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Npy,Prlhr,M1,0.0,-0.4649470945449288,-0.0620003203463475,0.3333333333333333,1.4555415096409474,0.2463297682572642,40.885961954442095,0.1976749272832492
M2,Cd48,Cd2,M1,0.0,79.38394271780294,0.0007723432980483723,0.0,0.7023128415564894,0.3405495293661253,2046.2978362509493,0.16704903860057
M2,Cd59b,Cd2,M1,0.0,14.632801395371471,0.1272806799138807,0.0,0.7023128415564894,0.3405495293661253,167.78461133972166,0.1526289825919993
M2,Sectm1a,Cd7,M1,0.0,4.616133832911308,0.11994033806251443,0.0,50.74678575504014,0.2222642472327303,659.5377229201587,0.13970107498262002
M2,Ifnb1,Ifnar2,M1,0.0,0.2279551823837902,0.2878114061213202,0.0,100.23664613897313,0.029825112801547763,521.3833349335611,0.12355192554278738
M2,Icosl,Icos,M1,0.0,-117.25017909730104,-0.07488666997292376,0.0,14.935531499289349,0.3793179906665129,4470.115659718131,0.11607669662033493
M2,Nodal,Acvr1c,M1,0.0,5.8291095493372795,0.03020338599697892,0.3333333333333333,2.9209438464594912,0.5391131617258222,52.319092351733254,0.0934007945296502
M2,Tslp,Il7r,M1,0.0,15.770068465358289,0.2039856628556257,0.0,-116.23808000961662,0.006456971274648171,13375.540273505696,0.09250968537349367
M2,Cxcl2,Cxcr1,M1,0.0,-166.13211815441602,0.015344590435107996,0.0,0.05753682238149899,0.1675387225986237,58.71870558094929,0.0865783603458081
M2,Alcam,Cd6,M1,0.0,-78.77929838549403,0.03842921881631639,0.0,16.59764086213101,0.1670140918646561,19265.98027688497,0.0830062493207514
M2,Apoe,Lrp8,M1,0.0,8928.365388279999,-0.0496469277565319,0.0,82.26099660988477,0.150141272002753,8608696.9390513,0.0801653087450668
M2,Tslp,Crlf2,M1,0.0,15.770068465358289,0.2039856628556257,0.0,-42.86906788052627,0.0007043319996224984,3719.0885769537,0.0764411231132896
M2,Il18,Il18r1,M1,0.0,-4.035047494407877,0.0223808596613857,0.0,8.800047763241343,0.1479664095811492,3643.3637362931822,0.0721812928954223
M2,Dkk4,Kremen2,M1,0.0,3.8906010107414883,0.05532942651081668,0.6666666666666667,7.34048709796474,0.18588153216634126,79.68710243794601,0.0711589061884716
M2,Il1rn,Il1r2,M1,0.0,-181.70642733411998,0.026292127379031027,0.0,41.790710491095695,0.09160225218233307,36293.930303794215,0.05701616652672964
M2,Il4,Cd53,M1,0.0,12.934539159388402,0.10602955374051262,0.0,-380.30504789703906,-0.0037730532749638,78927.72350601091,0.0559681445616923
M2,Alcam,L1cam,M1,0.0,-78.77929838549403,0.03842921881631639,0.0,91.96986188931328,0.10658753606616013,90859.83817152225,0.054283474403183984
M2,Lrpap1,Lrp8,M1,0.0,-31.872729008918785,0.012824550989153694,0.0,82.26099660988477,0.150141272002753,48250.55746221184,0.049016826584249586
M2,Tnfrsf14,Btla,M1,0.0,32.07791797240469,0.052639875888881804,0.0,21.919210915993318,0.04028832729802634,13422.986937519323,0.04897123671341702
