Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Proc,Tek,ECs,0.5,7.705166716507807,0.386274373506842,0.0,2.657026674750341,-0.009121589679380482,33970.406371531426,0.3510402999047511
MuSCs,Ghrh,Ghrhr,ECs,0.5,3.461092047200018,0.35001504348639656,0.0,25.784644210163197,0.03605128706275762,440.5362264367322,0.3392489926734949
MuSCs,Mstn,Acvr2b,ECs,-0.33333333333333337,0.13251201608582308,0.8454877982686915,0.0,22.918913804819503,0.038642519291979815,35.868057023096874,0.30559411239924056
MuSCs,Proc,Procr,ECs,0.5,7.705166716507807,0.386274373506842,0.0,53.06728593160067,0.10184229122422196,2109.9381454931126,0.2831455095384993
MuSCs,Shh,Ptch1,ECs,0.5,3.217316631217033,0.6392225840691707,0.0,-81.97406898314226,-0.015051088779518941,1862.980524323131,0.279475788705057
MuSCs,Il13,Il13ra2,ECs,0.0,5.34345946581105,0.21235646439235592,0.0,-0.9014778796614404,0.5069569502247109,78.05762355275333,0.25839058820781463
MuSCs,Proc,Thbd,ECs,0.5,7.705166716507807,0.386274373506842,0.0,-433.14189252855414,-0.05069449095910072,12424.194220340127,0.21856916338121296
MuSCs,Shh,Ptch2,ECs,0.5,3.217316631217033,0.6392225840691707,0.0,10.345717602657345,-0.019237636208472183,824.0078415638083,0.18345313496781449
MuSCs,Timp3,Kdr,ECs,0.0,839.7972062046098,0.15694445172482674,0.0,-1305.0814946925893,0.0039968316647381865,5931640.501129232,0.14437159925890658
MuSCs,Tac2,Tacr2,ECs,0.5,0.5978474078017609,0.1308416635040715,0.33333333333333337,6.194176293464601,0.16589346103174166,18.945563086229875,0.1429532476641124
MuSCs,Thpo,Mpl,ECs,0.0,6.254929791761991,0.2641542504801877,0.0,-6.628246666365572,-0.13373294435663585,101.5330572022318,0.14084758637627928
MuSCs,Angpt4,Tek,ECs,0.0,3.63526406313842,0.13545743263117832,0.0,2.657026674750341,-0.009121589679380482,16045.661518286754,0.12220735883680478
MuSCs,Tac2,Tacr1,ECs,0.5,0.5978474078017609,0.1308416635040715,0.0,30.045683663883356,-0.013713716389243236,92.54321679904636,0.12093232575816874
MuSCs,Fgf16,Fgfr3,ECs,0.0,26.983499367204413,0.17581523166186494,0.0,19.212288231260715,0.018138741258183155,5819.205847212585,0.11571113806338927
MuSCs,Lep,Lepr,ECs,0.16666666666666663,0.2658870560840847,0.08568614847849383,0.0,60.26197299905277,0.07463716406212595,240.354321479478,0.11052758158050192
MuSCs,Fgf16,Fgfr2,ECs,0.0,26.983499367204413,0.17581523166186494,0.0,23.112707044729014,0.12582626904307562,2012.7986721855868,0.10280635935224376
MuSCs,Cgn,F11r,ECs,0.5,0.953696816297188,0.14048930527589773,0.0,8.203423985082964,0.002069215378749823,1373.2203719078825,0.0954589606495005
MuSCs,Ihh,Ptch1,ECs,0.5,1.933667815993097,0.21984055361752772,0.0,-81.97406898314226,-0.015051088779518941,1094.2667227452343,0.09513431139168237
MuSCs,Lamc2,Itgb4,ECs,0.0,58.8378036169264,0.1298330172799399,0.0,551.6966191264393,0.12792284850782035,103336.06463696627,0.0916676686561968
MuSCs,Sema3g,Nrp2,ECs,0.0,189.00715526602792,0.14443682627109633,0.0,344.347980183974,0.06285916869958874,974288.298337247,0.09116948490021404
MuSCs,Pgf,Flt1,ECs,0.0,18.669126765287476,0.08876865348003997,0.0,-1918.0117256661724,0.023137421317469875,88271.72747858142,0.08567411357979572
MuSCs,Lamc2,Itga3,ECs,0.0,58.8378036169264,0.1298330172799399,0.0,-138.87816858660972,0.012753700792400012,48244.97289504913,0.0843994868759213
MuSCs,Cxcl13,Ccr10,ECs,0.0,-6.782343796551138,0.2192736532706238,0.0,9.127076392330967,0.09179585680951864,72.45890789319101,0.08279931685187528
MuSCs,Bmp6,Bmpr2,ECs,0.0,180.74820920258182,0.3323907855189589,0.0,-212.02450481438157,-0.019766194300357087,1190280.8262705836,0.08217233927511536
MuSCs,Cntn1,Notch1,ECs,0.0,25.60284328521755,0.2032111403222937,0.0,602.2751873529343,-0.01682099012585869,146850.6021609339,0.0813133023250509
MuSCs,Ccl28,Ccr10,ECs,0.0,2.9389883197574784,0.18602569158335716,0.0,9.127076392330967,0.09179585680951864,102.3152812565931,0.07825084206664724
MuSCs,Col4a3,Cd93,ECs,0.0,5.315988351168231,0.12848590219545047,0.0,-1851.1796291870705,-0.008886784869482134,68879.57387708669,0.07603151465060916
MuSCs,Cxcl13,Ackr4,ECs,0.0,-6.782343796551138,0.2192736532706238,0.0,21.540699928242926,0.2377057338392977,333.6586510988241,0.07529617817438514
MuSCs,Lamc2,Itga6,ECs,0.0,58.8378036169264,0.1298330172799399,0.0,-2142.069104298445,-0.055752220537301785,403402.3400647176,0.06925696416896841
MuSCs,Tgfb2,Tgfbr3,ECs,0.0,181.51161117124482,0.0300897091036364,0.0,649.4801156704675,0.10515432544040344,983851.0588916941,0.06899155000947413
MuSCs,Artn,Ret,ECs,0.0,11.707850247931821,0.13011493694890727,0.0,93.7090632899082,0.09169130160719097,3710.070183436633,0.06681559059247727
MuSCs,Fgf5,Fgfr2,ECs,0.0,-2.3392545536332316,-0.2617919069099885,0.0,23.112707044729014,0.12582626904307562,141.2474200622012,0.0650596823025048
MuSCs,Ccl25,Ackr4,ECs,0.0,26.995672027981787,0.0060275650964576885,0.0,21.540699928242926,0.2377057338392977,5845.458235035925,0.06378834418040821
MuSCs,Nrtn,Ret,ECs,0.5,-0.3203827048569773,0.10481742895052153,0.0,93.7090632899082,0.09169130160719097,33.13403459018872,0.06286263861297361
MuSCs,Vcam1,Itgad,ECs,0.0,691.5374533241808,0.09556042185042403,0.6666666666666667,3.189261623488824,0.1451806511174885,9922.223279515645,0.0619732330549237
MuSCs,Ihh,Ptch2,ECs,0.5,1.933667815993097,0.21984055361752772,0.0,10.345717602657345,-0.019237636208472183,498.4523517267202,0.06183701119389031
MuSCs,Gpc3,Cd81,ECs,0.0,442.54002846007967,0.22606532666156706,0.0,-790.6565941693661,-0.0561412160041036,1175819.653062843,0.060900978233957015
MuSCs,Lgi3,Stx1a,ECs,0.0,6.947406335748617,0.15068857384109036,0.0,19.405217761786233,0.016427340495678122,620.3277637522648,0.060571405037962565
MuSCs,Angpt1,Tie1,ECs,0.0,18.134851953566827,0.05943384343202612,0.0,550.4065986792102,0.005011628879517449,189661.98329255372,0.059957418068894985
MuSCs,Amh,Amhr2,ECs,0.0,5.889767134929698,0.09166492124015073,0.0,10.2183645970774,0.08452685424919283,297.91210953840493,0.05831486658623888
MuSCs,F2,F2rl3,ECs,0.0,14.056315085109851,0.0545975355836012,0.0,73.3377610403233,0.06625568771544232,6698.115748149794,0.05823358218615859
MuSCs,Jam3,Jam2,ECs,0.0,101.44113904473129,0.06977611514682798,0.0,-56.94378448508906,-0.013645640475395626,418114.58512221393,0.05686130562385666
MuSCs,Pgf,Nrp2,ECs,0.0,18.669126765287476,0.08876865348003997,0.0,344.347980183974,0.06285916869958874,106448.3461573716,0.05679292734120332
MuSCs,Wnt2,Fzd4,ECs,-0.16666666666666669,0.11185217375950997,0.14802641373652756,0.0,107.59001022160282,-0.06784343458054193,341.35554215287607,0.05578670618201122
MuSCs,Fgf17,Fgfr2,ECs,0.0,-0.3864830778398805,0.0395650038547552,0.0,23.112707044729014,0.12582626904307562,426.0053992696724,0.05494905326817957
MuSCs,Shh,Boc,ECs,0.5,3.217316631217033,0.6392225840691707,0.0,12.102489256878755,0.006523582182441312,496.01178079663765,0.0546999639908626
MuSCs,Spp1,Itgb3,ECs,0.0,2437.281672242913,0.10848366961879936,0.0,-217.29918555682468,-0.09337625711001853,225751.09704810195,0.05407478361458822
MuSCs,Shh,Hhip,ECs,0.5,3.217316631217033,0.6392225840691707,0.33333333333333337,-2.276518476406243,0.005928758049186078,9.58087528320818,0.05407288091361268
MuSCs,Shh,Smo,ECs,0.5,3.217316631217033,0.6392225840691707,0.0,40.925205009956976,0.01223622560034128,530.9875344047763,0.05406941005524174
MuSCs,Angpt1,Tek,ECs,0.0,18.134851953566827,0.05943384343202612,0.0,2.657026674750341,-0.009121589679380482,80407.15507590421,0.05277188048553777
MuSCs,Wnt2,Fzd9,ECs,-0.16666666666666669,0.11185217375950997,0.14802641373652756,0.0,7.856674167546128,0.04782032481578002,7.021821844857374,0.052035281054268495
MuSCs,Gip,Gipr,ECs,0.5,1.797814145788588,0.12103660814901787,0.0,15.152242729522106,0.08271104340638041,78.33594931226051,0.05198083610674295
MuSCs,Hspg2,Itga2,ECs,0.0,3877.074172244651,0.0444775439168606,0.0,205.44207132279763,0.1132277892957505,4978655.249336713,0.05183323398303959
MuSCs,Rln1,Rxfp1,ECs,0.0,12.912431816238062,0.08700155703953669,-0.33333333333333337,-4.113240655809459,0.16798095668581092,36.47917274020703,0.05132955564644005
MuSCs,Vcan,Selp,ECs,0.0,1607.5837379446393,0.05086419896010319,0.0,315.8057839380701,0.002666326481841064,4296433.715206551,0.050674792836512
MuSCs,Ctf1,Il6st,ECs,0.0,4.701076949918106,0.053436404320153896,0.0,2623.34364791816,0.07626375697609583,106665.97484544216,0.04925692998681619
MuSCs,Il13,Il2rg,ECs,0.0,5.34345946581105,0.21235646439235592,0.0,-137.76949594225835,-0.005653979403978686,2357.3013742620637,0.047891436616609384
MuSCs,Bmp6,Acvr1,ECs,0.0,180.74820920258182,0.3323907855189589,0.0,-35.41060504196304,-0.02315619475571451,64205.487238758324,0.04496272546178158
MuSCs,Myoc,Fzd4,ECs,0.0,12.794894879715462,0.11812853284408599,0.0,107.59001022160282,-0.06784343458054193,34781.081766942865,0.04427533955429562
MuSCs,Fcer2a,Cr2,ECs,0.0,7.111197783232941,0.06741157992487783,0.0,20.33718209914997,0.07932033983185854,903.397115790706,0.044066919676859086
MuSCs,Wnt1,Fzd9,ECs,0.0,3.4714118087580363,0.09424140058562758,0.0,7.856674167546128,0.04782032481578002,147.39354924700427,0.04398424224880414
MuSCs,Fgf1,Fgfr2,ECs,0.0,-11.543766903849182,0.03868726577903103,0.0,23.112707044729014,0.12582626904307562,641.2382220161,0.04362221293580842
MuSCs,Fn1,Itga2,ECs,0.0,7160.437647264626,0.052178492623194565,0.0,205.44207132279763,0.1132277892957505,5382123.754401534,0.043309551398156405
MuSCs,Cadm3,Cadm3,ECs,0.0,29.37058890582798,0.05344823718894148,0.0,-31.104074182094113,0.08258189649094883,12964.394182623133,0.04209309088596598
MuSCs,Nlgn3,Nrxn2,ECs,0.0,6.727492223850477,-0.022863194092374084,0.33333333333333337,14.028942698587976,0.11150795764196876,986.8752517772368,0.041374126870863406
MuSCs,Gpc3,Igf1r,ECs,0.0,442.54002846007967,0.22606532666156706,0.0,-145.95055516473033,-0.057645984787105316,616969.2023022377,0.041049705749605
MuSCs,Bmp6,Acvr2a,ECs,0.0,180.74820920258182,0.3323907855189589,0.0,-221.75229435900022,-0.045520236364323015,110932.35745608357,0.0399561285862589
MuSCs,Artn,Gfra3,ECs,0.0,11.707850247931821,0.13011493694890727,0.3333333333333333,1.7621427336971074,0.12888483469414613,44.830920666290716,0.039919108560241584
MuSCs,Il13,Il4ra,ECs,0.0,5.34345946581105,0.21235646439235592,0.0,-240.79409456224698,-0.01710414767047019,8670.113415260816,0.03944111164044569
MuSCs,Comp,Itgb3,ECs,0.0,75.6108156817498,0.07041081005082687,0.0,-217.29918555682468,-0.09337625711001853,28153.691361016197,0.03910282138254546
MuSCs,Spon2,Itga5,ECs,0.0,15.275905866364837,0.10247229070037364,0.0,573.5997233855593,0.06398485670973919,50604.8081601062,0.03902208705234424
MuSCs,Il11,Il6st,ECs,0.0,9.260290172221843,0.0721913389250983,0.0,2623.34364791816,0.07626375697609583,132074.7006439058,0.03848104415842831
MuSCs,Gdf6,Bmpr2,ECs,0.0,1.7205656517550918,0.15648744321188648,0.0,-212.02450481438157,-0.019766194300357087,10824.770600565982,0.03759790564260673
