Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Slit1,Robo2,FAPs,0.0,69.68433304937581,0.10202558430642816,0.0,55.78412027652424,0.6321707305241077,9495.801090952084,0.2943699597101825
Resolving-Mac,Edn2,Ednra,FAPs,0.0,2.113439277945226,0.31148753850875976,0.0,285.94911689104765,0.030931193820984637,2716.2340747399357,0.2241586282596513
Resolving-Mac,Gdf7,Bmpr1a,FAPs,0.6666666666666667,6.8820852349762855,0.31512351554692225,0.0,-150.50670410582597,-0.001889615743752016,15862.29232474199,0.1597258314362933
Resolving-Mac,Gdf15,Gfral,FAPs,0.0,-117.22664714798478,0.026395080147730617,0.0,10.510111101367071,0.21074485325077447,7207.444393391374,0.14347613783589525
Resolving-Mac,Tnfsf13,Tnfrsf17,FAPs,0.0,-3.9465565952576536,0.05565239543534717,0.3333333333333333,0.2821027254509203,0.28456403915031825,11.272280666267946,0.1427053203964766
Resolving-Mac,Npy,Prlhr,FAPs,0.0,-0.4649470945449288,-0.0620003203463475,0.3333333333333333,1.0086017482569982,0.16913185549835552,28.287004562390074,0.13457842360865396
Resolving-Mac,Gdf7,Acvr2a,FAPs,0.6666666666666667,6.8820852349762855,0.31512351554692225,0.0,-119.2606595433731,-0.02883364818211936,13488.852168632666,0.11798189541018125
Resolving-Mac,Pth2,Pth1r,FAPs,0.0,1.4402415305099363,0.2884236825993929,0.0,35.26563505306598,-0.06680325278769139,289.42113697544926,0.11480447135149402
Resolving-Mac,Wnt3,Fzd1,FAPs,0.0,9.74155934273057,0.13121512102763766,0.0,-390.2413304389994,-0.0113787792874529,7580.049720171231,0.10584397440705562
Resolving-Mac,Nppa,Npr3,FAPs,0.33333333333333337,3.491143044835707,0.15485745049320632,0.0,-39.38323264190677,-0.1200254945489968,100.63615386530351,0.09947999376244207
Resolving-Mac,Gnai2,Lhcgr,FAPs,0.0,-134.18610192251163,0.00623939974465751,0.0,2.9042925202806686,0.3982001478661771,10398.587409173415,0.0970226806646768
Resolving-Mac,Pmch,Mchr1,FAPs,0.0,1.2973370172324366,0.1515040264612866,0.0,3.420810762833049,-0.006729359246273936,28.954079754504065,0.09417904796505402
Resolving-Mac,L1cam,Ephb2,FAPs,0.0,91.66778619352364,0.10350310973192042,0.0,223.36917272282238,0.043920947680389344,127829.5663821954,0.09363614231267142
Resolving-Mac,Ccl17,Ackr2,FAPs,0.0,3.209045135996538,0.1282507993452781,0.0,1.031955647911758,-0.040220016800647566,25.012714695007173,0.09263406132855667
Resolving-Mac,Artn,Gfra1,FAPs,0.6666666666666667,9.51727752732321,0.12827649762481785,0.0,269.01624223716493,0.017786255277964513,7433.379669622725,0.09087816491047293
Resolving-Mac,Gdf9,Bmpr1b,FAPs,0.0,21.241220276845787,0.09906393440976947,0.0,126.3991819583469,0.06044289093266185,6277.009309495788,0.08858281200215315
Resolving-Mac,Wnt3,Fzd8,FAPs,0.0,9.74155934273057,0.13121512102763766,0.0,118.50189477538737,0.03381581021502112,6708.23655148861,0.0861785636907632
Resolving-Mac,Gdf7,Bmpr2,FAPs,0.6666666666666667,6.8820852349762855,0.31512351554692225,0.0,-26.190360430667173,-0.010384504327950987,38583.89942539224,0.06769834823267952
Resolving-Mac,Uts2,Uts2r,FAPs,0.33333333333333337,0.59857514248927,0.0368744327029448,-0.33333333333333337,0.32160937893009844,0.2800430976244045,4.61489905132958,0.0658934490634782
Resolving-Mac,Efnb3,Ephb2,FAPs,0.0,10.293718755628259,0.07654354158043447,0.0,223.36917272282238,0.043920947680389344,9426.097852618932,0.06545520953510897
Resolving-Mac,Nxph3,Nrxn1,FAPs,0.6666666666666667,1.2125970971630546,0.052144803715821815,0.33333333333333337,2.297115391283479,0.2534425075352105,17.508124482968906,0.06452646125624936
Resolving-Mac,Efnb3,Ephb3,FAPs,0.0,10.293718755628259,0.07654354158043447,0.0,294.9272569453698,-0.034896999919883036,12968.348989790513,0.06192565509249899
Resolving-Mac,Wnt1,Ror2,FAPs,0.0,1.9808739243215656,0.06196867392898368,0.0,51.67414033056508,-0.0031670567602001265,739.9446089081067,0.05700029275211532
Resolving-Mac,Il27,Il27ra,FAPs,0.0,-0.7898805406361937,0.07843349847985742,0.0,29.451775985404414,0.09068374555625608,663.701200667508,0.05649264920618631
Resolving-Mac,Il16,Kcnj15,FAPs,0.0,38.17007452345604,-0.0007704184673748005,0.0,81.21434682742961,0.15635307551953434,33636.494619105564,0.054870766378066683
Resolving-Mac,Nlgn3,Nrxn1,FAPs,0.0,8.499203476191981,0.03664642849771947,0.33333333333333337,2.297115391283479,0.2534425075352105,99.13343673093945,0.054230759735371
Resolving-Mac,L1cam,Egfr,FAPs,0.0,91.66778619352364,0.10350310973192042,0.0,-516.8550913035351,-0.04684860259553558,509985.3975492751,0.053410181714103215
Resolving-Mac,Fgf8,Fgfr2,FAPs,0.3333333333333333,2.6258912505608527,0.08051271775507465,0.0,-40.17184617186098,-0.1384555237200712,344.10089803494077,0.0526503072574618
Resolving-Mac,Npy,Npy1r,FAPs,0.0,-0.4649470945449288,-0.0620003203463475,0.6666666666666667,5.55098650569078,0.06389038010840208,155.55705426410577,0.05138392105285942
Resolving-Mac,Wnt1,Fzd1,FAPs,0.0,1.9808739243215656,0.06196867392898368,0.0,-390.2413304389994,-0.0113787792874529,1458.9285815266082,0.05056534395291883
Resolving-Mac,Gdf9,Bmpr1a,FAPs,0.0,21.241220276845787,0.09906393440976947,0.0,-150.50670410582597,-0.001889615743752016,47762.63334020462,0.05009252878370486
Resolving-Mac,Wnt3,Fzd7,FAPs,0.0,9.74155934273057,0.13121512102763766,0.0,11.650837276690366,0.043880447858063935,4209.280015443756,0.04976905221324399
Resolving-Mac,Slit1,Robo1,FAPs,0.0,69.68433304937581,0.10202558430642816,0.0,449.089096077387,-0.05764513920018999,203677.42458709163,0.04954435694088677
Resolving-Mac,Fgf8,Fgfrl1,FAPs,0.3333333333333333,2.6258912505608527,0.08051271775507465,0.0,-2.0081017404417025,-0.06640257725388421,758.8077170898885,0.04918566725277428
Resolving-Mac,Wnt1,Fzd2,FAPs,0.0,1.9808739243215656,0.06196867392898368,0.0,209.7715426202461,-0.011041944647232738,1583.5462106312814,0.048387461275802686
Resolving-Mac,Efna2,Epha7,FAPs,0.0,33.21858197904027,0.03674568401630941,0.0,57.72337240426812,0.2407070080981055,4947.365747172353,0.04772516218083008
Resolving-Mac,Efnb3,Epha4,FAPs,0.0,10.293718755628259,0.07654354158043447,0.0,296.81891441119006,0.09394741097371416,9331.515398198757,0.04667016742090448
Resolving-Mac,Rtn4,Tnfrsf19,FAPs,0.0,161.07761675591337,0.019889118423294997,0.0,1.90356519593988,0.18096817984819785,9982.291173659396,0.04619784445805808
Resolving-Mac,Fgf13,Scn8a,FAPs,0.0,2.639529769326187,0.08702622918954435,0.0,29.984490385202488,-0.02116606807203636,544.4455001206999,0.04576869966691167
Resolving-Mac,Ntn1,Unc5d,FAPs,0.0,3.7391179603006184,0.02197365114344596,0.0,2.690811719187728,0.7384961796074604,115.79035169432,0.045204768663622906
Resolving-Mac,Gnai2,Tbxa2r,FAPs,0.0,-134.18610192251163,0.00623939974465751,0.0,67.7242950005006,0.17751527417704244,254366.9343489511,0.04483029694930615
Resolving-Mac,Artn,Ret,FAPs,0.6666666666666667,9.51727752732321,0.12827649762481785,0.0,-11.1461162693991,-0.10281691169617456,2116.3591424879264,0.044383711602579534
Resolving-Mac,Mmp9,Ephb2,FAPs,0.0,22.14155717729405,0.04730937229714234,0.0,223.36917272282238,0.043920947680389344,27844.56599994467,0.043354132628244633
Resolving-Mac,Matn1,Itgb1,FAPs,0.0,30.878792494523807,0.13247274853439728,0.0,341.08411652799623,0.015640470547023392,241316.26623971335,0.04283411250061328
Resolving-Mac,Leap2,Ghsr,FAPs,0.0,19.70760015802508,0.12247143458906745,0.0,-35.316022703920744,-0.154645252664234,1682.4354835442969,0.042782266115155065
Resolving-Mac,Fgf8,Fgfr1,FAPs,0.3333333333333333,2.6258912505608527,0.08051271775507465,0.0,-245.83620919007993,-0.0655696714868006,9071.91025700244,0.04170070827059776
Resolving-Mac,Bmp10,Bmpr1b,FAPs,0.0,7.074007554582138,0.00942168666658727,0.0,126.3991819583469,0.06044289093266185,9594.298835317666,0.03983013712099481
Resolving-Mac,Nppa,Npr2,FAPs,0.33333333333333337,3.491143044835707,0.15485745049320632,0.0,-5.1628995435546585,-0.006991750455322797,1180.508144478103,0.03913998867222786
Resolving-Mac,Wnt1,Fzd8,FAPs,0.0,1.9808739243215656,0.06196867392898368,0.0,118.50189477538737,0.03381581021502112,1389.097625895882,0.038979723409794095
Resolving-Mac,Matn1,Itga1,FAPs,0.0,30.878792494523807,0.13247274853439728,0.0,110.34259196715107,0.02835843996505813,38875.82061755378,0.037472396745274965
