Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Tslp,Il7r,Resolving-Mac,0.0,15.770068465358289,0.2039856628556257,0.0,-144.88523300501788,0.006346606724744408,16254.715931676776,0.11243115784609777
Resolving-Mac,Ifnb1,Ifnar2,Resolving-Mac,0.0,0.2279551823837902,0.2878114061213202,0.0,9.598032568165763,0.006029736127345198,330.9690188464388,0.1058008469539104
Resolving-Mac,Psap,Gpr37l1,Resolving-Mac,0.0,-5209.383575743108,0.000963858240129567,0.0,5.76937913012425,0.14098683740259174,556760.9459881658,0.08200315741309355
Resolving-Mac,Pth2,Pth2r,Resolving-Mac,0.0,1.4402415305099363,0.2884236825993929,0.0,5.7895922587056425,-0.045176226049966295,17.483482882308973,0.08155118064178403
Resolving-Mac,Ifnb1,Ifnar1,Resolving-Mac,0.0,0.2279551823837902,0.2878114061213202,0.0,6.688728739526142,0.00647537045965213,419.64625645605753,0.0802400581505751
Resolving-Mac,Tslp,Crlf2,Resolving-Mac,0.0,15.770068465358289,0.2039856628556257,0.0,-65.24488544233469,-0.033455641080800964,3150.283934963601,0.06504652477474263
Resolving-Mac,B2m,Gm11127,Resolving-Mac,0.0,-7575.6791931819325,0.002943389319537193,0.6666666666666667,2.1084820304299265,0.16617949844979424,96403.39421864528,0.06170545264509196
Resolving-Mac,Cd86,Ctla4,Resolving-Mac,0.0,408.97373388541655,0.024012939479594708,0.6666666666666667,1.18476049521675,0.11583594613124128,3819.677105788462,0.056373674732459585
Resolving-Mac,Il4,Cd53,Resolving-Mac,0.0,12.93453915938839,0.10602955374051262,0.0,-63.29896600251232,0.01727145150299708,73223.86004183367,0.05202175991115536
Resolving-Mac,Alcam,L1cam,Resolving-Mac,0.0,-78.77929838549291,0.0384292188163165,0.0,91.66778619352364,0.10350310973192042,93017.4894847524,0.05193541907751119
Resolving-Mac,L1cam,Alcam,Resolving-Mac,0.0,91.66778619352364,0.10350310973192042,0.0,-78.77929838549291,0.0384292188163165,93017.4894847524,0.05193541907751119
Resolving-Mac,Gdf9,Tgfbr1,Resolving-Mac,0.0,21.241220276845787,0.09906393440976947,0.0,-976.3490996052553,-0.019246522766320384,150189.37369955223,0.04755330069812468
Resolving-Mac,Cd80,Ctla4,Resolving-Mac,0.0,138.90037676952298,0.03709580998160023,0.6666666666666667,1.18476049521675,0.11583594613124128,766.5986241673614,0.04719219990371635
Resolving-Mac,Gdf7,Bmpr2,Resolving-Mac,0.6666666666666667,6.8820852349762855,0.31512351554692225,0.0,-19.45315324977355,-0.007105987961629091,26146.389568758532,0.045873886266451946
Resolving-Mac,Tnfsf13,Tnfrsf14,Resolving-Mac,0.0,-3.9465565952576536,0.05565239543534717,0.0,32.077917972404755,0.052639875888881686,465.5918424272422,0.0452380338156598
Resolving-Mac,Ccl24,Ccr2,Resolving-Mac,0.0,-4.1034830111006,0.062151729311395065,0.0,1098.2562654377014,0.06340766723674182,30129.179092560284,0.04286785956221322
Resolving-Mac,Il4,Il2rg,Resolving-Mac,0.0,12.93453915938839,0.10602955374051262,0.0,-104.81273352287495,0.031136012164119983,7717.493230761121,0.04218356254465367
Resolving-Mac,Wnt3,Lrp6,Resolving-Mac,0.0,9.74155934273057,0.13121512102763766,0.0,586.489683146267,0.03135980136873079,33613.0890627044,0.04176017127377813
Resolving-Mac,Tff3,Cxcr4,Resolving-Mac,0.0,6.198890194061478,0.0777498061684822,0.0,-135.49135512983142,0.0044755179126979025,35581.7427541535,0.04022420220203693
Resolving-Mac,Il4,Il4ra,Resolving-Mac,0.0,12.93453915938839,0.10602955374051262,0.0,173.4236708271542,0.03398260915958423,36496.3071284509,0.03764031469164147
Resolving-Mac,Pth2,Pth1r,Resolving-Mac,0.0,1.4402415305099363,0.2884236825993929,0.0,17.379942371663326,0.003017196223469798,89.80116466069602,0.037386415201721895
Resolving-Mac,Tff2,Cxcr4,Resolving-Mac,0.0,11.625087494129687,0.06856542603190191,0.0,-135.49135512983142,0.0044755179126979025,70473.02070650071,0.0356970496887421
Resolving-Mac,Tnfsf14,Tnfrsf14,Resolving-Mac,0.0,8.357571272643224,0.05514296090299711,0.0,32.077917972404755,0.052639875888881686,4125.273975334943,0.035205956557491355
Resolving-Mac,Calca,Ramp1,Resolving-Mac,0.0,0.6680706612245433,0.07902997646619649,0.0,35.15091947916929,0.05441991273913949,115.52182922539969,0.03431920158918465
Resolving-Mac,Mrc1,Ptprc,Resolving-Mac,0.0,452.2773416687796,0.05334736936091955,0.0,-497.4698512040595,0.017087982508471874,2918633.322766572,0.034305129522477495
Resolving-Mac,Ptprc,Mrc1,Resolving-Mac,0.0,-497.4698512040595,0.017087982508471874,0.0,452.2773416687796,0.05334736936091955,2918633.322766572,0.034305129522477495
Resolving-Mac,Cadm1,Crtam,Resolving-Mac,0.0,10.28097141814817,0.014257180157661862,0.0,9.954568005886527,0.0542668969633848,5849.320562302816,0.0341507454336534
Resolving-Mac,Crtam,Cadm1,Resolving-Mac,0.0,9.954568005886527,0.0542668969633848,0.0,10.28097141814817,0.014257180157661862,5849.320562302816,0.0341507454336534
Resolving-Mac,Ltb,Cd40,Resolving-Mac,0.0,11.219315635342202,-0.002658482342452973,0.0,-41.32566160738367,0.07733315636722937,336.93178130420347,0.034114189956351904
Resolving-Mac,Icosl,Ctla4,Resolving-Mac,0.0,-117.25017909730104,-0.07488666997292387,0.6666666666666667,1.18476049521675,0.11583594613124128,305.6954120190485,0.03358274686854622
Resolving-Mac,Wnt3,Fzd7,Resolving-Mac,0.0,9.74155934273057,0.13121512102763766,0.0,-77.96920098585002,-0.018205741433342082,3197.983514502696,0.031657777224999684
Resolving-Mac,Adam2,Itga9,Resolving-Mac,0.3333333333333333,0.6058622899337367,0.07145994451506538,0.0,134.94924003375263,0.002578156685987209,967.4724408665139,0.03144924359004828
