Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Shh,Cdon,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,7260.8164884160315,0.7779060163415029,29314.258627532963,0.2993358459228896
FAPs,Fgf6,Fgfr4,MuSCs,0.3333333333333333,0.6223173262773101,0.2624792534838838,1.0,2684.385592860561,0.9824617722304932,1670.539664846315,0.2578758325515134
FAPs,Calca,Calcr,MuSCs,0.6666666666666666,2.3903167776277168,0.2170616605258576,1.0,543.7718106398294,0.9901044118291624,1299.786882173386,0.2149137077256155
FAPs,Shh,Smo,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,966.8946414321773,0.466966112730798,3903.665604238658,0.1796871259962504
FAPs,Nmu,Nmur1,MuSCs,0.3333333333333333,1.39272342922237,0.3383302667108281,1.0,6.415406225374342,0.4713332676533725,8.934886558057896,0.1594663101548516
FAPs,Shh,Hhip,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,87.61387715331978,0.400926791256503,353.7254878057944,0.1542753979180302
FAPs,Shh,Lrp2,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,0.3333333333333333,0.33536725082685,0.3456008464574299,1.353985786808897,0.1329861442806817
FAPs,Fgf6,Fgfr1,MuSCs,0.3333333333333333,0.6223173262773101,0.2624792534838838,1.0,4213.502507323747,0.5040952447351799,2622.1356146204557,0.1323145435228657
FAPs,Shh,Gas1,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,1743.33687617718,0.3296386365983292,7038.41339947181,0.1268439349512773
FAPs,Ndp,Lgr4,MuSCs,0.6666666666666666,2.057785661492604,0.2958661924650403,1.0,596.8756803137411,0.4068660247874838,1228.2422166432589,0.1203779015972595
FAPs,Shh,Ptch1,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,406.1495496201777,0.2751561717844886,1639.756762619852,0.1058792498216851
FAPs,Ndp,Fzd4,MuSCs,0.6666666666666666,2.057785661492604,0.2958661924650403,1.0,2500.10446859168,0.355544974036019,5144.6791277015445,0.1051937377181185
FAPs,Shh,Gpc5,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,0.3333333333333333,0.34216721818159995,0.256831601785307,1.381439448805994,0.0988280115658413
FAPs,Shh,Boc,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,549.022804735892,0.2106854477158151,2216.582186881913,0.08107111320755
FAPs,Lgi1,Adam11,MuSCs,0.3333333333333333,1.3301244645404628,0.1198357220127505,1.0,130.6510316069183,0.6407135515308154,173.7821334578114,0.07678037105104889
FAPs,Fgf6,Fgfr3,MuSCs,0.3333333333333333,0.6223173262773101,0.2624792534838838,1.0,81.35884255466547,0.2136680014897267,50.63101736763604,0.05608341752441684
FAPs,Dsc2,Dsg2,MuSCs,0.6666666666666666,2.711402470110864,0.04756857211977432,0.6666666666666666,4.9887468321715,1.0,13.526500483507547,0.04756857211977432
FAPs,Shh,Ptch2,MuSCs,0.6666666666666666,4.037322617132821,0.3847969287224028,1.0,100.3067040681934,0.1177836599161074,404.9705249845661,0.04532279058940213
FAPs,Lgi1,Adam23,MuSCs,0.3333333333333333,1.3301244645404628,0.1198357220127505,1.0,405.3217440054813,0.3423172876477131,539.1283677118977,0.0410218393227101
FAPs,Cdh1,Igf1r,MuSCs,0.6666666666666666,2.405966518798197,0.07688256499759903,1.0,2910.409405021886,0.4646813366640501,7002.34758447804,0.03572589306924503
FAPs,Fgf6,Fgfr2,MuSCs,0.3333333333333333,0.6223173262773101,0.2624792534838838,1.0,24.127907621160325,0.1253513356336286,15.015214959466428,0.032902125000322587
FAPs,Lgi1,Adam22,MuSCs,0.3333333333333333,1.3301244645404628,0.1198357220127505,1.0,482.1234762541687,0.2583948522551001,641.2842306949627,0.03096493368436792
FAPs,Cd59b,Cd2,MuSCs,1.0,32.30378304965353,0.2873935256730936,0.3333333333333333,1.85863184559596,0.0978295747309206,60.040839909309035,0.02811558639701866
FAPs,Lgi1,Rtn4r,MuSCs,0.3333333333333333,1.3301244645404628,0.1198357220127505,1.0,5.348685296881643,0.2082573587181121,7.1144171665101466,0.02495667094645334
FAPs,Cdh1,Egfr,MuSCs,0.6666666666666666,2.405966518798197,0.07688256499759903,1.0,4051.753228363697,0.3098024002209904,9748.382609875558,0.02381840317140248
FAPs,Calca,Ramp1,MuSCs,0.6666666666666666,2.3903167776277168,0.2170616605258576,1.0,15.208149794916599,0.09079592741430688,36.35229561146467,0.01970831477353469
FAPs,Cdh1,Itgae,MuSCs,0.6666666666666666,2.405966518798197,0.07688256499759903,1.0,31.60901071234987,0.2503980315136189,76.05022146624731,0.01925124293311666
FAPs,a,Mc2r,MuSCs,1.0,3.9361830639765,0.2761622772969647,0.3333333333333333,0.3097719742659933,0.06808749814249561,1.2193191988003669,0.01880319854248444
FAPs,Slitrk3,Ptprs,MuSCs,0.3333333333333333,0.31115866313865503,0.05298635358902986,1.0,2540.509888710576,0.3490725698766701,790.5016606617163,0.018496082615716586
FAPs,Il1rapl1,Ptprf,MuSCs,0.3333333333333333,0.31115866313865503,0.030946766619658325,1.0,578.1719945788833,0.5426508277034049,179.903224897375,0.01679328852090169
FAPs,Calca,Calcrl,MuSCs,0.6666666666666666,2.3903167776277168,0.2170616605258576,1.0,453.0281544318753,0.07177358479615825,1082.880798276232,0.01557929349774756
FAPs,Cdh1,Itgb7,MuSCs,0.6666666666666666,2.405966518798197,0.07688256499759903,1.0,67.45405255103826,0.1746892119219747,162.2921919950521,0.013430554689970571
FAPs,Insl3,Rxfp2,MuSCs,0.6666666666666666,2.010836437981174,0.07620199456429744,0.3333333333333333,0.6707345016537034,0.1474620472792498,1.3487373761364108,0.01123690212521356
FAPs,Il1rapl1,Ptprs,MuSCs,0.3333333333333333,0.31115866313865503,0.030946766619658325,1.0,2540.509888710576,0.3490725698766701,790.5016606617163,0.01080266735329768
FAPs,Pomc,Mc2r,MuSCs,0.6666666666666666,3.26119380236178,0.06527968012280752,0.3333333333333333,0.3097719742659933,0.06808749814249561,1.01022644262163,0.0044447300991043645
FAPs,F8,Asgr2,MuSCs,1.0,96.06336297153051,0.1314692028970131,0.3333333333333333,0.6707345016537034,0.026147795135790592,64.43301188988835,0.0034376297840167857
FAPs,Cdh1,Ptprm,MuSCs,0.6666666666666666,2.405966518798197,0.07688256499759903,1.0,278.7053112289624,0.03108026166381998,670.5556474281144,0.002389530237511026
FAPs,S100a9,Tlr4,MuSCs,0.3333333333333333,1.24463465255462,0.02226930733689893,1.0,310.6353717295653,0.09970408514766713,386.6275479638028,0.002220340914897739
FAPs,Ebi3,Il6st,MuSCs,0.3333333333333333,0.9975933484053466,0.006054533482730908,1.0,5077.896028313618,0.2148415731917112,5065.675301739594,0.001300765498371799
FAPs,Ebi3,Il27ra,MuSCs,0.3333333333333333,0.9975933484053466,0.006054533482730908,1.0,12.316216327421081,0.06482327783148206,12.28657548575659,0.0003924747060910764
FAPs,Cd40lg,Cd40,MuSCs,0.3333333333333333,1.5557933156932768,0.1229699155363805,0.3333333333333333,0.6843344363631966,0.001761858461024137,1.064682941792587,0.0002166555861391955
FAPs,Ccl5,Ccr1,MuSCs,1.0,22.030991983155488,0.1181948683834575,0.6666666666666666,0.6519391924475934,0.001797049591173459,14.36286712231779,0.0002124020399072931
FAPs,Il1rn,Il1r1,MuSCs,0.6666666666666666,1.70960480418701,0.0005677035568706543,1.0,697.959504912581,0.2397380882096488,1193.234922726535,0.0001361001653939883
