Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Npy,Prlhr,M2,1.0,11.05730283581181,1.0,0.6666666666666666,0.6722669592850267,0.19145239740931697,7.433459355324907,0.19145239740931697
M2,Ifna11,Ifnar2,M2,0.3333333333333333,0.35475609767025,0.3542848162330834,1.0,1338.1010431711031,0.539358144591685,474.6995043638713,0.1910864011404819
M2,Ifna11,Ifnar1,M2,0.3333333333333333,0.35475609767025,0.3542848162330834,1.0,2312.077575440484,0.4356384989026099,820.2236181741589,0.1543401055277674
M2,Wnt3a,Lrp1,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,24094.72908497333,0.4122215820014845,7650.338192144501,0.1338411702055364
M2,Calca,Ramp1,M2,0.3333333333333333,1.9050651696886598,0.1729965722589255,1.0,126.6641909617849,0.7562124810476458,241.3035384480896,0.1308221671206604
M2,Hcrt,Hcrtr2,M2,0.6666666666666666,3.9591112835992126,0.1219772943015833,0.3333333333333333,1.270043446459107,1.0,5.0282433395374815,0.1219772943015833
M2,Wnt3a,Lrp6,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,4583.813863225463,0.3676715124461291,1455.410689194475,0.1193765383124752
M2,Il1f5,Il1rl2,M2,0.3333333333333333,0.9525325848443299,0.746910429754342,1.0,138.544609663629,0.1423433324611343,131.9682551591453,0.10631771962121099
M2,Wnt3a,Fzd5,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,451.0941457675924,0.3273546240815896,143.2272908920499,0.1062863466452749
M2,Wnt3a,Fzd7,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,308.7428556554053,0.2865146823429469,98.02921011655435,0.0930263286547414
M2,B2m,Gm11127,M2,1.0,43521.10709613247,0.630474877510678,0.3333333333333333,0.7095121953405,0.1072521024510897,30878.756239425962,0.0676197561556134
M2,Il20,Il20rb,M2,0.3333333333333333,1.9050651696886598,0.8551216101667852,1.0,36.51069473913046,0.0652347752097615,69.55525286865245,0.0557836660162395
M2,Tnfsf11,Tnfrsf11a,M2,0.6666666666666666,2.054046113910553,0.0443821791337016,1.0,1732.79106189951,0.9207879949420252,3559.23274691363,0.0408665777356789
M2,Agrp,Mc4r,M2,1.0,11.87765938779975,0.3900813237214681,0.3333333333333333,1.0642682930107499,0.06814796338111,12.64101628161675,0.0265832477646255
M2,Arf1,Chrm3,M2,1.0,1947.4583207637302,0.3105565463834694,0.6666666666666666,3.7160908940953834,0.0637033842067681,7236.932132420383,0.0197835029921931
M2,Calca,Calcrl,M2,0.3333333333333333,1.9050651696886598,0.1729965722589255,1.0,613.0845852601686,0.0971314432379396,1167.966089452165,0.0168034067387259
M2,Pth2,Pth2r,M2,0.3333333333333333,0.3505548698288767,0.0750443279757658,0.6666666666666666,3.69088352704714,0.21958173006248602,1.293857194377555,0.0164783633682952
M2,Bmp10,Bmpr1b,M2,1.0,62.82590491057274,0.7550919859225634,1.0,5.72869054410909,0.0195284825129219,359.91016738629486,0.0147458006427363
M2,Inha,Acvr2a,M2,0.6666666666666666,2.10753044681463,0.0899202729320433,1.0,628.5322381767278,0.1238738799688679,1324.650828761998,0.0111387730959517
M2,Pnoc,Oprl1,M2,1.0,5.002373437403094,0.1688065008034038,0.3333333333333333,2.48329268369175,0.061755288038200996,12.42235735819705,0.010424694079835
M2,Rspo3,Sdc4,M2,0.6666666666666666,2.054046113910553,0.0174401908426512,1.0,1573.2998646627698,0.5072092065424675,3231.630473026562,0.0088458253592503
M2,Pth2,Pth1r,M2,0.3333333333333333,0.3505548698288767,0.0750443279757658,1.0,35.53861318111515,0.1122436529971518,12.45823391760463,0.0084232495087163
M2,a,Mc4r,M2,0.3333333333333333,1.419024390681,0.0995586335546365,0.3333333333333333,1.0642682930107499,0.06814796338111,1.5102226660106868,0.0067847181137547
M2,Rspo3,Lrp6,M2,0.6666666666666666,2.054046113910553,0.0174401908426512,1.0,4583.813863225463,0.3676715124461291,9415.365052647585,0.0064122613444667
M2,Slit1,Robo2,M2,1.0,125.293162780397,0.4789272406420081,0.3333333333333333,2.1285365860214998,0.0127367139932388,266.6910809564222,0.0060999592876283
M2,Wnt3a,Fzd1,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,19.12119647090971,0.0177304622176277,6.071187566583968,0.0057567723649263
M2,Nrtn,Gfra2,M2,0.6666666666666666,0.9855765930584302,0.1098249623820522,1.0,20.9598480871681,0.0429017268078293,20.65753566877338,0.0047116805327949
M2,Efna2,Epha5,M2,1.0,38.6566020510344,0.0923829998742479,1.0,2.04984488606918,0.0484920560057494,79.24003802712423,0.0044798416038811
M2,Bmp7,Bmpr1b,M2,0.6666666666666666,2.25982126735891,0.22839467308297198,1.0,5.72869054410909,0.0195284825129219,12.945816725695611,0.0044602013793453
M2,Fgf10,Fgfrl1,M2,0.3333333333333333,2.1285365860214998,0.0481854717628377,1.0,32.35033506692637,0.0917761050218941,68.85887176000706,0.0044222749170357
M2,Bmp2,Bmpr1b,M2,1.0,70.14966086691943,0.1979741270161172,1.0,5.72869054410909,0.0195284825129219,401.86569888078077,0.0038661342774452
M2,Cntn2,Cntnap2,M2,1.0,7.1020672430518665,0.08450446940688999,0.6666666666666666,2.334311739469857,0.0433246333725891,16.57843893996029,0.0036611251553986
M2,Sema3d,Nrp1,M2,0.3333333333333333,2.1033292189732555,0.0099550408602358,1.0,4549.53448349828,0.3177631946821987,9569.168811868334,0.0031633455869403
M2,Efna3,Epha5,M2,0.3333333333333333,1.270043446459107,0.0641159774690691,1.0,2.04984488606918,0.0484920560057494,2.603392063809876,0.0031091155702934
M2,Wnt3a,Ryk,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,1.0,17.10713965486013,0.0086086215174087,5.431702651578955,0.0027950695161380002
M2,Wnt3a,Fzd2,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,0.6666666666666666,6.351999935333509,0.0081360012116135,2.016828972444748,0.0026416179319599
M2,Wnt3a,Apcdd1,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,0.3333333333333333,1.0642682930107499,0.0067836948244341,0.3379167427031308,0.002202547593969
M2,Gdf9,Bmpr1b,M2,1.0,18.782353933085968,0.1119013591446986,1.0,5.72869054410909,0.0195284825129219,107.5982933725798,0.0021852637352294
M2,Rspo2,Znrf3,M2,0.6666666666666666,0.6722669592850267,0.009869115110999,1.0,222.217324805195,0.1983829937415459,149.38936524724159,0.0019578646012999
M2,Rspo2,Rnf43,M2,0.6666666666666666,0.6722669592850267,0.009869115110999,1.0,7.085262331686372,0.1935204168270224,4.763187763459536,0.0019098752699943
M2,Wnt3a,Fzd8,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,0.6666666666666666,5.642487739993012,0.0040287010546415,1.7915511439759952,0.0013080490859878
M2,Efna4,Epha5,M2,0.3333333333333333,1.77378048835125,0.025334305660339004,1.0,2.04984488606918,0.0484920560057494,3.6359748630561013,0.0012285125689479
M2,Bdnf,Sort1,M2,0.6666666666666666,2.2970665034143845,0.0045977464527931,1.0,450.9963858982067,0.2651938024638301,1035.968691207717,0.0012192938645807
M2,Ntn1,Unc5c,M2,1.0,36.50076511016334,0.0289504753318462,0.6666666666666666,5.761168737806294,0.0357189989537004,210.2870668586837,0.0010340819980873
M2,Calca,Calcr,M2,0.3333333333333333,1.9050651696886598,0.1729965722589255,0.3333333333333333,3.1751086161477633,0.0057812652060533,6.048788834601464,0.001000139063967
M2,Tff3,Ackr3,M2,1.0,19.73941328277376,0.4652622412728886,0.6666666666666666,3.1219498202457863,0.0021328334234561,61.62545774991284,0.0009923268588589
M2,Pomc,Mc4r,M2,0.3333333333333333,0.7095121953405,0.0142023847590768,0.3333333333333333,1.0642682930107499,0.06814796338111,0.7551113330053437,0.000967863596486
M2,Fgf21,Fgfr4,M2,0.3333333333333333,0.7095121953405,0.2170710586910435,1.0,11.890263071323869,0.0043517328361501,8.436286654911074,0.0009446352538836
M2,Ngf,Sort1,M2,0.3333333333333333,0.3175108616147767,0.0030083915731959,1.0,450.9963858982067,0.2651938024638301,143.19625107168991,0.0007978068005959
M2,Wnt3a,Fzd6,M2,0.3333333333333333,0.3175108616147767,0.3246825883198284,0.6666666666666666,3.604355185928963,0.0023075505622802,1.1444219206499942,0.00074922148924
M2,Fgf10,Fgfr1,M2,0.3333333333333333,2.1285365860214998,0.0481854717628377,1.0,107.38466473573351,0.0128472924263542,228.57218766766158,0.000619052846439
M2,Reln,Lrp8,M2,0.3333333333333333,1.402219479315503,0.0021318746116951,1.0,55.47774767920944,0.2902520023809756,77.79197846433794,0.0006187808748696
M2,Slitrk6,Ptprs,M2,0.3333333333333333,0.9525325848443299,0.0050647277265634,1.0,877.8740141897594,0.1206221394858261,836.2036039038396,0.0006109182942912
M2,Rspo3,Lgr5,M2,0.6666666666666666,2.054046113910553,0.0174401908426512,1.0,12.242275107188599,0.0297128282986617,25.14619760934464,0.0005181973960035
M2,Ngf,Ntrk1,M2,0.3333333333333333,0.3175108616147767,0.0030083915731959,0.3333333333333333,1.587554308073883,0.1685244002378284,0.5040657362167893,0.0005069873855533
M2,Reln,Itgb1,M2,0.3333333333333333,1.402219479315503,0.0021318746116951,1.0,5210.54164842161,0.1805844831606907,7306.322997201495,0.0003849834749163
M2,Efna1,Epha5,M2,1.0,5.996352486144267,0.0077346530883761,1.0,2.04984488606918,0.0484920560057494,12.291592478791038,0.0003750692307465
M2,Rspo3,Lgr4,M2,0.6666666666666666,2.054046113910553,0.0174401908426512,1.0,30.7437976001984,0.0209568041202293,63.14917798754013,0.0003654906633088
M2,Rspo2,Lgr5,M2,0.6666666666666666,0.6722669592850267,0.009869115110999,1.0,12.242275107188599,0.0297128282986617,8.230077061040452,0.0002932393227528
M2,Nrtn,Ret,M2,0.6666666666666666,0.9855765930584302,0.1098249623820522,1.0,2.746753397885557,0.0022126659136343,2.707135855859713,0.0002430059507289
M2,Rspo2,Lgr4,M2,0.6666666666666666,0.6722669592850267,0.009869115110999,1.0,30.7437976001984,0.0209568041202293,20.66803932955968,0.0002068251122212
M2,Robo2,Robo2,M2,0.3333333333333333,2.1285365860214998,0.0127367139932388,0.3333333333333333,2.1285365860214998,0.0127367139932388,4.530667998032062,0.0001622238833455
M2,Wnt5b,Fzd2,M2,0.3333333333333333,0.3505548698288767,0.0154410480549246,0.6666666666666666,6.351999935333509,0.0081360012116135,2.226724510483872,0.0001256283856834
M2,Inha,Tgfbr3,M2,0.6666666666666666,2.10753044681463,0.0899202729320433,1.0,11.79145658368367,0.001296662989218,24.85085376240615,0.0001165962898913
M2,Adm,Calcr,M2,1.0,10.26909894051898,0.0192160495195291,0.3333333333333333,3.1751086161477633,0.0057812652060533,32.60550452611568,0.00011109307848500001
M2,Tnfsf11,Tnfrsf11b,M2,0.6666666666666666,2.054046113910553,0.0443821791337016,0.3333333333333333,0.35475609767025,0.002491166719316,0.7286853838056498,0.0001105634075886
M2,Rspo3,Fzd8,M2,0.6666666666666666,2.054046113910553,0.0174401908426512,0.6666666666666666,5.642487739993012,0.0040287010546415,11.589930015120581,7.026131524093829e-05
M2,Wnt5b,Fzd8,M2,0.3333333333333333,0.3505548698288767,0.0154410480549246,0.6666666666666666,5.642487739993012,0.0040287010546415,1.978001555204282,6.220736658364496e-05
M2,Reln,Vldlr,M2,0.3333333333333333,1.402219479315503,0.0021318746116951,1.0,25.65796542048473,0.0279874227845701,35.97809891220729,5.966567608120413e-05
M2,Reln,Itga3,M2,0.3333333333333333,1.402219479315503,0.0021318746116951,1.0,20.94813575516297,0.0187289207071751,29.373884011235088,3.992771056007867e-05
M2,Slit3,Robo2,M2,1.0,9.030882613752887,0.0025035513623259,0.3333333333333333,2.1285365860214998,0.0127367139932388,19.22256404743849,3.18870176693285e-05
M2,Bdnf,Ngfr,M2,0.6666666666666666,2.2970665034143845,0.0045977464527931,0.6666666666666666,2.037241202545057,0.0062252818395433,4.6796785257418865,2.862226749539778e-05
M2,Ngf,Ngfr,M2,0.3333333333333333,0.3175108616147767,0.0030083915731959,0.6666666666666666,2.037241202545057,0.0062252818395433,0.6468462095372046,1.872808542685173e-05
M2,Ncam1,Robo3,M2,1.0,8.673707991279239,0.0022462598244807,0.6666666666666666,2.821243869996504,0.0072944609810111,24.470645500536236,1.638525464288788e-05
M2,Bmp6,Bmpr1b,M2,0.6666666666666666,0.6722669592850267,0.0005936927849746,1.0,5.72869054410909,0.0195284825129219,3.851209372773102,1.1593919169424741e-05
M2,Bdnf,Ntrk2,M2,0.6666666666666666,2.2970665034143845,0.0045977464527931,0.6666666666666666,1.414823162839627,0.0009221299625378,3.2499428956137,4.239719764272692e-06
M2,Cxcl12,Ackr3,M2,1.0,23.08547034111784,0.0018159790569839,0.6666666666666666,3.1219498202457863,0.0021328334234561,72.07167998174226,3.873180829031582e-06
M2,Lrfn3,Lrfn3,M2,0.3333333333333333,0.3175108616147767,0.0017879182530755,0.3333333333333333,0.3175108616147767,0.0017879182530755,0.1008131472433579,3.196651679680849e-06
