Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Alb,Lrp2,sCs,0.3333333333333333,1.026501654544797,1.0,0.3333333333333333,0.33536725082685,0.3456008464574299,0.3442550378539013,0.3456008464574299
sCs,Nxph2,Nrxn1,sCs,0.6666666666666666,2.68973797396956,1.0,1.0,13.016198823848901,0.2662067157017079,35.01016425324432,0.2662067157017079
sCs,Apob,Lrp2,sCs,0.3333333333333333,1.026501654544797,0.6068358768745948,0.3333333333333333,0.33536725082685,0.3456008464574299,0.3442550378539013,0.2097229927085967
sCs,Cga,Lhcgr,sCs,0.3333333333333333,0.6707345016537033,0.2271007728309345,1.0,26.84580759065166,0.670789002569858,18.00640937580695,0.1523367008901065
sCs,Apob,Ldlr,sCs,0.3333333333333333,1.026501654544797,0.6068358768745948,1.0,326.573913076045,0.2318127943017809,335.2286621037288,0.1406723203008713
sCs,Cntn4,Ptprg,sCs,0.3333333333333333,1.6768362541342567,0.3933342765097773,1.0,2310.73686691047,0.3101904139002163,3874.727352200081,0.1220085220317099
sCs,Il25,Il17rb,sCs,0.3333333333333333,1.710836090907993,0.3395764907280501,1.0,146.5082930044883,0.3456970412362789,250.6516752894017,0.1173905881180856
sCs,Shh,Gpc5,sCs,0.6666666666666666,3.380872377687503,0.3222307035399742,0.3333333333333333,0.34216721818159995,0.256831601785307,1.1568236965003451,0.0827590277345779
sCs,Nxph1,Nrxn2,sCs,0.3333333333333333,0.3097719742659933,0.1924162077374728,1.0,43.7136029233545,0.4239137424239228,13.541249079847221,0.081567874725011
sCs,Fgf9,Fgfr4,sCs,0.3333333333333333,2.053003309089593,0.0802441156420164,1.0,2684.3855928605603,0.982461772230493,5511.05250501516,0.078836776064724
sCs,Nts,Ntsr1,sCs,1.0,9.551297116627092,0.3712729614453093,0.3333333333333333,0.3097719742659933,0.1591360415387724,2.9587241646186637,0.0590829094147837
sCs,Nxph1,Nrxn1,sCs,0.3333333333333333,0.3097719742659933,0.1924162077374728,1.0,13.016198823848901,0.2662067157017079,4.032053607102375,0.0512224867095701
sCs,Fgf9,Fgfr1,sCs,0.3333333333333333,2.053003309089593,0.0802441156420164,1.0,4213.502507323747,0.5040952447351797,8650.334590392951,0.0404506771131203
sCs,Ifng,Ifngr2,sCs,0.3333333333333333,1.006101752480553,0.3116141714523796,1.0,459.37780804331595,0.1287551930781755,462.1808177230553,0.0401219428112468
sCs,Cd59b,Cd2,sCs,1.0,39.62484895809811,0.3525260502408483,0.3333333333333333,1.85863184559596,0.0978295747309206,73.64800615045105,0.0344874735766333
sCs,a,Mc2r,sCs,1.0,5.338294547888424,0.3745343027154591,0.3333333333333333,0.3097719742659933,0.0680874981424956,1.653654041312785,0.0255011036404397
sCs,Ifng,Ifngr1,sCs,0.3333333333333333,1.006101752480553,0.3116141714523796,1.0,524.384521115264,0.0802810816667926,527.5841856677429,0.0250167227468984
sCs,Tnfsf4,Tnfrsf4,sCs,0.3333333333333333,0.6195439485319867,0.0940300261457318,1.0,16.44723769198056,0.2658882099044227,10.18978658213376,0.0250014753291547
sCs,Apob,Lsr,sCs,0.3333333333333333,1.026501654544797,0.6068358768745948,1.0,3.677044417244003,0.0362799778032497,3.774492178135677,0.0220159921432258
sCs,Tnfsf15,Tnfrsf25,sCs,0.6666666666666666,7.466479093802429,0.0429995742851472,1.0,228.6341556030263,0.4871666988684368,1707.092142939168,0.0209479606572433
sCs,Epo,Epor,sCs,0.3333333333333333,0.3097719742659933,0.0663544680112001,1.0,20.867631128741802,0.2794871371214739,6.464207293004848,0.0185452202996687
sCs,Fgf9,Fgfr3,sCs,0.3333333333333333,2.053003309089593,0.0802441156420164,1.0,81.35884255466546,0.2136680014897267,167.0299729884274,0.0171455998205401
sCs,Adam28,Itga4,sCs,0.3333333333333333,0.3097719742659933,0.4897299337606562,1.0,343.441721533282,0.0342717240384504,106.38862012467631,0.0167838891432138
sCs,Epo,Crlf3,sCs,0.3333333333333333,0.3097719742659933,0.0663544680112001,1.0,278.9732462118884,0.1796494300023881,86.4180932464497,0.0119205423563238
sCs,Fgf9,Fgfr2,sCs,0.3333333333333333,2.053003309089593,0.0802441156420164,1.0,24.127907621160325,0.1253513356336285,49.534674187650175,0.0100587070724661
sCs,Epo,Ephb4,sCs,0.3333333333333333,0.3097719742659933,0.0663544680112001,1.0,459.77913996686897,0.1280484322740349,142.4266919138575,0.0084965856032117
sCs,Xcl1,Xcr1,sCs,0.3333333333333333,0.6843344363631966,0.1620304433483034,0.6666666666666666,3.439886960841533,0.0491812057280185,2.3540331045006,0.0079688525685149
sCs,Pomc,Mc2r,sCs,0.6666666666666666,3.25969596223796,0.0652496976899673,0.3333333333333333,0.3097719742659933,0.0680874981424956,1.00976245372934,0.004442688670264
sCs,F8,Asgr2,sCs,1.0,77.97117020962322,0.1067088146752102,0.3333333333333333,0.6707345016537033,0.0261477951357905,52.29795399390771,0.0027902002253104
sCs,Mmp12,Plaur,sCs,0.6666666666666666,1.574455147890824,0.0011542881419344,1.0,168.21363129470032,0.1247288226605386,264.84481773734984,0.0001439730009545
sCs,Ccl3,Ackr2,sCs,0.3333333333333333,1.341469003307407,0.0006208265133863,1.0,1.6068503918064299,0.113510002798381,2.1555399935606867,7.047001927179528e-05
sCs,Ccl5,Ccr1,sCs,1.0,5.038913322615651,0.0270334489439954,0.6666666666666666,0.6519391924475934,0.0017970495911734,3.2850650823594667,4.85804483728156e-05
sCs,Ly86,Cd180,sCs,0.3333333333333333,0.6843344363631966,0.0002216362652633,1.0,20.2146678736166,0.0073299508208265,13.833593345560631,1.624582924492289e-06
sCs,Ccl3,Ccr5,sCs,0.3333333333333333,1.341469003307407,0.0006208265133863,1.0,8.396819079277991,0.0016708340430605,11.264072521231661,1.037298073400544e-06
