Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pomc,Oprd1,sCs,1.0,38.77874637261178,0.8143809557617188,1.0,3.7452779651284396,0.6676060034783047,145.23718430464731,0.5436856151849231
ECs,Gnai2,Oprd1,sCs,1.0,4535.234360237937,0.4051865637931048,1.0,3.7452779651284396,0.6676060034783047,16985.71331609252,0.2705049825170218
ECs,Nodal,Tdgf1,sCs,1.0,43.34008058770564,0.4031902774807021,0.3333333333333333,0.2834592803821557,0.4415789331115985,12.28514805509567,0.1780403325708978
ECs,Il1rapl1,Ptprf,sCs,0.6666666666666666,3.8530877508823935,0.3079503738869191,1.0,397.0090080369089,0.5676355257219123,1529.710545856984,0.1748035723775608
ECs,Nrtn,Gfra2,sCs,0.6666666666666666,2.321656410588373,0.3027843822268678,1.0,141.165385272006,0.4873963126055692,327.7375216699302,0.1475759914119306
ECs,Nmb,Grpr,sCs,1.0,18.6946199924687,0.1706756219092832,0.6666666666666666,1.857725542301403,0.8362901025970848,34.72947306362757,0.1427343333573357
ECs,Nmu,Nmur1,sCs,0.3333333333333333,2.005329201285603,0.5279260298025075,0.6666666666666666,3.5539111454499532,0.2557467535525077,7.126761798745159,0.1350153682378557
ECs,Nmb,Nmbr,sCs,1.0,18.6946199924687,0.1706756219092832,1.0,2.486909683243749,0.7892627071041867,46.4918314838326,0.1347079033848115
ECs,Il1rapl1,Ptprs,sCs,0.6666666666666666,3.8530877508823935,0.3079503738869191,1.0,2279.533747860813,0.3610421867885054,8783.243561605534,0.1111830764104711
ECs,Nrtn,Gfra1,sCs,0.6666666666666666,2.321656410588373,0.3027843822268678,1.0,389.6401684517237,0.3305862085520769,904.610594908678,0.1000963409291631
ECs,Grp,Grpr,sCs,0.3333333333333333,0.3636633471907333,0.0898997958545051,0.6666666666666666,1.857725542301403,0.8362901025970848,0.6755866888750486,0.07518230949862101
ECs,Gnrh1,Gnrhr,sCs,1.0,36.95887016092593,0.2659826288181516,0.6666666666666666,1.196102701706657,0.2696445300999147,44.206604451509044,0.0717207609624105
