Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt3a,Fzd6,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,1043.70022783814,0.8983048677520131,1687.8754151754902,0.4441728467336513
FAPs,Ostn,Npr3,ECs,0.3333333333333333,3.300118886122737,1.0,1.0,20.55802424113459,0.3031586925499541,67.84392405953729,0.3031586925499541
FAPs,Gm13306,Ccr10,ECs,0.6666666666666666,2.70348763286116,0.7410050753919052,1.0,30.4101845298354,0.3805272118349599,82.21355778943577,0.2819725952944359
FAPs,Ifna11,Ifnar2,ECs,0.6666666666666666,3.59212049388024,0.912204561265886,1.0,582.2288716271256,0.2427263033660264,2091.4362619005647,0.2214160410696965
FAPs,Ifna11,Ifnar1,ECs,0.6666666666666666,3.59212049388024,0.912204561265886,1.0,1149.481242593073,0.2241416293989488,4129.075128849502,0.2044630167072889
FAPs,Rspo2,Lgr6,ECs,1.0,56.423104036379634,0.9939099525694316,0.6666666666666666,6.280963926644992,0.1882815323573144,354.39148108183787,0.1871348888949582
FAPs,Rspo3,Lgr6,ECs,1.0,124.11413184623407,0.9661204565379228,0.6666666666666666,6.280963926644992,0.1882815323573144,779.5563849130566,0.1819026399987082
FAPs,Rln3,Rxfp2,ECs,0.6666666666666666,12.39005202988253,0.7199829129886928,0.3333333333333333,1.59432971620691,0.2293134631302789,19.75382813659147,0.1651017751720634
FAPs,Kng1,Bdkrb2,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,85.03354104011373,0.5412802991263483,28.9604946053776,0.1470992167125689
FAPs,Rspo4,Lgr6,ECs,0.3333333333333333,1.293762611259867,0.7738912634171634,0.6666666666666666,6.280963926644992,0.1882815323573144,8.12607629096525,0.1457094329541216
FAPs,Wnt3a,Fzd5,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,501.9972910338849,0.294096755743412,811.8316576167244,0.1454181068177674
FAPs,Hsp90aa1,Cftr,ECs,1.0,3578.3338884162126,0.2075465795218548,0.3333333333333333,0.7273266943814632,0.6778115096445775,2602.617758454932,0.1406774603872767
FAPs,Rspo1,Lgr6,ECs,0.6666666666666666,4.03551774189982,0.6577199250127951,0.6666666666666666,6.280963926644992,0.1882815323573144,25.346941362208614,0.12383651534334697
FAPs,Nmb,Grpr,ECs,1.0,68.1139620911778,0.6218576705651419,0.3333333333333333,0.3636633471907333,0.1637098974029151,24.77055144450044,0.1018042554474352
FAPs,Wnt3a,Fzd8,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,283.4715251301397,0.1914871382129203,458.431075712734,0.09468209551814746
FAPs,Grp,Grpr,ECs,0.3333333333333333,2.26408456970477,0.5596955046092157,0.3333333333333333,0.3636633471907333,0.1637098974029151,0.8233645729417276,0.09162769363644753
FAPs,Ntn1,Dcc,ECs,1.0,696.655214547231,0.5193903324647177,0.3333333333333333,1.4546533887629265,0.17578265771693602,1013.391868640493,0.09129981303313106
FAPs,Bmp15,Bmpr2,ECs,0.6666666666666666,4.342981655262034,0.2804480392556279,1.0,7475.046533485616,0.3090643963784358,32463.989967158086,0.0866765039680565
FAPs,Wnt3a,Ryk,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,351.2725925816889,0.1648791454420589,568.0791833031376,0.08152559562688275
FAPs,Kng1,Gp1ba,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,161.90858795594932,0.2970134216486528,55.14239123419085,0.08071685178299524
FAPs,Kng1,Rxfp4,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,135.22483835363832,0.2520204128125498,46.05451159332742,0.06848947833523647
FAPs,Bmp15,Acvr2a,ECs,0.6666666666666666,4.342981655262034,0.2804480392556279,1.0,1302.810703260123,0.2248127557752683,5658.082984537744,0.06304829655682832
FAPs,Wnt3a,Lrp6,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,1466.71213837631,0.1225758930957545,2371.971657640353,0.0606084697208733
FAPs,Rln1,Rxfp2,ECs,1.0,36.9497323545242,0.2593186793272933,0.3333333333333333,1.59432971620691,0.2293134631302789,58.91005629870985,0.05946526441091188
FAPs,Ntn4,Dcc,ECs,1.0,739.7944404995627,0.3344942338808995,0.3333333333333333,1.4546533887629265,0.17578265771693602,1076.144489860662,0.0587982854225749
FAPs,Kng1,Plaur,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,270.3188716938616,0.1869616489273897,92.06447396714657,0.050809002575742536
FAPs,Wnt3a,Apcdd1,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,15.141027845894847,0.08489248660055905,24.48611965382915,0.04197565747810027
FAPs,Tnfsf13b,Tnfrsf17,ECs,1.0,148.5100021716233,0.5622980655442502,0.3333333333333333,0.7273266943814632,0.06289141327529756,108.0152889620707,0.0353637200240438
FAPs,Kng1,Bdkrb1,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,13.719831019401667,0.1271450460612203,4.672663132264905,0.03455314504273742
FAPs,Ccl11,Ackr2,ECs,1.0,1444.9307159210098,0.9129959265541222,0.3333333333333333,0.6684430670952,0.03241922312623879,965.853919490303,0.02959861865630521
FAPs,Il18,Il1rapl1,ECs,1.0,43.61593970166675,0.09220424953404044,0.6666666666666666,3.853087750882393,0.3079503738869191,168.0560430077172,0.028394333117970537
FAPs,Gm13306,Ackr2,ECs,0.6666666666666666,2.70348763286116,0.7410050753919052,0.3333333333333333,0.6684430670952,0.03241922312623879,1.807127565163656,0.02402280887680557
FAPs,Wnt3a,Fzd7,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,68.76981845907106,0.04726143974441967,111.2147748818437,0.02336873480886553
FAPs,Inhba,Acvr1c,ECs,1.0,149.5992848223943,0.4905799486120372,0.3333333333333333,0.3342215335476,0.04644414828030899,49.99930239096484,0.022784567876683814
FAPs,Bmp15,Bmpr1a,ECs,0.6666666666666666,4.342981655262034,0.2804480392556279,1.0,444.7113799102306,0.08032197221744089,1931.373364836397,0.02252613961752632
FAPs,Artn,Gfra3,ECs,1.0,36.66314206555894,0.5424665682417821,0.6666666666666666,1.001395233673497,0.04127862618099472,36.714295715945,0.022392274686139583
FAPs,Wnt3a,Fzd1,ECs,0.3333333333333333,1.617203264074837,0.4944566846723022,1.0,60.524681556270195,0.04421769949313537,97.88071256989019,0.02186373709521185
FAPs,Guca2b,Gucy2e,ECs,1.0,6.597917938235376,0.4154856786801859,0.3333333333333333,0.3342215335476,0.05060712945098776,2.205166251538246,0.021026537525999683
FAPs,Pglyrp1,Trem1,ECs,1.0,37.49379372140734,0.306183233346092,0.6666666666666666,0.6530874767889823,0.06783285055616882,24.486727136760503,0.02076928151037003
FAPs,Kng1,Gpr135,ECs,0.3333333333333333,0.34057730927277,0.2717616306190969,1.0,14.89288312810092,0.06723167571571352,5.07217806308245,0.01827098982175664
FAPs,Cirbp,Trem1,ECs,1.0,237.83143728397167,0.2248200810360058,0.6666666666666666,0.6530874767889823,0.06783285055616882,155.3247332768861,0.01525018695894115
