Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Prok2,Prokr1,FAPs,0.3333333333333333,0.3780001704353033,0.5518696333270866,1.0,427.46399523767036,0.901183364693354,161.58146305479508,0.4973357330337914
MuSCs,Kng1,Gpr135,FAPs,0.6666666666666666,0.9126434213245,0.7282383693809029,1.0,133.661787018081,0.6033959874046421,121.9855506045281,0.4394161099585364
MuSCs,Prok2,Prokr2,FAPs,0.3333333333333333,0.3780001704353033,0.5518696333270866,1.0,58.71457322829936,0.6818022142273861,22.19411868733326,0.3762659379672633
MuSCs,Shh,Lrp2,FAPs,1.0,3.777553275003553,0.729893181190725,0.3333333333333333,1.021731927818307,0.342108479720218,3.8596467901057383,0.2497026465753125
MuSCs,Hcrt,Hcrtr2,FAPs,1.0,5.695259357910796,0.227811301776661,0.6666666666666666,1.69232112570335,1.0,9.63820772775214,0.227811301776661
MuSCs,Il5,Il5ra,FAPs,1.0,5.478635736851058,0.4171926092793698,0.6666666666666666,3.0480591269971167,0.5295447520227452,16.69920566120144,0.2209221568265659
MuSCs,Kng1,Gp1ba,FAPs,0.6666666666666666,0.9126434213245,0.7282383693809029,1.0,164.91222504422169,0.30252344764691097,150.50605728259433,0.2203091822138755
MuSCs,Zp3,Egfr,FAPs,0.6666666666666666,2.61372588317201,0.2771927521791627,1.0,8960.757406634058,0.6595962942022596,23420.963566544746,0.1828353121171011
MuSCs,Tg,Lrp2,FAPs,1.0,92.90985557767857,0.5048634830175358,0.3333333333333333,1.021731927818307,0.342108479720218,94.928965852702,0.1727180786413833
MuSCs,Kng1,Bdkrb2,FAPs,0.6666666666666666,0.9126434213245,0.7282383693809029,1.0,36.87161621091067,0.2347059667019948,33.650637968489406,0.1709218904750292
MuSCs,Kng1,Bdkrb1,FAPs,0.6666666666666666,0.9126434213245,0.7282383693809029,1.0,21.502954379943233,0.19927316314785296,19.624529853896032,0.1451183633921671
MuSCs,Tdgf1,Acvr1b,FAPs,0.3333333333333333,0.2834592803821557,0.4415789331115985,1.0,357.289520955501,0.3150879403900365,101.27703049813152,0.1391361965537633
MuSCs,Tdgf1,Acvr2a,FAPs,0.3333333333333333,0.2834592803821557,0.4415789331115985,1.0,1578.8834911341974,0.2724518211292927,447.5491782041651,0.1203089844985852
MuSCs,Serpine1,Lrp2,FAPs,1.0,1138.352962999347,0.3458125514216819,0.3333333333333333,1.021731927818307,0.342108479720218,1163.091567423004,0.1183054062350413
MuSCs,Wnt7a,Fzd1,FAPs,0.3333333333333333,0.6914497211203801,0.1462543986756029,1.0,1051.6537619901198,0.7683098666991164,727.1657004432667,0.1123686975506119
MuSCs,Rspo4,Lgr4,FAPs,0.3333333333333333,0.3780001704353033,0.2261087365828366,1.0,673.5178363725416,0.4482759463197534,254.5898569400375,0.1013591078628349
