Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Fgf15,Fgfr2,FAPs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,137.9831339715243,0.7118504397822217,472.9934810512008,0.5425758560156382
Resolving-Mac,Mepe,Phex,FAPs,0.3333333333333333,0.3048029727342903,1.0,1.0,56.97099557399914,0.5369205539253125,17.36492881058703,0.5369205539253125
Resolving-Mac,Il12b,Il23r,FAPs,1.0,79.38996291663547,0.9055180308709092,0.6666666666666666,0.9834644300395136,0.4202262096887851,78.07720463066701,0.3805224099177345
Resolving-Mac,Fgf15,Fgfr1,FAPs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,3666.352934435647,0.4478467584816412,12567.92034872089,0.3413509703264973
Resolving-Mac,Fgf15,Klb,FAPs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,102.0893360464043,0.4392134665959178,349.95284601058387,0.3347706333998779
Resolving-Mac,Apoe,Lrp2,FAPs,1.0,110985.1951453579,0.9780706851727532,0.3333333333333333,1.021731927818307,0.342108479720218,113397.1173951575,0.3346062751633626
Resolving-Mac,Tdgf1,Acvr1b,FAPs,0.3333333333333333,0.3584628294086167,0.5584210668884014,1.0,357.289520955501,0.3150879403900365,128.07501259975808,0.1759517438362732
Resolving-Mac,Tdgf1,Acvr2a,FAPs,0.3333333333333333,0.3584628294086167,0.5584210668884014,1.0,1578.8834911341974,0.2724518211292927,565.9710435385186,0.1521428366307075
Resolving-Mac,Plau,Lrp2,FAPs,1.0,2931.116722344706,0.4249041368460056,0.3333333333333333,1.021731927818307,0.342108479720218,2994.815539381734,0.1453633082832184
Resolving-Mac,Lpl,Lrp2,FAPs,1.0,6862.478228020816,0.3851736708543997,0.3333333333333333,1.021731927818307,0.342108479720218,7011.6131095268665,0.1317711789642543
Resolving-Mac,Lrpap1,Lrp2,FAPs,1.0,684.9190828525665,0.3740297385825004,0.3333333333333333,1.021731927818307,0.342108479720218,699.8036949224993,0.1279587452366098
Resolving-Mac,Tg,Lrp2,FAPs,1.0,66.41652694057456,0.3609012080867157,0.3333333333333333,1.021731927818307,0.342108479720218,67.85988610998974,0.1234673636277364
Resolving-Mac,Pdcd1lg2,Pdcd1,FAPs,1.0,31.81733940778636,0.7430380212818624,0.3333333333333333,1.021731927818307,0.1559435561839794,32.50879153116694,0.115871991418601
Resolving-Mac,Hcrt,Hcrtr2,FAPs,0.6666666666666666,2.8161843172993146,0.1126478313012804,0.6666666666666666,1.69232112570335,1.0,4.765888214040098,0.1126478313012804
Resolving-Mac,Fgf15,Fgfr3,FAPs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,42.131578287467065,0.1178075436303538,144.4231718963767,0.08979348084675469
Resolving-Mac,Epcam,Epcam,FAPs,1.0,3.168198672919746,0.6417590558558421,0.3333333333333333,0.6811546185455367,0.13797655703415,2.158033158529125,0.08854770497247587
Resolving-Mac,Fgf23,Fgfr2,FAPs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,137.9831339715243,0.7118504397822217,211.7658282185498,0.07712949328217608
Resolving-Mac,Nppa,Npr3,FAPs,0.6666666666666666,2.09711711977738,0.1181138830352848,1.0,39.165301460693,0.5775507142554677,82.13422419446134,0.06821675751051551
Resolving-Mac,Cd274,Pdcd1,FAPs,1.0,879.6435161150259,0.4176840899610948,0.3333333333333333,1.021731927818307,0.1559435561839794,898.7598655130794,0.0651351423500023
Resolving-Mac,Guca2a,Gucy2c,FAPs,1.0,5.829828036310171,0.1396598530706949,1.0,9.019969383999538,0.4587907884515448,52.58487040149989,0.06407465410533099
