Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Fgf15,Fgfr4,MuSCs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,3218.151832172383,0.9791525277055864,11031.528229853408,0.7463148032222406
Resolving-Mac,Pdyn,Oprd1,MuSCs,1.0,8.704028961401907,0.8949458104660204,1.0,3.74527796512844,0.6676060034783046,32.59900787697834,0.5974711958548721
Resolving-Mac,Gdf3,Tdgf1,MuSCs,1.0,318.6923656258723,0.987828664865596,0.3333333333333333,0.2834592803821557,0.4415789331115985,90.3363086235966,0.4362043279284047
Resolving-Mac,Cga,Lhcgr,MuSCs,1.0,1.581957797755173,0.6156875895872214,1.0,37.871705120551724,0.7047083853701823,59.911439229741326,0.4338802071504703
Resolving-Mac,Mepe,Phex,MuSCs,0.3333333333333333,0.3048029727342903,1.0,1.0,40.1840181863186,0.3787124498380693,12.24820819959869,0.3787124498380693
Resolving-Mac,Fgf15,Fgfr1,MuSCs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,4006.50707457589,0.4893967488317565,13733.93742782358,0.3730205743918572
Resolving-Mac,Tdgf1,Acvr2a,MuSCs,0.3333333333333333,0.3584628294086167,0.5584210668884014,1.0,2359.42735445647,0.407142314903904,845.7670052625532,0.2273568458640516
Resolving-Mac,Fgf15,Klb,MuSCs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,69.19838457746515,0.2977084928761903,237.2056921911164,0.2269148564617613
Resolving-Mac,Ucn,Crhr2,MuSCs,0.6666666666666666,1.830959375110442,0.3340946438284546,1.0,55.73563834807735,0.6547939185076838,102.0496895611772,0.2187631409848627
Resolving-Mac,Gnai2,Oprd1,MuSCs,1.0,3613.858747219537,0.322869093746837,1.0,3.74527796512844,0.6676060034783046,13534.905535048001,0.2155493453229879
Resolving-Mac,Tdgf1,Acvr1b,MuSCs,0.3333333333333333,0.3584628294086167,0.5584210668884014,1.0,282.2365540162036,0.2488999237087132,101.1713137151862,0.1389909609458614
Resolving-Mac,Fgf15,Fgfr3,MuSCs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,58.953781740142325,0.1648454792540295,202.0881367439968,0.1256460234033516
Resolving-Mac,Fgf23,Fgfr4,MuSCs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,3218.151832172383,0.9791525277055864,4938.970209313182,0.1060918615587261
Resolving-Mac,Hsp90aa1,Cftr,MuSCs,1.0,4782.34349207129,0.2773802179531407,0.3333333333333333,0.34572486056019003,0.3221884903554225,1653.375036947279,0.08936871367678045
Resolving-Mac,B2m,Gm11127,MuSCs,1.0,50233.60586459463,0.5775836329324572,0.3333333333333333,0.8503778411464666,0.1453271296353431,42717.54530813647,0.08393857149842764
Resolving-Mac,Gdf15,Gfral,MuSCs,1.0,1601.400062765677,0.964135194129319,0.3333333333333333,0.34572486056019003,0.08637943508683861,553.643813400743,0.08328145341623006
Resolving-Mac,H2-M3,Klrd1,MuSCs,1.0,385.49779023352926,0.7032024109276391,0.6666666666666666,3.491645565271916,0.1171235067344024,1346.021649691026,0.08236153231193136
Resolving-Mac,Fgf15,Fgfr2,MuSCs,0.6666666666666666,3.4279079437985,0.7622048476666388,1.0,20.90131804888663,0.1078292108381779,71.64779417563743,0.08218794722092722
Resolving-Mac,Fgf23,Kl,MuSCs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,27.81859046899446,0.7348115294597166,42.69381830213397,0.07961734341622051
Resolving-Mac,Adm2,Calcr,MuSCs,0.3333333333333333,0.6138890228779766,0.07322372530679548,1.0,369.2622294283328,0.9768664581191396,226.6860292095024,0.07152980119073811
Resolving-Mac,H2-T23,Klrd1,MuSCs,1.0,1275.5279671838198,0.5810587976723812,0.6666666666666666,3.491645565271916,0.1171235067344024,4453.691569997688,0.06805564400226491
Resolving-Mac,Lrrc4b,Ptprf,MuSCs,1.0,2.5027913320721367,0.0948719587445836,1.0,397.0090080369091,0.5676355257219124,993.6307040693332,0.0538526941782493
Resolving-Mac,Fgf23,Fgfr1,MuSCs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,4006.50707457589,0.4893967488317565,6148.876782912728,0.05302648020121445
Resolving-Mac,Nmb,Grpr,MuSCs,1.0,6.291327501658047,0.05743771386704009,0.6666666666666666,1.857725542301403,0.8362901025970848,11.68755979481342,0.04803459162280895
Resolving-Mac,Ghrh,Vipr1,MuSCs,0.3333333333333333,2.7432267546086133,0.1874819736076784,1.0,75.3523509750342,0.2502668706679661,206.70858521737236,0.04692052684144789
Resolving-Mac,Gnrh1,Gnrhr,MuSCs,1.0,23.660692481046308,0.1702793715923729,0.6666666666666666,1.196102701706657,0.2696445300999147,28.300618200829874,0.04591490113873417
Resolving-Mac,Nmb,Nmbr,MuSCs,1.0,6.291327501658047,0.05743771386704009,1.0,2.486909683243749,0.7892627071041867,15.6459632843311,0.045333445536575735
Resolving-Mac,Pdyn,Oprm1,MuSCs,1.0,8.704028961401907,0.8949458104660204,0.6666666666666666,1.415174752115873,0.0466121902072343,12.31772202786133,0.0417153843426096
Resolving-Mac,Lrrc4b,Ptprs,MuSCs,1.0,2.5027913320721367,0.0948719587445836,1.0,2279.533747860813,0.3610421867885054,5705.1973053119555,0.03425277945005333
Resolving-Mac,Sostdc1,Lrp4,MuSCs,0.3333333333333333,0.9208335343169636,0.1090308590093405,1.0,313.64377695256303,0.30511790686912393,288.8137076477499,0.03326726748507255
Resolving-Mac,Nodal,Tdgf1,MuSCs,1.0,7.91407206618528,0.0736241573411536,0.3333333333333333,0.2834592803821557,0.4415789331115985,2.243317172773399,0.03251087684994707
Resolving-Mac,Nppa,Npr2,MuSCs,0.6666666666666666,2.09711711977738,0.1181138830352848,1.0,476.822323554529,0.2666632667690588,999.9522578182319,0.03149663390096757
Resolving-Mac,Cort,Ghsr,MuSCs,0.3333333333333333,1.828817836405743,0.0925836195001544,1.0,60.96309011442133,0.3108209676248981,111.4903865636644,0.02877693019925338
Resolving-Mac,Sostdc1,Lrp5,MuSCs,0.3333333333333333,0.9208335343169636,0.1090308590093405,1.0,1102.507824336933,0.2599432469813799,1015.226176496284,0.028341835512057014
Resolving-Mac,Fgf5,Fgfr4,MuSCs,0.3333333333333333,0.3048029727342903,0.02808989750881833,1.0,3218.151832172383,0.9791525277055864,980.9022451564454,0.02750429414875032
Resolving-Mac,Proc,Procr,MuSCs,0.6666666666666666,2.455579949185997,0.09642351449505547,1.0,98.90342576453577,0.2779093167191615,242.8652692131998,0.02679699302898103
Resolving-Mac,Sostdc1,Lrp6,MuSCs,0.3333333333333333,0.9208335343169636,0.1090308590093405,1.0,2902.147140212273,0.2425378970413482,2672.394408229536,0.02644411525673718
Resolving-Mac,Gdf6,Bmpr1a,MuSCs,0.3333333333333333,2.5092398058603265,0.05303566839736108,1.0,2450.614923290533,0.4426201637203931,6149.180514355956,0.02347465622906044
Resolving-Mac,Prn,Rpsa,MuSCs,0.3333333333333333,0.7169256588172366,0.06435038938029139,1.0,3998.604440913517,0.3609226348256081,2866.702123151451,0.0232255120871886
Resolving-Mac,Gdf6,Bmpr1b,MuSCs,0.3333333333333333,2.5092398058603265,0.05303566839736108,1.0,66.765783650932,0.4062560955121704,167.53136200637718,0.02154606356599012
Resolving-Mac,Il18,Il18r1,MuSCs,1.0,333.207111577588,0.7044010027655722,0.6666666666666666,0.7237250309954932,0.02849045897901161,241.15032715440861,0.02006870787406718
Resolving-Mac,Fgf23,Fgfr3,MuSCs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,58.953781740142325,0.1648454792540295,90.47769866854358,0.017861123031139133
Resolving-Mac,Lep,Lepr,MuSCs,0.3333333333333333,0.3584628294086167,0.2492954143742724,1.0,49.42800707511596,0.0682607357561784,17.71810326817519,0.01701708840582921
Resolving-Mac,Cort,Sstr3,MuSCs,0.3333333333333333,1.828817836405743,0.0925836195001544,1.0,14.69732580057703,0.1736610337650527,26.878731571561605,0.0160781670721071
Resolving-Mac,Cort,Sstr2,MuSCs,0.3333333333333333,1.828817836405743,0.0925836195001544,1.0,9.972895534356237,0.1719095890153527,18.23860923384187,0.015916011977825342
Resolving-Mac,Ccl4,Ccr3,MuSCs,1.0,1329.623795914447,0.9953796478234552,0.3333333333333333,0.34572486056019003,0.01578445223092835,459.68400144003283,0.01571152250270761
Resolving-Mac,Ccl24,Ccr3,MuSCs,1.0,26.6592956130897,0.9880130521372044,0.3333333333333333,0.34572486056019003,0.01578445223092835,9.216781258468323,0.015595244824993418
Resolving-Mac,Ccl12,Ccr3,MuSCs,1.0,432.1317932377906,0.9842594012874076,0.3333333333333333,0.34572486056019003,0.01578445223092835,149.39870396076,0.015535995502463219
Resolving-Mac,Cirbp,Trem1,MuSCs,1.0,185.76305759000968,0.1756002744541155,0.3333333333333333,0.8503778411464666,0.08832439001644456,157.9687878781592,0.01550978712788001
Resolving-Mac,Gdf6,Bmpr2,MuSCs,0.3333333333333333,2.5092398058603265,0.05303566839736108,1.0,6889.3203453308215,0.2848468734541081,17286.9568458275,0.01510704432453715
Resolving-Mac,Gnai2,Oprm1,MuSCs,1.0,3613.858747219537,0.322869093746837,0.6666666666666666,1.415174752115873,0.0466121902072343,5114.241656778189,0.015049635609764932
Resolving-Mac,Slurp1,Chrna7,MuSCs,0.3333333333333333,0.3048029727342903,0.015088094848152519,1.0,424.78895582933364,0.9439564688657941,129.476936521476,0.01424250473477423
Resolving-Mac,Nppa,Npr3,MuSCs,0.6666666666666666,2.09711711977738,0.1181138830352848,1.0,8.089423021341739,0.1192905931945781,16.96446750717703,0.014089875171794141
Resolving-Mac,Pglyrp1,Trem1,MuSCs,1.0,19.5008182914631,0.1592483183147643,0.3333333333333333,0.8503778411464666,0.08832439001644456,16.58306375928392,0.01406551057629615
Resolving-Mac,Cd177,Pecam1,MuSCs,0.6666666666666666,4.03325466953178,1.0,1.0,244.500560234021,0.01382314244399304,986.1330262670012,0.01382314244399304
Resolving-Mac,Fgf5,Fgfr1,MuSCs,0.3333333333333333,0.3048029727342903,0.02808989750881833,1.0,4006.50707457589,0.4893967488317565,1221.195266611696,0.01374710451583295
Resolving-Mac,Pf4,Cxcr3,MuSCs,1.0,1084.735251437148,0.9903511417887202,0.3333333333333333,1.03717458168057,0.01361945400208195,1125.059830643491,0.01348804182150082
Resolving-Mac,Ccl5,Ccr3,MuSCs,1.0,287.48517878937236,0.839048851428475,0.3333333333333333,0.34572486056019003,0.01578445223092835,99.39077335007704,0.013243926514788059
Resolving-Mac,Adm2,Ramp2,MuSCs,0.3333333333333333,0.6138890228779766,0.07322372530679548,1.0,255.8563130572917,0.1602566882501728,157.0673820199025,0.01173459171900741
Resolving-Mac,Lgi3,Adam22,MuSCs,0.3333333333333333,1.4338513176344732,0.045368248545322,1.0,423.4872089846479,0.2583873422774338,607.2176926039829,0.0117225811654078
Resolving-Mac,Lgi3,Stx1a,MuSCs,0.3333333333333333,1.4338513176344732,0.045368248545322,1.0,57.03362722788557,0.2581658194085628,81.77774155017708,0.011712531060834391
Resolving-Mac,Fgf23,Fgfr2,MuSCs,0.3333333333333333,1.53472255719494,0.1083506997702671,1.0,20.90131804888663,0.1078292108381779,32.07772428473205,0.01168337044999224
Resolving-Mac,Proc,Thbd,MuSCs,0.6666666666666666,2.455579949185997,0.09642351449505547,1.0,433.076071013358,0.1194860472513213,1063.452916452653,0.01152126460909466
Resolving-Mac,Ccl5,Cxcr3,MuSCs,1.0,287.48517878937236,0.839048851428475,0.3333333333333333,1.03717458168057,0.01361945400208195,298.1723200502311,0.011427387237529807
Resolving-Mac,Ccl2,Ccr3,MuSCs,1.0,1016.513383610146,0.7041862263272861,0.3333333333333333,0.34572486056019003,0.01578445223092835,351.43394780618485,0.01111519385114075
Resolving-Mac,Lgi3,Flot1,MuSCs,0.3333333333333333,1.4338513176344732,0.045368248545322,1.0,323.3095878856187,0.2418812302676465,463.5778785936528,0.01097372777323085
Resolving-Mac,Guca2a,Gucy2c,MuSCs,1.0,5.829828036310171,0.1396598530706949,0.6666666666666666,1.4474500619909858,0.07362295002498384,8.438384952553948,0.01028217038312035
Resolving-Mac,Ccl2,Cxcr3,MuSCs,1.0,1016.513383610146,0.7041862263272861,0.3333333333333333,1.03717458168057,0.01361945400208195,1054.301843418554,0.009590631918364146
Resolving-Mac,Lgi3,Adam23,MuSCs,0.3333333333333333,1.4338513176344732,0.045368248545322,1.0,247.88521963669868,0.2107075163833936,355.43054879819124,0.009559430973649306
