Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Nts,Ntsr1,ECs,0.0,33.5797791375974,0.3600069650428266,0.0,-0.01850256068462641,0.4990714812072701,31.823073966765467,0.6737866994493764
ECs,Robo2,Robo2,ECs,0.0,28.80281561798428,0.3916185276529349,0.0,28.80281561798428,0.3916185276529349,5810.279357410174,0.5585870159867679
ECs,Nppa,Npr1,ECs,0.33333333333333337,6.389154192385773,0.33537107926380755,0.0,-383.2626274390168,0.0069767803937268455,12455.869787795016,0.3104527314860392
ECs,Shh,Gpc5,ECs,-0.3333333333333333,0.12042786959996232,0.11829524950769894,0.0,0.3434096036256087,0.7560290389583257,0.4137995452901343,0.1882311191857216
ECs,Adam2,Itga6,ECs,0.3333333333333333,2.272437882098095,0.228633382018165,0.0,-349.0901858480993,0.0077063658350289286,27477.658415073372,0.18589455656822096
ECs,Fgf23,Fgfr3,ECs,0.0,3.1207717813694096,0.243888282124682,0.0,-3.2521925230236945,0.03473589622040018,783.1268205449057,0.1816039675923368
ECs,Tac2,Tacr1,ECs,0.33333333333333337,3.8046483680681096,0.13306346868974211,0.0,12.279580165372856,0.2270222595968989,185.6154109271652,0.1802988128368562
ECs,Nppa,Npr2,ECs,0.33333333333333337,6.389154192385773,0.33537107926380755,0.0,57.28408760438981,0.007449994797683712,5670.9259344957545,0.16339438181703453
ECs,Fgf9,Fgfr3,ECs,0.0,128.46693485644386,0.18714537156808184,0.0,-3.2521925230236945,0.03473589622040018,32651.29339344451,0.16005161602946538
ECs,Rln1,Rxfp1,ECs,0.0,2.731004397704382,0.012498672280137124,0.0,5.319377798531882,0.20113645120608914,488.2033371818354,0.1303596876575587
ECs,Nppa,Npr3,ECs,0.33333333333333337,6.389154192385773,0.33537107926380755,0.0,1.1256699018520706,0.12172101914357937,134.25676092785218,0.12236290017655675
ECs,Sema6d,Kdr,ECs,0.0,352.42809958217725,0.11377445392163375,0.0,1275.0985821961294,0.005967951795657678,10622534.55285462,0.11483102920752007
ECs,Cadm3,Cadm3,ECs,0.0,245.33161711146568,0.11051441715515364,0.0,245.33161711146568,0.11051441715515364,233913.1233086241,0.1108511475405285
ECs,Grem1,Kdr,ECs,0.0,2.2242647806697966,0.1115377226410332,0.0,1275.0985821961294,0.005967951795657678,34762.182180411546,0.10958340461472392
ECs,Slit1,Robo2,ECs,0.0,17.847535927226712,0.07132831388993581,0.0,28.80281561798428,0.3916185276529349,2914.924035431161,0.10941493307265757
ECs,Col4a3,Cd93,ECs,0.0,53.383293953987504,0.1451539642859992,0.0,-4502.4587107685,0.002470498073745664,953035.9594874737,0.10904139598665563
ECs,Angpt2,Tek,ECs,0.0,93.46079270958865,0.13637498040874302,0.0,-637.9433381432464,-0.00976614548792265,77037.4751290041,0.1081462008590221
ECs,Pspn,Ret,ECs,0.0,15.266128279497517,0.1936236967004732,0.0,-31.55579790022432,0.1518804052779816,3940.849212771362,0.10538997846088212
ECs,Pnoc,Oprl1,ECs,0.0,7.558561982918088,0.31689088198066623,0.0,-5.9903013414605715,-0.04808137754834835,42.4384317867726,0.10463462805815996
ECs,Cx3cl1,Itgb3,ECs,0.0,199.5353941101503,0.10532074991787553,0.0,15.287078745418398,0.1140700159414661,51616.846412274404,0.0947917009837452
ECs,B2m,Gm11127,ECs,0.0,6866.8987342320615,0.03174435810348025,0.33333333333333337,1.4279954337955032,0.3015268816875881,52367.04345314127,0.09255133985279088
ECs,Mcam,Mcam,ECs,0.0,0.7732532630734568,0.06653061516636449,0.0,0.7732532630734568,0.06653061516636449,5884.988439830021,0.0902620607305274
ECs,Timp3,Kdr,ECs,0.0,1418.340756440891,0.08888398943220277,0.0,1275.0985821961294,0.005967951795657678,25440498.88421789,0.09006206634520607
ECs,Wnt7b,Lrp5,ECs,-0.3333333333333333,2.0363862028941826,0.2290044627147097,0.0,24.06994556595009,-0.0018776815917113665,3369.388737522489,0.08856953584855304
ECs,Wnt7b,Fzd4,ECs,-0.3333333333333333,2.0363862028941826,0.2290044627147097,0.0,-192.19258614410592,-0.03603905998096407,5574.9038796093955,0.0873194366212857
ECs,Tgm2,Itgb3,ECs,0.0,444.661148571816,0.07994595955013911,0.0,15.287078745418398,0.1140700159414661,128727.34434276569,0.08593576364995331
ECs,Efna1,Epha2,ECs,0.0,-137.67907257098784,-0.017986913930613583,0.0,250.35462205866463,0.11004009303314423,38467.081770658726,0.08475768507888515
ECs,Dkk1,Lrp5,ECs,0.0,1.5865328941870334,0.21921161258332625,0.0,24.06994556595009,-0.0018776815917113665,2622.382524678855,0.08474918476629131
ECs,Dkk1,Kremen2,ECs,0.0,1.5865328941870334,0.21921161258332625,0.0,4.603469174319071,-0.019175273698917583,37.47699648617292,0.08217760579170785
ECs,Efna3,Epha2,ECs,0.0,3.8043151615476343,0.0562448136761764,0.0,250.35462205866463,0.11004009303314423,5661.47288147959,0.0815236075929256
ECs,Vip,Vipr1,ECs,0.0,-21.15756281138896,0.009632434192057173,0.0,24.00069966951068,0.07784479300355207,683.0623918828901,0.0774295180247501
ECs,Pgf,Flt1,ECs,0.0,41.49390276811943,0.06438435434426037,0.0,2950.0455089162715,0.020129949978139997,864212.801497139,0.07479971261938001
ECs,Nts,Sort1,ECs,0.0,33.5797791375974,0.3600069650428266,0.0,104.86531086391074,0.06418212139456925,6849.270384240876,0.07374590161870945
ECs,Vegfc,Flt4,ECs,0.0,-20.304470345317103,0.06018608674517267,0.0,262.6566749622559,0.02613051154146961,31275.470862176502,0.07157129876363677
ECs,Wnt7b,Fzd5,ECs,-0.3333333333333333,2.0363862028941826,0.2290044627147097,0.0,151.8579844073719,0.040004074265865885,1169.8067289758815,0.07049134239642472
ECs,Cxcl12,Itgb3,ECs,0.0,2864.7542513645258,0.015517629946477318,0.0,15.287078745418398,0.1140700159414661,780818.0767380041,0.06925298995578838
ECs,Sema7a,Itga1,ECs,0.0,-140.60513260558287,-0.03728917163051404,0.0,960.7856531852983,0.11789459789921075,502156.77326596156,0.06912132794434113
ECs,Fgf17,Fgfr3,ECs,0.0,4.364045855651619,0.09191683706686526,0.0,-3.2521925230236945,0.03473589622040018,1090.3067157163566,0.06891954701737404
ECs,Gast,Cckbr,ECs,0.0,-0.495430034636442,0.0773167615520498,0.0,3.759481029165927,0.08693204938104128,139.4013945823982,0.0687028969980962
ECs,Prok1,Prokr2,ECs,0.6666666666666667,3.4996122160186314,0.3989323556151512,0.0,9.136656969362704,-0.34137993054009463,75.77139482825102,0.06659075438791306
ECs,Tac2,Tacr2,ECs,0.33333333333333337,3.8046483680681096,0.13306346868974211,-0.33333333333333337,0.4764425526097824,-0.034931137484240586,46.959388011983,0.0655845399396878
ECs,Adam2,Itgb1,ECs,0.3333333333333333,2.272437882098095,0.228633382018165,0.0,-400.0694815117604,0.003717375049177518,17100.15500605035,0.06426202305106145
ECs,Adam2,Itgb7,ECs,0.3333333333333333,2.272437882098095,0.228633382018165,0.0,-3.5538258988886757,-0.04390492448044258,279.0281234623169,0.0631351878949329
ECs,Efna5,Epha2,ECs,0.0,9.085606301221722,0.06477803189423839,0.0,250.35462205866463,0.11004009303314423,12337.234921523008,0.05858359558518321
ECs,Fgf23,Kl,ECs,0.0,3.1207717813694096,0.243888282124682,0.0,2.191172859116196,0.044616123995293716,30.809408930904244,0.05764515526497711
ECs,Gal,Galr3,ECs,0.0,8.987813261352258,0.08082277215686609,0.3333333333333333,2.309606786208326,0.21792660682552276,92.778359938981,0.05656400566778999
ECs,Gal,Gpr151,ECs,0.0,8.987813261352258,0.08082277215686609,0.0,15.286663794251261,0.22886973738035046,580.3598597044568,0.056074343295867836
ECs,Gnai2,Lhcgr,ECs,0.0,-328.87531236773793,-0.006478575613310611,0.0,9.04622525172358,0.13941655790528118,39536.07159461711,0.05575597612211481
ECs,Bmp2,Eng,ECs,0.0,51.56576894906726,0.07143216768515959,0.0,-39.97299381542507,-0.0069682118695942865,472241.8340663607,0.05530271366496492
ECs,Dkk4,Kremen2,ECs,0.0,0.8334727948436536,0.15346082116688187,0.0,4.603469174319071,-0.019175273698917583,44.9677470796069,0.05382715085952832
ECs,Pgf,Nrp2,ECs,0.0,41.49390276811943,0.06438435434426037,0.0,-425.57837559288424,0.018126525850831517,174039.309482462,0.05201076078066685
ECs,Jag1,Notch4,ECs,0.0,326.16798244308416,0.05964406357327229,0.0,-679.5793735894895,-0.015198522904873226,226422.33531083073,0.04974231041252642
ECs,Hspg2,Col13a1,ECs,0.0,-8796.85212634813,-0.04772262888146217,0.0,8.759078884683786,0.16290147749612266,90190.60580394721,0.04953920122118111
ECs,Gdf7,Bmpr2,ECs,0.3333333333333333,2.592065596636357,0.16396497781394667,0.0,5.028691929975139,-0.007076474377803509,19387.25240478698,0.049311022186960624
ECs,Wnt3a,Fzd6,ECs,0.0,0.9504303094959388,0.05759540852619061,0.0,-371.6411034871698,-0.007813291098767494,871.168535531089,0.049141292383938884
ECs,Efna2,Epha2,ECs,0.0,9.581924302870194,0.030153761623261388,0.0,250.35462205866463,0.11004009303314423,36871.08556722058,0.0487506386504577
ECs,Efna3,Ephb1,ECs,0.0,3.8043151615476343,0.0562448136761764,0.0,-69.47864260115588,0.050239985941296805,102.65908209284794,0.048227051438075035
ECs,Edn1,Ednra,ECs,0.0,-22.71063807259907,-0.008303099316921858,0.0,110.53582457473314,0.052659762618214236,33481.09030671465,0.04813402557166042
ECs,Shh,Ptch1,ECs,-0.3333333333333333,0.12042786959996232,0.11829524950769894,0.0,36.85086347279525,-0.03774699602021542,124.39514981967513,0.0480703460899294
