Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Sectm1a,Cd7,Resolving-Mac,0.33333333333333337,9.220570234258831,0.4732454621909232,0.0,7.496731898563264,0.4674733171226732,146.82917999879294,0.6151134707330336
Resolving-Mac,Hc,C5ar2,Resolving-Mac,0.6666666666666667,0.4458719157457782,0.35530423379529785,0.0,-48.6528855436419,0.010735117260498805,19.419354270604344,0.3386568744892139
Resolving-Mac,Epcam,Epcam,Resolving-Mac,0.6666666666666667,2.8134425752494963,0.27764525020319125,0.6666666666666667,2.8134425752494963,0.27764525020319125,9.911630942256217,0.2792758223061255
Resolving-Mac,Ifng,Ifngr2,Resolving-Mac,0.6666666666666667,4.002242381452096,0.3116141714523797,0.0,379.40057622222054,0.060807488537499066,11393.843799746875,0.2579132935203747
Resolving-Mac,Liph,Lpar2,Resolving-Mac,0.6666666666666667,5.682134057881068,0.4902036281331617,0.0,-1.8067441409997256,0.036716360013624334,645.6074534807067,0.24711262404888265
Resolving-Mac,Cd40lg,Cd40,Resolving-Mac,0.33333333333333337,1.6608255445382518,0.2263881283401883,0.0,141.8893171190114,0.09539194478273827,1814.0880780914108,0.2468126668375269
Resolving-Mac,Icos,Icosl,Resolving-Mac,0.0,11.362023442655131,0.17967174089735438,0.0,140.49010524120888,0.04330245206085859,10531.637765581809,0.17052749884114665
Resolving-Mac,Icosl,Icos,Resolving-Mac,0.0,140.49010524120888,0.04330245206085859,0.0,11.362023442655131,0.17967174089735438,10531.637765581809,0.17052749884114665
Resolving-Mac,Icosl,Ctla4,Resolving-Mac,0.0,140.49010524120888,0.04330245206085859,0.0,4.325856401014528,0.1506868626448109,4677.805132900277,0.15719258952949844
Resolving-Mac,Cd86,Ctla4,Resolving-Mac,0.0,-266.40571851233557,-0.00046487776831039,0.0,4.325856401014528,0.1506868626448109,14367.420966353704,0.15017516973632394
Resolving-Mac,Lta,Tnfrsf1b,Resolving-Mac,0.33333333333333337,4.77096608736556,0.16973695253149448,0.0,158.77871916802724,-0.002101397516511727,27903.381436040807,0.1371316812229552
Resolving-Mac,Ifng,Ifngr1,Resolving-Mac,0.6666666666666667,4.002242381452096,0.3116141714523797,0.0,-195.2051573770018,-0.011404685179628893,11080.575568852264,0.13516027320642915
Resolving-Mac,Il12b,Il12rb1,Resolving-Mac,0.0,8.725333230848321,-0.05433273732246802,0.0,51.2768142474846,0.162479033580417,4483.669377743146,0.13425280940576104
Resolving-Mac,Tff2,Cxcr4,Resolving-Mac,0.0,5.495114459505148,0.15931486775894296,0.0,204.3307494151541,0.0018765655097232605,43938.03868580522,0.12829775789086129
Resolving-Mac,Il15,Il2rb,Resolving-Mac,0.0,38.09058517543394,0.039477702784754376,0.0,38.408785319634696,0.1534394194922814,18634.71467140716,0.1126183959500803
Resolving-Mac,Psap,Gpr37l1,Resolving-Mac,0.0,3793.1608526489727,0.013986421919913505,0.33333333333333337,7.5992202630704115,0.12324698213883653,669505.5005564414,0.10691302596922213
Resolving-Mac,Lta,Tnfrsf14,Resolving-Mac,0.33333333333333337,4.77096608736556,0.16973695253149448,0.0,56.84015953752709,-0.04452368969069731,2164.0805159775427,0.10446676376494103
Resolving-Mac,Oxt,Avpr2,Resolving-Mac,0.6666666666666667,4.656698694591183,0.16550916320285874,0.0,-7.964485185032629,-0.05208755234195206,49.29462529103979,0.09914174956503233
Resolving-Mac,Cxcl16,Cxcr6,Resolving-Mac,0.0,482.14518001529717,-0.0019094564739268183,0.0,13.571167042682333,0.10303081413935866,90765.18792968408,0.09626225315780527
Resolving-Mac,Cntf,Il6ra,Resolving-Mac,0.33333333333333337,1.6266164972873836,0.11596444144405416,0.0,-326.5448977848564,-0.00636708422018295,3733.5948705199535,0.09614168834174827
Resolving-Mac,Tnfsf4,Tnfrsf4,Resolving-Mac,0.3333333333333333,2.817749510332983,0.6473801384751197,0.0,-6.1358991189212775,-0.1367076432808724,29.643046821565317,0.08653807227885307
Resolving-Mac,Il18,Il18rap,Resolving-Mac,0.0,-62.979677134923584,-0.09047723718576883,0.0,6.269139233315961,0.18373466936715302,141.80877749101998,0.08046852746159427
Resolving-Mac,Cxcl10,Cxcr3,Resolving-Mac,0.0,551.2261724731721,0.08107501759946377,0.0,1.989577048811256,-0.004427899080980291,42065.220267824494,0.07604888863328313
