Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Proc,Tek,ECs,0.0,6.730079935056998,0.3594442194640839,0.0,637.9433381432464,0.00976614548792265,33159.9291509419,0.3018526975784546
ECs,Proc,Thbd,ECs,0.0,6.730079935056998,0.3594442194640839,0.0,306.7314329883743,0.07782308710332497,18586.814258336024,0.26275659903918896
ECs,Wnt9b,Fzd4,ECs,0.0,9.949673897274565,0.5538146438885378,0.0,192.19258614410592,0.03603905998096407,30328.621636704043,0.24464252402662065
ECs,Wnt9b,Fzd5,ECs,0.0,9.949673897274565,0.5538146438885378,0.0,-151.8579844073719,-0.040004074265865885,3274.145005870315,0.13331765861944195
ECs,Lta,Tnfrsf1a,ECs,0.0,3.3605167772247224,0.3761101976402717,0.0,164.11320141437682,0.019945606532411172,5891.810626905301,0.12260538142696092
ECs,Adm2,Calcrl,ECs,0.0,10.329502380947911,0.027152584378423827,0.0,1025.9702320157703,0.13214192871308186,52261.45196489122,0.12177238555051205
ECs,Epo,Ephb4,ECs,0.0,0.6686797582692969,0.13083377394264886,0.0,549.1508861374932,0.047506663128662696,2710.9350753456965,0.11682683008141614
ECs,Proc,Procr,ECs,0.0,6.730079935056998,0.3594442194640839,0.0,14.549878925740984,-0.0943383380650395,1329.7474017299,0.11603094548817967
ECs,Lta,Ltbr,ECs,0.0,3.3605167772247224,0.3761101976402717,0.0,37.17178343492765,0.014997418631405413,1604.499486236527,0.10852677025947907
ECs,Efna4,Epha4,ECs,0.0,8.352758617658377,0.18201305985968,0.0,19.27074345044082,0.046991059897223686,6745.689744921878,0.10773996849387173
ECs,Nxph3,Nrxn2,ECs,0.0,2.778735746716631,0.08544347825559495,0.0,19.251604351058425,0.17609509884248925,438.2772449032428,0.10763263979823727
ECs,F2,F2rl3,ECs,0.0,31.174120515584093,0.10168156274526956,0.0,76.45178693213909,0.06356187987554973,11627.142133700456,0.10207114110362167
ECs,Epo,Epor,ECs,0.0,0.6686797582692969,0.13083377394264886,0.0,6.499875485804665,0.08280647449499817,36.53982845183728,0.09790374455854907
ECs,F2,Thbd,ECs,0.0,31.174120515584093,0.10168156274526956,0.0,306.7314329883743,0.07782308710332497,96810.89278674274,0.09211006745676796
ECs,Liph,Lpar4,ECs,0.0,1.5945664073810069,0.2955504550939711,0.0,251.649029879863,0.09946953703052601,1411.8057876992245,0.0893789357199503
ECs,Wnt9b,Fzd8,ECs,0.0,9.949673897274565,0.5538146438885378,0.0,-48.382258078036976,-0.0236348677693734,2272.273989233568,0.08858551038102325
