Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Avp,Avpr2,M2,0.33333333333333337,8.661691600256534,0.4856383637566787,0.0,7.964485185032629,0.05208755234195217,179.64201318739418,0.3252379183428634
ECs,Tff2,Cxcr4,M2,0.0,19.6337861768167,0.3851136829795139,0.0,-204.33074941515224,-0.0018765655097231493,141994.4117349697,0.30775773466643386
ECs,Lta,Tnfrsf1b,M2,0.0,3.360516777224721,0.37611019764027176,0.0,-158.77871916802724,0.002101397516511727,17635.77149263065,0.30597564381353604
ECs,Lta,Tnfrsf14,M2,0.0,3.360516777224721,0.37611019764027176,0.0,-56.84015953752697,0.04452368969069731,801.7259218724353,0.27626322948542226
ECs,Wnt9b,Fzd5,M2,0.0,9.949673897274565,0.5538146438885378,0.0,-1.8603802811009016,0.061989732697696524,4485.6715520533835,0.1927647294494602
ECs,Vip,Vipr1,M2,0.0,21.15756281138896,-0.009632434192057173,0.0,28.691524318001598,0.15494057030746067,5354.7097548328275,0.14647686138487592
ECs,Podxl2,Sell,M2,0.0,49.682458565679894,0.18868528042209567,0.0,-20.077405953712407,0.03905961484480292,1018.703218397328,0.1399404407898732
ECs,Liph,Lpar2,M2,0.0,1.5945664073810069,0.29555045509397115,0.0,1.806744140999712,-0.03671636001362438,185.80387201388285,0.1319775745075695
ECs,Lcn2,Lrp2,M2,0.0,0.44165584631817545,0.0936060556285383,0.0,0.2765588938209366,0.5343743502978999,2.3083127400341352,0.1296932972270506
ECs,Tg,Lrp2,M2,0.0,18.27103980381944,0.13903833361297,0.0,0.2765588938209366,0.5343743502978999,14.69561349630208,0.1234627520550932
ECs,Lta,Tnfrsf1a,M2,0.0,3.360516777224721,0.37611019764027176,0.0,139.595359737707,0.015510585965946122,5356.146462338869,0.1124691746136551
ECs,Cel,Cxcr4,M2,0.0,14.301800343965958,0.1393739624733762,0.0,-204.33074941515224,-0.0018765655097231493,100615.17131431306,0.1110932740759748
ECs,Il23a,Il23r,M2,0.0,-9.68058465239453,0.0055791596105410615,0.0,1.4505255616497723,0.2312368378493728,94.4761250058008,0.1080384005012972
ECs,Bmp8a,Tgfbr1,M2,0.0,22.197930229345907,0.15178984531517964,0.0,-591.6865935505539,-0.002795057055046124,194709.3439407869,0.10773167081921052
ECs,Zp3,Mertk,M2,0.6666666666666667,0.41200301048852506,0.10653596857711968,0.0,972.0730735789639,0.06879749579298244,4243.416163637352,0.10454710680522332
ECs,Lrpap1,Lrp2,M2,0.0,18.230036842869367,0.019967992352256103,0.0,0.2765588938209366,0.5343743502978999,96.76091011613087,0.1029516017115435
ECs,Il2,Cd53,M2,0.0,0.95892673758166,0.0982263430185304,0.0,116.04828579989498,0.00229050425338706,6041.2449165019825,0.0982890713963406
ECs,Ren1,Atp6ap2,M2,0.0,8.578788139446097,0.10956015211692716,0.0,315.694548759207,0.039447958228184254,34462.61174939014,0.0969094334980526
ECs,Tslp,Il7r,M2,0.0,10.96032871723683,0.09497132660284567,0.0,-36.174756509145936,0.006738562408702187,15534.845996912049,0.0962293529711478
ECs,Wnt3,Lrp6,M2,0.0,6.392876122506497,0.19516314430335235,0.0,924.5595714320202,0.06186074621247972,35353.78691993509,0.08726728340736012
ECs,Cd40lg,Cd40,M2,0.3333333333333333,1.5842683244085447,0.1215564440711519,0.0,-141.8893171190113,-0.09539194478273838,401.1392827253885,0.08634198130695811
ECs,Cntf,Il6ra,M2,-0.33333333333333337,-0.059910401082240224,0.09433521180572192,0.0,326.5448977848573,0.006367084220183061,1123.6118742726449,0.0812409037110764
ECs,Adm2,Ramp1,M2,0.0,10.329502380947911,0.027152584378423942,0.0,-37.57174303959749,0.0776161693412325,1063.3433239397941,0.08091136631104756
ECs,Cd160,Tnfrsf14,M2,0.0,26.264174335899487,0.10083702240250272,0.0,-56.84015953752697,0.04452368969069731,5815.85448968329,0.0804270322779718
ECs,Epo,Crlf3,M2,0.0,0.6686797582692969,0.13083377394264886,0.0,-37.79936710876712,-0.002236904457193823,579.721415743654,0.07984554315926942
ECs,Icos,Icosl,M2,0.0,5.106166165330107,0.10074718147997312,0.0,-140.49010524120894,-0.04330245206085837,2269.460514405834,0.07842923611358821
ECs,Cirbp,Trem1,M2,0.0,-34.35872838453628,0.023853859708942105,0.0,4.3552086873419915,0.15615724057261338,1120.4040144579608,0.07636159093572288
ECs,Lipc,Lrp1,M2,0.0,15.929011262386597,0.12122166453588208,0.0,-366.1383746435713,0.055717939433940315,370796.33869253384,0.0757939491263531
ECs,Wnt7a,Fzd5,M2,0.33333333333333337,8.021150378581947,0.1533319085505367,0.0,-1.8603802811009016,0.061989732697696524,3615.1612381203136,0.0722734846263149
ECs,Agt,Lrp2,M2,0.0,1.0733634167644723,0.044342966467007694,0.0,0.2765588938209366,0.5343743502978999,1.994783510088169,0.0718114064034384
ECs,Tslp,Crlf2,M2,0.0,10.96032871723683,0.09497132660284567,0.0,-19.722578966445727,0.05081562716900856,2700.63356665036,0.06769026625840527
ECs,Adipoq,Adipor1,M2,-0.33333333333333337,4.051339797429018,0.1461486906345579,0.0,133.8781954443671,0.0014608767299053027,9312.76564546878,0.06699107424668639
ECs,Wnt10b,Fzd7,M2,0.0,8.310372635719785,0.2393237917057779,0.0,-169.19462685613902,-0.04194355758628071,2278.04434415998,0.06636215283379711
ECs,Plau,Lrp2,M2,0.0,-147.29083848593368,0.0185337964828958,0.0,0.2765588938209366,0.5343743502978999,95.07238271435159,0.0649571652885427
ECs,Pglyrp1,Trem1,M2,0.0,-4.642641458532541,0.017878601669257976,0.0,4.3552086873419915,0.15615724057261338,98.97736063058149,0.06382399405987979
ECs,H2-T23,Klrd1,M2,0.0,-162.62385764725568,-0.025586913002070468,0.0,18.207132136755465,0.3212527914778106,4774.932851705311,0.06270619641999259
ECs,Lta,Ltbr,M2,0.0,3.360516777224721,0.37611019764027176,0.0,-62.25033320851089,-0.055583888867302894,527.4738194707161,0.06132607915950411
ECs,Bmp15,Bmpr2,M2,0.0,5.6470729346725514,0.25754788832298425,0.0,327.2703197883461,0.017732833169838008,27791.785762909414,0.0590724712028146
ECs,Oxt,Avpr2,M2,0.0,1.468922543424993,0.06452047828188351,0.0,7.964485185032629,0.05208755234195217,94.68241380170038,0.057883103419187475
ECs,Inhbb,Acvr1b,M2,0.0,17.494818844776667,0.15967524855290569,0.0,24.57112230499069,0.06173641778225498,6784.83044314996,0.0576497819567337
ECs,Ceacam1,Havcr2,M2,0.0,396.196610317274,0.044868302476530175,0.0,46.462572979289924,0.012427465495594814,494256.0087630809,0.054437922773666325
ECs,Inhbc,Acvr2b,M2,0.3333333333333333,1.2512038511278596,0.2553242055462624,0.0,6.937005046872194,0.006659550781272089,70.28756972973471,0.0544254824278185
ECs,Wnt1,Lrp6,M2,0.0,2.6062086892969294,0.11600226813096788,0.0,924.5595714320202,0.06186074621247972,17010.058189845404,0.0531760545238256
ECs,Il2,Il2rg,M2,0.0,0.95892673758166,0.0982263430185304,0.0,-11.237337994433346,-0.05239569585089599,719.8477775266605,0.0530069862690206
ECs,Col9a2,Mag,M2,0.0,22.225904668035504,0.13171948772877762,0.0,8.50627021074007,-0.14163901151864097,1064.3788426025383,0.052364816928310506
