Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Il18,Il1rapl1,sCs,0.0,62.97967713492368,0.09047723718576904,0.0,1.0845300558491875,0.2770036072672607,975.0145696250827,0.28279887797092873
M2,Alcam,Chl1,sCs,0.0,-40.6622411473129,-0.015031895812354425,0.0,26.684211616525406,0.27851409270949024,30836.45158722918,0.250819565450326
M2,Il18,Il18rap,sCs,0.0,62.97967713492368,0.09047723718576904,0.0,15.071820813941102,0.24937905746798025,6426.613952792398,0.2109767407088679
M2,Il12b,Il23r,sCs,0.0,-8.725333230848308,0.05433273732246802,0.3333333333333333,1.296763100138,0.1889893718394124,85.6021550322927,0.1974542412923413
M2,Icosl,Icos,sCs,0.0,-140.49010524120894,-0.04330245206085837,0.33333333333333337,11.633915225706096,0.2309881776957728,4992.739895462442,0.1788231401388437
M2,Pf4,Procr,sCs,0.0,380.486234587846,0.008103071152283814,0.0,113.49908864048723,0.16346823595144155,203932.695377284,0.16546746783500876
M2,Slit1,Gpc1,sCs,0.0,42.6150490650182,0.15750054555519227,0.0,172.5136763161759,0.048081925580548364,135676.48056096898,0.15606223034447853
M2,Matn1,Itga1,sCs,0.0,9.792373190997619,0.0,0.0,2037.4379037462068,0.1449192915471616,81681.03073481013,0.1449192915471616
M2,Itgb2,Thy1,sCs,0.0,-216.43657275333,0.002551836510715999,0.0,423.2833612344663,0.14203298309536247,1428985.5212141091,0.1417904563167012
M2,Edn2,Ednra,sCs,0.3333333333333333,0.697682737046,0.20560612670591152,0.0,236.43127411324474,0.12564392746358116,823.2771133607746,0.12854053171618068
M2,Cd86,Ctla4,sCs,0.0,266.40571851233557,0.00046487776831016786,0.0,2.4059633761849675,0.1276455895179805,11026.83361415906,0.12758530244151808
M2,Pdgfc,Pdgfrb,sCs,0.0,70.48308118202682,0.08864750385853326,0.0,1781.1867303371966,0.20853556862585051,1450648.9532336113,0.1205671449589038
M2,Il12b,Il12rb1,sCs,0.0,-8.725333230848308,0.05433273732246802,0.0,20.267928472014308,0.11603004830186843,1299.88060301372,0.1147105444395375
M2,Ltf,Lrp11,sCs,0.0,5.258832666751267,0.22392156612713146,0.0,6.135768572026792,0.0574675801946275,430.07789350728257,0.11410162371178068
M2,Slit1,Sdc1,sCs,0.0,42.6150490650182,0.15750054555519227,0.0,106.08679767376242,0.07939952277785489,34152.890581823514,0.11261261798301313
M2,Apoe,Lrp8,sCs,0.0,17876.397107547105,0.009118739691947986,0.0,24.366290998932037,0.11235485566563473,3655139.2040518573,0.11242856878857832
M2,Il17c,Il17re,sCs,0.0,2.187087923675385,0.14317183347693524,0.0,0.635061078410736,0.11742149224390658,42.75817555914557,0.1081314974468948
M2,Shh,Cdon,sCs,0.0,1.7963847075342676,0.1411607984360472,0.0,-1461.6720867013528,-0.039289389617407015,12594.567479466676,0.10747968446416052
M2,Ccl12,Ackr4,sCs,0.0,-170.43420020195958,-0.001884295269269032,0.0,10.77076535121865,0.1058823636839938,668.4369397054752,0.10370698966357213
M2,Ahsg,Insr,sCs,0.0,4.146755102142256,0.3975494952856679,0.0,-232.95644138744407,-0.021245619345500344,5094.783852295806,0.0998415865472838
M2,Sost,Lrp4,sCs,0.6666666666666667,4.413877836497746,0.2840941728678759,0.0,15.387145675641026,0.03779987161212029,1466.3724401425275,0.0997899070213522
M2,Tnf,Tnfrsf21,sCs,0.0,-389.48277708808,0.04518898190719856,0.0,298.3707035071957,0.09404737635177053,170652.7114578567,0.0993364646217049
M2,Icosl,Ctla4,sCs,0.0,-140.49010524120894,-0.04330245206085837,0.0,2.4059633761849675,0.1276455895179805,1000.6997002664481,0.09839706688064452
M2,Hgf,Sdc1,sCs,0.0,-43.031949584699994,0.06879020272729375,0.0,106.08679767376242,0.07939952277785489,142658.52509824955,0.0951145342331754
M2,Cd80,Ctla4,sCs,0.0,156.51794382992512,0.07020051965266882,0.0,2.4059633761849675,0.1276455895179805,1666.8250693423242,0.0930831764800002
M2,Slit1,Robo1,sCs,0.0,42.6150490650182,0.15750054555519227,0.0,188.00749257603317,0.048958616051347326,80943.21310256294,0.0914206629920224
M2,Aanat,Mtnr1a,sCs,0.0,7.44105107936074,0.07387638983525302,0.6666666666666667,3.636007406183332,0.14158255317112914,249.07376815113847,0.09048398379275467
M2,Bmp7,Bmpr1a,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,-1.4352132926233026,0.01723797425299839,2404.8937226885173,0.0853038297447724
M2,Cadm1,Cadm3,sCs,0.0,-121.02470968820069,0.011436517560615369,0.0,59.66239362114601,0.1094191052646767,36696.706075646725,0.08439024750891189
M2,Rspo1,Lgr6,sCs,0.0,0.9652404737248168,0.11111076229949528,0.0,-10.51806344300531,-0.020131354223550058,11.795745933776765,0.08356148023884799
M2,Bmp7,Acvr2b,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,12.217747683084838,0.008101280318969117,117.52942403875069,0.0751608561864124
M2,Sost,Lrp5,sCs,0.6666666666666667,4.413877836497746,0.2840941728678759,0.0,-6.463887475372986,0.003588990783117529,4831.893404387233,0.0750928995723201
M2,Itgav,Thy1,sCs,0.0,453.8342131063691,0.019399451710911786,0.0,423.2833612344663,0.14203298309536247,2732514.7270435644,0.070547079260796
M2,Pdgfb,Pdgfrb,sCs,0.0,-38.732859863421936,0.0250655123705969,0.0,1781.1867303371966,0.20853556862585051,1267744.8186734135,0.069428300293051
M2,Gdf7,Bmpr1a,sCs,0.0,1.397053406628947,0.14290061918762315,0.0,-1.4352132926233026,0.01723797425299839,3418.566509222749,0.0684156822743323
M2,Ccl22,Ackr2,sCs,0.0,-16.088919059499982,0.006344636402280446,0.33333333333333337,0.6619316606068169,0.0676818198297934,44.76104081139361,0.06797258298770631
M2,Ccl3,Ackr2,sCs,0.0,-342.27317204577685,0.0011550706928855625,0.33333333333333337,0.6619316606068169,0.0676818198297934,1103.871912525035,0.06759298714553799
M2,Ccl4,Ackr2,sCs,0.0,-295.7240993752032,0.0012868011658300205,0.33333333333333337,0.6619316606068169,0.0676818198297934,404.935702264341,0.0675151707901646
M2,Ccl12,Ackr2,sCs,0.0,-170.43420020195958,-0.001884295269269032,0.33333333333333337,0.6619316606068169,0.0676818198297934,12.17945412715801,0.0664025811024269
M2,Shh,Smo,sCs,0.0,1.7963847075342676,0.1411607984360472,0.0,16.905789229360835,-0.014437241204988294,1742.1038868810892,0.06506107467740581
M2,Grn,Sort1,sCs,0.0,-1433.3916718738,-0.028394323771851027,0.0,207.55467839349544,0.10773922908637,1084636.4886647295,0.06375116158596134
M2,L1cam,Ptprz1,sCs,0.0,23.965180691300983,0.05895756651759579,0.0,-101.82221489651954,0.021506737856768262,4828.477028483612,0.0626192290141997
M2,Rspo1,Lgr5,sCs,0.0,0.9652404737248168,0.11111076229949528,0.0,-120.79821024435788,-0.05185033435826525,195.41928430669827,0.0623081803480156
M2,Il1rn,Il1r1,sCs,0.0,-25.29473474650285,0.00213306039691441,0.0,123.21327428054327,0.061703510734518574,356180.88253465673,0.062028331982909884
M2,Cadm1,Crtam,sCs,0.0,-121.02470968820069,0.011436517560615369,0.0,7.862199908647519,0.07893991652751861,5556.870629473032,0.0618614504499605
M2,Il1b,Il1r1,sCs,0.0,-450.81740169255227,0.0011106898465027546,0.0,123.21327428054327,0.061703510734518574,442182.3739445782,0.0618556336594657
M2,Sost,Lrp6,sCs,0.6666666666666667,4.413877836497746,0.2840941728678759,0.0,-137.75444749886992,-0.020803665972513097,12075.727742428942,0.0616896116731696
M2,Rspo1,Znrf3,sCs,0.0,0.9652404737248168,0.11111076229949528,0.0,-167.816023351465,-0.033587833085202745,549.2931098216153,0.060036326668037314
M2,Sema4b,Dcbld2,sCs,0.0,57.63643734626731,0.13578476850929672,0.0,171.2307526744701,0.03245108373901145,113266.60975946358,0.058325992822719885
M2,Il1a,Il1r1,sCs,0.0,-47.84795613924098,-0.012323710485263595,0.0,123.21327428054327,0.061703510734518574,10312.7562103956,0.05811414572648449
M2,Ccl2,Ackr4,sCs,0.0,-277.9031811282259,-0.06328972548958478,0.0,10.77076535121865,0.1058823636839938,4449.291466918759,0.05747393577769731
M2,Bmp7,Acvr2a,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,-684.4654747381027,-0.07703350864355922,771.7604477726833,0.0572508400101853
M2,Bmp7,Acvr1,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,-76.30356888445522,-0.0326748590059861,523.0379720329007,0.0564732490663364
M2,Edn2,Ednrb,sCs,0.3333333333333333,0.697682737046,0.20560612670591152,0.0,144.537848370157,-0.0582161789268853,1016.615758894278,0.055656904795435815
M2,Il15,Il2ra,sCs,0.0,-38.09058517543394,-0.039477702784754265,0.0,37.92421418600353,0.11800634255577852,14173.81921406242,0.055316843445239405
M2,C1qa,Cspg4,sCs,0.0,118.01532149703327,0.002611749384404005,0.0,416.14044055974,0.05245020263090538,2164698.7585992133,0.05397049788029185
M2,Spp1,Itgb1,sCs,0.0,2286.298074417344,0.10197790851113496,0.0,1169.7639868674041,0.02216257183052306,31950745.22762205,0.051006679649440965
M2,Icam1,Il2ra,sCs,0.0,-310.9816844013699,-0.010883544375671572,0.0,37.92421418600353,0.11800634255577852,44562.59955751378,0.050346769647033024
M2,Artn,Gfra3,sCs,0.0,2.697917617872802,0.063893492509981,0.0,-8.496722292316313,-0.07888335407614777,7.695856826547967,0.050308785927268986
M2,Trf,Tfrc,sCs,0.0,1271.031094609516,0.057018597130600764,0.0,24.054161752526397,0.029377588091906937,1341731.5922440141,0.050248319458023605
M2,Shh,Gas1,sCs,0.0,1.7963847075342676,0.1411607984360472,0.0,177.68173092354004,0.04481786444045138,3186.242136535207,0.0491900822860598
M2,Shh,Hhip,sCs,0.0,1.7963847075342676,0.1411607984360472,0.0,-9.133348850190984,-0.1301161454953038,154.58479778538592,0.048878301095462005
M2,Fgf22,Fgfr1,sCs,0.33333333333333337,2.4875564142069764,0.0933067590691924,0.0,206.99543274785674,0.014698495903423259,11304.1916229275,0.048260074720174385
M2,Bmp7,Bmpr2,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,-618.9152697450928,-0.0194751752016189,5371.266024610084,0.04791531240608099
M2,L1cam,Erbb3,sCs,0.0,23.965180691300983,0.05895756651759579,0.0,-49.27224441309062,0.0035311489297985554,1705.783725918045,0.04768205258930622
M2,Gnai2,Mtnr1a,sCs,0.0,240.93101703301727,0.0033740776645032056,0.6666666666666667,3.636007406183332,0.14158255317112914,14682.410870248888,0.0475200783857441
M2,Gnai2,Adra2a,sCs,0.0,240.93101703301727,0.0033740776645032056,0.0,103.20263311465571,0.1399437457259105,427385.07084639056,0.047189326234715806
M2,Rtn4,Rtn4rl1,sCs,0.0,369.4877643851668,0.0275638714437092,0.0,35.65133562310119,0.10783444748432867,205343.13742115133,0.04625767866256589
M2,Cdh1,Igf1r,sCs,0.0,7.894724890269099,0.09997777926663017,0.0,-531.0459234675,-0.005028863067747025,20299.28949737804,0.0448816705184549
M2,Il23a,Il23r,sCs,0.0,5.398381689307102,0.05107989532540838,0.3333333333333333,1.296763100138,0.1889893718394124,33.401741048158804,0.04370276278044311
M2,Rspo1,Lgr4,sCs,0.0,0.9652404737248168,0.11111076229949528,0.0,-65.08343088058427,-0.0337167348225878,556.2909412127086,0.0435322264304875
M2,Tnfsf14,Ltbr,sCs,0.0,0.012590171357395263,0.04308642230488646,0.0,67.8899761200189,0.0392964283292159,2348.0788385857704,0.04316101118185231
M2,Mmp9,Cd44,sCs,0.0,181.2518429824709,0.3193137139613403,0.0,699.7700336211569,-0.0181722515239299,747532.3020068482,0.0428899739334853
M2,Gnai2,Ednra,sCs,0.0,240.93101703301727,0.0033740776645032056,0.0,236.43127411324474,0.12564392746358116,1088959.3628114248,0.042188105994305794
M2,Vcam1,Itgad,sCs,0.0,415.01681705451887,0.07118404627367098,0.3333333333333333,2.3576130481188637,0.13375999101516292,6428.168368413,0.0421397724925218
M2,Il2,Il2ra,sCs,0.0,0.7473784886436866,0.0423828022051409,0.0,37.92421418600353,0.11800634255577852,94.35912624725901,0.0420263398915359
M2,Cd200r1,Cd200,sCs,0.0,100.7547426444188,-0.0001684399490999855,0.0,115.78044866826359,0.042167442125383585,143363.3059498758,0.04176572308972543
M2,Tnfsf12,Tnfrsf12a,sCs,0.0,11.838954260124,0.1216778586634823,0.0,-34.68868958058573,-0.06412476174607429,976.2918445667236,0.04082752505980858
M2,Bmp7,Bmpr1b,sCs,-0.33333333333333337,0.9826664423380262,0.1838297821019429,0.0,8.756840355259612,-0.1488076907014933,85.39738915985417,0.0406950856455888
M2,Il1b,Il1rap,sCs,0.0,-450.81740169255227,0.0011106898465027546,0.0,54.432532139604575,0.040276861076153525,193818.23878701008,0.04060262169942147
M2,Ccl2,Ackr2,sCs,0.0,-277.9031811282259,-0.06328972548958478,0.33333333333333337,0.6619316606068169,0.0676818198297934,226.3135565619749,0.0404765883794739
M2,Calr,Mtnr1a,sCs,0.0,299.9311565903663,-0.015243220366671084,0.6666666666666667,3.636007406183332,0.14158255317112914,16506.32578126646,0.0404614736811717
M2,Artn,Ret,sCs,0.0,2.697917617872802,0.063893492509981,0.0,403.2132604044889,0.24456834194173785,2862.822306378035,0.0400654839131324
M2,Agt,Agtr1a,sCs,-0.33333333333333337,2.030437522112151,0.0601725506353287,0.0,131.9576869920524,0.13780626908792046,1333.577721629063,0.03976175717902471
M2,Il16,Kcnj10,sCs,0.0,0.4974497667456035,0.006632827649048267,0.0,41.28739696983607,0.08788293863138241,14234.363593368533,0.038870428099867314
M2,Il15,Il15ra,sCs,0.0,-38.09058517543394,-0.039477702784754265,0.0,21.570724888549858,0.0729383282585078,5708.712045826812,0.03824570303191322
M2,Fgf22,Fgfrl1,sCs,0.33333333333333337,2.4875564142069764,0.0933067590691924,0.0,-6.793861254007993,0.03210319046939558,305.306171384142,0.0380368255638012
M2,Mmp9,Lrp1,sCs,0.0,181.2518429824709,0.3193137139613403,0.0,-384.78288244028056,0.009887704270452394,1076446.0146841728,0.037616569217228495
M2,Shh,Lrp2,sCs,0.0,1.7963847075342676,0.1411607984360472,-0.3333333333333333,-1.2710109311902231,-0.192265870577682,0.2123187714853656,0.0373825105343376
M2,Gip,Gipr,sCs,0.6666666666666667,2.5173193278482002,0.10409014525131452,0.0,6.609865357080139,0.0702673147670776,59.93838559836521,0.037281415318126
M2,Lrpap1,Lrp8,sCs,0.0,-66.78408819422248,-0.01749937668382479,0.0,24.366290998932037,0.11235485566563473,13136.706675553662,0.0371543014959381
M2,Hgf,St14,sCs,0.0,-43.031949584699994,0.06879020272729375,0.0,4.429707246304595,0.025473199379966418,4905.073711840829,0.03706725151982962
M2,Fgf9,Fgfr1,sCs,-0.6666666666666667,0.028870749374986907,0.07268562985453329,0.0,206.99543274785674,0.014698495903423259,575.73394903386,0.0368489997090692
M2,Thbs1,Sdc1,sCs,0.0,1007.784406112166,0.012062443775920806,0.0,106.08679767376242,0.07939952277785489,1408271.4081163518,0.036183025433001816
M2,Hgf,Sdc2,sCs,0.0,-43.031949584699994,0.06879020272729375,0.0,67.98723482953619,0.014925586743468387,26103.200566753745,0.03584986148703345
M2,Nlgn3,Nrxn2,sCs,0.0,11.499220712035113,0.0693880331701191,0.0,17.558922747633428,0.15937354424516506,640.0141703110746,0.0357108153388049
M2,Shh,Ptch1,sCs,0.0,1.7963847075342676,0.1411607984360472,0.0,-155.6977140360709,-0.057604709587221574,681.8102811426485,0.0354248817474877
M2,Il1a,Il1rap,sCs,0.0,-47.84795613924098,-0.012323710485263595,0.0,54.432532139604575,0.040276861076153525,4393.864592681201,0.03542118247984971
M2,Gdf7,Acvr2a,sCs,0.0,1.397053406628947,0.14290061918762315,0.0,-684.4654747381027,-0.07703350864355922,876.6898013826758,0.0350994612003432
M2,Fgf16,Fgfr4,sCs,0.0,3.820696689553112,0.0355901897739422,0.0,-533.7662393118229,0.003309244524906663,10092.386530578211,0.0349759935911472
M2,Gdf7,Bmpr2,sCs,0.0,1.397053406628947,0.14290061918762315,0.0,-618.9152697450928,-0.0194751752016189,7436.90941115766,0.034869478813830415
M2,Tgm2,Sdc4,sCs,0.0,172.47791657459905,0.08481151287192101,0.0,-17.88248568182712,0.005081158285755838,185042.8134738961,0.0347157897018478
M2,Tgm2,Itgb1,sCs,0.0,172.47791657459905,0.08481151287192101,0.0,1169.7639868674041,0.02216257183052306,3060350.37496447,0.0344399893561546
M2,Omg,Rtn4rl1,sCs,0.0,7.463897170392697,0.008905266165959934,0.0,35.65133562310119,0.10783444748432867,5701.971649490921,0.033743724415518594
M2,Spp1,Itgav,sCs,0.0,2286.298074417344,0.10197790851113496,0.0,279.4862623624104,0.015188774918694609,8582043.594701558,0.03314874645312749
M2,Lgi4,Adam11,sCs,0.0,6.852704167270493,0.042698344034094615,0.0,33.805674972873895,0.129017798772737,1196.1604174278596,0.0330396365461139
M2,Ifnb1,Ifnar2,sCs,-0.3333333333333333,-0.12822000047003998,0.156270728337644,0.0,44.413971240973694,0.014058124163201085,26.5979636725707,0.032187043023388484
M2,Nodal,Acvr1c,sCs,0.0,3.2834837211635786,0.015860987878987903,0.0,6.642953950322504,0.22384231201905014,91.43508539700217,0.0314757354199998
M2,Sema4d,Plxnb1,sCs,0.0,-597.6098444048002,-0.01461373518497966,0.0,107.93298189421931,0.044723190198998515,14827.269813552031,0.03143359605882645
