Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Gm13306,Ackr2,FAPs,0.33333333333333337,1.9522101107925067,0.7410050753919052,0.0,-6.456189634658643,-0.03526259670355458,18.398050250725962,0.6477607536358329
MuSCs,Gdf6,Bmpr1b,FAPs,0.0,28.84724096338843,0.4700036344820591,0.0,114.65052880273414,0.13353478372034575,8520.825145311679,0.3978076069907867
MuSCs,Nppa,Npr3,FAPs,0.0,8.286675368560719,0.573840143521832,0.0,26.949261172783338,0.03975340716273479,629.2369567191106,0.3609940034874537
MuSCs,Ccl17,Ackr2,FAPs,0.0,5.527892997978094,0.40132133657938507,0.0,-6.456189634658643,-0.03526259670355458,29.56686549806551,0.3491708842060821
MuSCs,Fgf15,Fgfr2,FAPs,0.33333333333333337,2.9309664346638065,0.6870604166193985,0.0,-36.32464917306549,-0.183705726694792,259.1102146241303,0.3191829953452833
MuSCs,Wnt7b,Fzd10,FAPs,0.0,5.2751609076721255,0.3307878140226301,0.6666666666666667,2.376547872664081,0.3421252119109917,24.948641598438282,0.30713846272526313
MuSCs,Fgf15,Fgfr1,FAPs,0.33333333333333337,2.9309664346638065,0.6870604166193985,0.0,-7.400424272594138,-0.010096796809831277,10716.352610380996,0.2983597017058865
MuSCs,Fgf15,Klb,FAPs,0.33333333333333337,2.9309664346638065,0.6870604166193985,0.0,-18.90514050677133,-0.04053264399852863,223.59198455636337,0.2642793458178228
MuSCs,Agt,Agtr2,FAPs,0.0,8.83972753370183,0.2410055813571712,0.0,1021.8623499334043,0.015832526584436013,31143.60985898365,0.2318617313046889
MuSCs,Gm13306,Ccr10,FAPs,0.33333333333333337,1.9522101107925067,0.7410050753919052,0.0,-0.7942368132425699,-0.02201475462363861,51.078631357126035,0.2315196553078039
MuSCs,Ihh,Hhip,FAPs,0.0,2.151378667948757,0.2816112760058287,0.0,61.88372286168603,0.2290363386000634,377.6908447695318,0.2277294820784931
MuSCs,Cntf,Cntfr,FAPs,-0.33333333333333337,1.7273463482794271,0.2360835364017435,0.0,-55.840896857102614,0.012137546381068787,106.83454575269337,0.22075047078430865
MuSCs,Gdf6,Bmpr1a,FAPs,0.0,28.84724096338843,0.4700036344820591,0.0,-61.67775040686685,0.006413312665941195,69566.13138876963,0.21971251316385745
MuSCs,Wnt7b,Fzd1,FAPs,0.0,5.2751609076721255,0.3307878140226301,0.0,-288.65496044076883,-0.060805948544856776,2735.601155485304,0.20626443990264956
MuSCs,Ihh,Boc,FAPs,0.0,2.151378667948757,0.2816112760058287,0.0,-136.8375293086367,-0.00014514966526679718,3780.4158252676148,0.20284107238959567
MuSCs,Wnt7b,Fzd8,FAPs,0.0,5.2751609076721255,0.3307878140226301,0.0,12.763520528783147,0.037717358080290864,4045.0164296545,0.19577667666561915
