Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Prok2,Prokr2,ECs,0.0,0.39416522821876493,0.5518696333270867,0.0,-9.136656969362704,0.34137993054009463,1.796269827564478,0.4747302639828581
Resolving-Mac,Pf4,Fgfr2,ECs,0.0,380.4862345878451,0.008103071152283814,0.0,34.299511512464626,0.1793722493130645,62582.74646929878,0.1804492580841651
Resolving-Mac,Ccl22,Ccr4,ECs,0.0,-16.088919059499982,0.006344636402280446,0.33333333333333337,13.217738658183176,0.16974026081662769,1118.3112375993685,0.1709446530741927
Resolving-Mac,Ccl12,Ccr4,ECs,0.0,-170.43420020195958,-0.001884295269269032,0.33333333333333337,13.217738658183176,0.16974026081662769,2621.428339890685,0.1663909139352097
Resolving-Mac,Bmp7,Eng,ECs,-0.33333333333333337,0.9826664423380262,0.1838297821019428,0.0,39.97299381542507,0.0069682118695942865,9149.113197855859,0.14786365962689255
Resolving-Mac,Ccl5,Ccr4,ECs,0.0,-133.32903757018505,-0.012010975156967252,0.33333333333333337,13.217738658183176,0.16974026081662769,1382.3319021264608,0.1381016004742234
Resolving-Mac,Edn2,Ednrb,ECs,0.3333333333333333,0.697682737046,0.20560612670591152,0.0,646.5475579713698,0.032120241995800436,1995.9920439533207,0.12738139142611088
Resolving-Mac,Ahsg,Insr,ECs,0.0,4.146755102142257,0.397549495285668,0.0,-407.03539648990113,-0.048642848162057765,5751.033883489256,0.11460589491578388
Resolving-Mac,Cxcl16,Cxcr6,ECs,0.0,-482.14518001529717,0.0019094564739268183,0.0,13.798954852855802,0.12017939385413948,60835.541113135616,0.1134250870044523
Resolving-Mac,Sost,Lrp5,ECs,0.6666666666666667,4.413877836497747,0.284094172867876,0.0,-24.06994556595009,0.0018776815917113665,7124.225836417991,0.11071003854729793
Resolving-Mac,Il4,Il13ra2,ECs,0.0,10.61833438955685,0.08222683821867031,0.0,13.997021807164163,0.3099845831643103,433.8187868458557,0.11018707546907176
Resolving-Mac,Tnfsf18,Tnfrsf18,ECs,0.0,11.087127168935929,-0.11119184931899684,0.0,9.641290248108817,0.2204733181160888,528.9488427467969,0.10194401391493384
Resolving-Mac,Muc2,Agr2,ECs,0.0,8.504784223631074,0.1108803553465256,0.0,58.908365061336404,-0.01887044951010353,2831.5764890461724,0.09873685238853967
Resolving-Mac,Angpt4,Tek,ECs,0.6666666666666667,4.132837985708822,0.10041587573704623,0.0,637.9433381432464,0.00976614548792265,18233.81907350972,0.0837448331726873
Resolving-Mac,Cdh1,Ptprm,ECs,0.0,7.894724890269099,0.0999777792666302,0.0,479.2307709318993,-0.004318712140368386,62218.088637313675,0.08310036023865203
Resolving-Mac,Pf4,Thbd,ECs,0.0,380.4862345878451,0.008103071152283814,0.0,306.7314329883743,0.07782308710332497,1280674.30212584,0.08258698041077284
Resolving-Mac,Ifnb1,Ifnar1,ECs,-0.3333333333333333,-0.12822000047004026,0.15627072833764388,0.0,283.48466942970026,0.0458558505832187,250.1212400960549,0.0808826262601787
Resolving-Mac,Tnfrsf14,Cd160,ECs,0.0,-56.84015953752709,0.04452368969069731,0.0,26.264174335899497,0.1008370224025028,5815.854489683279,0.08042703227797188
Resolving-Mac,Icosl,Icos,ECs,0.0,-140.49010524120888,-0.04330245206085859,0.0,5.106166165330107,0.1007471814799731,2269.460514405834,0.07842923611358814
Resolving-Mac,Il16,Kcnj15,ECs,0.0,0.4974497667456035,0.006632827649048378,0.0,7.648761082907613,0.15699092364743406,2717.5400222826065,0.07039858306597682
Resolving-Mac,Shh,Ptch1,ECs,0.0,1.7963847075342672,0.14116079843604715,0.0,-36.85086347279525,0.03774699602021542,1244.5428869813213,0.06909572501129935
Resolving-Mac,Col4a3,Cd93,ECs,0.0,9.92310420934408,0.09022328861003344,0.0,4502.4587107685,-0.002470498073745664,256580.27811943513,0.06727812828925485
Resolving-Mac,Chad,Itga2,ECs,0.0,4.818231142278684,0.0721007439366903,0.0,349.9890341891526,0.05604757273700922,22869.900299099518,0.0657920734880634
Resolving-Mac,Adam9,Itga3,ECs,0.0,173.05866143867982,0.032753917908666115,0.0,83.44284758691492,0.11219206399851887,321872.713879186,0.06570986843737822
Resolving-Mac,Cxcl2,Cxcr2,ECs,0.0,376.94454715039285,-0.013750676315513188,0.33333333333333337,1.911062297391634,0.06867352429209203,8276.830767647521,0.06264284166765649
Resolving-Mac,Ifnk,Ifnar1,ECs,0.0,0.05754685319746855,0.09719840468281328,0.0,283.48466942970026,0.0458558505832187,5396.452942841024,0.0602376869210193
Resolving-Mac,Hgf,St14,ECs,0.0,-43.031949584699994,0.06879020272729386,0.0,7.725288963907643,0.044179370685449804,9037.665594751088,0.06019560559337489
Resolving-Mac,Bmp7,Bmpr2,ECs,-0.33333333333333337,0.9826664423380262,0.1838297821019428,0.0,-5.028691929975139,0.007076474377803509,7334.1134384011575,0.05843146969381479
Resolving-Mac,Cdh1,Itgae,ECs,0.0,7.894724890269099,0.0999777792666302,0.0,14.855734788252835,0.1137191984013425,294.4943081932755,0.05767089710296401
Resolving-Mac,Xcl1,Xcr1,ECs,0.0,1.5493611145910289,-0.1620304433483034,0.6666666666666667,4.4555109349950985,0.0760771976685134,21.403217980477976,0.05733091138765175
Resolving-Mac,Bmp7,Acvr2b,ECs,-0.33333333333333337,0.9826664423380262,0.1838297821019428,0.0,2.856052463625062,-0.022108506282176643,81.66407746816981,0.05626850508860254
Resolving-Mac,Il15,Il2rb,ECs,0.0,-38.09058517543394,-0.039477702784754376,0.0,5.710162193556472,0.09774416947361476,1799.6252860729644,0.055748239154555214
Resolving-Mac,Ecm1,Itgb4,ECs,0.0,163.90585192852302,0.0484916135401913,0.0,275.14168852110686,0.12232962611562392,353328.37678442756,0.054339174730554426
Resolving-Mac,Cd5l,Cd5,ECs,0.0,10.611103597536156,0.0,0.0,2.025614459952536,0.05316093037974201,601.4590279441945,0.05316093037974201
Resolving-Mac,Thbs1,Itga3,ECs,0.0,1007.784406112166,0.012062443775920915,0.0,83.44284758691492,0.11219206399851887,1504798.1445239624,0.05100402298697679
Resolving-Mac,Tgfb1,Tgfbr3,ECs,0.0,-241.59222544796197,-0.00457555763738049,0.0,795.8849184247798,0.07943540704876811,2765350.2105000485,0.050554544092879405
Resolving-Mac,Fgf9,Fgfr3,ECs,-0.6666666666666667,0.02887074937498602,0.07268562985453332,0.0,3.2521925230236945,-0.03473589622040018,14.58048707238595,0.048740203435825705
Resolving-Mac,Pnoc,Oprl1,ECs,0.6666666666666667,3.47835857373164,0.11050352967846967,0.0,5.9903013414605715,0.04808137754834835,66.44109385949267,0.04808178208886637
Resolving-Mac,Fgf22,Fgfr2,ECs,0.33333333333333337,2.487556414206976,0.0933067590691924,0.0,34.299511512464626,0.1793722493130645,302.26015053473134,0.04727526659106211
Resolving-Mac,Adipoq,Adipor2,ECs,0.33333333333333337,2.616867965510276,0.09451139804414843,0.0,281.00465524181647,0.057738639084064285,3436.0029532418794,0.0472278318629977
Resolving-Mac,Cdh1,Itgb7,ECs,0.0,7.894724890269099,0.0999777792666302,0.0,3.5538258988886757,0.04390492448044258,1019.3442503729865,0.046603631117461915
Resolving-Mac,Gdf7,Bmpr2,ECs,0.0,1.397053406628947,0.14290061918762315,0.0,-5.028691929975139,0.007076474377803509,10425.263013102964,0.046285806376205565
Resolving-Mac,Tg,Asgr1,ECs,0.0,-15.148111753868614,-0.013117503879976232,0.0,14.22042260115397,0.13043137772324698,635.7361951221693,0.044320647611025804
Resolving-Mac,Agrp,Mc5r,ECs,0.0,1.7870143493235895,0.09704531651522164,0.0,45.521989801734954,0.0659642839607994,613.2242259654773,0.04379282480515771
Resolving-Mac,Il15,Il15ra,ECs,0.0,-38.09058517543394,-0.039477702784754376,0.0,19.6779460496754,0.09032680688785788,2263.1543352518493,0.0436660847157338
Resolving-Mac,Shh,Ptch2,ECs,0.0,1.7963847075342672,0.14116079843604715,0.0,-17.366685992631346,0.0009827226027883107,454.4126849743666,0.04247970686776945
Resolving-Mac,Pf4,Ldlr,ECs,0.0,380.4862345878451,0.008103071152283814,0.0,75.40610808376391,0.04052956777385225,151749.2972537817,0.041195995240701874
Resolving-Mac,Apoe,Ldlr,ECs,0.0,17876.397107547105,0.009118739691947986,0.0,75.40610808376391,0.04052956777385225,11655595.460416613,0.04083082349220212
Resolving-Mac,Bmp7,Acvr1,ECs,-0.33333333333333337,0.9826664423380262,0.1838297821019428,0.0,55.785724914090615,0.030679183243659317,491.2900006597479,0.04058277093528676
Resolving-Mac,Psap,Gpr37l1,ECs,0.0,-3793.1608526489727,-0.013986421919913505,0.0,3.9695433922001495,0.05090495631817932,266628.806557694,0.0396664937827752
Resolving-Mac,Bmp7,Acvr2a,ECs,-0.33333333333333337,0.9826664423380262,0.1838297821019428,0.0,-222.64273778140407,-0.011928533177437887,777.095564951097,0.038602866472484565
Resolving-Mac,Lif,Il6st,ECs,0.0,5.3136992163563335,0.09345892294897136,0.0,338.1521678344561,0.022322341594782524,48787.16982193128,0.038352361332638064
Resolving-Mac,Timp2,Itga3,ECs,0.0,482.8797459925918,0.00775287462786578,0.0,83.44284758691492,0.11219206399851887,905049.2363003857,0.03804127525136272
Resolving-Mac,Efnb3,Ephb4,ECs,0.0,2.3285987971229543,0.042809827605035385,0.0,549.1508861374932,0.047506663128662696,11100.667916433942,0.03755939423058827
Resolving-Mac,Fgf6,Fgfr2,ECs,0.0,0.1498593748078798,-0.25863872572179075,0.0,34.299511512464626,0.1793722493130645,41.35877933151098,0.037290618583399014
Resolving-Mac,Nlgn3,Nrxn2,ECs,0.0,11.499220712035115,0.06938803317011905,0.0,19.251604351058425,0.17609509884248925,664.2584403864056,0.03701536716446322
Resolving-Mac,Efnb3,Rhbdl2,ECs,0.0,2.3285987971229543,0.042809827605035385,0.0,-9.211964817359464,-0.026789901781896,33.189357830536146,0.036643614733917806
Resolving-Mac,Gnai2,Fpr1,ECs,0.0,240.93101703301681,0.00337407766450315,0.0,17.841241430652897,0.106126716957688,76330.56824211091,0.03521894977437933
Resolving-Mac,Il4,Il2rg,ECs,0.0,10.61833438955685,0.08222683821867031,0.0,80.93779642572882,0.03758443302220227,6564.57764827795,0.03460704469104125
Resolving-Mac,Tgfb1,Tgfbr2,ECs,0.0,-241.59222544796197,-0.00457555763738049,0.0,756.9314847268465,0.05295459540505981,2526251.2698425693,0.033690574968256795
Resolving-Mac,Vcam1,Itgb7,ECs,0.0,415.01681705452035,0.07118404627367109,0.0,3.5538258988886757,0.04390492448044258,60642.344309851345,0.03365125031003376
Resolving-Mac,Sost,Lrp6,ECs,0.6666666666666667,4.413877836497747,0.284094172867876,0.0,4.2479633172570175,-0.004588963112296811,6496.522566779204,0.033231803328179085
Resolving-Mac,Rtn4,Cntnap1,ECs,0.0,369.48776438516603,0.027563871443709143,0.0,43.761094085803336,0.07595267272886043,269796.37690627296,0.03168907269471721
Resolving-Mac,Pgf,Flt1,ECs,0.33333333333333337,4.0719041527581465,0.030616588913409806,0.0,-2950.0455089162715,-0.020129949978139997,26890.237455862574,0.02885070224451186
Resolving-Mac,Gdf7,Acvr2a,ECs,0.0,1.397053406628947,0.14290061918762315,0.0,-222.64273778140407,-0.011928533177437887,1033.0635614886335,0.028551754574247582
Resolving-Mac,Anxa1,Fpr1,ECs,0.0,158.37483340347626,-0.029023869025999405,0.0,17.841241430652897,0.106126716957688,49495.982942138966,0.028205694402241983
Resolving-Mac,Fgf9,Fgfr2,ECs,-0.6666666666666667,0.02887074937498602,0.07268562985453332,0.0,34.299511512464626,0.1793722493130645,77.16857907568668,0.02773051170320742
Resolving-Mac,Cd38,Pecam1,ECs,0.0,265.65023257377015,0.028114248826052457,0.0,2468.623270360731,0.0008146096616072906,8770283.812125478,0.027394977860973
Resolving-Mac,Il1b,Il1rap,ECs,0.0,-450.8174016925532,0.0011106898465027546,0.0,33.162448481244375,0.02723159896295249,131873.7281686283,0.02738579925821361
Resolving-Mac,Pltp,Abca1,ECs,0.0,-404.47353278504943,-0.015164760871272054,0.0,2207.85195203464,0.0348662413465492,6494708.223482938,0.027027833858282
Resolving-Mac,Calr,Itga3,ECs,0.0,299.93115659036675,-0.015243220366671084,0.0,83.44284758691492,0.11219206399851887,593438.6294553834,0.0267779360694308
Resolving-Mac,Pdpn,Clec1b,ECs,0.0,48.25025195694562,0.026450667579756625,0.0,8.982575408512332,0.14277705844750166,14863.8899001914,0.02669006517918622
Resolving-Mac,Adipoq,Adipor1,ECs,0.33333333333333337,2.616867965510276,0.09451139804414843,0.0,84.21390927827701,0.0013961012503178052,3683.609085358645,0.026567997437160658
Resolving-Mac,Cd40lg,Cd40,ECs,-0.33333333333333337,-1.6608255445382518,-0.2263881283401883,0.0,19.153779506840237,0.09971952307481223,16.3590676460758,0.026176836710315704
Resolving-Mac,Efnb3,Epha4,ECs,0.0,2.3285987971229543,0.042809827605035385,0.0,19.27074345044082,0.046991059897223686,1878.4961778747256,0.02589871645944463
Resolving-Mac,Ebi3,Il6st,ECs,0.0,28.435218641531183,0.011018996666041224,0.0,338.1521678344561,0.022322341594782524,290534.932515895,0.025617730053279497
Resolving-Mac,Spp1,Itgb1,ECs,0.0,2286.298074417344,0.10197790851113507,0.0,400.0694815117604,-0.003717375049177518,22065120.55208957,0.025046952722559912
