Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
ECs,Agt,Mas1,ECs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,59.8808811360062,179.6426434080186,0.4023664425898093,0.4023664425898093,721.4528369572282,0.03434164774055119,6493.075532615054,0.03434164774055118
ECs,Agt,Mas1,FAPs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,27.7432593953388,83.2297781860164,0.1864193775538237,0.1864193775538237,334.2544868661296,0.01591074184705971,3008.290381795166,0.01591074184705971
ECs,Agt,Mas1,MuSCs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,61.19761694571057,183.5928508371317,0.4112141798563671,0.411214179856367,737.3170454894433,0.03509679490081979,6635.85340940499,0.03509679490081978
FAPs,Agt,Mas1,ECs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,59.8808811360062,179.6426434080186,0.4023664425898093,0.4023664425898093,6972.029175127114,0.3318733501400811,62748.26257614403,0.3318733501400811
FAPs,Agt,Mas1,FAPs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,27.7432593953388,83.2297781860164,0.1864193775538237,0.1864193775538237,3230.1931809937,0.1537594014093436,29071.73862894331,0.1537594014093436
FAPs,Agt,Mas1,MuSCs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,61.19761694571057,183.5928508371317,0.4112141798563671,0.411214179856367,7125.338884453909,0.3391709970037516,64128.04996008519,0.3391709970037515
MuSCs,Agt,Mas1,ECs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,59.8808811360062,179.6426434080186,0.4023664425898093,0.4023664425898093,759.4732361878087,0.03615144470917704,6835.259125690279,0.03615144470917704
MuSCs,Agt,Mas1,FAPs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,27.7432593953388,83.2297781860164,0.1864193775538237,0.1864193775538237,351.869621749876,0.01674923429742036,3166.826595748884,0.01674923429742036
MuSCs,Agt,Mas1,MuSCs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,61.19761694571057,183.5928508371317,0.4112141798563671,0.411214179856367,776.1734848753524,0.03694638795179573,6985.561363878172,0.03694638795179572
ECs,Agt,Agtr1a,ECs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,140.569565725576,421.708697176728,0.07574936331250476,0.07574936331250476,1693.600863224142,0.006465146384240131,15242.40776901728,0.00646514638424013
ECs,Agt,Agtr1a,FAPs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,418.2343838930523,1254.703151679157,0.2253758708847757,0.2253758708847757,5038.943600168031,0.01923564678338546,45350.49240151228,0.01923564678338545
ECs,Agt,Agtr1a,MuSCs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,3,1.0,1296.915485878867,3890.7464576366,0.6988747658027196,0.6988747658027195,15625.41062907738,0.0596483913208051,140628.6956616964,0.05964839132080508
FAPs,Agt,Agtr1a,ECs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,140.569565725576,421.708697176728,0.07574936331250476,0.07574936331250476,16366.74502413692,0.06247835881067036,147300.7052172323,0.06247835881067036
FAPs,Agt,Agtr1a,FAPs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,418.2343838930523,1254.703151679157,0.2253758708847757,0.2253758708847757,48695.71508008967,0.1858908631391997,438261.4357208071,0.1858908631391996
FAPs,Agt,Agtr1a,MuSCs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,3,1.0,1296.915485878867,3890.7464576366,0.6988747658027196,0.6988747658027195,151001.9965251414,0.5764345266033062,1359017.968726273,0.5764345266033061
MuSCs,Agt,Agtr1a,ECs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,140.569565725576,421.708697176728,0.07574936331250476,0.07574936331250476,1782.853240730359,0.006805858117594263,16045.67916657323,0.006805858117594263
MuSCs,Agt,Agtr1a,FAPs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,418.2343838930523,1254.703151679157,0.2253758708847757,0.2253758708847757,5304.494773529244,0.02024936096219061,47740.45296176319,0.02024936096219061
MuSCs,Agt,Agtr1a,MuSCs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,3,1.0,1296.915485878867,3890.7464576366,0.6988747658027196,0.6988747658027195,16448.86618961667,0.06279184787860827,148039.79570655,0.06279184787860825
ECs,Agt,Agtr2,FAPs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,108.6938847053685,0.07261358231448609,978.2449623483166,0.07261358231448609
ECs,Agt,Agtr2,MuSCs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,19.06367968946789,0.01273560217394458,171.573117205211,0.01273560217394458
FAPs,Agt,Agtr2,FAPs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,1050.403985546542,0.7017284962691268,9453.635869918879,0.7017284962691268
FAPs,Agt,Agtr2,MuSCs,3,1.0,116.431639662945,349.294918988835,0.8248037485531762,0.8248037485531762,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,184.2289948443687,0.1230752522840493,1658.060953599318,0.1230752522840493
MuSCs,Agt,Agtr2,FAPs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,2,0.6666666666666666,9.021636975888427,27.06491092766528,0.8507823800510838,0.8507823800510838,114.4220275287445,0.0764403014674708,1029.798247758701,0.0764403014674708
MuSCs,Agt,Agtr2,MuSCs,3,1.0,12.6830671456359,38.04920143690769,0.08984706695839313,0.08984706695839313,1,0.3333333333333333,1.582293226975833,4.7468796809275,0.1492176199489162,0.1492176199489162,20.0683312418194,0.01340676549092234,180.6149811763746,0.01340676549092234
ECs,Agt,Lrp2,ECs,3,1.0,12.04813328178333,36.14439984535,0.08534918448843068,0.08534918448843067,1,0.3333333333333333,1.27165338312656,3.81496014937968,0.6263948191777434,0.6263948191777434,15.32104944813948,0.0534622869845984,137.8894450332553,0.05346228698459839
