Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
ECs,Agt,Mas1,ECs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,50.21583072063217,150.6474921618965,0.3389816657776697,0.3389816657776696,170.9280696889946,0.02294532251112473,1538.352627200951,0.02294532251112473
ECs,Agt,Mas1,FAPs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,41.65070018045626,124.9521005413688,0.2811628031511655,0.2811628031511655,141.773494152619,0.01903162279185528,1275.961447373571,0.01903162279185528
ECs,Agt,Mas1,MuSCs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,56.27077500727177,168.8123250218153,0.3798555310711648,0.3798555310711648,191.5383020427627,0.02571203267901516,1723.844718384864,0.02571203267901516
FAPs,Agt,Mas1,ECs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,50.21583072063217,150.6474921618965,0.3389816657776697,0.3389816657776696,2107.707476627918,0.2829378925201207,18969.36728965126,0.2829378925201207
FAPs,Agt,Mas1,FAPs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,41.65070018045626,124.9521005413688,0.2811628031511655,0.2811628031511655,1748.203523019011,0.2346782112718049,15733.8317071711,0.2346782112718049
FAPs,Agt,Mas1,MuSCs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,56.27077500727177,168.8123250218153,0.3798555310711648,0.3798555310711648,2361.851461908484,0.3170540895680103,21256.66315717636,0.3170540895680103
MuSCs,Agt,Mas1,ECs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,50.21583072063217,150.6474921618965,0.3389816657776697,0.3389816657776696,246.5624221685978,0.03309845074642428,2219.06179951738,0.03309845074642428
MuSCs,Agt,Mas1,FAPs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,41.65070018045626,124.9521005413688,0.2811628031511655,0.2811628031511655,204.5071718248389,0.02745296908750535,1840.564546423551,0.02745296908750535
MuSCs,Agt,Mas1,MuSCs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,56.27077500727177,168.8123250218153,0.3798555310711648,0.3798555310711648,276.292523373443,0.03708940882413943,2486.632710360987,0.03708940882413944
ECs,Agt,Agtr1a,ECs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,94.93396652091285,284.8018995627385,0.06265086947118514,0.06265086947118513,323.1427104256216,0.004240773324187905,2908.284393830594,0.004240773324187904
ECs,Agt,Agtr1a,FAPs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,340.7291373040614,1022.187411912184,0.2248613166454367,0.2248613166454367,1159.797077742069,0.01522063271141541,10438.17369967862,0.01522063271141541
ECs,Agt,Agtr1a,MuSCs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,3,1.0,1079.622594876711,3238.867784630133,0.7124878138833781,0.7124878138833781,3674.893026494902,0.04822757194639186,33074.03723845412,0.04822757194639186
FAPs,Agt,Agtr1a,ECs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,94.93396652091285,284.8018995627385,0.06265086947118514,0.06265086947118513,3984.66037802418,0.0522928133356822,35861.94340221763,0.0522928133356822
FAPs,Agt,Agtr1a,FAPs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,340.7291373040614,1022.187411912184,0.2248613166454367,0.2248613166454367,14301.41331716895,0.1876850386436164,128712.7198545205,0.1876850386436164
FAPs,Agt,Agtr1a,MuSCs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,3,1.0,1079.622594876711,3238.867784630133,0.7124878138833781,0.7124878138833781,45314.96507182407,0.5946923413806372,407834.6856464167,0.5946923413806372
MuSCs,Agt,Agtr1a,ECs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,94.93396652091285,284.8018995627385,0.06265086947118514,0.06265086947118513,466.1308674089415,0.006117282811315039,4195.177806680473,0.006117282811315039
MuSCs,Agt,Agtr1a,FAPs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,340.7291373040614,1022.187411912184,0.2248613166454367,0.2248613166454367,1672.998339198808,0.0219556452904049,15056.98505278927,0.0219556452904049
MuSCs,Agt,Agtr1a,MuSCs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,3,1.0,1079.622594876711,3238.867784630133,0.7124878138833781,0.7124878138833781,5301.004846493107,0.06956790055634912,47709.04361843797,0.06956790055634914
ECs,Agt,Agtr2,FAPs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,2,0.6666666666666666,4.67433792618317,14.02301377854951,0.7578850120774444,0.7578850120774443,15.91083025672764,0.05130046189539429,143.1974723105487,0.05130046189539428
ECs,Agt,Agtr2,MuSCs,3,1.0,3.403868207217877,10.21160462165363,0.06768897798199518,0.06768897798199518,2,0.6666666666666666,1.49327042032616,4.479811260978479,0.2421149879225557,0.2421149879225556,5.082895708527091,0.0163885160866009,45.74606137674382,0.0163885160866009
FAPs,Agt,Agtr2,FAPs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,2,0.6666666666666666,4.67433792618317,14.02301377854951,0.7578850120774444,0.7578850120774443,196.1958381234896,0.6325840295752778,1765.762543111406,0.6325840295752777
FAPs,Agt,Agtr2,MuSCs,3,1.0,41.97296841216896,125.9189052365069,0.8346701933599359,0.8346701933599359,2,0.6666666666666666,1.49327042032616,4.479811260978479,0.2421149879225557,0.2421149879225556,62.67699218317617,0.2020861637846581,564.0929296485856,0.202086163784658
MuSCs,Agt,Agtr2,FAPs,3,1.0,4.910053635083901,14.7301609052517,0.09764082865806907,0.09764082865806908,2,0.6666666666666666,4.67433792618317,14.02301377854951,0.7578850120774444,0.7578850120774443,22.95124992606621,0.07400052060677235,206.5612493345959,0.07400052060677235
