Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
FAPs (3 cells),ECs (3 cells),22941660232.646664,118.11120172016516,1301,17633866.435547013,0.09078493598782872
FAPs (3 cells),Resolving-Mac (3 cells),21437600457.323723,75.59527513188588,1192,17984564.142050102,0.06341885497641434
FAPs (3 cells),Inflammatory-Mac (3 cells),18684786459.294975,76.69262149456937,1224,15265348.414456679,0.06265737050209916
FAPs (3 cells),FAPs (3 cells),18160901445.12384,148.0515459671529,1323,13727060.805082267,0.11190593043624557
FAPs (3 cells),MuSCs (3 cells),13535755520.86348,116.31964378804801,1334,10146743.269013103,0.08719613477364918
Resolving-Mac (3 cells),Resolving-Mac (3 cells),10352146563.074404,41.65946679387481,1031,10040879.304630848,0.040406854310256854
Resolving-Mac (3 cells),FAPs (3 cells),8646816071.860003,50.99126732979067,1112,7775913.7336870525,0.04585545623182614
Resolving-Mac (3 cells),Inflammatory-Mac (3 cells),8349003950.582144,47.10820919549129,1055,7913747.820457009,0.044652330990987005
Inflammatory-Mac (3 cells),Resolving-Mac (3 cells),7438729761.584841,41.66736140247884,1018,7307200.158727742,0.040930610415008686
Inflammatory-Mac (3 cells),Inflammatory-Mac (3 cells),6044912845.787677,48.192002602879235,1045,5784605.5940551935,0.04611674890227678
Inflammatory-Mac (3 cells),FAPs (3 cells),5959790812.22626,47.24561310334787,1101,5413070.674138293,0.042911546869525766
ECs (3 cells),ECs (3 cells),4277256571.7791247,72.55249257521673,1232,3471799.1654051337,0.05889001020715644
ECs (3 cells),Resolving-Mac (3 cells),4136995763.9386854,41.55819392056243,1125,3677329.567945498,0.03694061681827772
ECs (3 cells),Inflammatory-Mac (3 cells),3714079606.1091623,42.33743059792452,1150,3229634.4400949236,0.03681515704167349
ECs (3 cells),FAPs (3 cells),3504932276.916077,79.66742198640108,1241,2824280.6421563877,0.0641961498681717
MuSCs (3 cells),Resolving-Mac (3 cells),3358731069.7042127,36.3439644475565,1180,2846382.262461197,0.030799969870810594
Resolving-Mac (3 cells),MuSCs (3 cells),3087986529.853425,38.92457888811831,1122,2752216.158514639,0.03469213804645126
MuSCs (3 cells),FAPs (3 cells),3053964491.460196,82.05789704490884,1307,2336621.646105735,0.06278339483160585
MuSCs (3 cells),Inflammatory-Mac (3 cells),3048529926.3748765,36.927763938095694,1208,2523617.488720924,0.030569341008357363
MuSCs (3 cells),ECs (3 cells),2872970641.1068583,61.707488130871994,1288,2230567.2679401073,0.0479095404742795
Resolving-Mac (3 cells),ECs (3 cells),2475343762.6516156,37.67162815288257,1093,2264724.3940087976,0.034466265464668404
ECs (3 cells),MuSCs (3 cells),2406613423.0997014,65.0441781314645,1258,1913047.2361682842,0.05170443412676034
Inflammatory-Mac (3 cells),MuSCs (3 cells),2278556545.254986,37.31548259489853,1106,2060177.7081871482,0.03373913435343448
MuSCs (3 cells),MuSCs (3 cells),2182640603.8930006,68.5125970110657,1325,1647275.9274664156,0.05170762038570996
Inflammatory-Mac (3 cells),ECs (3 cells),2147899945.406433,36.195733078205805,1077,1994336.068158248,0.033607923006690625
