Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Il1f6,Il1rl2,FAPs,0.3333333333333333,0.6181443333333334,1.0,1.0,13.05124,0.8252043498700937,8.067550048973334,0.8252043498700937
ECs,Csf2,Sdc2,FAPs,0.3333333333333333,0.1060906666666667,1.0,1.0,105.9632263333333,0.819340166699254,11.24170932385422,0.819340166699254
ECs,Zp3,Egfr,FAPs,0.3333333333333333,0.08261866666666666,1.0,1.0,80.22623700000003,0.7710561668249499,6.6281847326240015,0.7710561668249499
ECs,Adm2,Ramp1,FAPs,0.3333333333333333,0.072366,1.0,1.0,4.8571876666666665,0.7656318609505269,0.3514952426860001,0.7656318609505269
ECs,Ghrl,Gpr39,FAPs,1.0,18.015043333333328,0.7619878539611529,0.3333333333333333,0.08223666666666668,1.0,1.4814971135888892,0.7619878539611529
ECs,Fgf8,Fgfr2,FAPs,0.3333333333333333,0.2025923333333333,1.0,1.0,1.864751,0.7328098752209856,0.3777842561756666,0.7328098752209856
ECs,F8,Asgr2,FAPs,1.0,1.883886666666666,0.7298568945019563,0.3333333333333333,0.09969633333333333,1.0,0.1878165930822222,0.7298568945019563
ECs,Fgf8,Fgfr1,FAPs,0.3333333333333333,0.2025923333333333,1.0,1.0,82.95722966666666,0.653306596744776,16.80649872503922,0.653306596744776
ECs,Gip,Dpp4,FAPs,0.3333333333333333,0.2440396666666667,0.5984434824403371,1.0,17.65118333333333,0.9735837998868032,4.3075888969388885,0.5826348796517549
ECs,Fgf15,Fgfr2,FAPs,0.3333333333333333,0.06665,0.7218046741319933,1.0,1.864751,0.7328098752209856,0.12428565415,0.5289455931845902
ECs,Prok1,Prokr1,FAPs,0.3333333333333333,0.1559113333333333,0.581349448025395,1.0,3.661215333333333,0.9014801609289156,0.5708249642404445,0.5240749939618693
ECs,Gast,Cckbr,FAPs,0.6666666666666666,1.914804,0.6072071931133437,0.6666666666666666,0.1226416666666667,0.8154076983085706,0.2348347539,0.4951214197329594
ECs,Inhbc,Acvr2a,FAPs,0.3333333333333333,0.011835,1.0,1.0,27.084169,0.4933415757187404,0.320541140115,0.4933415757187404
ECs,Fgf15,Fgfr1,FAPs,0.3333333333333333,0.06665,0.7218046741319933,1.0,82.95722966666666,0.653306596744776,5.529099357283333,0.4715597551716446
ECs,Tnfsf13b,Tnfrsf17,FAPs,1.0,2.5165436666666667,0.4692469132610314,0.3333333333333333,0.06244166666666667,1.0,0.1571371807861111,0.4692469132610314
ECs,Fgf8,Fgfrl1,FAPs,0.3333333333333333,0.2025923333333333,1.0,1.0,3.018163,0.4548139791235885,0.6114566845503333,0.4548139791235885
ECs,Rln1,Rxfp1,FAPs,1.0,0.9914139999999999,0.5837683597777464,0.3333333333333333,0.02465,0.7287293797670431,0.0244383551,0.4254091547484612
ECs,Omg,Rtn4r,FAPs,1.0,4.523724666666666,0.4806607624766543,0.3333333333333333,0.157127,0.8586675361769721,0.7107992856993334,0.4127277926527736
ECs,Lin7c,Htr2c,FAPs,1.0,17.33793666666667,0.4000344953526488,0.3333333333333333,0.018813,1.0,0.32617860251,0.4000344953526488
ECs,Pomc,Mc5r,FAPs,0.3333333333333333,0.3560076666666667,1.0,0.6666666666666666,0.557194,0.3919611917661939,0.1983653358206666,0.3919611917661939
ECs,Adm2,Ramp2,FAPs,0.3333333333333333,0.072366,1.0,1.0,39.10044333333335,0.3829850994006638,2.82954268226,0.3829850994006638
ECs,Tnfsf13,Tnfrsf17,FAPs,1.0,0.665239,0.3721652871971906,0.3333333333333333,0.06244166666666667,1.0,0.04153863189166667,0.3721652871971906
ECs,Gdf1,Acvr1,FAPs,0.3333333333333333,0.040985,0.7398771234121421,1.0,14.247410999999998,0.4883980890531961,0.583930139835,0.3613545732086659
