Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Prok2,Prokr2,sCs,0.3333333333333333,4.779946,1.0,0.3333333333333333,0.013766,1.0,0.065800736636,1.0
ECs,Vip,Sctr,sCs,0.3333333333333333,0.1890113333333333,1.0,0.3333333333333333,0.0562306666666666,1.0,0.0106282332808888,1.0
ECs,Pla2g10,Pla2r1,sCs,0.3333333333333333,0.5952516666666666,0.935650775187706,1.0,13.49686266666667,0.5312930472004701,8.034029997104444,0.4971047514649583
ECs,Hsp90aa1,Cftr,sCs,1.0,155.2826053333333,0.4511422706622114,1.0,0.1935556666666667,0.8960357385346585,30.05582819703022,0.4042395976770173
ECs,Bmp10,Bmpr1a,sCs,0.3333333333333333,0.4760086666666667,1.0,1.0,22.52994333333334,0.3673371086668564,10.72444828617556,0.3673371086668564
ECs,Oxt,Avpr1a,sCs,1.0,0.5822833333333334,0.5190008657689688,1.0,5.895967,0.5671486174328377,3.433123317983334,0.2943506234673164
ECs,B2m,Gm11127,sCs,1.0,1890.363606666667,0.7325920767107167,0.3333333333333333,0.0163026666666666,0.3834057164359292,30.81796775828444,0.2808799900265575
ECs,Tdgf1,Acvr1b,sCs,0.3333333333333333,0.1895103333333333,1.0,1.0,2.731812666666666,0.2648129565618484,0.5177067290642222,0.2648129565618484
ECs,Dkk4,Kremen1,sCs,0.3333333333333333,0.092262,1.0,1.0,7.357278333333333,0.2574153571870626,0.67879721359,0.2574153571870626
ECs,Bmp10,Bmpr2,sCs,0.3333333333333333,0.4760086666666667,1.0,1.0,23.85061433333334,0.2500194201207672,11.35309912799089,0.2500194201207672
ECs,Wnt3,Fzd7,sCs,0.3333333333333333,0.1481273333333333,0.4596036120267127,1.0,13.75539366666667,0.5231823098264544,2.037549782793556,0.2404564793447172
