Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Prok1,Prokr2,MuSCs,0.6666666666666666,0.2154773333333333,1.0,0.3333333333333333,0.013766,1.0,0.0029662609706666,1.0
ECs,C1qa,Cspg4,MuSCs,0.3333333333333333,0.0124996666666666,1.0,1.0,43.10054,0.6995177245480974,0.5387423831533333,0.6995177245480974
ECs,Ccl4,Ccr5,MuSCs,0.3333333333333333,0.026619,1.0,0.3333333333333333,0.016924,0.5082282282282282,0.000450499956,0.5082282282282282
ECs,Gnai2,Cxcr1,MuSCs,1.0,82.987681,0.4489504115427952,0.3333333333333333,0.000484,1.0,0.040166037604,0.4489504115427952
ECs,Pla2g10,Pla2r1,MuSCs,0.3333333333333333,0.0728756666666666,0.6403049419813613,1.0,13.49686266666667,0.5205003657140063,0.9835928647417777,0.3332789564697841
ECs,Ccl3,Ccr5,MuSCs,0.3333333333333333,0.025425,0.5785685028141451,0.3333333333333333,0.016924,0.5082282282282282,0.0004302926999999,0.2940448450938916
ECs,Hsp90aa1,Cftr,MuSCs,1.0,77.127561,0.2899056040435161,1.0,0.1935556666666667,1.0,14.928476487729,0.2899056040435161
ECs,Lta,Tnfrsf1a,MuSCs,0.3333333333333333,0.014142,1.0,1.0,15.928304,0.236623480651995,0.225258075168,0.236623480651995
ECs,Gnai2,Ccr5,MuSCs,1.0,82.987681,0.4489504115427952,0.3333333333333333,0.016924,0.5082282282282282,1.404483513244,0.2281692722207287
ECs,Psap,Gpr37,MuSCs,1.0,90.56466633333334,0.2234788625831797,0.3333333333333333,0.014882,1.0,1.347783364372667,0.2234788625831797
ECs,Lta,Ltbr,MuSCs,0.3333333333333333,0.014142,1.0,1.0,5.773592333333333,0.212380705058332,0.0816501427779999,0.212380705058332
ECs,Pdgfb,Art1,MuSCs,1.0,46.11811066666667,0.95896098489411,0.3333333333333333,0.068748,0.2095519876774766,3.170527872112,0.2009521804897114
ECs,Icam1,Itgax,MuSCs,1.0,9.861094666666666,0.243709096397741,0.3333333333333333,0.0351666666666666,0.8241929939689385,0.3467818291111111,0.2008633298175188
ECs,Lta,Tnfrsf14,MuSCs,0.3333333333333333,0.014142,1.0,1.0,2.384832,0.1875270694932276,0.033726294144,0.1875270694932276
ECs,Qrfp,P2ry14,MuSCs,0.6666666666666666,0.2329866666666667,0.4906425117280099,1.0,5.247223333333333,0.366952175212777,1.222533073688889,0.1800423369304537
ECs,Cxcl2,Cxcr1,MuSCs,1.0,0.3821933333333334,0.1675988106211496,0.3333333333333333,0.000484,1.0,0.0001849815733333,0.1675988106211496
ECs,Serpina1e,Lrp1,MuSCs,0.3333333333333333,0.014102,1.0,1.0,46.13524966666667,0.1313677243502452,0.6505992907993335,0.1313677243502452
ECs,Prn,Rpsa,MuSCs,0.3333333333333333,1.091324666666667,0.5994568957956572,1.0,34.20111066666666,0.2169163940204933,37.32451569792978,0.1300320282067126
ECs,Hcrt,Hcrtr1,MuSCs,0.3333333333333333,0.1159123333333333,0.145323055513184,1.0,0.9903663333333332,0.8640972433278996,0.1147956725514444,0.1255732516609296
ECs,Dsg1a,Dsc3,MuSCs,0.3333333333333333,0.0040833333333333,0.1210581968752162,0.3333333333333333,0.0031473333333333,1.0,1.285161111111111e-05,0.1210581968752162
