Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Nmb,Grpr,ECs,1.0,55.08966566666667,0.9624690187571424,0.3333333333333333,0.0342993333333333,1.0,1.889538805922889,0.9624690187571424
FAPs,Il5,Csf2rb,ECs,0.6666666666666666,0.479921,1.0,1.0,3.080253,0.9515444181830144,1.478278100013,0.9515444181830144
FAPs,Cd2,Cd48,ECs,0.3333333333333333,0.2207943333333333,0.9122727523137948,0.3333333333333333,0.007787,1.0,0.0017193254736666,0.9122727523137948
FAPs,Cfh,Sell,ECs,1.0,274.2518313333333,0.90768474543873,0.3333333333333333,0.0022793333333333,1.0,0.6251113408857777,0.90768474543873
FAPs,Cd34,Sell,ECs,1.0,320.4798073333333,0.83973167405618,0.3333333333333333,0.0022793333333333,1.0,0.7304803075151111,0.83973167405618
FAPs,Fgf8,Fgfr3,ECs,0.6666666666666666,0.1287793333333333,1.0,1.0,4.959409333333333,0.8271666313262851,0.6386694276737778,0.8271666313262851
FAPs,Selplg,Sell,ECs,1.0,2.137824333333333,0.7628354881578912,0.3333333333333333,0.0022793333333333,1.0,0.0048728142637777,0.7628354881578912
FAPs,Csf3,Csf3r,ECs,0.3333333333333333,0.1152643333333333,0.5576820728517193,1.0,0.0214446666666666,1.0,0.0024718052068888,0.5576820728517193
FAPs,Podxl2,Sell,ECs,1.0,2.481869333333333,0.5366421328200824,0.3333333333333333,0.0022793333333333,1.0,0.0056570075004444,0.5366421328200824
FAPs,Sost,Lrp5,ECs,0.3333333333333333,0.132823,1.0,1.0,15.01856033333333,0.4908713633047416,1.994810239154333,0.4908713633047416
FAPs,Nppa,Npr1,ECs,0.6666666666666666,0.242445,0.5474768201053503,1.0,34.32490066666667,0.7676290729251072,8.321900542130003,0.4202591238654557
FAPs,Gdf5,Bmpr2,ECs,0.3333333333333333,0.030404,1.0,1.0,36.89194233333333,0.3567095043190808,1.121662614702667,0.3567095043190808
FAPs,Gdf6,Bmpr2,ECs,0.6666666666666666,0.359259,1.0,1.0,36.89194233333333,0.3567095043190808,13.253762310731,0.3567095043190808
FAPs,Rln3,Rxfp4,ECs,0.3333333333333333,0.114225,1.0,1.0,5.002662333333333,0.3527593062265809,0.571429105025,0.3527593062265809
FAPs,Gdf5,Acvr2a,ECs,0.3333333333333333,0.030404,1.0,1.0,15.75563966666667,0.3220556913988901,0.4790344684253334,0.3220556913988901
FAPs,Lama1,Itga1,ECs,0.3333333333333333,0.019747,0.7141772151898734,1.0,72.07569866666667,0.4479522040449755,1.423278821570667,0.3199172576230066
FAPs,Tnfsf14,Tnfrsf14,ECs,0.3333333333333333,0.0599213333333333,1.0,1.0,3.961421333333333,0.3114993985605504,0.2373736481884444,0.3114993985605504
FAPs,Gdf5,Acvr2b,ECs,0.3333333333333333,0.030404,1.0,1.0,1.485259333333333,0.3057455162066235,0.0451578247706666,0.3057455162066235
FAPs,Zp3,Mertk,ECs,0.3333333333333333,0.0872186666666666,1.0,1.0,7.374758333333332,0.2902113952021427,0.6432165888222221,0.2902113952021427
FAPs,Efna2,Epha5,ECs,1.0,2.015377,0.7554960962715589,0.3333333333333333,0.0085046666666666,0.3779124020559003,0.0171401095926666,0.2855113444858405
FAPs,Uts2,Uts2r,ECs,1.0,1.11805,0.7731620128421216,0.6666666666666666,0.0444036666666666,0.3440189039822324,0.0496455195166666,0.2659823482586434
FAPs,Nppa,Npr3,ECs,0.6666666666666666,0.242445,0.5474768201053503,1.0,1.536685,0.4822880013826122,0.3725615948250001,0.2640415013719173
FAPs,Nppa,Npr2,ECs,0.6666666666666666,0.242445,0.5474768201053503,1.0,19.523753,0.4652898160202426,4.733436296085,0.2547353889021658
FAPs,Ly86,Cd180,ECs,0.3333333333333333,0.005738,0.9433362560280578,1.0,0.402264,0.2604850908638803,0.002308190832,0.2457250303666613
FAPs,Tnfsf14,Ltbr,ECs,0.3333333333333333,0.0599213333333333,1.0,1.0,6.436245333333333,0.2367562936388591,0.3856684020337778,0.2367562936388591
FAPs,Ifnb1,Ifnar1,ECs,0.3333333333333333,0.001763,0.6312209094163982,1.0,12.944643,0.3748900893017936,0.022821405609,0.2366384631002729
FAPs,Efna5,Epha5,ECs,1.0,1.666083666666667,0.5997381826733804,0.3333333333333333,0.0085046666666666,0.3779124020559003,0.0141694862237777,0.2266484972187375
FAPs,Wnt3,Fzd8,ECs,0.6666666666666666,0.1741663333333333,1.0,1.0,3.235341333333333,0.2153734454473681,0.5634875371084443,0.2153734454473681
FAPs,Icosl,Icos,ECs,1.0,15.25501433333334,0.8065187839396453,0.6666666666666666,0.0835143333333333,0.2493769135522298,1.274012352038778,0.2011271650607664
FAPs,Ifnb1,Ifnar2,ECs,0.3333333333333333,0.001763,0.6312209094163982,1.0,16.69780766666667,0.3087131902856588,0.0294382349163333,0.1948662207209511
FAPs,Tnfsf11,Tnfrsf11a,ECs,0.3333333333333333,0.0792863333333333,1.0,1.0,0.7227396666666666,0.1904947117138812,0.0573033781245555,0.1904947117138812
FAPs,Cxcl1,Xcr1,ECs,1.0,153.7577133333333,0.7812411799860843,0.3333333333333333,0.0150606666666666,0.2394078124668829,2.315693667942222,0.1870352419095148
FAPs,Gdf5,Acvr1,ECs,0.3333333333333333,0.030404,1.0,1.0,4.621579,0.1778708528171788,0.140514487916,0.1778708528171788
FAPs,Efna4,Epha5,ECs,0.6666666666666666,0.3851916666666667,0.4682720202225272,0.3333333333333333,0.0085046666666666,0.3779124020559003,0.0032759267277777,0.1769658039778644
FAPs,C3,Itgax,ECs,1.0,283.1772156666667,0.9992428949822292,0.3333333333333333,0.0075013333333333,0.1758070060310615,2.124206687120889,0.1756739016646361
FAPs,Wnt3,Lrp6,ECs,0.6666666666666666,0.1741663333333333,1.0,1.0,12.40685866666667,0.1720325859617629,2.160857082158222,0.1720325859617629
FAPs,Sost,Lrp6,ECs,0.3333333333333333,0.132823,1.0,1.0,12.40685866666667,0.1720325859617629,1.647916188682667,0.1720325859617629
FAPs,Lama1,Itgb1,ECs,0.3333333333333333,0.019747,0.7141772151898734,1.0,77.08952333333333,0.2403816673726824,1.522286817263333,0.1716751097869208
FAPs,Wnt3,Ryk,ECs,0.6666666666666666,0.1741663333333333,1.0,1.0,7.423863,0.1690720838224332,1.292986997879,0.1690720838224332
FAPs,Dlk2,Notch1,ECs,0.3333333333333333,0.068402,0.2397636084069039,1.0,48.42420966666666,0.6311762527593259,3.312312789619333,0.151333095902324
FAPs,Icam1,Itgax,ECs,1.0,29.35342966666667,0.7254466225154019,0.3333333333333333,0.0075013333333333,0.1758070060310615,0.2201898604062222,0.1275385987397785
FAPs,Ltb,Cd40,ECs,0.3333333333333333,0.1600516666666667,0.1265548037346918,1.0,1.704784666666667,0.981710618882129,0.2728536272077778,0.1242401946968907
FAPs,Il1b,Il1r1,ECs,0.3333333333333333,0.3524213333333333,0.7162147240552154,1.0,6.382924,0.1363153751023214,2.249478586645333,0.0976310787633922
FAPs,Spon1,Lrp8,ECs,1.0,33.91722166666667,0.9003255417707673,0.6666666666666666,0.0305713333333333,0.1084248755136686,1.036894689312222,0.0976176847882717
FAPs,Lama1,Rpsa,ECs,0.3333333333333333,0.019747,0.7141772151898734,1.0,20.56839166666667,0.1304525281245593,0.4061640302416667,0.0931662232504764
FAPs,Fgf8,Fgfrl1,ECs,0.6666666666666666,0.1287793333333333,1.0,1.0,0.6537256666666666,0.0828723753410465,0.0841863555362222,0.0828723753410465
FAPs,Ren1,Atp6ap2,ECs,0.3333333333333333,0.0209133333333333,0.5733083565586878,1.0,5.347438999999999,0.1410514228841643,0.1118327742866667,0.0808659594439847
FAPs,Sost,Lrp4,ECs,0.3333333333333333,0.132823,1.0,1.0,0.6746743333333334,0.0706904785163634,0.0896122689763333,0.0706904785163634
FAPs,Gal,Gpr151,ECs,0.6666666666666666,0.48067,0.1949338371837906,1.0,0.3933823333333333,0.3432826356401089,0.1890870861633333,0.0669174014038915
FAPs,Hcrt,Hcrtr1,ECs,1.0,0.592495,0.7428302174598961,0.3333333333333333,0.1031263333333333,0.0899779983916868,0.0611018368683333,0.0668383761119029
FAPs,Lama1,Itga2,ECs,0.3333333333333333,0.019747,0.7141772151898734,1.0,0.229822,0.0922617542186241,0.004538295034,0.0658912426963895
FAPs,Il1rn,Il1r1,ECs,0.3333333333333333,0.0119743333333333,0.4463149786303549,1.0,6.382924,0.1363153751023214,0.0764312596173333,0.0608395937257813
