Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Nppa,Npr1,ECs,0.0,0.1373926666666667,0.5135325338904205,0.0,-4.91789,0.0372061071604052,3.784882243368444,0.417672719984613
ECs,Csf3,Csf3r,ECs,0.3333333333333333,0.0303323333333333,0.3533628869878451,-0.6666666666666667,0.0096903333333333,0.0,0.0013090767427778,0.3533628869878451
ECs,Icam2,Itgb2,ECs,0.0,-4.529799666666669,-0.0254676010287283,0.0,0.0267666666666666,0.2458324099983682,0.3159264099746668,0.2236950580485538
ECs,Nppa,Npr2,ECs,0.0,0.1373926666666667,0.5135325338904205,0.0,-5.8640043333333285,-0.0817747462632486,1.572184638245112,0.1873566192528842
ECs,B2m,Gm11127,ECs,0.0,-154.327769,-0.0427719407425783,0.0,0.0623226666666666,0.4017472583471201,28.42773518491545,0.16672927447641
ECs,Cytl1,Ccr2,ECs,0.0,-1.573459999999999,-0.0546927417398666,0.3333333333333333,0.0401276666666666,0.1868149147620467,0.053866744841111,0.165637868558011
ECs,Nppa,Npr3,ECs,0.0,0.1373926666666667,0.5135325338904205,0.0,-0.6237980000000001,-0.1481568347007965,0.0930251587713334,0.1542108402129813
ECs,Selplg,Selp,ECs,0.0,0.1152233333333332,0.1311108137764074,0.0,1.523073,0.2094018042578364,0.5715620283273333,0.1358283176071297
ECs,Selplg,Sele,ECs,0.0,0.1152233333333332,0.1311108137764074,0.0,0.0382609999999999,0.0355523418241577,0.0668203767457778,0.1331205155314298
ECs,Icam4,Itgb2,ECs,0.33333333333333337,0.1168016666666667,0.1736251570449019,0.0,0.0267666666666666,0.2458324099983682,0.0134281354288889,0.11295129168582
ECs,Il7,Il2rg,ECs,0.0,0.0284753333333333,0.1391998005604208,0.0,0.3605189999999991,0.0384561198096846,0.2341228248664444,0.0954634986133694
ECs,Ptprc,Mrc1,ECs,-0.33333333333333337,0.0622426666666666,0.4629800136165563,0.0,0.0428976666666667,0.0748558508572883,0.0051591618692222,0.0920354696351602
ECs,Mrc1,Ptprc,ECs,0.0,0.0428976666666667,0.0748558508572883,-0.33333333333333337,0.0622426666666666,0.4629800136165563,0.0051591618692222,0.0920354696351602
ECs,S100a9,Tlr4,ECs,-0.3333333333333333,-0.0015446666666666,0.6754537297056693,0.0,0.7310019999999999,0.0407260047661293,0.0516453954222222,0.0858227185021763
ECs,Gnai2,P2ry12,ECs,0.0,-19.076498666666662,-0.0421577204994403,-0.3333333333333333,0.1916776666666667,0.2133914016356419,10.82655274907589,0.0842119879363041
ECs,Cel,Cxcr4,ECs,0.3333333333333333,0.010653,0.1807796054318367,0.0,-0.36036,-0.0589483110444065,0.132218232352,0.0836466702109296
ECs,F2,F2rl3,ECs,0.6666666666666667,0.3411533333333335,0.1286828622331788,0.0,0.184937666666666,-0.0455368902102922,0.6170951435918889,0.076224247569407
ECs,Cd34,Selp,ECs,0.0,12.720076000000006,0.0369802375658646,0.0,1.523073,0.2094018042578364,118.16338807411395,0.0644050449733917
ECs,Pomc,Mc1r,ECs,0.6666666666666667,0.0975473333333332,0.1484714114653494,0.0,0.0921073333333333,0.0431210354503418,0.0423205596728888,0.0623495622513564
ECs,Il1b,Il1rap,ECs,-0.33333333333333337,0.0022866666666667,0.7919953013955587,0.0,0.0948566666666659,0.0022571527539677,0.0123061527122221,0.05589971056972
ECs,Gnai2,Cxcr2,ECs,0.0,-19.076498666666662,-0.0421577204994403,0.0,0.023202,0.204140014785767,1.167977847840222,0.049491023150982
ECs,F2,Thbd,ECs,0.6666666666666667,0.3411533333333335,0.1286828622331788,0.0,-6.8177489999999885,-0.0074198935962319,9.656976363523,0.048835893522962
ECs,Cd34,Sele,ECs,0.0,12.720076000000006,0.0369802375658646,0.0,0.0382609999999999,0.0355523418241577,8.759937409182001,0.0419773701258063
ECs,Icam1,Itgb2,ECs,0.0,-4.0323416666666665,-0.0525799020370071,0.0,0.0267666666666666,0.2458324099983682,0.0373686674333334,0.0392403974114412
ECs,F2,Gp1ba,ECs,0.6666666666666667,0.3411533333333335,0.1286828622331788,0.0,0.0944496666666667,0.1056016851079326,0.2848530918434446,0.0387798511853845
ECs,Sema7a,Plxnc1,ECs,0.0,-1.5543653333333225,-0.0053491574535654,0.33333333333333337,0.1203133333333334,0.0401721439642294,2.3142752103866675,0.0370272608033028
ECs,Tslp,Crlf2,ECs,0.33333333333333337,0.1281,0.0773530524160636,0.0,-0.3633816666666671,-0.0934722947096872,0.2363187117666669,0.0344778505892499
ECs,Wnt2b,Fzd4,ECs,0.0,0.359160666666667,0.0732537643642563,0.0,-1.6919276666666685,0.0144188156124663,8.42883124039933,0.0312082842633536
ECs,Icam5,Itgb2,ECs,0.0,-0.115641,0.0008406603042893,0.0,0.0267666666666666,0.2458324099983682,0.0004022519604445,0.0298944911512872
ECs,Lamb1,Itga6,ECs,0.0,2.0340556666666707,0.0333959831465579,0.0,-6.3333856666667145,-0.0080706712112889,196.5422066990859,0.0293544940926994
ECs,Icam4,Itgb1,ECs,0.33333333333333337,0.1168016666666667,0.1736251570449019,0.0,-16.04791699999999,-0.036020321315229,3.01387719247456,0.0289337497351663
ECs,Tnfsf13,Fas,ECs,0.0,0.1500239999999998,0.0300089864903921,0.0,2.45869433333333,0.0441346693612131,4.25289996101978,0.0284291132825066
ECs,Vasp,Cxcr2,ECs,0.0,-3.6885306666666704,-0.0274548313982116,0.0,0.023202,0.204140014785767,0.1798159914555556,0.0259015659840156
ECs,Ucn2,Il10rb,ECs,0.3333333333333333,0.03507,0.0463849140623471,0.0,-4.51866566666666,-0.0148150607543677,0.4351261021395557,0.0242372746053292
ECs,Il23a,Il12rb1,ECs,0.33333333333333337,0.2835516666666667,0.1535708773430722,0.3333333333333333,0.0066883333333332,0.0397324861268197,0.0236440564777778,0.0222831549111654
ECs,Snca,Lag3,ECs,0.3333333333333333,0.0929723333333334,0.0989542807769472,0.0,-2.8887220000000005,-0.0285330978390361,0.2961393581202222,0.0192154221017981
ECs,Spp1,Itgb1,ECs,0.0,0.290517,0.0941323701171763,0.0,-16.04791699999999,-0.036020321315229,16.940563035529337,0.0190508810849019
ECs,Lamc2,Itga6,ECs,-0.33333333333333337,0.0665246666666667,0.0178270930497601,0.0,-6.3333856666667145,-0.0080706712112889,8.577760045651111,0.0159625179648729
ECs,Il15,Il2rg,ECs,0.0,-0.1582236666666654,0.0069049949283538,0.0,0.3605189999999991,0.0384561198096846,0.6298814755234545,0.0157195096315596
ECs,Spp1,Itgb5,ECs,0.0,0.290517,0.0941323701171763,0.0,-1.0686799999999987,-0.0151926431258709,2.280943892310334,0.0128561136833214
ECs,Spp1,Cd44,ECs,0.0,0.290517,0.0941323701171763,0.0,-0.6547540000000014,-0.0356918754042407,2.1429246291506656,0.0128472004205652
ECs,Anxa2,Tlr2,ECs,0.0,-9.094982333333329,-0.057110532357458,0.0,0.3466503333333333,0.1488015882443556,6.6407062218804445,0.0117290375661622
ECs,Lamc2,Itga3,ECs,-0.33333333333333337,0.0665246666666667,0.0178270930497601,0.0,-0.8945060000000002,0.0818965103415643,0.1398715436406667,0.0104420536868325
ECs,Mif,Cxcr2,ECs,0.0,-0.8436733333333342,-0.0319981782496988,0.0,0.023202,0.204140014785767,0.118621493721111,0.0089032255586734
ECs,Gnas,Gcgr,ECs,0.0,-27.47740633333332,-0.1160581816182151,0.6666666666666667,0.1228473333333333,0.1020567123350925,6.425142829160777,0.0079533217995409
ECs,Tnfsf13,Tnfrsf14,ECs,0.0,0.1500239999999998,0.0300089864903921,0.0,-0.4031000000000002,-0.0075349224605391,0.3182624380453331,0.0076386268498519
ECs,Spp1,Itga9,ECs,0.0,0.290517,0.0941323701171763,0.0,0.0844099999999999,0.0066400964308827,0.2472192794626667,0.0075890758134781
ECs,Vcam1,Itgb2,ECs,0.0,-0.2616803333333339,-0.0528264828983326,0.0,0.0267666666666666,0.2458324099983682,0.0666003554053333,0.0075767167922583
ECs,Anpep,Sele,ECs,0.0,0.172207,0.0060125666320387,0.0,0.0382609999999999,0.0355523418241577,0.1572191073180003,0.0065517584421076
ECs,Fgf9,Fgfr2,ECs,0.0,-0.443091333333335,-0.0212150860623644,0.3333333333333333,0.0190679999999999,0.0061151483306781,0.0613717720679999,0.0054959370036057
ECs,F8,Ldlr,ECs,0.0,0.222222,0.2257580050980857,0.0,-0.2585796666666666,-0.0024411403044974,0.1354560087966666,0.0053871702978029
ECs,Itgb2,Thy1,ECs,0.0,0.0267666666666666,0.2458324099983682,0.0,0.5803903333333329,-0.0021365009170761,0.0691047566124445,0.0051347778109823
