Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Tnc,Cntn1,FAPs,0.0,25.679732666666666,0.5306806737872383,-0.3333333333333333,-0.25962966666666665,0.0,0.2320400246677777,0.5306806737872383
MuSCs,Clec4g,Lag3,FAPs,0.0,0.049417666666666665,0.9331266599100356,0.0,-6.1636130000000025,-0.1337020098165882,0.5561939345591111,0.4667039086610322
MuSCs,Btc,Egfr,FAPs,0.6666666666666667,1.3653826666666673,0.6105175432041732,0.0,-21.67193599999997,-0.08591629115068844,107.1566045847267,0.4488385478174462
MuSCs,Tnc,Egfr,FAPs,0.0,25.679732666666666,0.5306806737872383,0.0,-21.67193599999997,-0.08591629115068844,2006.0263222399496,0.3956610393363794
MuSCs,Lama1,Itga2,FAPs,0.3333333333333333,0.08568133333333333,0.7141772151898734,0.0,0.6573156666666669,0.19746218523521308,0.15465848311899996,0.3845384395643624
MuSCs,Pla2g10,Pla2r1,FAPs,0.3333333333333333,0.1520496666666667,0.6658582729553266,0.0,-3.1039756666666705,0.06567159061462817,1.1663407235954446,0.35227603899256177
MuSCs,Pdgfa,Pdgfra,FAPs,0.0,10.78389099999999,0.3255153224804038,0.0,-45.01824966666672,0.001735535051342163,1692.6233591446726,0.3253956598005968
MuSCs,Nppa,Npr3,FAPs,0.3333333333333333,0.0396633333333333,0.6865696010381692,0.0,0.106719,-0.17292704863582042,0.06749030794233338,0.3246236874504185
MuSCs,Pdgfc,Pdgfra,FAPs,0.0,6.0271956666666675,0.31417695502633497,0.0,-45.01824966666672,0.001735535051342163,1289.2732620155468,0.31388432924429543
MuSCs,Cntf,Cntfr,FAPs,0.0,0.997192333333334,0.31121780179842723,0.0,-5.952382999999997,0.1009922709047717,2.3375664350951086,0.3115837736317404
MuSCs,Vcam1,Itga9,FAPs,0.0,38.22926133333335,0.2722470436850923,0.0,0.8799700000000001,0.17640554890786353,316.4635646803672,0.29464595277466354
MuSCs,Gal,Galr2,FAPs,0.0,34.631973666666674,0.7043649776963163,0.0,-0.15346466666666725,-0.2942140594491036,72.5030265809149,0.2852870598624694
MuSCs,Tnc,Itgav,FAPs,0.0,25.679732666666666,0.5306806737872383,0.0,4.801192999999998,0.02565455429188596,1055.125965789165,0.28047027901416977
MuSCs,Btc,Erbb2,FAPs,0.6666666666666667,1.3653826666666673,0.6105175432041732,0.0,-0.7355273333333336,-0.0276611891250072,5.705346102949113,0.2717955680645673
MuSCs,Tnc,Itgb3,FAPs,0.0,25.679732666666666,0.5306806737872383,0.0,1.90172,0.02725229828261572,236.18029974364183,0.2639998485479125
MuSCs,Gal,Gpr151,FAPs,0.0,34.631973666666674,0.7043649776963163,0.0,0.5783490000000004,-0.009186151528041198,38.434953536171115,0.26113293717429514
MuSCs,Adam12,Itga9,FAPs,0.0,4.952995666666666,0.2958774098473963,0.0,0.8799700000000001,0.17640554890786353,40.02655630102857,0.25639800599549617
MuSCs,Mdk,Lrp1,FAPs,0.0,7.4780349999999975,0.3002630423846345,0.0,-45.15584333333334,0.019329159081701297,1853.7559266993792,0.2527554458641162
MuSCs,Clcf1,Cntfr,FAPs,0.0,4.4509316666666665,0.2144899001053131,0.0,-5.952382999999997,0.1009922709047717,8.411054971567559,0.2506275024979261
MuSCs,Serpine1,Lrp1,FAPs,0.0,13.707143,0.2945222565333423,0.0,-45.15584333333334,0.019329159081701297,2950.152168420104,0.25000877495026763
MuSCs,Spp1,Itga9,FAPs,0.0,97.382255,0.3142092257135227,0.0,0.8799700000000001,0.17640554890786353,774.7252459901248,0.24922992672363545
MuSCs,Rtn4,Lingo1,FAPs,0.0,42.798598666666656,0.2559306230419768,0.0,0.08252833333333331,-0.02230556979504661,41.3415371841411,0.2464192242053689
MuSCs,Nppa,Npr2,FAPs,0.3333333333333333,0.0396633333333333,0.6865696010381692,0.0,-2.0682723333333293,-0.19103305158832526,0.37137833471211135,0.24509055023057974
MuSCs,Mmp13,Lrp1,FAPs,0.3333333333333333,0.5769223333333334,0.2907320090226241,0.0,-45.15584333333334,0.019329159081701297,147.66608751458915,0.2438662441112468
MuSCs,Edn3,Ednra,FAPs,-0.33333333333333337,1.0074766666666668,0.050062350042919035,0.0,5.74023166666667,0.24276693053555076,35.884847747415016,0.2416824487422285
MuSCs,Fgf16,Fgfr2,FAPs,0.0,0.9383823333333334,0.26767979118852897,0.0,0.921639333333333,0.2138614201983464,2.1430772612781106,0.23484234975772456
MuSCs,Pcsk9,Vldlr,FAPs,0.33333333333333337,0.738753,0.26946350168550626,0.0,-11.335011333333327,-0.015733687708099353,9.951346755521225,0.2297800723298484
MuSCs,Lama1,Itgb1,FAPs,0.3333333333333333,0.08568133333333333,0.7141772151898734,0.0,4.734428666666688,0.02782882342829024,9.146581389253997,0.2289819321093754
MuSCs,Ctf1,Il6st,FAPs,-0.33333333333333337,0.17246166666666607,0.4468387515146529,0.0,-9.841545333333343,-0.0556972524156083,1.5058625778494843,0.2248949832285282
MuSCs,Spp1,Itgb5,FAPs,0.0,97.382255,0.3142092257135227,0.0,1.4160223333333306,0.05572071220851793,3620.6285485683893,0.21600224594596296
MuSCs,Rtn4,Rtn4rl1,FAPs,0.0,42.798598666666656,0.2559306230419768,0.0,0.25525766666666705,0.16906150777683115,211.28684331245483,0.2153299499742377
MuSCs,Slit1,Robo1,FAPs,-0.3333333333333333,0.1894586666666667,0.3127818234277051,0.0,0.19514233333332956,-0.22052876250832126,3.2587351890191107,0.20864285279914
MuSCs,Sema3a,Nrp1,FAPs,0.0,5.464132000000001,0.6009637621193987,0.0,16.402570000000004,-0.02753036160687794,355.42200989280013,0.20077197682024134
MuSCs,Hsp90aa1,Egfr,FAPs,0.0,115.65803666666666,0.2830651960439189,0.0,-21.67193599999997,-0.08591629115068844,7738.993612398729,0.20052391987430607
MuSCs,Col2a1,Itga2,FAPs,0.33333333333333337,0.059004,0.4202391223252178,0.0,0.6573156666666669,0.19746218523521308,0.10613554231977773,0.197317496795353
MuSCs,Lama1,Itgb8,FAPs,0.3333333333333333,0.08568133333333333,0.7141772151898734,0.0,-0.914419333333334,-0.12795389543747487,0.2775284865166666,0.1916523645078796
MuSCs,Pdgfc,Pdgfrb,FAPs,0.0,6.0271956666666675,0.31417695502633497,0.0,-7.501149666666663,0.10358339621351263,350.51021599572044,0.1817044733989384
MuSCs,Col2a1,Itga10,FAPs,0.33333333333333337,0.059004,0.4202391223252178,0.0,0.19951933333333385,0.1365704250816287,0.09287509386755552,0.17662219344954894
MuSCs,Serpinc1,Lrp1,FAPs,0.0,1.9443236666666668,0.20258800994568765,0.0,-45.15584333333334,0.019329159081701297,456.46032617289626,0.1712289938044591
MuSCs,Sema3a,Plxna1,FAPs,0.0,5.464132000000001,0.6009637621193987,0.0,-0.9423563333333328,-0.09357781807597808,75.59604042600246,0.16878672584065085
MuSCs,Tnc,Itgb1,FAPs,0.0,25.679732666666666,0.5306806737872383,0.0,4.734428666666688,0.02782882342829024,2741.959239133153,0.16861858498996612
MuSCs,Serpinc1,Sdc2,FAPs,0.0,1.9443236666666668,0.20258800994568765,0.0,-5.968780333333398,-0.0024698408313362785,200.45529253556884,0.16577806111396454
MuSCs,F2,F2rl1,FAPs,0.33333333333333337,0.5466066666666667,0.16795490252379916,0.0,5.157135333333331,0.017503753178379156,6.391800021522442,0.16564761871821046
MuSCs,Spp1,Itgav,FAPs,0.0,97.382255,0.3142092257135227,0.0,4.801192999999998,0.02565455429188596,3964.3663937569204,0.1638298345786351
MuSCs,Mdk,Tspan1,FAPs,0.0,7.4780349999999975,0.3002630423846345,0.0,-0.4934960000000002,-0.028636884669603787,9.472566975492665,0.16262816203403452
MuSCs,Rtn4,Cntnap1,FAPs,0.0,42.798598666666656,0.2559306230419768,0.0,0.07868500000000099,0.06441278664184058,137.7031860764945,0.1606994540018405
MuSCs,Cntf,Il6st,FAPs,0.0,0.997192333333334,0.31121780179842723,0.0,-9.841545333333343,-0.0556972524156083,76.42929486596901,0.1586346703434683
MuSCs,Spp1,Itgb3,FAPs,0.0,97.382255,0.3142092257135227,0.0,1.90172,0.02725229828261572,881.0371298080597,0.15393883299135658
MuSCs,Gdnf,Gfra2,FAPs,0.0,1.8404169999999997,0.0,0.0,2.2150573333333394,0.15145116870829198,25.568381928288346,0.15145116870829198
MuSCs,Rtn4,S1pr2,FAPs,0.0,42.798598666666656,0.2559306230419768,0.0,-0.3044783333333356,-0.07296276382119626,362.68179689357834,0.15106500918911706
MuSCs,Inhbb,Acvr1,FAPs,0.0,1.1913036666666668,0.32576707193984256,0.0,-1.2670693333333318,-0.10701171494289546,16.006932423508328,0.15059472212018085
MuSCs,Npnt,Itga8,FAPs,0.0,1.9617800000000003,-0.047823064246433455,0.0,1.7009326666666658,0.20341777509878714,11.297201550693329,0.14804710782246774
MuSCs,Inhbb,Acvr2a,FAPs,0.0,1.1913036666666668,0.32576707193984256,0.0,0.13032166666667067,-0.16236036236332085,32.364831898888,0.14780396678591615
MuSCs,Lama1,Rpsa,FAPs,0.3333333333333333,0.08568133333333333,0.7141772151898734,0.0,-21.82238000000001,-0.1576049832482499,6.774380571459558,0.1439945741646229
MuSCs,Robo1,Robo1,FAPs,0.0,6.061391333333333,0.22463338365263572,0.0,0.19514233333332956,-0.22052876250832126,104.40764515428684,0.13823078086570026
