Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
FAPs,Serpina1e,Lrp1,FAPs,1.0,0.3333333333333333,10.07790633333333,1.0,3.0,1.0,256.4443053333333,0.8344762556643375,2584.421688866067,0.8344762556643375
FAPs,Serpina1e,Lrp1,MuSCs,1.0,0.3333333333333333,10.07790633333333,1.0,3.0,1.0,48.84026566666667,0.158927459770244,492.2076226837826,0.158927459770244
FAPs,Fgg,Itgb1,MuSCs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,131.3384093333333,0.4397081881141102,242.3914262272542,0.4397081881141102
FAPs,Fgg,Itgb1,FAPs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,106.314466,0.3559304658284363,196.2085209736787,0.3559304658284363
FAPs,Fga,Itgb1,MuSCs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,131.3384093333333,0.4397081881141102,174.2285429620453,0.4397081881141102
FAPs,Fga,Itgb1,FAPs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,106.314466,0.3559304658284363,141.032730645892,0.3559304658284363
FAPs,Il33,Il1rl1,FAPs,3.0,1.0,37.79047733333334,0.9126643201687428,3.0,1.0,3.249118,1.0,122.7857201323253,0.9126643201687428
FAPs,Fgg,Itgb1,ECs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,61.04160633333334,0.2043613460574534,112.6552551796749,0.2043613460574534
FAPs,Il11,Il6st,FAPs,3.0,1.0,1.218041,0.7607038292883184,3.0,1.0,85.119611,0.6604253914664442,103.679176102051,0.5023881242477608
FAPs,Fga,Itgb1,ECs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,61.04160633333334,0.2043613460574534,80.97547538075935,0.2043613460574534
FAPs,Plg,F3,FAPs,1.0,0.3333333333333333,0.465759,0.9660838355812053,3.0,1.0,173.637756,0.9875738673498292,80.87334759680401,0.9540791496890872
FAPs,Fgg,Itgav,FAPs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,40.62063066666667,0.6912512390256352,74.96735076602579,0.6912512390256352
FAPs,Fgb,Itgb1,MuSCs,1.0,0.3333333333333333,0.5575706666666667,1.0,3.0,1.0,131.3384093333333,0.4397081881141102,73.23044445092621,0.4397081881141102
FAPs,Plg,Itgb1,MuSCs,1.0,0.3333333333333333,0.465759,0.9660838355812053,3.0,1.0,131.3384093333333,0.4397081881141102,61.172046192684,0.4247949729097417
FAPs,Fgb,Itgb1,FAPs,1.0,0.3333333333333333,0.5575706666666667,1.0,3.0,1.0,106.314466,0.3559304658284363,59.27782768393067,0.3559304658284363
FAPs,Fgg,Itga5,FAPs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,30.56986233333333,0.6794731949692173,56.41816866946689,0.6794731949692173
FAPs,Il11,Il11ra1,FAPs,3.0,1.0,1.218041,0.7607038292883184,3.0,1.0,46.01708333333334,0.8213562764116752,56.05069420041668,0.6248088646763558
FAPs,Fga,Itgav,FAPs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,40.62063066666667,0.6912512390256352,53.88578505843467,0.6912512390256352
FAPs,Plg,Itgb1,FAPs,1.0,0.3333333333333333,0.465759,0.9660838355812053,3.0,1.0,106.314466,0.3559304658284363,49.516919369694,0.3438586696277408
FAPs,Npnt,Itgb1,MuSCs,2.0,0.6666666666666666,0.3352123333333334,0.3437823694266471,3.0,1.0,131.3384093333333,0.4397081881141102,44.02625464891511,0.1511639227661667
FAPs,Fga,Itga5,FAPs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,30.56986233333333,0.6794731949692173,40.55281771663133,0.6794731949692173
FAPs,Npy,Fap,FAPs,1.0,0.3333333333333333,0.5471196666666667,1.0,3.0,1.0,71.88333133333333,0.7566069373802504,39.32878427798289,0.7566069373802504
FAPs,C3,C3ar1,MuSCs,3.0,1.0,154.8642143333334,0.9982544794956518,2.0,0.6666666666666666,0.2492146666666667,0.2561283389191102,38.5944335536769,0.2556812616517822
FAPs,Npnt,Itgb1,FAPs,2.0,0.6666666666666666,0.3352123333333334,0.3437823694266471,3.0,1.0,106.314466,0.3559304658284363,35.63792021494734,0.1223626188936301
FAPs,Fgg,Tlr4,FAPs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,18.51427066666667,0.7423457357290222,34.16898754317245,0.7423457357290222
FAPs,Fgb,Itgb1,ECs,1.0,0.3333333333333333,0.5575706666666667,1.0,3.0,1.0,61.04160633333334,0.2043613460574534,34.03500913768089,0.2043613460574534
FAPs,Fn1,Tnfrsf11b,ECs,3.0,1.0,385.0524703333334,0.9317452840597572,1.0,0.3333333333333333,0.0758083333333333,0.028190957994264,29.19018602185278,0.0262667921642822
FAPs,Il11,Il6st,MuSCs,3.0,1.0,1.218041,0.7607038292883184,3.0,1.0,23.93873833333333,0.1857357012005663,29.15836477827167,0.1412898591388217
FAPs,Fgg,Itgav,MuSCs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,15.419285,0.2623937562319988,28.45704087270333,0.2623937562319988
FAPs,Plg,Itgb1,ECs,1.0,0.3333333333333333,0.465759,0.9660838355812053,3.0,1.0,61.04160633333334,0.2043613460574534,28.43067752420701,0.1974301930437226
FAPs,Npy,Npy1r,MuSCs,1.0,0.3333333333333333,0.5471196666666667,1.0,3.0,1.0,49.50445433333334,0.9577974191920018,27.08486055336856,0.9577974191920018
FAPs,Apob,Ldlr,FAPs,1.0,0.3333333333333333,1.279493666666667,1.0,3.0,1.0,20.61433933333333,0.6529848313028861,26.37591661951755,0.6529848313028861
FAPs,Myoc,Fzd10,MuSCs,3.0,1.0,348.977468,0.9904058666599797,2.0,0.6666666666666666,0.0755133333333333,0.960656099195142,26.35245186690667,0.95143943648556
FAPs,Fga,Tlr4,FAPs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,18.51427066666667,0.7423457357290222,24.56032792411467,0.7423457357290222
FAPs,Azgp1,Itgav,FAPs,1.0,0.3333333333333333,0.6008600000000001,1.0,3.0,1.0,40.62063066666667,0.6912512390256352,24.40731214237334,0.6912512390256352
FAPs,Il11,Il6st,ECs,3.0,1.0,1.218041,0.7607038292883184,3.0,1.0,19.827687,0.1538389073329896,24.150935701167,0.117025845901736
MuSCs,Pf4,Sdc2,FAPs,1.0,0.3333333333333333,0.2210956666666667,0.4404445303260602,3.0,1.0,105.9632263333333,0.8361295370252257,23.42801016831922,0.3682686812268218
FAPs,Fgb,Itgav,FAPs,1.0,0.3333333333333333,0.5575706666666667,1.0,3.0,1.0,40.62063066666667,0.6912512390256352,22.64887212123378,0.6912512390256352
FAPs,Plg,F2r,FAPs,1.0,0.3333333333333333,0.465759,0.9660838355812053,3.0,1.0,44.940909,0.5601341401483774,20.931632834931,0.5411365385545247
FAPs,Npnt,Itgb1,ECs,2.0,0.6666666666666666,0.3352123333333334,0.3437823694266471,3.0,1.0,61.04160633333334,0.2043613460574534,20.46189928941145,0.0702558277668503
FAPs,Fga,Itgav,MuSCs,1.0,0.3333333333333333,1.326562,1.0,3.0,1.0,15.419285,0.2623937562319988,20.45463754817,0.2623937562319988
FAPs,Serpina1e,Lrp1,ECs,1.0,0.3333333333333333,10.07790633333333,1.0,3.0,1.0,2.027115333333333,0.0065962845654186,20.42907845619711,0.0065962845654186
MuSCs,Gdf6,Bmpr2,FAPs,2.0,0.6666666666666666,0.5039156666666667,1.0,3.0,1.0,39.715023,0.4328989896002822,20.013022291727,0.4328989896002822
FAPs,Fgg,Itga5,ECs,1.0,0.3333333333333333,1.845548666666667,1.0,3.0,1.0,10.34761366666667,0.2299953477621856,19.09702460569844,0.2299953477621856
