Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand expressing cells in condition 1,Ligand detection rate in condition 1,Ligand expression in condition 1,Ligand specificity in condition 1,Receptor expressing cells in condition 1,Receptor detection rate in condition 1,Receptor expression in condition 1,Receptor specificity in condition 1,Edge expression weight in condition 1,Edge specificity weight in condition 1,Ligand expressing cells in condition 2,Ligand detection rate in condition 2,Ligand expression in condition 2,Ligand specificity in condition 2,Receptor expressing cells in condition 2,Receptor detection rate in condition 2,Receptor expression in condition 2,Receptor specificity in condition 2,Edge expression weight in condition 2,Edge specificity weight in condition 2,Delta ligand expression,Fold change of ligand expression,Log2-transformed fold change of ligand expression,Delta ligand specificity,Fold change of ligand specificity,Log2-transformed fold change of ligand specificity,Delta receptor expression,Fold change of receptor expression,Log2-transformed fold change of receptor expression,Delta receptor specificity,Fold change of receptor specificity,Log2-transformed fold change of receptor specificity,Delta edge expression weight,Delta edge specificity weight,Fold change of edge expression weight,Log2-transformed fold change of edge expression weight,Fold change of edge specificity weight,Log2-transformed fold change of edge specificity weight
MuSCs,Fgf15,Fgfr2,MuSCs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,0.7798996666666667,0.4431365604391025,0.10446756035,0.4431365604391025,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,0.145611,0.0704669827117285,8.595902700000001e-05,0.0704669827117285,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,0.6342886666666667,5.356049108011529,2.4211691883619824,0.37266957772737397,6.288570098877626,2.6527320130069794,0.104381601323,0.37266957772737397,1215.3180881165626,10.247118247948327,6.288570098877626,2.6527320130069794
MuSCs,Fgf15,Fgfr1,FAPs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,111.5917106666667,0.769602070219672,14.9477096438,0.769602070219672,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,82.95722966666666,0.6557810310272387,0.0489724179132222,0.6557810310272387,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,28.634481000000036,1.3451716157236355,0.42779024219391487,0.11382103919243325,1.1735656168860815,0.23089850867797318,14.898737225886778,0.11382103919243325,305.22711111154314,8.25373930178026,1.1735656168860815,0.23089850867797318
MuSCs,Fgf15,Fgfr3,ECs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,4.959409333333333,0.8271666313262851,0.6643128802000001,0.8271666313262851,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,3.752937333333333,0.6855621274031838,0.0022154840057777,0.6855621274031838,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,1.2064720000000002,1.32147405960771,0.4021481053104487,0.1416045039231013,1.2065524016903908,0.27089057449867515,0.6620973961942225,0.1416045039231013,299.8500004818616,8.228097164896845,1.2065524016903908,0.27089057449867515
MuSCs,Fgf15,Klb,FAPs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,1.263084,0.6778553360786825,0.1691901018,0.6778553360786825,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,0.999027,0.5871836381400829,0.000589758939,0.5871836381400829,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,0.2640570000000001,1.2643141776948972,0.3383550127876639,0.09067169793859964,1.1544179572608737,0.20716564659950654,0.16860034286099998,0.09067169793859964,286.8800972934469,8.16430407237401,1.1544179572608737,0.20716564659950654
MuSCs,Fgf15,Klb,ECs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,0.2921476666666666,0.1567859736747012,0.03913317995,0.1567859736747012,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,0.234852,0.1380355603847291,0.000138640964,0.1380355603847291,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,0.05729566666666658,1.2439649935562251,0.3149458871297388,0.018750413289972095,1.1358375569144026,0.18375652094158196,0.038994538986,0.018750413289972095,282.26275136113446,8.140894946716084,1.1358375569144026,0.18375652094158196
MuSCs,Fgf15,Fgfr1,ECs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,2.294987,0.0158275801650097,0.3074135086500001,0.0158275801650097,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,1.845768666666667,0.0145908932124188,0.0010896187695555,0.0145908932124188,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,0.44921833333333283,1.2433773752073658,0.3142642326021979,0.001236686952590901,1.084757453473672,0.11737249908626265,0.3063238898804446,0.001236686952590901,282.1294174066097,8.140213292188617,1.084757453473672,0.11737249908626265
MuSCs,Slamf7,Slamf7,MuSCs,1.0,0.3333333333333333,0.0395836666666666,1.0,1.0,0.3333333333333333,0.0395836666666666,1.0,0.0015668666667777,1.0,1.0,0.3333333333333333,0.0023963333333333,0.231918188270211,1.0,0.3333333333333333,0.0023963333333333,0.231918188270211,5.742413444444444e-06,0.053786046050537,0.0371873333333333,16.518430936152658,4.046004748464333,0.768081811729789,4.3118653498400334,2.1083121265711346,0.0371873333333333,16.518430936152658,4.046004748464333,0.768081811729789,4.3118653498400334,2.1083121265711346,0.0015611242533332555,0.946213953949463,272.85856059242496,8.09200949692856,18.59218279515112,4.21662425314227
MuSCs,Fgf15,Fgfr3,MuSCs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,0.4713726666666667,0.0786189875809043,0.0631403687,0.0786189875809043,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,0.4248633333333334,0.07761126413398,0.0002508109877777,0.07761126413398,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,0.04650933333333329,1.1094689272628844,0.14986926274764162,0.0010077234469242913,1.0129842421479525,0.018611731935867543,0.06288955771222231,0.0010077234469242913,251.74482688917473,7.975818322334435,1.0129842421479525,0.018611731935867543
ECs,Nlgn3,Nrxn1,FAPs,3.0,1.0,0.2210183333333333,0.111623447733668,2.0,0.6666666666666666,0.0782363333333333,0.0730590750397187,0.0172916639994444,0.0081551058441661,1.0,0.3333333333333333,0.0076303333333333,0.0055448718958006,1.0,0.3333333333333333,0.0118936666666666,0.0085717566611829,9.07526412222222e-05,4.752929260823565e-05,0.213388,28.96575073172875,4.856276152022282,0.1060785758378674,20.130933560107284,4.331342172825063,0.0663426666666667,6.577982679857661,2.717645209493419,0.0644873183785358,8.523232509686826,3.0914006888128216,0.01720091135822218,0.008107576551557864,190.53620662238387,7.573921361515685,171.5806273698469,7.4227428616378415
MuSCs,Fgf15,Fgfr1,MuSCs,2.0,0.6666666666666666,0.13395,1.0,3.0,1.0,31.11253633333333,0.2145703496153182,4.167524241850001,0.2145703496153182,1.0,0.3333333333333333,0.0005903333333333,1.0,3.0,1.0,41.69841866666667,0.3296280757603424,0.0246159664862222,0.3296280757603424,0.1333596666666667,226.90570299267233,7.825949059586427,0.0,1.0,0.0,-10.585882333333338,0.7461322833857104,-0.42249666324607915,-0.11505772614502421,0.650946825813838,-0.6193883967620197,4.142908275363778,-0.11505772614502421,169.30167028715306,7.403452396340268,0.650946825813838,-0.6193883967620197
