Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Grp,Nmbr,Neutrophils,0.3333333333333333,0.1207093333333333,1.0,0.3333333333333333,0.09853933333333333,1.0,0.01189461723377778,1.0
ECs,Pnoc,Oprl1,Neutrophils,0.3333333333333333,0.2161823333333333,1.0,0.6666666666666666,0.14791,1.0,0.031975528923333336,1.0
ECs,Crp,Olr1,Neutrophils,0.3333333333333333,0.030602,1.0,1.0,42.05547533333333,0.8151821018956871,1.2869816561506668,0.8151821018956871
ECs,Pomc,Oprm1,Neutrophils,1.0,0.3304176666666667,1.0,1.0,1.849731,0.6850261866193819,0.6111838009810001,0.6850261866193819
ECs,Efnb2,Grm1,Neutrophils,1.0,31.910369,0.5799781744613789,0.6666666666666666,0.6038640000000001,1.0,19.269523065816,0.5799781744613789
ECs,Wnt9b,Fzd5,Neutrophils,0.6666666666666666,0.052917999999999986,1.0,1.0,15.01164366666667,0.451087776777607,0.7943861595526667,0.451087776777607
ECs,Gpha2,Tshr,Neutrophils,0.6666666666666666,0.1408576666666667,0.8352780254078319,1.0,1.862788333333333,0.476039436797285,0.2623880181272222,0.3976252807842926
ECs,Efnb2,Grm5,Neutrophils,1.0,31.910369,0.5799781744613789,0.6666666666666666,0.0023356666666666677,0.6597307221542228,0.07453198519433334,0.3826294198710933
ECs,Adm,Mrgprb1,Neutrophils,1.0,8.650723999999999,0.2392268437287548,0.3333333333333333,0.2499753333333333,1.0,2.1624676154746663,0.2392268437287548
ECs,Cxcl12,Cxcr3,Neutrophils,1.0,109.1118546666667,0.30290688829861,1.0,5.345069333333334,0.6268605172323812,583.2104282819236,0.1898803686721178
ECs,Cd200,Cd200r1,Neutrophils,1.0,62.52283866666667,0.7238919185810471,1.0,6.502148666666668,0.2581090515845861,406.5327920726818,0.1868430565547004
ECs,Cirbp,Trem1,Neutrophils,1.0,8.348115333333332,0.1946169345259831,1.0,194.9392826666666,0.9548563367540328,1627.3756146985995,0.1858312131717796
ECs,Pmch,Mchr1,Neutrophils,0.3333333333333333,0.2423523333333333,0.6726827110966366,0.3333333333333333,0.05601966666666666,0.2335077079121596,0.01357649692922222,0.1570765980203131
ECs,Bmp15,Bmpr1a,Neutrophils,0.6666666666666666,0.1761206666666667,1.0,1.0,9.749056666666666,0.1529246199520842,1.717010359504444,0.1529246199520842
ECs,Guca2a,Gucy2c,Neutrophils,0.3333333333333333,0.3976836666666667,0.2004019289498867,1.0,1.840209,0.7616851584290758,0.7318210625530001,0.1526431750016869
ECs,Csf3,Csf3r,Neutrophils,1.0,0.3594423333333334,0.1581620687192068,1.0,840.1140543333335,0.8817471198275839,301.9725559557002,0.139458948559133
ECs,Sost,Lrp4,Neutrophils,0.3333333333333333,0.008070666666666667,1.0,1.0,1.287133333333333,0.1196450074933828,0.01038802408888889,0.1196450074933828
ECs,Bmp15,Bmpr2,Neutrophils,0.6666666666666666,0.1761206666666667,1.0,1.0,17.57385566666667,0.1186406098495176,3.0951191759171115,0.1186406098495176
ECs,Gnai2,Adora1,Neutrophils,1.0,106.8785896666667,0.1508748302900445,1.0,1.588825,0.7569219057032177,169.81137522714158,0.1142004640657901
ECs,Gnai2,Oprm1,Neutrophils,1.0,106.8785896666667,0.1508748302900445,1.0,1.849731,0.6850261866193819,197.69664054271303,0.1033532096504356
ECs,Camp,Fpr2,Neutrophils,0.3333333333333333,0.07751866666666668,0.1065023124900106,1.0,131.4484583333333,0.8998186379262144,10.18970922538889,0.09583276576075343
ECs,Cd200,Cd200r4,Neutrophils,1.0,62.52283866666667,0.7238919185810471,1.0,3.1089740000000003,0.1319398098200537,194.3818798208613,0.0955101620678571
