Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Sost,Lrp4,Resolving-Mac,0.3333333333333333,0.008070666666666667,1.0,1.0,2.792859,0.259609185256354,0.022540234036,0.259609185256354
ECs,Sost,Lrp6,Resolving-Mac,0.3333333333333333,0.008070666666666667,1.0,1.0,19.24455733333333,0.2208699154157988,0.1553164073848889,0.2208699154157988
ECs,Wnt9b,Fzd10,Resolving-Mac,0.6666666666666666,0.052917999999999986,1.0,0.6666666666666666,0.03095266666666667,0.1948587736601335,0.001637953214666667,0.1948587736601335
ECs,Sost,Lrp5,Resolving-Mac,0.3333333333333333,0.008070666666666667,1.0,1.0,7.585411999999999,0.1841740259772843,0.061219331781333326,0.1841740259772843
ECs,Lrrc4b,Ptprs,Resolving-Mac,0.6666666666666666,0.065789,1.0,1.0,11.88286,0.1810523941044453,0.7817614765399999,0.1810523941044453
ECs,Wnt9b,Fzd5,Resolving-Mac,0.6666666666666666,0.052917999999999986,1.0,1.0,5.056184333333333,0.15193425853596398,0.2675631625513333,0.15193425853596398
ECs,Bmp15,Bmpr2,Resolving-Mac,0.6666666666666666,0.1761206666666667,1.0,1.0,22.468903,0.1516869379794603,3.957238175628667,0.1516869379794603
ECs,Snca,Lag3,Resolving-Mac,0.6666666666666666,0.141273,0.3794482221436341,1.0,14.550925,0.3710293364573632,2.055652827524999,0.1407864220818787
ECs,Wnt1,Fzd10,Resolving-Mac,0.3333333333333333,0.09370100000000002,0.7055497129891547,0.6666666666666666,0.03095266666666667,0.1948587736601335,0.002900295819333334,0.1374825518293258
ECs,Prn,Rpsa,Resolving-Mac,0.3333333333333333,0.284318,0.621545699189178,1.0,132.282102,0.1449594819354051,37.610182676436,0.0900989425536424
ECs,Crp,Olr1,Resolving-Mac,0.3333333333333333,0.030602,1.0,1.0,4.497706333333333,0.08718126887059979,0.1376388092126667,0.08718126887059979
ECs,Bmp15,Acvr2a,Resolving-Mac,0.6666666666666666,0.1761206666666667,1.0,1.0,6.0129633333333325,0.08474361962599786,1.059007110908889,0.08474361962599786
ECs,Ccl21b,Ccr7,Resolving-Mac,0.3333333333333333,0.03355466666666667,0.1494171833323191,1.0,2.121494666666667,0.5528538082163603,0.07118604637511111,0.08260585881823468
ECs,Ifnk,Ifnar2,Resolving-Mac,0.6666666666666666,0.2655433333333333,0.2002402994191088,1.0,96.06569666666668,0.347671752729116,25.509605311855548,0.06961789586604455
ECs,Dkk4,Lrp6,Resolving-Mac,0.3333333333333333,0.016035,0.2528382213812677,1.0,19.24455733333333,0.2208699154157988,0.30858647684,0.05584435657036162
ECs,Ifnk,Ifnar1,Resolving-Mac,0.6666666666666666,0.2655433333333333,0.2002402994191088,1.0,43.49958833333333,0.2733047918752272,11.55102568466111,0.0547266333577727
ECs,Gpha2,Tshr,Resolving-Mac,0.6666666666666666,0.1408576666666667,0.8352780254078319,1.0,0.209825,0.05362121559310657,0.02955545990833334,0.0447886230805777
ECs,Epcam,Epcam,Resolving-Mac,0.3333333333333333,0.015535333333333332,0.07045758273920748,0.6666666666666666,0.133475,0.6053507610253434,0.0020735786166666678,0.04265155133118535
ECs,Ccl21b,Cxcr3,Resolving-Mac,0.3333333333333333,0.03355466666666667,0.1494171833323191,1.0,2.375759,0.2786249200308754,0.07971780132533332,0.04163135075720605
ECs,Epo,Crlf3,Resolving-Mac,0.3333333333333333,0.047125,0.09560911544576672,1.0,30.97429833333333,0.3505095437866987,1.4596638089583331,0.03351190743674552
