Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Pthlh,Pth2r,Resolving-Mac,1.0,1.213294333333333,1.0,0.6666666666666666,0.1536663333333333,0.3578701324510509,0.1864424914574445,0.3578701324510509
FAPs,Adm2,Ramp1,Resolving-Mac,0.3333333333333333,0.1932546666666667,1.0,1.0,1.123737333333333,0.2272298160693345,0.2171674837742222,0.2272298160693345
FAPs,Rspo2,Znrf3,Resolving-Mac,0.6666666666666666,0.1681403333333333,1.0,1.0,2.789641333333333,0.2052382002351886,0.4690512236671111,0.2052382002351886
FAPs,Tnfsf13b,Tnfrsf17,Resolving-Mac,1.0,1.567211333333334,0.1943656285540788,0.3333333333333333,0.002913,1.0,0.004565286614,0.1943656285540788
FAPs,Proc,Thbd,Resolving-Mac,0.3333333333333333,0.0903093333333333,1.0,1.0,15.93756533333333,0.158446909904893,1.439310900209778,0.158446909904893
FAPs,Cd70,Cd27,Resolving-Mac,0.3333333333333333,0.0948533333333333,1.0,1.0,1.049175333333333,0.1557057331886193,0.0995177776177777,0.1557057331886193
FAPs,Cort,Sstr2,Resolving-Mac,0.6666666666666666,0.4815203333333334,0.7789994499509271,0.3333333333333333,0.0739563333333333,0.1961982276907187,0.0356114782787777,0.1528383114524166
FAPs,Gdf7,Bmpr2,Resolving-Mac,0.3333333333333333,0.0783263333333333,0.9005614640222286,1.0,19.66149466666667,0.1388032745500265,1.540012785092889,0.1250008801398512
FAPs,Adm2,Calcrl,Resolving-Mac,0.3333333333333333,0.1932546666666667,1.0,1.0,10.59233466666667,0.1019418850357522,2.047018105228445,0.1019418850357522
FAPs,Ahsg,Insr,Resolving-Mac,0.3333333333333333,0.0565083333333333,1.0,1.0,5.105766,0.1018012712223807,0.28851832705,0.1018012712223807
FAPs,Bmp7,Acvr1,Resolving-Mac,0.3333333333333333,0.2842186666666667,0.6522022811047395,1.0,5.954327333333333,0.1455841593712531,1.692330975576889,0.0949503208346472
FAPs,Bmp7,Bmpr2,Resolving-Mac,0.3333333333333333,0.2842186666666667,0.6522022811047395,1.0,19.66149466666667,0.1388032745500265,5.588163798833778,0.0905278122863347
FAPs,Wnt16,Lrp5,Resolving-Mac,1.0,0.2427916666666667,0.4545982216136294,1.0,4.846564,0.1638617944571931,1.176705351166667,0.074491280350658
FAPs,Bmp7,Acvr2b,Resolving-Mac,0.3333333333333333,0.2842186666666667,0.6522022811047395,1.0,0.2807033333333333,0.1095400711449175,0.0797811271288888,0.0714422842730906
FAPs,Rln3,Rxfp4,Resolving-Mac,0.3333333333333333,0.143988,1.0,1.0,0.7592703333333333,0.0681853055598744,0.109325816756,0.0681853055598744
FAPs,Gdf7,Acvr2a,Resolving-Mac,0.3333333333333333,0.0783263333333333,0.9005614640222286,1.0,4.463825666666667,0.0725152276012225,0.3496350971092222,0.0653044195324621
FAPs,Insl5,Rxfp4,Resolving-Mac,0.3333333333333333,0.3790466666666667,0.8848374496163842,1.0,0.7592703333333333,0.0681853055598744,0.2877988889488889,0.0603329118729131
FAPs,Fgl1,Lag3,Resolving-Mac,0.6666666666666666,0.085463,0.6706908097814145,1.0,1.962244666666667,0.0895900404611592,0.1676993159473333,0.0600872167852445
FAPs,Bmp7,Acvr2a,Resolving-Mac,0.3333333333333333,0.2842186666666667,0.6522022811047395,1.0,4.463825666666667,0.0725152276012225,1.268702579212444,0.0472945968563467
FAPs,Ucn,Crhr2,Resolving-Mac,0.3333333333333333,0.112263,1.0,0.3333333333333333,0.0513273333333333,0.0466432050172145,0.005762160422,0.0466432050172145
FAPs,Agrp,Sdc3,Resolving-Mac,0.6666666666666666,0.7402036666666666,0.1419214585000345,1.0,62.44187400000001,0.3267962170785175,46.219704088338,0.046379395760077
FAPs,Gnas,Gcgr,Resolving-Mac,1.0,157.8540903333333,0.2680684099784185,0.6666666666666666,0.141789,0.1685044878595259,22.381973614273,0.0451707301347308
