Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cga,Lhcgr,sCs,0.3333333333333333,0.0415506666666666,1.0,1.0,0.459412,1.0,0.0190888748746666,1.0
FAPs,Fgf6,Fgfr4,sCs,0.3333333333333333,0.0044273333333333,1.0,1.0,37.1930565,0.9801418472049912,0.164666058811,0.9801418472049912
FAPs,Ihh,Cdon,sCs,0.3333333333333333,0.0155476666666666,1.0,1.0,47.5561205,0.7789288237464499,0.7393867094938333,0.7789288237464499
FAPs,Ihh,Hhip,sCs,0.3333333333333333,0.0155476666666666,1.0,1.0,0.7641880000000001,0.7339908811582677,0.0118813402946666,0.7339908811582677
FAPs,Edn2,Ednra,sCs,0.6666666666666666,0.1732343333333334,1.0,1.0,21.8877045,0.6824212571562562,3.7917018972545,0.6824212571562562
FAPs,Ntn1,Unc5d,sCs,1.0,8.502875000000001,0.5038138851085998,1.0,0.108947,1.0,0.9263627226250002,0.5038138851085998
FAPs,Edn2,Ednrb,sCs,0.6666666666666666,0.1732343333333334,1.0,1.0,72.8745145,0.4393273728421144,12.62436793639784,0.4393273728421144
FAPs,Gdf6,Bmpr1a,sCs,1.0,0.232253,1.0,1.0,26.1699,0.4316816313205064,6.078037784699998,0.4316816313205064
FAPs,Gdf6,Bmpr1b,sCs,1.0,0.232253,1.0,1.0,0.6195459999999999,0.4045682672681883,0.143891417138,0.4045682672681883
FAPs,Fgf10,Fgfrl1,sCs,0.6666666666666666,0.0707256666666666,1.0,1.0,3.4727,0.3899743709791181,0.2456090226333334,0.3899743709791181
FAPs,Fgf6,Fgfr1,sCs,0.3333333333333333,0.0044273333333333,1.0,1.0,42.6300515,0.362202985396654,0.1887374480076667,0.362202985396654
FAPs,Fgf10,Fgfr1,sCs,0.6666666666666666,0.0707256666666666,1.0,1.0,42.6300515,0.362202985396654,3.015038812371833,0.362202985396654
FAPs,Il25,Il17rb,sCs,0.3333333333333333,0.0514396666666666,1.0,1.0,2.491783,0.28417077147546,0.1281764869256667,0.28417077147546
FAPs,Ihh,Ptch1,sCs,0.3333333333333333,0.0155476666666666,1.0,1.0,5.817747499999999,0.2830416721298156,0.0904523988808333,0.2830416721298156
FAPs,Gdf2,Acvr1,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,14.3875515,0.2814707697442357,0.4025684868205,0.2814707697442357
FAPs,Lefty2,Acvr2b,sCs,0.3333333333333333,0.0449143333333333,1.0,1.0,1.8056465,0.2783940211582333,0.0810994087831666,0.2783940211582333
FAPs,Gdf2,Acvr2b,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,1.8056465,0.2783940211582333,0.0505225909521666,0.2783940211582333
FAPs,Cxcl13,Cxcr5,sCs,1.0,7.767740666666666,0.9880684546028148,0.5,0.2772375,0.2675750526769409,2.153509003075,0.2643824687887718
FAPs,Ihh,Boc,sCs,0.3333333333333333,0.0155476666666666,1.0,1.0,5.545655500000001,0.2503283412562506,0.0862220031621666,0.2503283412562506
FAPs,Pth2,Pth1r,sCs,0.3333333333333333,0.152165,1.0,1.0,1.852731,0.2466913745966772,0.281920812615,0.2466913745966772
FAPs,Gdf2,Acvr2a,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,17.446105,0.2265518959828062,0.4881478332683333,0.2265518959828062
FAPs,Pspn,Gfra1,sCs,0.6666666666666666,1.166539666666667,0.3218288009004096,1.0,8.141729999999999,0.7024686483203415,9.49765100029,0.226074642759067
FAPs,Csf2,Sdc2,sCs,0.6666666666666666,0.2300786666666667,0.4956186850418492,1.0,24.7183095,0.3682859456189059,5.687155692014,0.1825293960870361
FAPs,F12,Gp1ba,sCs,0.3333333333333333,0.1161036666666667,1.0,1.0,2.249971,0.1811265208534658,0.2612298829936667,0.1811265208534658
FAPs,Gdf2,Bmpr2,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,32.0437125,0.1787240771757799,0.8965937569874999,0.1787240771757799
FAPs,Gdf6,Bmpr2,sCs,1.0,0.232253,1.0,1.0,32.0437125,0.1787240771757799,7.442248359262498,0.1787240771757799
FAPs,Nrg2,Erbb4,sCs,0.3333333333333333,0.1058776666666667,0.1394352143571743,0.5,0.005426,1.0,0.0005744922193333,0.1394352143571743
FAPs,Ihh,Ptch2,sCs,0.3333333333333333,0.0155476666666666,1.0,1.0,1.3769705,0.1266659897306361,0.0214086783438333,0.1266659897306361
FAPs,Efnb3,Ephb6,sCs,0.3333333333333333,0.2207143333333333,0.2012460580095654,1.0,1.095428,0.5897096307895137,0.2417766607346667,0.1186767385666658
FAPs,Nrg2,Erbb3,sCs,0.3333333333333333,0.1058776666666667,0.1394352143571743,1.0,6.7207635,0.797660292168841,0.7115787575985,0.1112219338227687
FAPs,Pth2,Pth2r,sCs,0.3333333333333333,0.152165,1.0,0.5,0.0453825,0.1037091064209037,0.0069056281124999,0.1037091064209037
FAPs,Pspn,Gfra4,sCs,0.6666666666666666,1.166539666666667,0.3218288009004096,1.0,0.963426,0.2998621804129359,1.123874644898,0.0965042859576774
FAPs,Fgf6,Fgfr3,sCs,0.3333333333333333,0.0044273333333333,1.0,1.0,0.8102765000000001,0.0687650463262384,0.0035873641576666,0.0687650463262384
FAPs,Dkk4,Kremen1,sCs,0.3333333333333333,0.0073543333333333,0.1295065801058922,1.0,25.151532,0.5291445125735434,0.184972750172,0.0685276962051988
FAPs,Ifnb1,Ifnar1,sCs,0.3333333333333333,1.688039666666667,0.843449801842255,1.0,10.470196,0.0697287466230252,17.67410616577467,0.0588126975218994
FAPs,Efnb3,Ephb3,sCs,0.3333333333333333,0.2207143333333333,0.2012460580095654,1.0,3.1022045,0.2912814331641674,0.6847009980811667,0.0586192401956653
FAPs,Il13,Il13ra1,sCs,0.3333333333333333,0.1174156666666667,1.0,1.0,4.933794,0.0583432928944652,0.579304711706,0.0583432928944652
FAPs,Dkk4,Kremen2,sCs,0.3333333333333333,0.0073543333333333,0.1295065801058922,0.5,0.1905125,0.4401021062297505,0.0014010924291666,0.056996118675215
FAPs,Nxph3,Nrxn1,sCs,0.3333333333333333,0.038122,0.0629923081371811,0.5,0.076626,0.8911727078891258,0.002921136372,0.0561370258187979
FAPs,Pthlh,Pth2r,sCs,1.0,0.841828,0.5299488020678521,0.5,0.0453825,0.1037091064209037,0.03820425921,0.0549605167112853
FAPs,Ifnb1,Ifnar2,sCs,0.3333333333333333,1.688039666666667,0.843449801842255,1.0,15.72803,0.0634537139891656,26.54953851852333,0.0535200224903168
FAPs,Lrrc4b,Ptprf,sCs,0.3333333333333333,0.0223323333333333,0.0760263880118039,1.0,4.914489,0.6537373431914789,0.109752006511,0.0497012889112812
FAPs,Fgf6,Fgfr2,sCs,0.3333333333333333,0.0044273333333333,1.0,1.0,0.098709,0.0477810424014456,0.000437017646,0.0477810424014456
FAPs,Fgf10,Fgfr2,sCs,0.6666666666666666,0.0707256666666666,1.0,1.0,0.098709,0.0477810424014456,0.006981259831,0.0477810424014456
FAPs,Il13,Il4ra,sCs,0.3333333333333333,0.1174156666666667,1.0,1.0,8.509241,0.0459350327994772,0.9991182048423332,0.0459350327994772
FAPs,Fgf8,Fgfr4,sCs,0.3333333333333333,0.0080993333333333,0.0467928830447534,1.0,37.1930565,0.9801418472049912,0.301238962279,0.0458636628235317
FAPs,Efnb3,Ephb1,sCs,0.3333333333333333,0.2207143333333333,0.2012460580095654,1.0,1.542474,0.1943905319314043,0.340446120594,0.0391203282655776
FAPs,Csf2,Il3ra,sCs,0.6666666666666666,0.2300786666666667,0.4956186850418492,1.0,1.8288025,0.0743535225580281,0.4207684407966666,0.0368509950784394
FAPs,Hcrt,Hcrtr1,sCs,0.6666666666666666,0.1752026666666666,0.1541680544073544,1.0,0.325456,0.2276723285808325,0.0570207590826666,0.0350997999396988
FAPs,Pspn,Ret,sCs,0.6666666666666666,1.166539666666667,0.3218288009004096,1.0,0.967637,0.1089393909144389,1.128786943434333,0.0350598335488148
FAPs,Fgf15,Fgfr4,sCs,0.3333333333333333,0.0091946666666666,0.0335011589501496,1.0,37.1930565,0.9801418472049912,0.341977756832,0.0328358878169077
FAPs,Slitrk2,Ptprs,sCs,0.6666666666666666,0.0224436666666666,0.0915455232687779,1.0,20.4145605,0.3538032458052225,0.4581775910085,0.0323891032714311
FAPs,Efnb3,Ephb2,sCs,0.3333333333333333,0.2207143333333333,0.2012460580095654,1.0,0.590216,0.1574944036566601,0.1302691309626667,0.0316951278944701
FAPs,Il13,Il2rg,sCs,0.3333333333333333,0.1174156666666667,1.0,1.0,5.7743895,0.0271185829329292,0.6780037927354999,0.0271185829329292
FAPs,Lrrc4b,Ptprs,sCs,0.3333333333333333,0.0223323333333333,0.0760263880118039,1.0,20.4145605,0.3538032458052225,0.4559047699395,0.0268983828454234
FAPs,Ntng1,Lrrc4c,sCs,0.6666666666666666,0.032164,0.034231035365365,1.0,0.784859,0.7664334294015668,0.025244204876,0.026235809827043
FAPs,Gdf2,Acvrl1,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,1.7870065,0.0250396590605697,0.0500010375388333,0.0250396590605697
FAPs,Dkk4,Lrp6,sCs,0.3333333333333333,0.0073543333333333,0.1295065801058922,1.0,16.594562,0.1681395823342728,0.1220419404686667,0.0217751822885447
FAPs,Gdf2,Eng,sCs,0.3333333333333333,0.0279803333333333,1.0,1.0,9.9062575,0.0203164524330467,0.2771803869358333,0.0203164524330467
