Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Fgf8,Fgfr3,ECs,0.3333333333333333,0.02530666666666667,0.3492260631569263,1.0,4.166450999999999,0.7126954333415383,0.10543898664,0.248891820415785
Inflammatory-Mac,Nppa,Npr1,ECs,0.3333333333333333,0.311492,0.2697938341070317,1.0,34.27278133333333,0.9044737530016044,10.67569720308267,0.2440214416714792
Inflammatory-Mac,Oxt,Oxtr,ECs,0.6666666666666666,0.197697,0.2186122134241952,0.3333333333333333,0.006777333333333333,1.0,0.001339858468,0.2186122134241952
Inflammatory-Mac,Ccl12,Ccr10,ECs,1.0,40.32940166666667,0.470577043986324,0.3333333333333333,0.2056166666666667,0.3876180888860402,8.292397139361112,0.182404174463621
Inflammatory-Mac,Nppa,Npr2,ECs,0.3333333333333333,0.311492,0.2697938341070317,1.0,13.33435,0.5378090458822617,4.1535433502,0.1450975645060199
Inflammatory-Mac,Ifna11,Ifnar1,ECs,0.3333333333333333,0.004918333333333335,1.0,1.0,15.78127666666667,0.0991526287986414,0.07761757907222222,0.0991526287986414
Inflammatory-Mac,Cxcl16,Cxcr6,ECs,1.0,69.52137133333333,0.3474630550276078,1.0,0.685941,0.2488083256637031,47.687558973758,0.08645170095141426
Inflammatory-Mac,Tac1,Tacr1,ECs,0.3333333333333333,0.1369916666666667,0.07964733657446005,0.6666666666666666,0.3904633333333333,1.0,0.05349022280555555,0.07964733657446005
Inflammatory-Mac,Gip,Gipr,ECs,0.3333333333333333,0.11623,0.2386932351425116,0.6666666666666666,0.1108876666666667,0.3204228472356001,0.01288847349666667,0.07648276602024015
Inflammatory-Mac,Fgf8,Fgfr2,ECs,0.3333333333333333,0.02530666666666667,0.3492260631569263,1.0,0.3777296666666667,0.2121489992374768,0.009559078764444446,0.0740879598063858
Inflammatory-Mac,Gm13306,Ccr10,ECs,0.3333333333333333,0.1674846666666666,0.1529941799035241,0.3333333333333333,0.2056166666666667,0.3876180888860402,0.03443763887777777,0.05930331162489104
Inflammatory-Mac,Ifna11,Ifnar2,ECs,0.3333333333333333,0.004918333333333335,1.0,1.0,16.309487,0.05902573060056989,0.08021549356166667,0.05902573060056989
Inflammatory-Mac,Wnt16,Lrp5,ECs,0.3333333333333333,0.1267976666666667,0.1548868010726638,1.0,13.521022,0.3282908109760463,1.714434040548667,0.050847913533630336
