Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Cd86,Ctla4,Neutrophils,1.0,105.7018663333333,0.676747521934545,0.3333333333333333,0.1258873333333333,0.9923353626973638,13.30652608105978,0.6715604976334589
Inflammatory-Mac,Cfp,Ncr1,Neutrophils,1.0,75.66766366666667,0.4233737640003616,0.3333333333333333,0.264095,1.0,19.98345163604834,0.4233737640003616
Inflammatory-Mac,Gdf3,Tdgf1,Neutrophils,1.0,4.289720333333333,0.2544692871039865,0.6666666666666666,0.3040466666666666,1.0,1.304275168282222,0.2544692871039865
Inflammatory-Mac,Ifna11,Ifnar2,Neutrophils,0.3333333333333333,0.0049183333333333,1.0,1.0,64.15060166666667,0.2403343912297365,0.3155140425305556,0.2403343912297365
Inflammatory-Mac,Cd80,Ctla4,Neutrophils,1.0,30.69779366666667,0.2329635276189966,0.3333333333333333,0.1258873333333333,0.9923353626973638,3.864463383913555,0.2311779466750543
Inflammatory-Mac,Tff2,Cxcr4,Neutrophils,0.6666666666666666,0.3172606666666666,0.4010583285858276,1.0,533.4875693333333,0.5475787751743605,169.2546219050729,0.2196110283405037
Inflammatory-Mac,Ifna11,Ifnar1,Neutrophils,0.3333333333333333,0.0049183333333333,1.0,1.0,35.481449,0.2064078327526475,0.1745095933316667,0.2064078327526475
Inflammatory-Mac,Ambn,Cd63,Neutrophils,0.3333333333333333,0.004391,1.0,1.0,126.0955403333333,0.1685000650705857,0.5536855176036666,0.1685000650705857
Inflammatory-Mac,Hsp90aa1,Cftr,Neutrophils,1.0,164.2433473333333,0.1448264201801721,0.3333333333333333,0.0224576666666666,1.0,3.688522346629556,0.1448264201801721
Inflammatory-Mac,Icosl,Ctla4,Neutrophils,1.0,6.042074333333333,0.1408913385616233,0.3333333333333333,0.1258873333333333,0.9923353626973638,0.760620625625111,0.1398114575524655
Inflammatory-Mac,Dkk4,Lrp6,Neutrophils,0.3333333333333333,0.047385,1.0,1.0,7.190038666666666,0.0963663539395001,0.34069998222,0.0963663539395001
Inflammatory-Mac,Wnt3,Fzd7,Neutrophils,0.6666666666666666,0.2071343333333333,0.4218324028717592,1.0,4.898567333333333,0.2178418170996753,1.014661478878444,0.0918927371531063
Inflammatory-Mac,Epo,Crlf3,Neutrophils,0.6666666666666666,0.1438703333333334,0.236907567785344,1.0,26.577798,0.3273705085091235,3.823756657526,0.0775565509355477
Inflammatory-Mac,Guca2a,Gucy2c,Neutrophils,0.3333333333333333,0.1639403333333333,0.0776561476395386,1.0,3.337168666666667,0.8919886697950178,0.547096543602889,0.0692684038343976
Inflammatory-Mac,Dkk4,Kremen1,Neutrophils,0.3333333333333333,0.047385,1.0,1.0,1.438594666666667,0.0685417424221056,0.06816780828,0.0685417424221056
Inflammatory-Mac,Il15,Il2rb,Neutrophils,1.0,13.85028066666667,0.2574647191409614,0.3333333333333333,0.0631236666666666,0.2391156668737468,0.8742805000424446,0.0615638480138529
Inflammatory-Mac,Fcer2a,Cr2,Neutrophils,1.0,0.1676763333333333,0.0729210155818732,1.0,1.385719,0.6077351515092152,0.2323522809503333,0.0443166644528555
Inflammatory-Mac,Qrfp,P2ry14,Neutrophils,0.3333333333333333,0.08079,0.0679134511897112,1.0,4.874378333333333,0.6283321156816507,0.39380102555,0.0426722024692738
Inflammatory-Mac,Wnt3,Lrp6,Neutrophils,0.6666666666666666,0.2071343333333333,0.4218324028717592,1.0,7.190038666666666,0.0963663539395001,1.489303865860889,0.0406504506382897
Inflammatory-Mac,Cxadr,Cxadr,Neutrophils,1.0,1.560148333333333,0.1314969470323342,1.0,3.511243333333333,0.2959447949634939,5.478060434427777,0.0389158370278095
Inflammatory-Mac,Il15,Il2ra,Neutrophils,1.0,13.85028066666667,0.2574647191409614,1.0,0.231658,0.1484921500266975,3.208528318678667,0.0382314897012611
Inflammatory-Mac,Mdk,Tspan1,Neutrophils,1.0,2.741573333333333,0.1445012198865677,0.3333333333333333,0.3584516666666667,0.2130620380432899,0.9827215306222222,0.0307877244087736
Inflammatory-Mac,Fgf15,Klb,Neutrophils,0.3333333333333333,0.0500843333333333,0.3054767171413236,0.6666666666666666,0.2069713333333333,0.07773039864818,0.0103660212491111,0.0237448270011324
Inflammatory-Mac,F2,Gp9,Neutrophils,0.3333333333333333,0.093007,0.0452615384715209,1.0,9.44159,0.4754097293068031,0.8781339611300001,0.0215177757527552
Inflammatory-Mac,F2,F2rl2,Neutrophils,0.3333333333333333,0.093007,0.0452615384715209,1.0,3.127199666666666,0.4701562787689858,0.2908514593976667,0.0212799964991295
Inflammatory-Mac,Adam11,Itga4,Neutrophils,0.6666666666666666,0.0564436666666666,0.0425794232437066,1.0,78.08909333333334,0.4883264027331488,4.407634754408889,0.0207926565830514
Inflammatory-Mac,Epgn,Egfr,Neutrophils,0.3333333333333333,0.0539003333333333,0.2335052722478462,1.0,4.780457,0.0784507029733611,0.2576682257856667,0.0183186527558296
Inflammatory-Mac,Gnai2,Tbxa2r,Neutrophils,1.0,174.3107043333333,0.199571617988009,0.3333333333333333,0.148571,0.0787782776958458,25.89751565350767,0.0157219083420686
Inflammatory-Mac,Bmp10,Bmpr2,Neutrophils,0.6666666666666666,0.178715,0.0990493098906133,1.0,22.080681,0.1558818838066577,3.946148904914999,0.0154399930154982
Inflammatory-Mac,F2,Gp1ba,Neutrophils,0.3333333333333333,0.093007,0.0452615384715209,1.0,2.880229333333334,0.2847978633423207,0.2678814896053334,0.0128903894482754
Inflammatory-Mac,Icam1,Il2ra,Neutrophils,1.0,40.59291233333333,0.0832760559471523,1.0,0.231658,0.1484921500266975,9.403672885315332,0.0123658405933362
Inflammatory-Mac,Fndc5,Itgav,Neutrophils,0.6666666666666666,0.1895623333333334,0.1069990090088564,1.0,33.06636366666667,0.1119276974659227,6.26813705150189,0.0119761527094968
Inflammatory-Mac,Dll1,Notch2,Neutrophils,0.3333333333333333,0.366213,0.0246573577111566,1.0,96.58853933333334,0.4244259760587643,35.371978754878,0.0104652231135877
Inflammatory-Mac,F2,Itga2b,Neutrophils,0.3333333333333333,0.093007,0.0452615384715209,1.0,1.21563,0.2098512692529386,0.11306209941,0.0094981912965893
Inflammatory-Mac,Bmp10,Bmpr1a,Neutrophils,0.6666666666666666,0.178715,0.0990493098906133,1.0,5.288900666666667,0.0948013431225221,0.9452058826433332,0.009390007612989
Inflammatory-Mac,Fndc5,Itgb5,Neutrophils,0.6666666666666666,0.1895623333333334,0.1069990090088564,1.0,10.41100233333333,0.0683191735189964,1.973533894645445,0.0073100838628367
