Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Ccl12,Ccr4,ECs,1.0,29.48083233333334,0.3670116098006381,0.5,0.068728,1.0,2.026158644605333,0.3670116098006381
M1,Ccl22,Ccr4,ECs,0.3333333333333333,0.2499293333333333,0.2998938475580539,0.5,0.068728,1.0,0.0171771432213333,0.2998938475580539
M1,Fgf22,Fgfr2,ECs,0.3333333333333333,0.0757396666666666,0.7067113300737755,1.0,0.8651055000000001,0.418762651604452,0.0655228022015,0.2959443105006034
M1,Cd80,Ctla4,ECs,1.0,17.64166233333333,0.4897859114022,0.5,0.0696215,0.399715042193467,1.228238994140167,0.195774796241896
M1,Cd86,Ctla4,ECs,1.0,72.81203866666667,0.4212248541800225,0.5,0.0696215,0.399715042193467,5.069283350031333,0.1683699103615047
M1,Cfp,Ncr1,ECs,1.0,54.00834666666668,0.5241675641244571,0.5,0.0594135,0.3085659531041312,3.208824904680001,0.1617402640103339
M1,Psap,Gpr37l1,ECs,1.0,2238.507934333333,0.4568401756035478,0.5,0.353221,0.3197348977164121,790.6880110731543,0.1460677468193481
M1,Gdf7,Bmpr2,ECs,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,47.890007,0.2671069186198896,3.343025791977666,0.1350978475799025
M1,Cdh1,Itgae,ECs,1.0,0.4117623333333333,0.3411854503160894,1.0,0.3719945,0.3853427071519593,0.1531733233071667,0.1314733250656622
M1,Icosl,Ctla4,ECs,1.0,7.339706333333333,0.3062695566743265,0.5,0.0696215,0.399715042193467,0.5110013644861666,0.1224205487686528
M1,Ccl5,Ccr4,ECs,1.0,3.540639,0.1150430856889177,0.5,0.068728,1.0,0.243341037192,0.1150430856889177
M1,Rspo1,Lgr5,ECs,0.3333333333333333,0.122566,0.6601021126254865,1.0,0.662039,0.1418397054364257,0.081143472074,0.0936286892127612
M1,Fgf22,Fgfrl1,ECs,0.3333333333333333,0.0757396666666666,0.7067113300737755,1.0,1.1331785,0.127252734974101,0.0858265618638333,0.0899309495890725
M1,Gdf7,Acvr2a,ECs,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,10.6794795,0.1386817475209803,0.7454953058035,0.0701427191983967
M1,Fgf17,Fgfr3,ECs,0.3333333333333333,0.1321063333333333,0.1045194518042191,1.0,6.834606,0.5800266923841273,0.902894738438,0.0606240719198034
M1,Fgf22,Fgfr1,ECs,0.3333333333333333,0.0757396666666666,0.7067113300737755,1.0,10.077153,0.0856197628778104,0.7632402091689999,0.0605084565039787
M1,Icosl,Icos,ECs,1.0,7.339706333333333,0.3062695566743265,0.5,0.094498,0.15909816648811,0.6935875690873333,0.0487269249180116
M1,Fgf17,Fgfr2,ECs,0.3333333333333333,0.1321063333333333,0.1045194518042191,1.0,0.8651055000000001,0.418762651604452,0.1142859155515,0.0437688427817785
M1,Cd48,Cd2,ECs,1.0,109.3871713333333,0.4931202135986874,0.5,0.1079395,0.0824359054811017,11.80719658013433,0.040650811319042
M1,Il4,Il13ra2,ECs,1.0,1.258563666666667,0.273029443421605,1.0,0.7352585,0.1431143522522708,0.9253696337078332,0.039074431941081
M1,Gdf7,Bmpr1a,ECs,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,4.344454,0.0716632845336397,0.3032704040753333,0.0362459929567692
M1,Alcam,Cd6,ECs,1.0,39.745772,0.6157551175390606,0.5,0.0266875,0.0583727588688316,1.06071529025,0.0359433249983566
M1,Gnai2,Agtr2,ECs,1.0,142.8621113333333,0.1933791023142199,0.5,0.1409635,0.127302058387171,20.13834323093633,0.0246175577736635
M1,Tnfsf13b,Tnfrsf13c,ECs,1.0,0.5155733333333333,0.10896609512398,0.5,0.2138055,0.2116309566486094,0.11023241432,0.0230605989533512
M1,Bmp10,Bmpr1b,ECs,0.6666666666666666,0.3664336666666667,0.575459875412239,0.5,0.050199,0.0327803301911331,0.018394603633,0.0188637647277615
M1,Mst1,Mst1r,ECs,1.0,0.7362753333333334,0.235496663365651,0.5,0.117625,0.0775459803987495,0.0866043860833333,0.0182618196413236
M1,Lama1,Itga2,ECs,0.3333333333333333,0.003124,0.0164494931056755,1.0,6.9164455,0.5891123781422892,0.021606975742,0.0096906000027197
M1,Amelx,Lamp2,ECs,0.3333333333333333,0.247732,0.0974442064341449,1.0,69.431465,0.0919020634515943,17.20039568738,0.008955323642701
M1,Fgf17,Fgfr1,ECs,0.3333333333333333,0.1321063333333333,0.1045194518042191,1.0,10.077153,0.0856197628778104,1.331255733269,0.0089489306795959
M1,Epgn,Egfr,ECs,0.3333333333333333,0.0539003333333333,1.0,1.0,0.569834,0.0076706049295135,0.0307142425446666,0.0076706049295135
M1,Lama1,Itga1,ECs,0.3333333333333333,0.003124,0.0164494931056755,1.0,55.9484575,0.4236195045309116,0.17478298123,0.0069683261192109
M1,Ntf5,Ntrk2,ECs,0.6666666666666666,0.1442246666666667,0.184484465619529,1.0,0.4046295,0.0359108032162231,0.058357554761,0.0066249853413129
M1,Amelx,Lamp1,ECs,0.3333333333333333,0.247732,0.0974442064341449,1.0,62.7600095,0.0627870676286526,15.547662673454,0.006118235979401
M1,Gnai2,Cnr1,ECs,1.0,142.8621113333333,0.1933791023142199,0.5,0.058528,0.0225424818786736,8.361433652117332,0.0043592449096324
M1,Pla2g10,Pla2r1,ECs,0.6666666666666666,0.162843,0.2179237316677246,0.5,0.233345,0.0179838723558285,0.0379985998349999,0.0039191125736181
M1,Lama1,Itgb1,ECs,0.3333333333333333,0.003124,0.0164494931056755,1.0,164.5772705,0.2320765473082729,0.514139393042,0.0038175415649364
M1,Cd59b,Cd2,ECs,0.6666666666666666,0.2402846666666667,0.0436955203202287,0.5,0.1079395,0.0824359054811017,0.0259362067776666,0.0036020797830659
M1,Gdf9,Bmpr1b,ECs,0.6666666666666666,0.671412,0.1069597154015441,0.5,0.050199,0.0327803301911331,0.033704210988,0.0035061747880122
M1,Amelx,Cd63,ECs,0.3333333333333333,0.247732,0.0974442064341449,1.0,16.675925,0.0243300344566325,4.1311602521,0.0023708209001419
M1,Lgi4,Adam22,ECs,0.6666666666666666,0.1106826666666667,0.0204732376855477,1.0,1.124414,0.1096545122942886,0.1244531399573333,0.0022449828934937
M1,Lama1,Rpsa,ECs,0.3333333333333333,0.003124,0.0164494931056755,1.0,99.9186745,0.0998013766113836,0.312145939138,0.0016416820565058
M1,Ptn,Ptprb,ECs,0.3333333333333333,0.0219933333333333,0.0023091102834991,1.0,206.9163895,0.6580425222569705,4.550781126403334,0.0015194927551232
M1,App,Fpr2,ECs,1.0,152.0737866666667,0.2826560066517826,0.5,0.078566,0.0040197778843246,11.94782912325333,0.0011362143644103
M1,Fgf17,Fgfr4,ECs,0.3333333333333333,0.1321063333333333,0.1045194518042191,1.0,0.4030655,0.0106219117462046,0.0532475052981666,0.0011101963928261
M1,Efna1,Epha4,ECs,0.3333333333333333,0.1052186666666667,0.0021413062916057,1.0,10.4223555,0.5134583541362047,1.096626349236,0.0010994716041893
M1,Pgf,Flt1,ECs,0.3333333333333333,0.0550683333333333,0.0019447376209866,1.0,117.8215865,0.532002292588051,6.488238399244166,0.0010346048728471
M1,Anxa1,Fpr2,ECs,1.0,129.8949766666667,0.2376061722458875,0.5,0.078566,0.0040197778843246,10.20532873679333,0.000955124036373
M1,Vegfc,Kdr,ECs,0.3333333333333333,0.0219596666666666,0.001624331253806,1.0,143.0191385,0.5586909079605606,3.140652608413833,0.0009074991030175
M1,Ly9,Ly9,ECs,1.0,39.31561666666666,0.4391325252766332,0.5,0.182089,0.0020338280096949,7.158941323216666,0.0008931200298756
M1,Vegfc,Flt4,ECs,0.3333333333333333,0.0219596666666666,0.001624331253806,1.0,14.4951535,0.5379962725672185,0.3183087391421667,0.000873884159962
M1,Pgf,Nrp2,ECs,0.3333333333333333,0.0550683333333333,0.0019447376209866,1.0,64.20135099999999,0.4070144914449589,3.535461397318333,0.0007915363937997
M1,Efna1,Epha2,ECs,0.3333333333333333,0.1052186666666667,0.0021413062916057,1.0,17.140418,0.342078450107084,1.803491928069333,0.000732494737437
M1,Lgi4,Adam11,ECs,0.6666666666666666,0.1106826666666667,0.0204732376855477,0.5,0.095045,0.0354147425486641,0.0105198340533333,0.0007250544417712
M1,Vegfc,Nrp2,ECs,0.3333333333333333,0.0219596666666666,0.001624331253806,1.0,64.20135099999999,0.4070144914449589,1.409840267509666,0.000661126359206
M1,Gnai2,P2ry12,ECs,1.0,142.8621113333333,0.1933791023142199,1.0,0.178451,0.0030491811539242,25.49388662954467,0.0005896479143393
M1,Pgf,Nrp1,ECs,0.3333333333333333,0.0550683333333333,0.0019447376209866,1.0,107.663086,0.2751823527645522,5.928826707543332,0.0005351574740528
M1,Spn,Siglec1,ECs,0.6666666666666666,1.307929333333333,0.2442423934209346,0.5,0.3044395,0.0018208449159932,0.3981853522753333,0.0004447275203305
M1,Efna1,Epha7,ECs,0.3333333333333333,0.1052186666666667,0.0021413062916057,0.5,0.3423605,0.2024379518768077,0.0360227153293333,0.0004334816600135
M1,Efna1,Epha1,ECs,0.3333333333333333,0.1052186666666667,0.0021413062916057,1.0,4.5741225,0.1971611593636388,0.48128307062,0.0004221824310056
M1,Lama1,Itga7,ECs,0.3333333333333333,0.003124,0.0164494931056755,1.0,1.6878695,0.0231036795201078,0.005272904318,0.0003800438169817
M1,Ptn,Sdc3,ECs,0.3333333333333333,0.0219933333333333,0.0023091102834991,1.0,30.0270995,0.1342326156631674,0.6603960083366667,0.0003099579132088
M1,Ptn,Plxnb2,ECs,0.3333333333333333,0.0219933333333333,0.0023091102834991,1.0,15.0074085,0.070029732996158,0.33006293761,0.0001617063766121
M1,Dll4,Notch4,ECs,0.3333333333333333,0.018293,0.0002528995003289,1.0,55.873922,0.5825754174893317,1.022101655146,0.0001473330319869
M1,Ptn,Ptprs,ECs,0.3333333333333333,0.0219933333333333,0.0023091102834991,1.0,3.5537505,0.0615897884101855,0.0781588193299999,0.0001422176137764
M1,Sema6a,Plxna4,ECs,0.3333333333333333,0.031281,0.0002413432672008,1.0,5.038212,0.5413029757536089,0.157600309572,0.0001306398287139
M1,Fat4,Dchs1,ECs,0.3333333333333333,0.0079193333333333,0.0001737492866976,1.0,16.582462,0.5920264449676317,0.1313220440653333,0.0001028641725192
M1,Dll4,Notch1,ECs,0.3333333333333333,0.018293,0.0002528995003289,1.0,67.073376,0.3886152607163267,1.226973267168,9.82806052553446e-05
M1,Sema6a,Plxna2,ECs,0.3333333333333333,0.031281,0.0002413432672008,1.0,31.3268725,0.3698514072309863,0.9799358986725,8.926114699995084e-05
M1,Robo1,Robo1,ECs,0.3333333333333333,0.0515223333333333,0.0027035979803134,1.0,0.3526105,0.0185029864519073,0.0181673157178333,5.00246368011441e-05
M1,Cd200,Cd200r4,ECs,0.6666666666666666,0.871287,0.0060374818605627,0.5,0.17637,0.0075221499743631,0.15366888819,4.541484402265021e-05
M1,Lgi4,Adam23,ECs,0.6666666666666666,0.1106826666666667,0.0204732376855477,0.5,0.056827,0.0021983727713889,0.0062897638986666,4.500780827008289e-05
M1,Bmp2,Bmpr1b,ECs,0.3333333333333333,0.0143436666666666,0.0008595436708199,0.5,0.050199,0.0327803301911331,0.000720037723,2.817612534317704e-05
M1,Sema6d,Trem2,ECs,0.3333333333333333,0.556859,0.0037658043600213,0.5,0.6637555,0.003358297516997,0.3696182239745,1.264669143175651e-05
M1,Sdc2,Ptprj,ECs,0.6666666666666666,0.0617106666666666,0.0009194468265763,1.0,1.743911,0.0114302847853647,0.1076179104173333,1.050953907276728e-05
M1,Dll4,Notch3,ECs,0.3333333333333333,0.018293,0.0002528995003289,1.0,4.533117,0.0394235894695292,0.082924309281,9.970206078015654e-06
M1,Ptn,Ptprz1,ECs,0.3333333333333333,0.0219933333333333,0.0023091102834991,0.5,0.0191995,0.0027803115796766,0.0004222610033333,6.420046059962906e-06
M1,Lama1,Itgb8,ECs,0.3333333333333333,0.003124,0.0164494931056755,0.5,0.0057055,0.0003349382281467,1.7823982e-05,5.509564074726911e-06
M1,Efemp1,Egfr,ECs,0.3333333333333333,0.0555573333333333,0.0006540301965065,1.0,0.569834,0.0076706049295135,0.0316584574826666,5.016807249373634e-06
M1,Efna1,Epha3,ECs,0.3333333333333333,0.1052186666666667,0.0021413062916057,0.5,0.0147745,0.001149981856525,0.0015545531906666,2.462463384609541e-06
M1,Dll4,Notch2,ECs,0.3333333333333333,0.018293,0.0002528995003289,1.0,1.263127,0.0088537248512118,0.023106382211,2.239102590921038e-06
