Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Xcl1,Xcr1,M2,0.3333333333333333,0.0559063333333333,0.8054004216228158,1.0,1.051054333333333,0.7555825268891282,0.0587605939107777,0.6085464857273364
M1,Trf,Tfr2,M2,1.0,42.191786,0.3276024213041357,0.6666666666666666,0.188954,0.3132010754197197,7.972306731843999,0.1026054306625594
M1,Gdf7,Bmpr2,M2,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,21.83893633333333,0.1218068518956912,1.524496069330111,0.061607702251283
M1,Gdf7,Acvr2a,M2,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,6.071436333333334,0.0788425503948052,0.4238247084967778,0.0398771357592796
M1,Amelx,Lamp1,M2,0.3333333333333333,0.247732,0.0974442064341449,1.0,383.5038246666667,0.3836691671500295,95.00616949232268,0.0373863375261839
M1,Tg,Asgr1,M2,0.6666666666666666,0.109986,0.1075807104751956,0.6666666666666666,1.195252666666667,0.3167310793295747,0.131461059796,0.0340741545438511
M1,Amelx,Lamp2,M2,0.3333333333333333,0.247732,0.0974442064341449,1.0,249.751597,0.3305804812649572,61.871462628004,0.0322131526594814
M1,Amelx,Cd63,M2,0.3333333333333333,0.247732,0.0974442064341449,1.0,166.3144986666667,0.2426514561079857,41.20142338369066,0.0236449785805324
M1,Fgf22,Fgfrl1,M2,0.3333333333333333,0.0757396666666666,0.7067113300737755,1.0,0.250485,0.0281287558138348,0.018971650405,0.0198789104345156
M1,Ccl5,Gpr75,M2,1.0,3.540639,0.1150430856889177,0.3333333333333333,0.1406773333333333,0.0939130279982019,0.4980876528160001,0.0108040445273028
M1,Fcer2a,Cr2,M2,1.0,0.123411,0.1589735739651805,0.6666666666666666,0.15979,0.0679072292931079,0.01971984369,0.0107954549387983
M1,Ghrl,Ghsr,M2,1.0,12.93131633333333,0.3697519604819139,0.3333333333333333,0.0777963333333333,0.0266908672218872,1.006008995906778,0.0098690004822552
M1,Nlgn3,Nrxn2,M2,0.6666666666666666,0.1357486666666667,0.1289660007764954,0.3333333333333333,0.0441766666666666,0.0719326645562148,0.0059969235977777,0.0092768680730121
M1,Gdf7,Bmpr1a,M2,0.3333333333333333,0.0698063333333333,0.5057819103972949,1.0,1.071697333333334,0.0176780214343642,0.0748112612831111,0.008941223453117
M1,Fgf22,Fgfr1,M2,0.3333333333333333,0.0757396666666666,0.7067113300737755,1.0,1.441214666666667,0.0122451706365897,0.1091571184484444,0.0086538008275647
M1,C3,Cr2,M2,1.0,17.58332566666667,0.114196505761187,0.6666666666666666,0.15979,0.0679072292931079,2.809639608276667,0.0077547683011966
M1,Mdk,Tspan1,M2,1.0,2.564619666666667,0.0893289006778985,0.3333333333333333,0.0948253333333333,0.0753114470482106,0.2431909147648889,0.0067274887732784
M1,Rspo1,Lgr5,M2,0.3333333333333333,0.122566,0.6601021126254865,0.3333333333333333,0.0410506666666666,0.0087949720000919,0.0050314160106666,0.0058055795977427
M1,Epgn,Egfr,M2,0.3333333333333333,0.0539003333333333,1.0,1.0,0.2841426666666667,0.0038248790693753,0.0153153844475555,0.0038248790693753
M1,Ntf5,Ngfr,M2,0.6666666666666666,0.1442246666666667,0.184484465619529,0.6666666666666666,0.2576883333333334,0.0202071857010083,0.0371650139788888,0.0037279118557251
M1,Leap2,Ghsr,M2,0.6666666666666666,1.187206,0.1272046293593666,0.3333333333333333,0.0777963333333333,0.0266908672218872,0.0923602737113333,0.0033952018722402
M1,Arf1,Chrm3,M2,1.0,83.28695666666665,0.2110014980564403,0.3333333333333333,0.03062,0.01592257599754,2.550246613133333,0.0033596873883984
M1,Lama1,Rpsa,M2,0.3333333333333333,0.003124,0.0164494931056755,1.0,183.5535736666667,0.1833380939603272,0.5734213641346667,0.003015818712608
M1,Pla2g10,Pla2r1,M2,0.6666666666666666,0.162843,0.2179237316677246,1.0,0.127171,0.009801054367409,0.020708907153,0.002135882342024
M1,Lgi4,Adam22,M2,0.6666666666666666,0.1106826666666667,0.0204732376855477,1.0,1.048287,0.1022304949328654,0.116027200592,0.0020929892214717
M1,Lama1,Itgb1,M2,0.3333333333333333,0.003124,0.0164494931056755,1.0,79.63570166666666,0.1122972730628175,0.2487819320066667,0.0018472332190329
M1,Fn1,Itga2,M2,1.0,243.8287033333334,0.3332781281688242,0.6666666666666666,0.0646366666666666,0.0055054667047098,15.76027462112223,0.0018348516380414
M1,Lgi4,Adam11,M2,0.6666666666666666,0.1106826666666667,0.0204732376855477,0.6666666666666666,0.2182996666666667,0.0813406964433605,0.0241619892391111,0.0016653074117929
M1,Wnt8a,Fzd8,M2,0.6666666666666666,0.4039906666666667,0.3832644895981764,0.6666666666666666,0.0368523333333333,0.0036970397682158,0.0148879987115555,0.0014169440597893
M1,Npy,Npy1r,M2,1.0,2.659013,0.4672138103908383,0.3333333333333333,0.050715,0.0029737889369402,0.134851844295,0.0013893952605259
M1,Fgf17,Fgfr1,M2,0.3333333333333333,0.1321063333333333,0.1045194518042191,1.0,1.441214666666667,0.0122451706365897,0.1903935851595555,0.0012798585221854
M1,Wnt3,Fzd8,M2,0.3333333333333333,0.06396,0.2803424947238544,0.6666666666666666,0.0368523333333333,0.0036970397682158,0.00235707524,0.0010364373517149
