Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Fgg,Itgb2,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,139.7989746666667,0.3268928375399716,8.906965473279111,0.3268928375399716
MuSCs,Scgb3a1,Marco,Inflammatory-Mac,1.0,0.968203,0.2694494476331268,0.3333333333333333,0.031228,1.0,0.030235043284,0.2694494476331268
MuSCs,Ifne,Ifnar2,Inflammatory-Mac,0.6666666666666666,0.157645,1.0,1.0,70.295663,0.2544073192876299,11.081759793635001,0.2544073192876299
MuSCs,Ifnl2,Il10rb,Inflammatory-Mac,0.3333333333333333,0.001661666666666667,1.0,1.0,102.101612,0.250993984195287,0.1696588452733333,0.250993984195287
MuSCs,Fgg,Itgav,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,69.803866,0.2478711386150191,4.4473904465026655,0.2478711386150191
MuSCs,Fgg,Tlr4,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,27.34521433333333,0.238887597223811,1.742236525748222,0.238887597223811
MuSCs,Ifne,Ifnar1,Inflammatory-Mac,0.6666666666666666,0.157645,1.0,1.0,34.80955866666667,0.2187059590945978,5.487552876006666,0.2187059590945978
MuSCs,Fgg,Itga5,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,33.80250733333333,0.1656642076314483,2.1536478822262217,0.1656642076314483
MuSCs,Fgg,Itgb1,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,72.77597066666667,0.1291210168281098,4.636751160428443,0.1291210168281098
MuSCs,Cgn,F11r,Inflammatory-Mac,0.6666666666666666,0.04109566666666666,0.680549575508672,1.0,6.3788300000000016,0.152508233169618,0.2621422714033333,0.1037894133451611
MuSCs,Lgi1,Adam22,Inflammatory-Mac,1.0,0.08758766666666666,0.9723391973001576,1.0,0.8505606666666666,0.08756202468218523,0.07449862415177777,0.08513998879345258
MuSCs,Cxcl17,Gpr35,Inflammatory-Mac,0.6666666666666666,0.2371393333333334,0.2972870423069627,1.0,42.206532,0.269630471643717,10.008828860792,0.08015764543079201
MuSCs,Rspo2,Znrf3,Inflammatory-Mac,0.3333333333333333,0.1502133333333333,0.4718442068098269,1.0,2.210539666666667,0.1567963872717807,0.3320525317955556,0.0739834669828998
MuSCs,Gdf7,Bmpr2,Inflammatory-Mac,0.6666666666666666,0.084242,0.5181944003034622,1.0,20.29987433333334,0.1370438858982645,1.7101020135886669,0.07101537426830727
MuSCs,Fgg,Itga2b,Inflammatory-Mac,0.3333333333333333,0.06371266666666668,1.0,1.0,0.4216996666666666,0.06688933166924994,0.02686761029577778,0.06688933166924994
MuSCs,Ntng1,Lrrc4c,Inflammatory-Mac,1.0,0.4657886666666667,0.9499202942146177,0.3333333333333333,0.055812,0.06627427852169679,0.025996597064,0.06295528215219172
MuSCs,Ren1,Atp6ap2,Inflammatory-Mac,0.6666666666666666,0.1903546666666667,0.2380837035168652,1.0,58.92739166666667,0.2570254766266767,11.21710399824445,0.06119357737346665
MuSCs,Ntf3,Ntrk3,Inflammatory-Mac,0.6666666666666666,3.341617,0.3290525342066272,0.3333333333333333,0.1128566666666667,0.1656366863465313,0.3771237558966666,0.05450317139991436
MuSCs,Clec4g,Lag3,Inflammatory-Mac,0.3333333333333333,0.1630686666666667,0.2933042670690857,1.0,7.194976,0.1834623689632552,1.173275143018667,0.053810295663525735
MuSCs,Efnb2,Grm5,Inflammatory-Mac,1.0,9.899486,0.1799253972395612,0.3333333333333333,0.001003333333333333,0.2834008097165992,0.009932484286666666,0.05099100326627239
MuSCs,Il17f,Il17ra,Inflammatory-Mac,0.3333333333333333,0.1107016666666667,0.2683323327917212,1.0,19.47855766666667,0.1898558708868887,2.156308797962778,0.05094446872928266
MuSCs,Col9a2,Mag,Inflammatory-Mac,0.3333333333333333,0.07935233333333334,0.2543094054857856,0.6666666666666666,0.2626486666666666,0.1730426339947982,0.02084178454688889,0.044006369374911536
MuSCs,Gdf7,Acvr2a,Inflammatory-Mac,0.6666666666666666,0.084242,0.5181944003034622,1.0,5.9162180000000015,0.08338014054353929,0.498394036756,0.04320712192617773
MuSCs,Ccl28,Ccr3,Inflammatory-Mac,0.3333333333333333,0.104916,0.4621035940803382,0.6666666666666666,0.1029326666666667,0.07576544945543233,0.010799283656,0.03501148650046748
MuSCs,Fgf8,Fgfrl1,Inflammatory-Mac,0.3333333333333333,0.04715833333333333,0.6507739368430736,0.6666666666666666,0.31653600000000004,0.04987527085573395,0.0149273102,0.03245752636590059
MuSCs,Wnt3,Fzd7,Inflammatory-Mac,0.6666666666666666,0.046675,0.1252863175977954,1.0,5.200325666666665,0.226225979568201,0.2427252004916666,0.028343019925054
MuSCs,Rspo2,Lgr5,Inflammatory-Mac,0.3333333333333333,0.1502133333333333,0.4718442068098269,0.6666666666666666,0.190009,0.05096744139468926,0.028541885253333333,0.02404869195800349
MuSCs,Wnt3,Lrp6,Inflammatory-Mac,0.6666666666666666,0.046675,0.1252863175977954,1.0,14.75061866666667,0.1692929507707757,0.6884851262666667,0.02121009039733534
MuSCs,Leap2,Ghsr,Inflammatory-Mac,1.0,2.095956333333334,0.2542595220516906,0.3333333333333333,0.2710936666666667,0.07242845374596461,0.5682004875765556,0.018415624032391945
MuSCs,Ifng,Ifngr2,Inflammatory-Mac,0.3333333333333333,0.06628300000000001,0.06765083217576172,1.0,35.52463966666667,0.2572145081208531,2.354679691025666,0.01740077552205493
MuSCs,Ifnb1,Ifnar2,Inflammatory-Mac,0.3333333333333333,0.01317833333333333,0.06420041376667328,1.0,70.295663,0.2544073192876299,0.9263796789016668,0.016333055163536003
MuSCs,Agrp,Sdc3,Inflammatory-Mac,0.3333333333333333,0.1911673333333334,0.03919534124500098,1.0,93.71576166666668,0.3998134031568382,17.91539224911889,0.01567082277105743
MuSCs,Ifnb1,Ifnar1,Inflammatory-Mac,0.3333333333333333,0.01317833333333333,0.06420041376667328,1.0,34.80955866666667,0.2187059590945978,0.4587319672955556,0.0140410130671103
