Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Wnt8a,Fzd4,ECs,1.0,26.35502233333333,0.9409842974233844,1.0,27.25040933333333,0.455635031912059,718.1851465724751,0.4287454103852502
Neutrophils,Inhba,Eng,ECs,1.0,7.3158796666666674,0.4894393712951085,1.0,172.744858,0.7076554979861184,1263.780594163421,0.3463544620278527
Neutrophils,Lefty2,Acvr2b,ECs,0.3333333333333333,0.01416733333333333,1.0,1.0,1.4554623333333332,0.2990078421312781,0.02062002003044444,0.2990078421312781
Neutrophils,Bmp10,Eng,ECs,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,172.744858,0.7076554979861184,142.32535223049,0.2931185337802966
Neutrophils,Cd177,Pecam1,ECs,1.0,2.5408356666666667,0.3026168302364216,1.0,260.05794,0.9183237679872464,660.7644893518601,0.2779002277990675
Neutrophils,Prok2,Prokr1,ECs,1.0,11.85765666666667,0.9891199494342479,0.3333333333333333,1.088579666666667,0.2679416930000997,12.90800394164778,0.2650264738315854
Neutrophils,Wnt8a,Fzd8,ECs,1.0,26.35502233333333,0.9409842974233844,1.0,2.416422666666667,0.2729115228630338,63.68487334677289,0.2568054576000178
Neutrophils,Cdh1,Ptprm,ECs,1.0,0.57216,0.3070834319536154,1.0,66.85695766666666,0.8284701681115905,38.25287689856,0.2544094624948959
Neutrophils,Il27,Il27ra,ECs,1.0,3.127819666666667,0.5481327945776121,1.0,1.051123666666667,0.4180667648183785,3.287725276698779,0.2291561041199191
Neutrophils,Cd200r1,Cd200,ECs,1.0,6.502148666666668,0.2581090515845861,1.0,62.52283866666667,0.7238919185810471,406.5327920726818,0.1868430565547004
Neutrophils,Amh,Amhr2,ECs,1.0,0.9334356666666668,0.5017852637524263,0.6666666666666666,0.2053293333333333,0.347947998836385,0.1916617231462222,0.1745951783682443
Neutrophils,Ebi3,Il27ra,ECs,1.0,11.65871166666667,0.4071193677037862,1.0,1.051123666666667,0.4180667648183785,12.25474775567611,0.1702030769508257
Neutrophils,Inhba,Bambi,ECs,1.0,7.3158796666666674,0.4894393712951085,1.0,2.7601880000000003,0.3388590190822334,20.193203265377328,0.1658509452572855
Neutrophils,Inhba,Acvr2b,ECs,1.0,7.3158796666666674,0.4894393712951085,1.0,1.4554623333333332,0.2990078421312781,10.647987290032553,0.1463462102650398
Neutrophils,Il1f10,Il1r1,ECs,1.0,2.9495443333333338,1.0,1.0,17.785488,0.1438794224342548,52.459085345968006,0.1438794224342548
Neutrophils,Calca,Calcrl,ECs,0.3333333333333333,0.1472293333333334,0.2923521718179941,1.0,51.12972666666666,0.485667061686854,7.5277955706488875,0.1419858202646155
Neutrophils,Bmp10,Acvrl1,ECs,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,17.792572,0.3427330624192283,14.659389033660002,0.1419637281420878
Neutrophils,Csf2,Il3ra,ECs,0.6666666666666666,0.506316,1.0,1.0,2.813875,0.1264934612247727,1.4247099344999998,0.1264934612247727
Neutrophils,Ltf,Lrp11,ECs,1.0,15.99918866666667,0.9848882775340866,1.0,0.5915956666666666,0.127834779324208,9.465050685382446,0.1259029756175693
Neutrophils,Ntf5,Ntrk1,ECs,0.3333333333333333,0.244596,0.2638333184719421,0.3333333333333333,0.05351466666666666,0.4601248445175601,0.013089473408,0.1213962646404543
Neutrophils,Wnt3,Fzd8,ECs,0.3333333333333333,0.1529133333333333,0.4104541712895028,1.0,2.416422666666667,0.2729115228630338,0.3695032447022222,0.1120176729521027
Neutrophils,Rph3a,Nrxn1,ECs,0.3333333333333333,0.0002983333333333333,1.0,0.6666666666666666,0.0065173333333333324,0.1115771572706054,1.944337777777778e-06,0.1115771572706054
Neutrophils,F12,Gp1ba,ECs,0.6666666666666666,0.433243,1.0,1.0,1.156565,0.1114986879114226,0.501073690295,0.1114986879114226
Neutrophils,Inhba,Tgfbr3,ECs,1.0,7.3158796666666674,0.4894393712951085,1.0,20.26081,0.2149202666903252,148.22564790919668,0.1051904402074898
Neutrophils,Efnb3,Rhbdl2,ECs,0.3333333333333333,0.073382,0.1010059948594516,1.0,1.021610666666667,1.0,0.07496783394133336,0.1010059948594516
Neutrophils,Matn1,Itga1,ECs,0.3333333333333333,0.1630973333333333,0.1437899392416595,1.0,46.85312199999999,0.6250615697984291,7.641619256541332,0.08987756514361242
Neutrophils,Bmp10,Bmpr2,ECs,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,32.017979,0.2161524839374963,26.37977298799499,0.08953268835617934
Neutrophils,F11,Gp1ba,ECs,0.3333333333333333,0.131907,0.7519896167469862,1.0,1.156565,0.1114986879114226,0.152559019455,0.08384585559030247
Neutrophils,Tnfsf14,Ltbr,ECs,1.0,17.35471666666666,0.7645815378321459,1.0,8.226432,0.1046851189010213,142.7673965376,0.08004030919748388
Neutrophils,Fasl,Fas,ECs,0.3333333333333333,0.09613033333333333,0.3924824472942499,1.0,13.394124,0.1981570880876885,1.287581604828,0.07777317888135822
Neutrophils,Ebi3,Il6st,ECs,1.0,11.65871166666667,0.4071193677037862,1.0,50.45577166666667,0.18996722124408,588.2492937808363,0.07733933499733511
Neutrophils,Inhba,Acvr2a,ECs,1.0,7.3158796666666674,0.4894393712951085,1.0,10.90224333333333,0.1536506229779223,79.75950032338554,0.07520266430941604
Neutrophils,Efnb3,Ephb4,ECs,0.3333333333333333,0.073382,0.1010059948594516,1.0,27.91686566666667,0.7394739524872079,2.048595436351333,0.07469130224362129
Neutrophils,Ccl25,Ccr10,ECs,1.0,5.493902333333334,0.1892599271335179,0.3333333333333333,0.2056166666666667,0.3876180888860402,1.129637884772222,0.07336057125820541
Neutrophils,Amh,Acvr1,ECs,1.0,0.9334356666666668,0.5017852637524263,1.0,5.379592,0.1347369221116526,5.021503044914667,0.06760900199898573
