Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Csf2,Csf3r,Neutrophils,0.6666666666666666,0.506316,1.0,1.0,840.1140543333335,0.8817471198275839,425.36318753383597,0.8817471198275839
Neutrophils,Pglyrp1,Trem1,Neutrophils,1.0,56.73461133333334,0.9038615078302858,1.0,194.9392826666666,0.9548563367540328,11059.804435692142,0.8630578882998033
Neutrophils,Hc,C5ar2,Neutrophils,1.0,0.1527673333333333,1.0,1.0,65.26224133333334,0.7895299233016854,9.969938575849778,0.7895299233016854
Neutrophils,Il23a,Il23r,Neutrophils,1.0,53.71010233333333,0.9337704747751076,1.0,0.1572256666666667,0.8336122780445475,8.444606646093224,0.7784025326480161
Neutrophils,Gnrh1,Gnrhr,Neutrophils,1.0,18.44292566666667,0.7044334748329945,0.3333333333333333,0.1112073333333333,1.0,2.050988582254889,0.7044334748329945
Neutrophils,Hc,C5ar1,Neutrophils,1.0,0.1527673333333333,1.0,1.0,234.189438,0.6997059540842085,35.776495938092,0.6997059540842085
Neutrophils,Ccl4,Ccr1,Neutrophils,1.0,937.158142,0.8440792218683062,1.0,335.25385033333333,0.7935778071233418,314185.8754767328,0.6698425379286271
Neutrophils,Ccl4,Ccr3,Neutrophils,1.0,937.158142,0.8440792218683062,1.0,1.010197333333333,0.7435740030571362,946.7146559600212,0.627635365901969
Neutrophils,Csf2,Csf2rb,Neutrophils,0.6666666666666666,0.506316,1.0,1.0,126.200391,0.4738981269009259,63.897277169556006,0.4738981269009259
Neutrophils,Csf2,Csf2ra,Neutrophils,0.6666666666666666,0.506316,1.0,1.0,93.94280266666668,0.4599773147301351,47.564744074976005,0.4599773147301351
Neutrophils,Wnt8a,Fzd5,Neutrophils,1.0,26.35502233333333,0.9409842974233844,1.0,15.01164366666667,0.451087776777607,395.6322040950419,0.4244665147073531
Neutrophils,C3,Cd19,Neutrophils,1.0,105.0835686666667,0.4039051773855191,0.3333333333333333,0.03843066666666667,1.0,4.038431599572444,0.4039051773855191
Neutrophils,Adam28,Itga4,Neutrophils,0.3333333333333333,0.181571,1.0,1.0,63.39570733333333,0.3042807892817216,11.51082197622067,0.3042807892817216
Neutrophils,F12,Gp1ba,Neutrophils,0.6666666666666666,0.433243,1.0,1.0,2.741087,0.26425458487076603,1.187556755141,0.26425458487076603
Neutrophils,Cdh1,Itgae,Neutrophils,1.0,0.57216,0.3070834319536154,1.0,4.926665,0.8117205345208988,2.8188406464,0.2492659275279007
Neutrophils,Gnai2,Adora1,Neutrophils,1.0,198.5982106666667,0.2803505493821544,1.0,1.588825,0.7569219057032177,315.5378020624667,0.2122034721032843
Neutrophils,F11,Gp1ba,Neutrophils,0.3333333333333333,0.131907,0.7519896167469862,1.0,2.741087,0.26425458487076603,0.361568562909,0.1987167040006013
Neutrophils,Gnai2,Oprm1,Neutrophils,1.0,198.5982106666667,0.2803505493821544,1.0,1.849731,0.6850261866193819,367.353266814664,0.1920474677599059
Neutrophils,Fasl,Fas,Neutrophils,0.3333333333333333,0.09613033333333333,0.3924824472942499,1.0,31.50814,0.4661418151317115,3.028888000913333,0.1829524803890779
Neutrophils,Pf4,Cxcr3,Neutrophils,1.0,68.65562933333334,0.2878636982069153,1.0,5.345069333333334,0.6268605172323812,366.96909891030054,0.180450386750413
Neutrophils,Cirbp,Trem1,Neutrophils,1.0,7.957074333333334,0.1855007211466469,1.0,194.9392826666666,0.9548563367540328,1551.146362665345,0.1771265390593186
Neutrophils,Cdh1,Igf1r,Neutrophils,1.0,0.57216,0.3070834319536154,1.0,48.46838633333333,0.5524205434309247,27.73167192448,0.1696391963584496
Neutrophils,Nmb,Nmbr,Neutrophils,1.0,2.670896666666666,0.1626223027713755,0.3333333333333333,0.09853933333333333,1.0,0.2631883769355555,0.1626223027713755
Neutrophils,Icam1,Spn,Neutrophils,1.0,266.7063343333334,0.66521579654932,1.0,2.590421666666666,0.240305238781698,690.8818670943106,0.1598548408311418
Neutrophils,Tnfsf14,Tnfrsf14,Neutrophils,1.0,17.35471666666666,0.7645815378321459,1.0,10.697805,0.1791515217215829,185.6573747302499,0.136975945982857
Neutrophils,Tnfsf14,Ltbr,Neutrophils,1.0,17.35471666666666,0.7645815378321459,1.0,13.92712666666667,0.1772290722210533,241.7013372807778,0.1355060765873373
Neutrophils,Inhba,Acvr1b,Neutrophils,1.0,7.3158796666666674,0.4894393712951085,1.0,6.434522,0.2556308550253761,47.074188664519326,0.1251158049672511
Neutrophils,Prok2,Prokr1,Neutrophils,1.0,11.85765666666667,0.9891199494342479,1.0,0.490983,0.1208499665046116,5.821907843170003,0.119535112758172
Neutrophils,Ltf,Lrp1,Neutrophils,1.0,15.99918866666667,0.9848882775340866,1.0,53.58648166666666,0.111665071229204,857.3402301678746,0.1099776196636519
Neutrophils,Ccl2,Ccr3,Neutrophils,1.0,132.0794193333333,0.1468213169995101,1.0,1.010197333333333,0.7435740030571362,133.4262771987485,0.1091725144154465
Neutrophils,Cxcl10,Ccr3,Neutrophils,1.0,34.08558533333333,0.1288658635192859,1.0,1.010197333333333,0.7435740030571362,34.43316740883911,0.09582130599444998
Neutrophils,Ltf,Lrp11,Neutrophils,1.0,15.99918866666667,0.9848882775340866,1.0,0.447354,0.0966663603065637,7.157301046788,0.09520556509782092
Neutrophils,Il1f6,Il1rl2,Neutrophils,0.6666666666666666,0.5519996666666667,1.0,1.0,2.367415333333333,0.0939387095620064,1.306812474861555,0.0939387095620064
Neutrophils,Il1f5,Il1rl2,Neutrophils,1.0,4.485105,0.9944435152677688,1.0,2.367415333333333,0.0939387095620064,10.61810634861,0.09341674055655964
Neutrophils,Ccl2,Cxcr3,Neutrophils,1.0,132.0794193333333,0.1468213169995101,1.0,5.345069333333334,0.6268605172323812,705.9736538430739,0.09203648671505227
Neutrophils,Ccl12,Ccr1,Neutrophils,1.0,9.718179666666666,0.1133949940112261,1.0,335.25385033333333,0.7935778071233418,3258.057151481109,0.08998775068619329
Neutrophils,Ccl12,Ccr3,Neutrophils,1.0,9.718179666666666,0.1133949940112261,1.0,1.010197333333333,0.7435740030571362,9.817279184120887,0.08431756962356737
Neutrophils,Il18,Il18r1,Neutrophils,1.0,8.048222,0.0914150186583114,1.0,8.082414666666667,0.8846305857135367,65.04906753338935,0.0808685214987159
Neutrophils,Cxcl10,Cxcr3,Neutrophils,1.0,34.08558533333333,0.1288658635192859,1.0,5.345069333333334,0.6268605172323812,182.1898168739165,0.080780921859297
Neutrophils,Ifnk,Ifnar1,Neutrophils,0.3333333333333333,0.4689626666666666,0.353634277354796,1.0,36.226654,0.2276094673801518,16.98894826425067,0.08049050951608999
Neutrophils,Slamf1,Slamf1,Neutrophils,0.6666666666666666,0.1125246666666667,0.2674836533981598,0.6666666666666666,0.1125246666666667,0.2674836533981598,0.01266180060844445,0.0715475048352269
Neutrophils,Wnt3,Fzd7,Neutrophils,0.3333333333333333,0.1529133333333333,0.4104541712895028,1.0,3.9769183333333338,0.1730049814741226,0.6081238387444444,0.0710106162999168
Neutrophils,Csf2,Il3ra,Neutrophils,0.6666666666666666,0.506316,1.0,1.0,1.5448206666666668,0.06944505818425749,0.7821674206639999,0.06944505818425749
Neutrophils,Ifnk,Ifnar2,Neutrophils,0.3333333333333333,0.4689626666666666,0.353634277354796,1.0,54.16787466666667,0.1960391750690933,25.40271095134578,0.06932617200878917
Neutrophils,Ccl24,Ccr3,Neutrophils,0.6666666666666666,0.2663513333333333,0.08678514482093329,1.0,1.010197333333333,0.7435740030571362,0.2690674066631111,0.06453117754039465
Neutrophils,Bmp10,Bmpr1a,Neutrophils,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,9.749056666666666,0.1529246199520842,8.03229653295,0.06334302567680088
Neutrophils,Tnfsf13b,Tnfrsf13b,Neutrophils,1.0,4.016919666666666,0.4824186491223055,1.0,3.955061333333333,0.1295697541686552,15.88716365273955,0.06250686577315184
Neutrophils,Cdh1,Itgb7,Neutrophils,1.0,0.57216,0.3070834319536154,1.0,7.4137119999999985,0.1992294852818897,4.24182945792,0.06118007408671499
Neutrophils,Guca2a,Gucy2c,Neutrophils,0.3333333333333333,0.153603,0.07740407784534639,1.0,1.840209,0.7616851584290758,0.28266162302700004,0.05895753729668918
Neutrophils,Calca,Ramp1,Neutrophils,0.3333333333333333,0.1472293333333334,0.2923521718179941,1.0,2.6859113333333333,0.1931612985566314,0.3954449349991112,0.056471125144215165
Neutrophils,Edil3,Itgb3,Neutrophils,0.6666666666666666,0.3696403333333333,0.08242256353920498,1.0,11.291786,0.6681123907199095,4.173899540968668,0.05506753597544188
Neutrophils,Lefty2,Acvr2b,Neutrophils,0.3333333333333333,0.01416733333333333,1.0,0.6666666666666666,0.245191,0.05037164490001245,0.003473702627333333,0.05037164490001245
Neutrophils,Cd28,Cd80,Neutrophils,1.0,0.950574,0.07658568570139869,1.0,64.94471300000001,0.6466045786795751,61.734755615262,0.04952065503583927
Neutrophils,Cd80,Cd28,Neutrophils,1.0,64.94471300000001,0.6466045786795751,1.0,0.950574,0.07658568570139869,61.734755615262,0.04952065503583927
Neutrophils,Bmp10,Bmpr2,Neutrophils,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,17.57385566666667,0.1186406098495176,14.479187553045001,0.04914221920815625
Neutrophils,Inhba,Bambi,Neutrophils,1.0,7.3158796666666674,0.4894393712951085,1.0,0.7227113333333334,0.08872484537029593,5.2872691484028875,0.043425432536293364
Neutrophils,Calca,Calcrl,Neutrophils,0.3333333333333333,0.1472293333333334,0.2923521718179941,1.0,14.572368,0.1384188731248098,2.145480025728,0.04046705817863752
Neutrophils,Omg,Rtn4r,Neutrophils,1.0,7.313193000000001,0.3675831082569614,0.3333333333333333,0.026892000000000003,0.1095709570957096,0.196666386156,0.04027643298393108
Neutrophils,Icosl,Cd28,Neutrophils,1.0,25.01210333333333,0.4618681743218556,1.0,0.950574,0.07658568570139869,23.775855113979997,0.03537249083409245
Neutrophils,Liph,Lpar2,Neutrophils,0.3333333333333333,0.016600999999999998,0.06861240459592759,1.0,4.093518666666667,0.5131407387722118,0.06795650338533335,0.03520781998329218
Neutrophils,Wnt3,Lrp6,Neutrophils,0.3333333333333333,0.1529133333333333,0.4104541712895028,1.0,6.9602330000000014,0.07988264148437943,1.064312428806667,0.032788163410887416
Neutrophils,Flt3l,Flt3,Neutrophils,1.0,3.6002440000000004,0.1345597155042265,1.0,1.7315846666666668,0.2154869755080714,6.234127306658666,0.028995866119232317
Neutrophils,Crtam,Cadm1,Neutrophils,1.0,0.8912843333333332,0.5427557308636116,1.0,1.133543,0.05247101080838673,1.010309117059666,0.0284789418204584
Neutrophils,Cadm1,Crtam,Neutrophils,1.0,1.133543,0.05247101080838673,1.0,0.8912843333333332,0.5427557308636116,1.010309117059666,0.0284789418204584
Neutrophils,Gnas,Avpr2,Neutrophils,1.0,36.59512433333333,0.047977493676639366,0.3333333333333333,0.1519946666666667,0.5678321747988235,5.562263724670222,0.02724316457580294
Neutrophils,Inhba,Acvr2a,Neutrophils,1.0,7.3158796666666674,0.4894393712951085,1.0,3.937401666666666,0.05549171858491902,28.80555679266611,0.02715983185628785
Neutrophils,Clec4g,Lag3,Neutrophils,0.3333333333333333,0.2416766666666667,0.4346929366219941,1.0,2.29111,0.05842027383488195,0.5537078277666667,0.02539488039154588
Neutrophils,Inhba,Acvr2b,Neutrophils,1.0,7.3158796666666674,0.4894393712951085,0.6666666666666666,0.245191,0.05037164490001245,1.793787851349667,0.02465386621096255
Neutrophils,Bmp10,Acvr2a,Neutrophils,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,3.937401666666666,0.05549171858491902,3.2440449201749986,0.02298526788084019
Neutrophils,Insl5,Rxfp4,Neutrophils,0.3333333333333333,0.14031300000000002,0.2601332248154857,1.0,1.523698,0.08195544283034249,0.213794637474,0.021319333634638168
Neutrophils,H2-T23,Klrd1,Neutrophils,1.0,26.718120000000006,0.1475199013997117,0.6666666666666666,2.020148,0.1414945686059116,53.974556681760006,0.020873264809338817
Neutrophils,Siglec1,Spn,Neutrophils,1.0,14.001058,0.0762709927306889,1.0,2.590421666666666,0.240305238781698,36.26864399945666,0.01832831912026535
Neutrophils,Spn,Siglec1,Neutrophils,1.0,2.590421666666666,0.240305238781698,1.0,14.001058,0.0762709927306889,36.26864399945666,0.01832831912026535
Neutrophils,Amh,Egfr,Neutrophils,1.0,0.9334356666666668,0.5017852637524263,1.0,2.539916666666667,0.03648635852638638,2.3708488070277784,0.018308317036528386
Neutrophils,Tnfsf13,Tnfrsf13b,Neutrophils,1.0,1.07759,0.1218688632418715,1.0,3.955061333333333,0.1295697541686552,4.261934542186666,0.01579051865106275
Neutrophils,Bmp10,Acvrl1,Neutrophils,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,1.916929,0.03692523748731935,1.579367387745,0.01529483131633156
Neutrophils,Rtn4,Rtn4r,Neutrophils,1.0,56.835931,0.1378973320410935,0.3333333333333333,0.026892000000000003,0.1095709570957096,1.528431856452,0.01510954265268748
Neutrophils,Matn1,Itgb1,Neutrophils,0.3333333333333333,0.1630973333333333,0.1437899392416595,1.0,58.18688599999999,0.10323668399826,9.490125941570666,0.014844396519620209
Neutrophils,Il27,Il27ra,Neutrophils,1.0,3.127819666666667,0.5481327945776121,0.3333333333333333,0.064611,0.02569793888034131,0.202091556483,0.01408588305336615
Neutrophils,Tnfsf18,Tnfrsf18,Neutrophils,0.3333333333333333,0.04884166666666667,0.04082955968165622,1.0,1.3956346666666668,0.3265174597653731,0.06816512317777779,0.01333156411059308
Neutrophils,F2,F2rl2,Neutrophils,0.3333333333333333,0.07436066666666667,0.03814320775551086,1.0,2.649235666666666,0.3443315086729855,0.1969989303304444,0.01313390827208217
Neutrophils,Efnb2,Grm1,Neutrophils,1.0,0.6568320000000001,0.011938070170477079,0.6666666666666666,0.6038640000000001,1.0,0.3966371988480001,0.011938070170477079
Neutrophils,Il12b,Il23r,Neutrophils,0.3333333333333333,0.03218533333333333,0.01408320667013899,1.0,0.1572256666666667,0.8336122780445475,0.005060360490222222,0.01173993399446673
Neutrophils,Cdh1,Egfr,Neutrophils,1.0,0.57216,0.3070834319536154,1.0,2.539916666666667,0.03648635852638638,1.45323872,0.01120435619577279
Neutrophils,Amh,Acvr1,Neutrophils,1.0,0.9334356666666668,0.5017852637524263,1.0,0.855806,0.02143446312744256,0.7988398441473333,0.01075549773379542
Neutrophils,Inhba,Acvr1,Neutrophils,1.0,7.3158796666666674,0.4894393712951085,1.0,0.855806,0.02143446312744256,6.260973714011332,0.01049087015714367
Neutrophils,Ebi3,Il27ra,Neutrophils,1.0,11.65871166666667,0.4071193677037862,0.3333333333333333,0.064611,0.02569793888034131,0.7532810194949999,0.010462128628255091
Neutrophils,Tnfsf8,Tnfrsf8,Neutrophils,0.3333333333333333,0.05299466666666666,0.014676778353727491,1.0,2.775069666666667,0.703012499712891,0.1470638919617778,0.01031795863818601
Neutrophils,Tnfsf13b,Tnfrsf13c,Neutrophils,1.0,4.016919666666666,0.4824186491223055,0.3333333333333333,0.02090733333333333,0.0207652368177892,0.08398307844422223,0.01001753749434263
Neutrophils,Adm,Mrgprb1,Neutrophils,0.6666666666666666,0.3188806666666666,0.008818315717018348,0.3333333333333333,0.2499753333333333,1.0,0.07971230094355555,0.008818315717018348
Neutrophils,H2-M3,Klrd1,Neutrophils,1.0,2.124635,0.05695746878451406,0.6666666666666666,2.020148,0.1414945686059116,4.2920771459800005,0.00805917247454949
Neutrophils,Efnb2,Grm5,Neutrophils,1.0,0.6568320000000001,0.011938070170477079,0.6666666666666666,0.0023356666666666677,0.6597307221542228,0.001534140608,0.00787591165469663
Neutrophils,Cd59b,Cd2,Neutrophils,1.0,0.894193,0.1842283729985542,0.3333333333333333,0.062293333333333326,0.04220087689664579,0.05570226261333333,0.0077745988897813265
Neutrophils,Cd86,Cd28,Neutrophils,1.0,21.96196633333333,0.09689403863844467,1.0,0.950574,0.07658568570139869,20.876474185342,0.007420696389503104
Neutrophils,Cd28,Cd86,Neutrophils,1.0,0.950574,0.07658568570139869,1.0,21.96196633333333,0.09689403863844467,20.876474185342,0.007420696389503104
Neutrophils,C1qtnf1,Avpr2,Neutrophils,0.6666666666666666,0.1897486666666667,0.012618201570564279,0.3333333333333333,0.1519946666666667,0.5678321747988235,0.02884078534044445,0.007165020839863447
Neutrophils,Vcam1,Itgad,Neutrophils,1.0,2.664875,0.0172352611765461,1.0,0.3860966666666667,0.410764003527856,1.028899354583333,0.007079624882726301
