Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Proc,Tek,ECs,0.5,0.241504,1.0,1.0,66.82269500000001,0.9484795058090216,16.13794813328,0.9484795058090216
ECs,a,F11r,ECs,0.5,0.0358775,1.0,1.0,33.8141135,0.8395820055673167,1.21316585709625,0.8395820055673167
ECs,Efna3,Ephb1,ECs,0.5,0.1806205,0.7284509268949775,1.0,1.058059,0.806213901461467,0.1911071456095,0.5872872637952217
ECs,Cgn,F11r,ECs,0.5,0.0726045,0.6461094194719614,1.0,33.8141135,0.8395820055673167,2.45505680361075,0.5424618422162041
ECs,Efna3,Epha4,ECs,0.5,0.1806205,0.7284509268949775,1.0,6.9192795,0.6281451873364243,1.24976372292975,0.4575729439398376
ECs,Efna3,Epha2,ECs,0.5,0.1806205,0.7284509268949775,1.0,31.6939195,0.5590288178082639,5.724571587049749,0.4072250604934333
ECs,Proc,Thbd,ECs,0.5,0.241504,1.0,1.0,43.1011505,0.4013145655884081,10.409100250352,0.4013145655884081
ECs,Proc,Procr,ECs,0.5,0.241504,1.0,1.0,15.519257,0.3979295748367648,3.747962642528,0.3979295748367648
ECs,a,Mc1r,ECs,0.5,0.0358775,1.0,1.0,0.989536,0.3139139725126686,0.03550207784,0.3139139725126686
ECs,Wnt1,Fzd4,ECs,0.5,0.0292345,0.4428765120700495,1.0,30.801072,0.5373480691764108,0.900453939384,0.2379788386444245
ECs,a,Atrn,ECs,0.5,0.0358775,1.0,1.0,12.0191525,0.2176196232095937,0.43121714381875,0.2176196232095937
ECs,Wnt1,Fzd8,ECs,0.5,0.0292345,0.4428765120700495,1.0,3.1851815,0.4406530230187619,0.09311718856175,0.1951548738676725
ECs,Gip,Gipr,ECs,1.0,0.3260275,0.4722113996121241,0.5,0.205225,0.3926590127895196,0.0669089936875,0.185418061999654
ECs,Fgf16,Fgfr3,ECs,1.0,0.2355055,0.2095102068231121,1.0,7.6704545,0.8278663930876066,1.80643422224975,0.1734464592376883
ECs,Wnt1,Fzd9,ECs,0.5,0.0292345,0.4428765120700495,1.0,0.976531,0.3681359341666424,0.0285483955195,0.1630387584913719
ECs,Ntn1,Dcc,ECs,1.0,2.8328235,0.1613214142302211,0.5,0.006743,1.0,0.0191017288605,0.1613214142302211
ECs,Il19,Il20rb,ECs,0.5,0.0621735,0.400116482236459,1.0,5.3589275,0.3905787093313861,0.33318327892125,0.1562769792141306
ECs,Ccl28,Ccr10,ECs,0.5,0.1014825,0.5602924329074438,0.5,0.2651005,0.2682690254597046,0.02690306149125,0.1503091049485269
ECs,Efna3,Epha1,ECs,0.5,0.1806205,0.7284509268949775,1.0,5.380673,0.1901127853194472,0.9718598475965,0.1384878346805372
ECs,Angpt4,Tek,ECs,0.5,0.274159,0.1400245547796909,1.0,66.82269500000001,0.9484795058090216,18.320043238505,0.1328104205185696
ECs,Ntn4,Dcc,ECs,1.0,3.9921325,0.1326331529782771,0.5,0.006743,1.0,0.0269189494475,0.1326331529782771
ECs,Ifna11,Ifnar1,ECs,0.5,0.2098545,1.0,1.0,20.79761,0.1221346813081061,4.364472047745,0.1221346813081061
ECs,Rspo1,Lrp6,ECs,0.5,0.724909,0.5784209917375155,1.0,16.558025,0.2047872600336892,12.003061344725,0.118453250043895
