Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Pmch,Mchr1,Neutrophils,0.3333333333333333,0.0373926666666666,1.0,0.3333333333333333,0.0560196666666666,1.0,0.0020947247224444,1.0
FAPs,Rln1,Rxfp2,Neutrophils,1.0,4.803896000000001,0.6320268932124864,0.3333333333333333,0.0001453333333333,1.0,0.0006981662186666,0.6320268932124864
FAPs,Ihh,Ptch2,Neutrophils,0.3333333333333333,0.0155476666666666,1.0,1.0,3.705586,0.335255007288947,0.0576132159326666,0.335255007288947
FAPs,Il25,Il17rb,Neutrophils,0.3333333333333333,0.0514396666666666,1.0,1.0,1.997216333333333,0.2796098812323389,0.1027361424478889,0.2796098812323389
FAPs,Il13,Il13ra1,Neutrophils,0.3333333333333333,0.1174156666666667,0.6540874079906115,1.0,51.00428400000001,0.3926838735072487,5.988702008716,0.2568495769820694
FAPs,Nmb,Nmbr,Neutrophils,1.0,10.11001833333333,0.4274005261779917,0.6666666666666666,0.336221,0.5724991124434157,3.399200474051668,0.2446864218947491
FAPs,Pth2,Pth2r,Neutrophils,0.3333333333333333,0.152165,1.0,0.3333333333333333,0.1429766666666667,0.2274270934793063,0.0217560444833333,0.2274270934793063
FAPs,Ifnb1,Ifnar1,Neutrophils,0.3333333333333333,1.688039666666667,0.8950246002264373,1.0,37.76134866666666,0.2217548211149075,63.74265441616377,0.1984760201166552
FAPs,Gdf6,Bmpr1a,Neutrophils,1.0,0.232253,1.0,1.0,14.00046133333333,0.1923214645892228,3.251649146050666,0.1923214645892228
FAPs,Csf2,Csf3r,Neutrophils,0.6666666666666666,0.2300786666666667,0.2137022699341201,1.0,771.6691283333333,0.8977563004269765,177.5446041547622,0.1918525592489028
FAPs,Ifnb1,Ifnar2,Neutrophils,0.3333333333333333,1.688039666666667,0.8950246002264373,1.0,53.27148833333334,0.2042488376129897,89.92438540903723,0.1828077342312806
FAPs,Il13,Il4ra,Neutrophils,0.3333333333333333,0.1174156666666667,0.6540874079906115,1.0,49.85523499999999,0.2390531585124693,5.853785654348332,0.1563616608233898
FAPs,C1qtnf1,Avpr2,Neutrophils,1.0,4.811450666666667,0.3281932238346552,0.6666666666666666,0.234272,0.4655085737600355,1.127188170581333,0.1527767595449784
FAPs,Oxt,Avpr2,Neutrophils,1.0,0.3578333333333334,0.2934049749840486,0.6666666666666666,0.234272,0.4655085737600355,0.0838303306666666,0.1365825314389233
FAPs,F12,Gp1ba,Neutrophils,0.3333333333333333,0.1161036666666667,0.4390792107664924,1.0,3.028466,0.2729244218416247,0.3516160069753333,0.1198354397411218
FAPs,Gdf2,Bmpr2,Neutrophils,0.3333333333333333,0.0279803333333333,1.0,1.0,17.34473466666667,0.1145017121838161,0.4853114575515556,0.1145017121838161
