Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Epgn,Egfr,MuSCs,0.3333333333333333,0.05390033333333333,1.0,1.0,21.8974465,0.2947641963565862,1.180279665498833,0.2947641963565862
Inflammatory-Mac,Fgf22,Fgfrl1,MuSCs,0.3333333333333333,0.07573966666666666,0.7067113300737755,1.0,3.4727,0.3899743709791181,0.2630211404333334,0.2755993064093366
Inflammatory-Mac,Fgf22,Fgfr1,MuSCs,0.3333333333333333,0.07573966666666666,0.7067113300737755,1.0,42.6300515,0.362202985396654,3.228785890592833,0.2559729535663616
Inflammatory-Mac,Gdf7,Bmpr1a,MuSCs,0.3333333333333333,0.06980633333333333,0.5057819103972949,1.0,26.1699,0.4316816313205064,1.8268247627,0.2183367601727065
Inflammatory-Mac,Ntf5,Ngfr,MuSCs,0.6666666666666666,0.1442246666666667,0.184484465619529,1.0,12.2530545,0.9608496608412348,1.767192700911,0.1772618362210009
Inflammatory-Mac,Pla2g10,Pla2r1,MuSCs,0.6666666666666666,0.16284300000000002,0.2179237316677246,1.0,7.271132999999999,0.5603853853918142,1.184053111119,0.1221212743566401
Inflammatory-Mac,Gdf7,Acvr2a,MuSCs,0.3333333333333333,0.06980633333333333,0.5057819103972949,1.0,17.446105,0.2265518959828062,1.217848620998333,0.114585850754313
Inflammatory-Mac,Fgf17,Fgfr4,MuSCs,0.3333333333333333,0.1321063333333334,0.1045194518042191,1.0,37.1930565,0.9801418472049912,4.9134383196745,0.1024438885602404
Inflammatory-Mac,Gdf7,Bmpr2,MuSCs,0.3333333333333333,0.06980633333333333,0.5057819103972949,1.0,32.0437125,0.1787240771757799,2.2368540760125,0.09039540518795952
Inflammatory-Mac,Ntf5,Ntrk2,MuSCs,0.6666666666666666,0.1442246666666667,0.184484465619529,1.0,5.1203925,0.4544340129855215,0.7384869015150001,0.08383601604497204
Inflammatory-Mac,Ntf5,Ntrk1,MuSCs,0.6666666666666666,0.1442246666666667,0.184484465619529,0.5,0.0720295,0.3422942857889622,0.010388430627666673,0.06314797839839502
Inflammatory-Mac,Fgf17,Fgfr1,MuSCs,0.3333333333333333,0.1321063333333334,0.1045194518042191,1.0,42.6300515,0.362202985396654,5.631699793476168,0.037857257475509866
