Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Il2,Cd53,Neutrophils,0.3333333333333333,0.0834976666666666,1.0,1.0,580.2741193333334,0.4939046230977935,48.45153499138823,0.4939046230977935
Inflammatory-Mac,Icos,Icosl,Neutrophils,0.3333333333333333,0.0561746666666666,0.6070574335033573,1.0,27.259396,0.6671925731352637,1.531287483834667,0.4050242110999942
Inflammatory-Mac,Il2,Il2rg,Neutrophils,0.3333333333333333,0.0834976666666666,1.0,1.0,27.40387933333333,0.1484485549499597,2.288159981948223,0.1484485549499597
Inflammatory-Mac,Insl3,Rxfp2,Neutrophils,0.3333333333333333,0.0857543333333333,0.1220668660127029,0.3333333333333333,0.0001453333333333,1.0,1.246296311111111e-05,0.1220668660127029
Inflammatory-Mac,Il19,Il20rb,Neutrophils,0.3333333333333333,0.0932149999999999,0.5998835177635411,1.0,2.739463,0.1996623247470855,0.255359043545,0.1197741377341282
Inflammatory-Mac,B2m,Gm11127,Neutrophils,1.0,2954.454996666667,0.2990711021463276,1.0,0.151681,0.3944062017331431,448.1346883493966,0.1179554974456779
Inflammatory-Mac,Liph,Lpar2,Neutrophils,0.3333333333333333,0.1326086666666667,0.1586405813410514,1.0,3.722499666666667,0.4727248529668953,0.4936357174637779,0.0749933454890313
Inflammatory-Mac,Fasl,Fas,Neutrophils,0.3333333333333333,0.0594873333333333,0.1584819436421222,1.0,34.05638833333334,0.4644755621620905,2.025923724914445,0.0736109898657154
Inflammatory-Mac,Tnfsf18,Tnfrsf18,Neutrophils,0.6666666666666666,0.2097973333333333,0.3270698708904635,0.6666666666666666,0.7966953333333334,0.2189265747605062,0.1671445564124444,0.0716042865414101
Inflammatory-Mac,Gnrh1,Gnrhr,Neutrophils,1.0,1.591001666666666,0.0593966440956129,0.3333333333333333,0.1112073333333333,1.0,0.1769310526788888,0.0593966440956129
