Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Npy,Npy2r,FAPs,1.0,2.709067,0.670840434061904,0.3333333333333333,0.040253,1.0,0.109048073951,0.670840434061904
M1,Ambn,Cd63,FAPs,0.3333333333333333,0.004391,1.0,1.0,191.3804573333333,0.2553616117644182,0.8403515881506667,0.2553616117644182
M1,Npy,Prlhr,FAPs,1.0,2.709067,0.670840434061904,0.6666666666666666,0.124639,0.3507078555363176,0.337655401813,0.2352690100369028
M1,Nppa,Npr3,FAPs,0.3333333333333333,0.311492,0.2697938341070317,1.0,1.855956666666666,0.8533246568460519,0.5781156540133332,0.2302217309085634
M1,Fgf8,Fgfr2,FAPs,0.3333333333333333,0.0253066666666666,0.3492260631569263,1.0,1.092289666666667,0.6134761976883921,0.0276422104977777,0.2142418773591974
M1,Fgf8,Fgfr1,FAPs,0.3333333333333333,0.0253066666666666,0.3492260631569263,1.0,62.99699166666667,0.547944295769846,1.594243869111111,0.1913564292409978
M1,Rtn4,Rtn4r,FAPs,1.0,80.22922533333333,0.194654964395505,0.3333333333333333,0.218538,0.8904290429042905,17.533134445896,0.1733264336432583
M1,Gm13306,Ackr2,FAPs,0.3333333333333333,0.1674846666666666,0.1529941799035242,0.6666666666666666,0.26202,1.0,0.0438843323599999,0.1529941799035242
M1,Fgf8,Fgfrl1,FAPs,0.3333333333333333,0.0253066666666666,0.3492260631569263,1.0,2.499979666666666,0.3939114761317116,0.0632661520977777,0.1375641540418112
M1,Ccl12,Ccr10,FAPs,1.0,40.32940166666666,0.4705770439863239,0.3333333333333333,0.1394176666666667,0.2628230988584793,5.622631078429444,0.1236785169521486
M1,Ifna11,Ifnar1,FAPs,0.3333333333333333,0.0049183333333333,1.0,1.0,19.26507466666667,0.121041081627877,0.0947520589022222,0.121041081627877
M1,Wnt16,Fzd2,FAPs,0.3333333333333333,0.1267976666666667,0.1548868010726638,1.0,7.647982,0.7752263117781459,0.9697462723086668,0.1200723235386765
M1,Ifna11,Ifnar2,FAPs,0.3333333333333333,0.0049183333333333,1.0,1.0,28.367455,0.1026647715316729,0.1395205995083333,0.1026647715316729
M1,Omg,Rtn4r,FAPs,1.0,2.25799,0.1134933786942497,0.3333333333333333,0.218538,0.8904290429042905,0.49345661862,0.101057800566695
M1,Ntrk3,Ptprf,FAPs,0.3333333333333333,0.1128566666666667,0.1656366863465313,1.0,3.876179,0.4827046100021922,0.4374526413433333,0.0799535920849578
M1,Gnai2,Lhcgr,FAPs,1.0,136.676337,0.1929387280825172,0.3333333333333333,0.2064483333333333,0.3625320258231888,28.216601979755,0.0699464679515043
M1,Nppa,Npr2,FAPs,0.3333333333333333,0.311492,0.2697938341070317,1.0,5.523445333333334,0.2227749282644322,1.720509033770667,0.0601033020393801
M1,Ntrk3,Ptprs,FAPs,0.3333333333333333,0.1128566666666667,0.1656366863465313,1.0,20.524797,0.3127246837341967,2.31636017343,0.0517986803524993
