Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Nell2,Robo3,ECs,0.5,0.0132755,1.0,1.0,4.785814,0.6750138823283496,0.063534073757,0.6750138823283496
MuSCs,Ccl17,Ccr4,ECs,0.5,0.5468244999999999,0.5292147896712249,0.5,0.068728,1.0,0.037582154236,0.5292147896712249
MuSCs,Nrtn,Ret,ECs,0.5,0.1212335,1.0,1.0,3.87073,0.4357780537476825,0.4692621454550001,0.4357780537476825
MuSCs,Ndp,Fzd4,ECs,0.5,0.102282,0.9257602133635842,1.0,33.6320075,0.3908110491225105,3.4399489911150014,0.3617973202205014
MuSCs,Inha,Tgfbr3,ECs,1.0,0.3986325000000001,0.519425282239106,1.0,35.789624,0.25813945768277896,14.26690728918,0.1340841606639272
MuSCs,Il21,Il2rg,ECs,0.5,0.0165,0.39831340425189504,1.0,51.426897,0.2415189642606735,0.8485438005000001,0.09620024084606063
MuSCs,Csf2,Il3ra,ECs,0.5,0.2341465,0.5043813149581506,1.0,4.565006,0.1855991976162183,1.068880177379,0.09361276734884584
MuSCs,Ndp,Lgr4,ECs,0.5,0.102282,0.9257602133635842,1.0,1.6041275,0.087560868457266,0.164073368955,0.08106036826529928
MuSCs,Inha,Acvr2a,ECs,1.0,0.3986325000000001,0.519425282239106,1.0,10.6794795,0.1386817475209803,4.25718761178375,0.07203480584749761
MuSCs,Gdf1,Bmpr2,ECs,0.5,0.010243,0.2627623005489713,1.0,47.890007,0.2671069186198896,0.4905373417010001,0.07018562842910905
MuSCs,Csf2,Csf2rb,ECs,0.5,0.2341465,0.5043813149581506,1.0,18.853446,0.1384875367005694,4.414468393839,0.06985052586634835
MuSCs,Wnt5b,Fzd8,ECs,0.5,0.135954,0.2669439110304773,1.0,2.569008,0.2577238367773512,0.349266913632,0.06879780895512648
MuSCs,Cdh1,Itgae,ECs,1.0,0.2095515,0.1736339560569617,1.0,0.3719945,0.3853427071519593,0.07795200546674999,0.06690857868049396
MuSCs,Il4,Il13ra2,ECs,1.0,1.934301,0.4196220973378282,1.0,0.7352585,0.1431143522522708,1.4222112518085,0.0600539446512426
MuSCs,Lrrc4b,Ptprs,ECs,0.5,0.2428485,0.8267337771430614,1.0,3.5537505,0.061589788410185586,0.8630229782992501,0.05091835840579468
MuSCs,Crh,Crhr2,ECs,0.5,0.234577,1.0,0.5,0.1067825,0.04558336310231677,0.0250487185025,0.04558336310231677
MuSCs,Gdf1,Acvr1,ECs,0.5,0.010243,0.2627623005489713,1.0,8.2840475,0.16206490912806198,0.0848534985425,0.042584548360749534
