Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Dsc2,Dsg2,Inflammatory-Mac,1.0,0.117001,0.325449064875074,0.6666666666666666,0.1077053333333333,1.0,0.01260163170533333,0.325449064875074
MuSCs,Csf2,Csf2ra,Inflammatory-Mac,0.5,0.2341465,0.5043813149581506,1.0,50.16396966666667,0.479298954882761,11.745717923556173,0.2417494371218343
MuSCs,Csf2,Csf3r,Inflammatory-Mac,0.5,0.2341465,0.5043813149581506,1.0,42.348526,0.4394353010376842,9.915759143059,0.2216429549764179
MuSCs,Csf2,Csf2rb,Inflammatory-Mac,0.5,0.2341465,0.5043813149581506,1.0,47.057082,0.3456566704302601,11.018251050513001,0.1743427659556707
MuSCs,Il21,Il21r,Inflammatory-Mac,0.5,0.0165,0.39831340425189504,1.0,11.00391666666667,0.3760698897439991,0.181564625,0.1497936780205671
MuSCs,Avp,Avpr2,Inflammatory-Mac,0.5,0.2600935,0.6351187184004671,0.3333333333333333,0.024909333333333342,0.2004866754486455,0.0064787556893333344,0.1273328403673141
MuSCs,Csf2,Il3ra,Inflammatory-Mac,0.5,0.2341465,0.5043813149581506,1.0,5.211893333333333,0.2118996603132578,1.220346582373333,0.1068782293079864
MuSCs,Wnt6,Fzd7,Inflammatory-Mac,0.5,0.190759,0.4246468307147087,1.0,5.304132666666667,0.2455361227459804,1.0118110433606669,0.1042661363500582
MuSCs,Lrrc4b,Ptprs,Inflammatory-Mac,0.5,0.2428485,0.8267337771430614,1.0,7.017941,0.1216274190507089,1.7042964449385,0.1005534955559545
MuSCs,Il21,Il2rg,Inflammatory-Mac,0.5,0.0165,0.39831340425189504,1.0,53.30129133333333,0.2503217854381353,0.879471307,0.09970652251627612
MuSCs,A2m,Lrp1,Inflammatory-Mac,0.5,0.0058575,0.2078663315096851,1.0,186.35485366666668,0.3669190239530987,1.0915735553525,0.07627011147024489
MuSCs,Gnai2,Oprd1,Inflammatory-Mac,1.0,53.01711450000001,0.07176431814995911,0.3333333333333333,0.008050666666666666,1.0,0.426823116468,0.07176431814995911
MuSCs,Pthlh,Pth2r,Inflammatory-Mac,0.5,0.157141,0.09892363369446533,0.3333333333333333,0.226516,0.5176394414154667,0.035594950756,0.05120677448839127
MuSCs,Slitrk2,Ptprs,Inflammatory-Mac,0.5,0.100222,0.4087957448891354,1.0,7.017941,0.1216274190507089,0.7033520829020001,0.04972077136977757
MuSCs,Inha,Acvr2a,Inflammatory-Mac,1.0,0.3986325000000001,0.519425282239106,1.0,5.9276800000000005,0.07697575721224656,2.3629658976,0.03998315441554007
MuSCs,Gdf1,Acvr1,Inflammatory-Mac,0.5,0.010243,0.2627623005489713,1.0,5.931556333333332,0.1160419635630586,0.06075693152233332,0.030491453306049188
MuSCs,Gdf1,Bmpr2,Inflammatory-Mac,0.5,0.010243,0.2627623005489713,1.0,20.62554866666667,0.1150391719340928,0.2112674949926667,0.03022795747065087
MuSCs,Fgf16,Fgfr3,Inflammatory-Mac,1.0,1.8537625,1.0,0.6666666666666666,0.2788403333333334,0.02366410532613305,0.5169037534208334,0.02366410532613305
MuSCs,Fgf5,Fgfr3,Inflammatory-Mac,0.5,0.6512585,1.0,0.6666666666666666,0.2788403333333334,0.02366410532613305,0.1815971372261667,0.02366410532613305
MuSCs,Adm,Mrgprb1,Inflammatory-Mac,1.0,1.3556395,0.02326826880270489,0.3333333333333333,0.01213333333333333,1.0,0.01644842593333334,0.02326826880270489
MuSCs,Fgf1,Fgfr3,Inflammatory-Mac,1.0,6.252014,0.7576118033845048,0.6666666666666666,0.2788403333333334,0.02366410532613305,1.743313667764667,0.017928205511612533
MuSCs,Sost,Lrp6,Inflammatory-Mac,0.5,0.012877,0.09598789435890047,1.0,18.218472,0.1845933790146823,0.234599263944,0.0177187297642138
MuSCs,Tnfsf13,Tnfrsf17,Inflammatory-Mac,1.0,0.416583,0.04002375326389206,0.3333333333333333,0.07218766666666666,0.4244577243532578,0.030072154743,0.0169883912304679
MuSCs,Sost,Lrp4,Inflammatory-Mac,0.5,0.012877,0.09598789435890047,1.0,1.729477333333334,0.1670265395080728,0.02227047962133334,0.01603252582943361
MuSCs,Sost,Lrp5,Inflammatory-Mac,0.5,0.012877,0.09598789435890047,1.0,7.595080333333333,0.133221678551774,0.09780184945233332,0.01278766840714307
