Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Edn3,Kel,Neutrophils,1.0,2.9710025,1.0,0.3333333333333333,0.005710000000000001,1.0,0.016964424275,1.0
MuSCs,Gal,Galr3,Neutrophils,1.0,36.970641,0.8134977808933976,0.3333333333333333,0.048571,0.8538654915587955,1.7957010040110002,0.6946176825645304
MuSCs,Ccl21b,Ccr10,Neutrophils,1.0,0.08994500000000001,0.4157153289394626,0.3333333333333333,0.1003636666666667,1.0,0.009027209998333334,0.4157153289394626
MuSCs,Cck,Cckbr,Neutrophils,1.0,2.13263,0.4105353339970584,0.3333333333333333,0.0064116666666666645,1.0,0.01367371268333333,0.4105353339970584
MuSCs,Nell2,Robo3,Neutrophils,0.5,0.0132755,1.0,1.0,2.304135,0.3249861176716504,0.0305885441925,0.3249861176716504
MuSCs,Ncam1,Robo3,Neutrophils,1.0,53.13781850000001,0.9374210424316486,1.0,2.304135,0.3249861176716504,122.4367074294975,0.3046488252035729
MuSCs,Fgf16,Fgfr3,Neutrophils,1.0,1.8537625,1.0,1.0,2.9491110000000003,0.2502796940750712,5.466951380137499,0.2502796940750712
MuSCs,Fgf5,Fgfr3,Neutrophils,0.5,0.6512585,1.0,1.0,2.9491110000000003,0.2502796940750712,1.9206336061935,0.2502796940750712
MuSCs,Wnt7b,Fzd4,Neutrophils,0.5,0.298076,1.0,1.0,20.59650833333333,0.2393357883858265,6.139324817966666,0.2393357883858265
MuSCs,Ndp,Fzd4,Neutrophils,0.5,0.102282,0.9257602133635842,1.0,20.59650833333333,0.2393357883858265,2.10665206535,0.2215675505216043
MuSCs,Efnb3,Rhbdl2,Neutrophils,1.0,0.5717085,0.5212805177532418,1.0,1.754762333333333,0.3961114421056449,1.0032125414465,0.2064851776288139
