Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutro,Tnfsf13b,Tnfrsf17,M2,1.0,4.016919666666666,0.4824186491223056,0.3333333333333333,0.1124936666666667,1.0,0.4518780220087777,0.4824186491223056
Neutro,Adam28,Itga4,M2,0.3333333333333333,0.181571,1.0,1.0,82.22364800000001,0.3946493786955111,14.929429991008,0.3946493786955111
Neutro,Tnfsf14,Tnfrsf14,M2,1.0,17.35471666666666,0.7645815378321459,1.0,23.64775066666667,0.3960186708606028,410.4000126239777,0.3027885643768421
Neutro,Csf2,Csf2ra,M2,0.6666666666666666,0.506316,1.0,1.0,57.80982833333334,0.2830574439654438,29.27004104242,0.2830574439654438
Neutro,Csf2,Il3ra,M2,0.6666666666666666,0.506316,1.0,1.0,6.257232666666667,0.2812843561620119,3.168137014856,0.2812843561620119
Neutro,Tnfsf13b,Tnfrsf13b,M2,1.0,4.016919666666666,0.4824186491223056,1.0,16.576418,0.5430516050800909,66.58613946708734,0.2619782217264372
Neutro,Ltf,Lrp1,M2,1.0,15.99918866666667,0.9848882775340866,1.0,125.707184,0.261952291301752,2011.212953571382,0.2579937409762899
Neutro,Crtam,Cadm1,M2,1.0,0.8912843333333332,0.5427557308636116,1.0,9.362648666666669,0.4333912691303236,8.344782075104222,0.235225595026737
Neutro,Csf2,Csf2rb,M2,0.6666666666666666,0.506316,1.0,1.0,61.456258,0.2307758741614362,31.116286725528,0.2307758741614362
Neutro,Lefty2,Acvr2b,M2,0.3333333333333333,0.0141673333333333,1.0,1.0,0.947649,0.1946834872317985,0.013425659266,0.1946834872317985
Neutro,Clec4g,Lag3,M2,0.3333333333333333,0.2416766666666667,0.434692936621994,1.0,14.550925,0.3710293364573632,3.516619050916666,0.1612838318375611
Neutro,Calca,Ramp1,M2,0.3333333333333333,0.1472293333333334,0.2923521718179941,1.0,7.616195333333333,0.5477299873566027,1.121327361463111,0.1601300513735453
Neutro,Ltf,Lrp11,M2,1.0,15.99918866666667,0.9848882775340866,1.0,0.7085566666666666,0.1531082633386932,11.33633179102445,0.1507945337558809
Neutro,Wnt8a,Fzd5,M2,1.0,26.35502233333333,0.9409842974233844,1.0,5.056184333333333,0.151934258535964,133.2558510264501,0.142967751523007
Neutro,Tnfsf14,Ltbr,M2,1.0,17.35471666666666,0.7645815378321459,1.0,13.81253266666666,0.1757708110313487,239.7125908790777,0.1343911170043521
Neutro,Ifnk,Ifnar2,M2,0.3333333333333333,0.4689626666666666,0.353634277354796,1.0,96.06569666666668,0.347671752729116,45.05122528399111,0.1229486490330363
Neutro,F12,Gp1ba,M2,0.6666666666666666,0.433243,1.0,1.0,1.215240666666667,0.1171553175393823,0.5264945121486666,0.1171553175393823
Neutro,Spn,Siglec1,M2,1.0,2.590421666666666,0.240305238781698,1.0,87.43620566666668,0.4763101621892682,226.4966416100561,0.1144598272590414
Neutro,Inhba,Bambi,M2,1.0,7.315879666666667,0.4894393712951084,1.0,1.806973666666667,0.2218360938436415,13.21960190616878,0.1085753183013946
Neutro,Hc,C5ar2,M2,1.0,0.1527673333333333,1.0,1.0,8.275423333333334,0.1001144645995861,1.264214354837778,0.1001144645995861
Neutro,Ifnk,Ifnar1,M2,0.3333333333333333,0.4689626666666666,0.353634277354796,1.0,43.49958833333333,0.2733047918752272,20.39968294370222,0.0966499425723988
Neutro,Wnt3,Fzd7,M2,0.3333333333333333,0.1529133333333333,0.4104541712895028,1.0,5.344803,0.2325110717631453,0.8172916427399999,0.0954351392761759
Neutro,Inhba,Acvr2b,M2,1.0,7.315879666666667,0.4894393712951084,1.0,0.947649,0.1946834872317985,6.932886050237,0.0952857635922707
Neutro,Hc,C5ar1,M2,1.0,0.1527673333333333,1.0,1.0,31.266034,0.0934159556350244,4.776428638089333,0.0934159556350244
Neutro,Cdh1,Itgb7,M2,1.0,0.5721599999999999,0.3070834319536154,1.0,11.00545633333333,0.2957508196409995,6.296881895679999,0.0908201766984528
Neutro,Wnt3,Lrp6,M2,0.3333333333333333,0.1529133333333333,0.4104541712895028,1.0,19.24455733333333,0.2208699154157989,2.942749410364444,0.0906569780947743
Neutro,Tnfsf13b,Tnfrsf13c,M2,1.0,4.016919666666666,0.4824186491223056,0.3333333333333333,0.1849383333333333,0.1836814015028493,0.7428824282872221,0.0886113335818964
Neutro,F11,Gp1ba,M2,0.3333333333333333,0.131907,0.7519896167469862,1.0,1.215240666666667,0.1171553175393823,0.160298750618,0.0880995823363115
Neutro,Inhba,Acvr1b,M2,1.0,7.315879666666667,0.4894393712951084,1.0,4.514094000000001,0.1793360421931761,33.02456850802201,0.0877741197415811
Neutro,Slamf1,Slamf1,M2,0.6666666666666666,0.1125246666666667,0.2674836533981598,0.3333333333333333,0.1375793333333333,0.3270413839224872,0.0154810686235555,0.087478224183977
Neutro,Il27,Il27ra,M2,1.0,3.127819666666667,0.5481327945776121,1.0,0.3815196666666667,0.1517430325431922,1.193324716620111,0.0831753324855814
Neutro,Bmp10,Acvrl1,M2,0.6666666666666666,0.8239049999999999,0.4142107771570602,1.0,9.866406666666666,0.190053679251103,8.128981784699999,0.078722282184158
Neutro,Il1f6,Il1rl2,M2,0.6666666666666666,0.5519996666666667,1.0,1.0,1.87712,0.0744838592579165,1.036169614293333,0.0744838592579165
