Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Fgf23,Fgfr3,ECs,0.3333333333333333,0.1241873333333333,1.0,1.0,6.834606,0.5800266923841274,0.8487714935239999,0.5800266923841274
Neutrophils,Fgf23,Fgfr2,ECs,0.3333333333333333,0.1241873333333333,1.0,1.0,0.8651055000000001,0.4187626516044521,0.107435145097,0.4187626516044521
Neutrophils,Fgf8,Fgfr3,ECs,0.3333333333333333,0.1008186666666667,0.5824672085844085,1.0,6.834606,0.5800266923841274,0.689055864112,0.3378465284174301
Neutrophils,Gpha2,Tshr,ECs,0.3333333333333333,0.06840833333333332,1.0,1.0,0.7262925,0.2952325527432663,0.0496844594375,0.2952325527432663
Neutrophils,Fgf9,Fgfr3,ECs,0.6666666666666666,1.307603,0.4980403386610671,1.0,6.834606,0.5800266923841274,8.936951309418003,0.2888766903074494
Neutrophils,Sost,Lrp5,ECs,0.3333333333333333,0.1212753333333333,0.9040121056410996,1.0,17.945525,0.3147738875783,2.176349526216667,0.2845594049104938
Neutrophils,Bmp15,Bmpr2,ECs,0.3333333333333333,0.053572,1.0,1.0,47.890007,0.2671069186198896,2.565563455004,0.2671069186198896
Neutrophils,Fgf8,Fgfr2,ECs,0.3333333333333333,0.1008186666666667,0.5824672085844085,1.0,0.8651055000000001,0.4187626516044521,0.087218783036,0.2439155127394503
Neutrophils,Pspn,Ret,ECs,1.0,1.998255,0.5512851632219802,1.0,3.87073,0.4357780537476825,7.734705576150001,0.240237975488848
Neutrophils,Robo2,Robo2,ECs,1.0,0.781984,0.5988210947087101,1.0,0.5215465,0.3993854683363039,0.407841018256,0.2391604433598964
Neutrophils,Bmp7,Eng,ECs,0.3333333333333333,0.1301303333333333,0.4028730131292778,1.0,260.047928,0.5333246545957802,33.84012355328266,0.2148621105731333
Neutrophils,Fgf9,Fgfr2,ECs,0.6666666666666666,1.307603,0.4980403386610671,1.0,0.8651055000000001,0.4187626516044521,1.1312145471165,0.2085606928236877
Neutrophils,Dll3,Notch4,ECs,1.0,1.051528333333333,0.3068044067382527,1.0,55.87392200000001,0.5825754174893317,58.753012077456674,0.1787367053431043
Neutrophils,Ifna11,Ifnar1,ECs,0.3333333333333333,0.009568666666666666,1.0,1.0,26.568057,0.1769362593421452,0.254220881414,0.1769362593421452
Neutrophils,Hcrt,Hcrtr1,ECs,1.0,0.4157083333333333,0.3657989125979283,1.0,0.661267,0.4625884841688627,0.2748942024583333,0.1692143644892939
Neutrophils,Cx3cl1,Itgb3,ECs,1.0,8.798677,0.3410976285498225,1.0,5.550980500000001,0.4587918645086687,48.8412844527985,0.1564928169818584
Neutrophils,Dll1,Notch4,ECs,1.0,9.104688,0.2679943814129407,1.0,55.87392200000001,0.5825754174893317,508.7146271463361,0.1561269386364391
Neutrophils,Bmp15,Acvr2a,ECs,0.3333333333333333,0.053572,1.0,1.0,10.6794795,0.1386817475209803,0.572121075774,0.1386817475209803
Neutrophils,Pomc,Mc5r,ECs,1.0,0.9881903333333332,0.3979260288732078,1.0,0.966625,0.322724746715536,0.9552094809583334,0.128420576879625
Neutrophils,Efna4,Epha4,ECs,1.0,0.9905496666666666,0.2455922776733763,1.0,10.4223555,0.5134583541362048,10.3238607664065,0.1261014066827336
Neutrophils,Sost,Lrp6,ECs,0.3333333333333333,0.1212753333333333,0.9040121056410996,1.0,13.4154945,0.1359286037219744,1.626968567319,0.1228811032675567
Neutrophils,Wnt16,Lrp5,ECs,0.6666666666666666,0.362629,0.3801830659776997,1.0,17.945525,0.3147738875783,6.5075677852250005,0.1196717016692379
Neutrophils,Bmp7,Acvr2b,ECs,0.3333333333333333,0.1301303333333333,0.4028730131292778,1.0,1.921801,0.2963026861879742,0.2500846047303333,0.119372355982848
Neutrophils,Dll3,Notch1,ECs,1.0,1.051528333333333,0.3068044067382527,1.0,67.073376,0.3886152607163267,70.52955527631998,0.119228874513504
Neutrophils,Ifna11,Ifnar2,ECs,0.3333333333333333,0.009568666666666666,1.0,1.0,29.4475095,0.1188040616343075,0.281773402569,0.1188040616343075
Neutrophils,Lgi1,Adam22,ECs,0.3333333333333333,0.000409,1.0,1.0,1.124414,0.1096545122942886,0.000459885326,0.1096545122942886
Neutrophils,Bmp7,Bmpr2,ECs,0.3333333333333333,0.1301303333333333,0.4028730131292778,1.0,47.890007,0.2671069186198896,6.231942574245665,0.1076101691320717
Neutrophils,Vegfc,Kdr,ECs,1.0,2.563407,0.1896122636800084,1.0,143.0191385,0.5586909079605606,366.6162607648696,0.1059346477558411
Neutrophils,Dll1,Notch1,ECs,1.0,9.104688,0.2679943814129407,1.0,67.073376,0.3886152607163267,610.6821615866878,0.1041467064033006
Neutrophils,Vegfc,Flt4,ECs,1.0,2.563407,0.1896122636800084,1.0,14.4951535,0.5379962725672185,37.15697794797449,0.1020106910928771
Neutrophils,Col4a3,Cd93,ECs,1.0,0.3992243333333333,0.235060551487213,1.0,235.101616,0.4180755282411121,93.85828591318935,0.09827306423166368
Neutrophils,Nppc,Npr2,ECs,0.3333333333333333,0.224617,0.223433695150483,1.0,17.947853,0.4337138114960137,4.031392897301,0.09690627954035436
Neutrophils,Nxph3,Nrxn2,ECs,0.6666666666666666,0.206979,0.3420094681791519,0.5,0.16577550000000002,0.2699314894696778,0.03431204721450001,0.09231912515833084
Neutrophils,Tgfa,Erbb2,ECs,0.6666666666666666,0.299163,0.324328104088373,1.0,3.1122635,0.2822077032432218,0.9310740854505,0.09152788935200833
Neutrophils,Sost,Lrp4,ECs,0.3333333333333333,0.1212753333333333,0.9040121056410996,1.0,1.0305975,0.09953130389913813,0.124986055345,0.08997750361506404
Neutrophils,Efna3,Ephb1,ECs,0.3333333333333333,0.03759566666666666,0.1417871514468859,1.0,4.839814499999999,0.6099383944911378,0.1819560526705,0.0864814275129854
Neutrophils,Fgf23,Fgfr1,ECs,0.3333333333333333,0.1241873333333333,1.0,1.0,10.077153,0.08561976287781048,1.251454758662,0.08561976287781048
Neutrophils,Bmp6,Bmpr2,ECs,1.0,10.017551,0.3178405490526472,1.0,47.890007,0.2671069186198896,479.7405875128569,0.08489740966990647
Neutrophils,Vtn,Itgb3,ECs,1.0,8.170596999999999,0.1850379716826984,1.0,5.550980500000001,0.4587918645086687,45.35482462035849,0.08489391603320742
Neutrophils,Efna4,Epha2,ECs,1.0,0.9905496666666666,0.2455922776733763,1.0,17.140418,0.342078450107084,16.97843533642733,0.08401182570477718
Neutrophils,Inhbb,Acvr2b,ECs,1.0,2.063518333333333,0.2802436987149647,1.0,1.921801,0.2963026861879742,3.965671596518332,0.0830369607164974
Neutrophils,Wnt9a,Fzd4,ECs,0.6666666666666666,0.7655756666666665,0.2104545483492954,1.0,33.6320075,0.3908110491225105,25.74784656315083,0.08224796283299225
Neutrophils,Slit2,Robo4,ECs,1.0,0.206538,0.1226810226883485,1.0,64.3542805,0.6389470558360469,13.291604385909,0.07838667825367558
Neutrophils,Vegfc,Nrp2,ECs,1.0,2.563407,0.1896122636800084,1.0,64.20135099999999,0.4070144914449588,164.574192562857,0.07717493907344604
Neutrophils,Fgf8,Fgfrl1,ECs,0.3333333333333333,0.1008186666666667,0.5824672085844085,1.0,1.1331785,0.127252734974101,0.1142455454653333,0.07412054532509615
Neutrophils,Efna3,Epha4,ECs,0.3333333333333333,0.03759566666666666,0.1417871514468859,1.0,10.4223555,0.5134583541362048,0.3918354032594999,0.07280179741957885
Neutrophils,Bmp15,Bmpr1a,ECs,0.3333333333333333,0.053572,1.0,1.0,4.344454,0.07166328453363975,0.232741089688,0.07166328453363975
Neutrophils,Prn,Rpsa,ECs,0.3333333333333333,0.706375,0.7114888259364179,1.0,99.9186745,0.0998013766113836,70.5800536999375,0.07100756427207161
Neutrophils,Pomc,Mc1r,ECs,1.0,0.9881903333333332,0.3979260288732078,1.0,0.6627425,0.1766083511268686,0.6549157319891666,0.07027705982975994
Neutrophils,Fgf1,Fgfr3,ECs,1.0,0.9548856666666669,0.1157119372972211,1.0,6.834606,0.5800266923841274,6.526267306714001,0.06711601225986671
Neutrophils,Chad,Itga2,ECs,1.0,0.320466,0.1118880223646164,1.0,6.9164455,0.5891123781422892,2.216485623603,0.0659146189408568
Neutrophils,Bmp7,Acvr1,ECs,0.3333333333333333,0.1301303333333333,0.4028730131292778,1.0,8.2840475,0.16206490912806198,1.078005862524167,0.06529157826294492
Neutrophils,Bmp4,Bmpr2,ECs,1.0,5.739525,0.2144806299461176,1.0,47.890007,0.2671069186198896,274.865892426675,0.057289260168560285
