Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Prok2,Prokr2,FAPs,1.0,13.86660833333333,0.9792513422508669,0.3333333333333333,0.1523886666666667,1.0,2.113113955105556,0.9792513422508669
Neutrophils,Gdf15,Gfral,FAPs,1.0,31.10563533333334,0.5098730460623802,0.6666666666666666,0.194456,1.0,6.048677424378667,0.5098730460623802
Neutrophils,Inhbc,Acvr2a,FAPs,0.3333333333333333,0.011835,1.0,1.0,26.32069366666667,0.3961505993138794,0.311505409545,0.3961505993138794
Neutrophils,Csf2,Sdc2,FAPs,1.0,0.6124066666666667,0.5688171645181709,1.0,39.565288,0.6318154186847339,24.23004613978667,0.3593874549551113
Neutrophils,Aanat,Mtnr1a,FAPs,1.0,3.063320333333333,0.3404655361742741,0.6666666666666666,0.3144306666666667,1.0,0.9632018546235556,0.3404655361742741
Neutrophils,Tff3,Ackr3,FAPs,0.6666666666666666,0.5330766666666666,0.684248774872385,1.0,27.08897866666667,0.494652041927818,14.44050245103111,0.3384650536772331
Neutrophils,Gdf1,Bmpr1a,FAPs,0.3333333333333333,0.040985,0.7779992406985573,1.0,24.18506433333333,0.3322252662272683,0.9912248617016668,0.2584710048656908
Neutrophils,Ntf5,Ntrk1,FAPs,0.3333333333333333,0.244596,0.3666825158589784,0.6666666666666666,0.138402,0.6926333700330297,0.033852575592,0.253976546691594
Neutrophils,Gnai2,Mtnr1a,FAPs,1.0,203.386317,0.250961399315095,0.6666666666666666,0.3144306666666667,1.0,63.950895245188,0.250961399315095
Neutrophils,Gdf1,Acvr1,FAPs,0.3333333333333333,0.040985,0.7779992406985573,1.0,10.55762366666667,0.2481739331426511,0.4327042059783333,0.1930791315461571
Neutrophils,Insl5,Rxfp3,FAPs,0.3333333333333333,0.140313,1.0,1.0,0.0312176666666666,0.1491714995197676,0.004380244463,0.1491714995197676
Neutrophils,Gm13306,Ackr2,FAPs,0.6666666666666666,0.0743246666666666,0.1318416733900949,0.6666666666666666,0.2786473333333334,1.0,0.0207103701675555,0.1318416733900949
Neutrophils,Ntf5,Ntrk2,FAPs,0.3333333333333333,0.244596,0.3666825158589784,1.0,5.268343000000001,0.3586410580856194,1.288615624428,0.1315074054691609
Neutrophils,Gdf1,Bmpr2,FAPs,0.3333333333333333,0.040985,0.7779992406985573,1.0,24.489942,0.1616709822417395,1.00372027287,0.1257799014270633
Neutrophils,Insl5,Rxfp4,FAPs,0.3333333333333333,0.140313,1.0,1.0,1.688011333333333,0.1153172515351477,0.2368499342139999,0.1153172515351477
Neutrophils,Csf2,Il3ra,FAPs,1.0,0.6124066666666667,0.5688171645181709,1.0,4.164369,0.1869409173525093,2.55028733806,0.10633520254088
Neutrophils,F11,Gp1ba,FAPs,0.6666666666666666,0.2892773333333333,1.0,0.6666666666666666,1.145672333333333,0.1032476373170262,0.3314170374604445,0.1032476373170262
Neutrophils,Calr,Mtnr1a,FAPs,1.0,102.5625483333333,0.1024861749695859,0.6666666666666666,0.3144306666666667,1.0,32.24881044748223,0.1024861749695859
Neutrophils,Efnb3,Ephb2,FAPs,0.6666666666666666,0.165128,0.1097714966244839,1.0,3.082080666666666,0.8073579592313238,0.5089378163253333,0.0886248914965115
Neutrophils,Efnb3,Ephb3,FAPs,0.6666666666666666,0.165128,0.1097714966244839,1.0,6.987880666666666,0.6816872822276142,1.153894758725333,0.0748298332000021
Neutrophils,Areg,Egfr,FAPs,0.6666666666666666,0.414036,0.0745267915219885,1.0,50.102415,0.7357062578404556,20.74420349694,0.054829826899498
Neutrophils,F8,Asgr2,FAPs,1.0,0.1600013333333334,0.0730518248916692,0.3333333333333333,0.0483403333333333,0.7350278763304613,0.0077345177871111,0.0536951277121883
Neutrophils,Wnt10b,Fzd7,FAPs,0.3333333333333333,0.059192,0.3472771434941271,1.0,3.068283333333333,0.1220879833796353,0.1816178270666667,0.0423983661230382
Neutrophils,Rph3a,Nrxn1,FAPs,0.3333333333333333,0.0002983333333333,1.0,0.3333333333333333,0.0093573333333333,0.0390938994465689,2.791604444444445e-06,0.0390938994465689
Neutrophils,Inhbc,Acvr2b,FAPs,0.3333333333333333,0.011835,1.0,1.0,0.1523196666666667,0.0380537990759009,0.001802703255,0.0380537990759009
Neutrophils,Gdf9,Bmpr1b,FAPs,1.0,0.174755,0.0623110405646044,1.0,0.7708836666666666,0.5975056510655317,0.1347157751683333,0.0372311988611247
Neutrophils,Efnb3,Ephb6,FAPs,0.6666666666666666,0.165128,0.1097714966244839,1.0,0.4691353333333333,0.3234597775896006,0.0774673793226666,0.0355066638838331
Neutrophils,Ifnk,Ifnar2,FAPs,0.3333333333333333,0.4689626666666666,0.3796543062756159,1.0,24.18563533333333,0.0927304278201285,11.34216004094755,0.0352055062446919
Neutrophils,Ifnk,Ifnar1,FAPs,0.3333333333333333,0.4689626666666666,0.3796543062756159,1.0,13.56641266666666,0.0796692258166966,6.362141061260443,0.0302467646589533
Neutrophils,Tnfsf15,Tnfrsf25,FAPs,0.3333333333333333,0.045361,1.0,0.3333333333333333,0.1044983333333333,0.0283040915503445,0.0047401488983333,0.0283040915503445
Neutrophils,Fgf18,Fgfr2,FAPs,0.3333333333333333,0.1678953333333333,0.032988518307712,1.0,0.989756,0.8491451975864605,0.1661754135386666,0.0280120418964867
Neutrophils,Pcsk9,Vldlr,FAPs,0.6666666666666666,0.198757,0.0442112266461262,1.0,3.084571666666667,0.5914381734415501,0.6130802107516666,0.0261482071331952
Neutrophils,Calca,Calcrl,FAPs,0.3333333333333333,0.1472293333333334,0.2932970149560972,1.0,8.980450666666668,0.0888525335143908,1.322185764686223,0.0260601828510574
Neutrophils,Gdf9,Acvr2a,FAPs,1.0,0.174755,0.0623110405646044,1.0,26.32069366666667,0.3961505993138794,4.599672821718333,0.0246845560635395
