Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Icosl,Icos,Inflammatory-Mac,1.0,27.259396,0.6671925731352637,0.3333333333333333,0.0561746666666666,0.6070574335033573,1.531287483834667,0.4050242110999942
Neutrophils,Csf2,Csf2ra,Inflammatory-Mac,1.0,0.6124066666666667,0.5688171645181709,1.0,76.60934666666667,0.3552717160981219,46.91607462764444,0.2020846501844383
Neutrophils,Cxcl17,Gpr35,Inflammatory-Mac,0.6666666666666666,0.2570363333333334,0.4134849981393124,1.0,57.166135,0.4417873503221967,14.69377373123833,0.1826724417259453
Neutrophils,Csf2,Csf2rb,Inflammatory-Mac,1.0,0.6124066666666667,0.5688171645181709,1.0,82.69899733333334,0.3203882151167078,50.64541729358223,0.1822423160677235
Neutrophils,Tff3,Cxcr4,Inflammatory-Mac,0.6666666666666666,0.5330766666666666,0.684248774872385,1.0,206.0009306666667,0.23916195862692,109.8142894500178,0.16364627718655
Neutrophils,Inhbc,Acvr2a,Inflammatory-Mac,0.3333333333333333,0.011835,1.0,1.0,8.453176999999998,0.1272280729780779,0.100043349795,0.1272280729780779
Neutrophils,Csf2,Il3ra,Inflammatory-Mac,1.0,0.6124066666666667,0.5688171645181709,1.0,4.685485333333333,0.2103341290013111,2.869422454702222,0.119641662859925
Neutrophils,Ifnk,Ifnar2,Inflammatory-Mac,0.3333333333333333,0.4689626666666666,0.3796543062756159,1.0,81.77185533333333,0.3135224286729781,38.34794733540089,0.1190301401596858
Neutrophils,Ifnk,Ifnar1,Inflammatory-Mac,0.3333333333333333,0.4689626666666666,0.3796543062756159,1.0,49.80229833333333,0.2924657129041698,23.35541863252889,0.111035867342036
Neutrophils,Gdf1,Bmpr2,Inflammatory-Mac,0.3333333333333333,0.040985,0.7779992406985573,1.0,20.755341,0.1370169176485697,0.8506576508849999,0.106599057893444
Neutrophils,Gdf1,Acvr1,Inflammatory-Mac,0.3333333333333333,0.040985,0.7779992406985573,1.0,5.743874333333333,0.1350190089916815,0.2354126895516667,0.1050446864753999
Neutrophils,Insl5,Rxfp4,Inflammatory-Mac,0.3333333333333333,0.140313,1.0,1.0,1.53237,0.1046845440225605,0.21501143181,0.1046845440225605
Neutrophils,Inhbc,Acvr2b,Inflammatory-Mac,0.3333333333333333,0.011835,1.0,1.0,0.289563,0.0723410998917742,0.003426978105,0.0723410998917742
Neutrophils,Calca,Ramp1,Inflammatory-Mac,0.3333333333333333,0.1472293333333334,0.2932970149560972,1.0,1.616755666666667,0.244808947986161,0.2380338589662223,0.0718017336788835
Neutrophils,Wnt10b,Fzd7,Inflammatory-Mac,0.3333333333333333,0.059192,0.3472771434941271,1.0,3.725954,0.148256911310435,0.220546669168,0.05148623666315
Neutrophils,Agrp,Mc5r,Inflammatory-Mac,1.0,2.235202,0.7666264448044829,0.3333333333333333,0.1016926666666667,0.0652591897544026,0.2273036519186666,0.0500294206322388
Neutrophils,F11,Gp1ba,Inflammatory-Mac,0.6666666666666666,0.2892773333333333,1.0,0.6666666666666666,0.5012456666666667,0.0451721048793744,0.1449990097982222,0.0451721048793744
Neutrophils,Cel,Cxcr4,Inflammatory-Mac,0.6666666666666666,0.293492,0.186342884698229,1.0,206.0009306666667,0.23916195862692,60.45962514322134,0.0445661292806187
Neutrophils,Csf2,Csf3r,Inflammatory-Mac,1.0,0.6124066666666667,0.5688171645181709,1.0,59.174535,0.0688433807580531,36.2388797309,0.0391592966386405
Neutrophils,Calca,Calcrl,Inflammatory-Mac,0.3333333333333333,0.1472293333333334,0.2932970149560972,1.0,13.45113833333333,0.1330854946963174,1.980402129391111,0.0390335783283854
Neutrophils,Il17f,Il17ra,Inflammatory-Mac,0.3333333333333333,0.0868896666666666,0.1257082782259377,1.0,20.07571666666667,0.2114844369830725,1.744372329261111,0.0265853444447238
Neutrophils,Lefty2,Acvr2b,Inflammatory-Mac,0.3333333333333333,0.0141673333333333,0.2397923777821659,1.0,0.289563,0.0723410998917742,0.004102335542,0.0173468443544257
Neutrophils,Gdf1,Bmpr1a,Inflammatory-Mac,0.3333333333333333,0.040985,0.7779992406985573,1.0,1.592065666666667,0.0218698793879423,0.0652508113483333,0.0170147495579881
Neutrophils,Spon2,Itga4,Inflammatory-Mac,0.6666666666666666,0.1428456666666667,0.0404202646596051,1.0,58.26078933333333,0.4133421329381362,8.322301292846221,0.0167073984083251
Neutrophils,Spon2,Itgam,Inflammatory-Mac,0.6666666666666666,0.1428456666666667,0.0404202646596051,1.0,181.556244,0.393453292404907,25.934522711676,0.0159034862101993
Neutrophils,Spon2,Itgb2,Inflammatory-Mac,0.6666666666666666,0.1428456666666667,0.0404202646596051,1.0,160.3781766666667,0.3476980412202665,22.90932756473445,0.0140540468477494
Neutrophils,Amh,Amhr2,Inflammatory-Mac,1.0,1.444081666666667,0.4572362623154984,0.3333333333333333,0.0330233333333333,0.0288192192513664,0.0476883902388888,0.0131771920933456
Neutrophils,Rln1,Rxfp1,Inflammatory-Mac,1.0,1.270228333333333,0.1671182030558407,0.3333333333333333,0.000545,0.0621200607902735,0.0006922744416666,0.0103813929329901
Neutrophils,Gdf9,Bmpr2,Inflammatory-Mac,1.0,0.174755,0.0623110405646044,1.0,20.755341,0.1370169176485697,3.627099616454999,0.008537666713637
Neutrophils,Gdf9,Tgfbr1,Inflammatory-Mac,1.0,0.174755,0.0623110405646044,1.0,31.92294566666666,0.1360671193421944,5.578694369978333,0.0084784837928403
Neutrophils,Gdf9,Acvr2a,Inflammatory-Mac,1.0,0.174755,0.0623110405646044,1.0,8.453176999999998,0.1272280729780779,1.477234946635,0.0079277136162934
Neutrophils,Spon2,Itga5,Inflammatory-Mac,0.6666666666666666,0.1428456666666667,0.0404202646596051,1.0,38.33270933333333,0.1721542442616619,5.475661419859556,0.0069585201153306
Neutrophils,Tnfsf8,Tnfrsf8,Inflammatory-Mac,0.3333333333333333,0.0529946666666666,0.0683835386408027,0.6666666666666666,0.4829693333333333,0.1009982065580717,0.0255947988302222,0.0069066147608156
Neutrophils,Slpi,Plscr4,Inflammatory-Mac,1.0,68.48291533333334,0.7870601450228751,0.6666666666666666,0.2560376666666667,0.0084974321672511,17.53420584847755,0.0066879901938787
Neutrophils,Ntn1,Adora2b,Inflammatory-Mac,0.6666666666666666,0.165052,0.0093992520400676,1.0,22.76267366666666,0.620962866244696,3.757024814030666,0.0058365864873566
Neutrophils,Spon2,Itgb1,Inflammatory-Mac,0.6666666666666666,0.1428456666666667,0.0404202646596051,1.0,77.61293766666667,0.1083847159795808,11.08667182295344,0.0043809389049507
Neutrophils,Areg,Erbb3,Inflammatory-Mac,0.6666666666666666,0.414036,0.0745267915219885,1.0,0.5757656666666666,0.0556872109727821,0.238387713564,0.0041501891626095
Neutrophils,Il34,Csf1r,Inflammatory-Mac,1.0,0.220446,0.0086210687609093,1.0,167.436325,0.47891285505579,36.91066810095001,0.0041287406539193
Neutrophils,Liph,Lpar2,Inflammatory-Mac,0.3333333333333333,0.016601,0.0198598806325589,1.0,1.534638333333333,0.1948856267143685,0.0254765309716666,0.0038704052835487
Neutrophils,Gnai2,Tbxa2r,Inflammatory-Mac,1.0,203.386317,0.250961399315095,0.3333333333333333,0.0307966666666666,0.0124713290368284,6.263620609209999,0.0031298221864014
Neutrophils,Ccl5,Gpr75,Inflammatory-Mac,0.6666666666666666,0.962308,0.1114389861664948,0.3333333333333333,0.0170636666666666,0.0173263954642894,0.0164205029426666,0.0019308359444601
Neutrophils,Gdf9,Bmpr1a,Inflammatory-Mac,1.0,0.174755,0.0623110405646044,1.0,1.592065666666667,0.0218698793879423,0.2782214355783333,0.001362734941685
Neutrophils,Nppa,Npr2,Inflammatory-Mac,0.3333333333333333,0.3595576666666667,0.4009937548315529,0.3333333333333333,0.0608043333333333,0.0026522880442714,0.0218626642165555,0.0010635509417672
Neutrophils,Ntf5,Ngfr,Inflammatory-Mac,0.3333333333333333,0.244596,0.3666825158589784,0.3333333333333333,0.0578336666666666,0.0024635363403131,0.014145883532,0.000903335703176
Neutrophils,Efnb3,Epha4,Inflammatory-Mac,0.6666666666666666,0.165128,0.1097714966244839,0.6666666666666666,0.0772419999999999,0.0070121738195776,0.012754816976,0.000769736814766
Neutrophils,Bmp2,Bmpr2,Inflammatory-Mac,0.3333333333333333,0.0602826666666666,0.0054505363405155,1.0,20.755341,0.1370169176485697,1.251187303056,0.0007468156889089
Neutrophils,Bmp2,Acvr2a,Inflammatory-Mac,0.3333333333333333,0.0602826666666666,0.0054505363405155,1.0,8.453176999999998,0.1272280729780779,0.5095800513653332,0.0006934612353007
Neutrophils,Tff3,Ackr3,Inflammatory-Mac,0.6666666666666666,0.5330766666666666,0.684248774872385,0.3333333333333333,0.049687,0.0009072979941289,0.0264869803366666,0.0006208175409268
Neutrophils,Angpt1,Itga5,Inflammatory-Mac,0.3333333333333333,0.048359,0.0035578357871067,1.0,38.33270933333333,0.1721542442616619,1.853731490650667,0.0006124965311364
Neutrophils,Ntn1,Unc5a,Inflammatory-Mac,0.6666666666666666,0.165052,0.0093992520400676,1.0,0.9657673333333332,0.064920521040319,0.1594018299013333,0.0006102043398304
Neutrophils,Bmp2,Rgmb,Inflammatory-Mac,0.3333333333333333,0.0602826666666666,0.0054505363405155,1.0,3.618423666666667,0.0949911693670569,0.2181282277564445,0.0005177528206632
Neutrophils,Bmp2,Acvr2b,Inflammatory-Mac,0.3333333333333333,0.0602826666666666,0.0054505363405155,1.0,0.289563,0.0723410998917742,0.017455629808,0.0003942977938729
Neutrophils,Angpt1,Itgb1,Inflammatory-Mac,0.3333333333333333,0.048359,0.0035578357871067,1.0,77.61293766666667,0.1083847159795808,3.753284052622334,0.0003856150212875
Neutrophils,Fzd8,Ckap4,Inflammatory-Mac,0.3333333333333333,0.0285176666666666,0.0039452684332456,1.0,16.72909766666666,0.0930688441401325,0.4770748308921111,0.0003671815729047
Neutrophils,Cntf,Cntfr,Inflammatory-Mac,1.0,0.99499,0.1069523085189122,0.3333333333333333,0.012461,0.0029735962975731,0.01239857039,0.0003180329886287
Neutrophils,Areg,Egfr,Inflammatory-Mac,0.6666666666666666,0.414036,0.0745267915219885,1.0,0.2784063333333333,0.0040881319125185,0.115270244628,0.0003046753547586
Neutrophils,Sema4d,Erbb2,Inflammatory-Mac,1.0,180.09802,0.6678439142690207,0.3333333333333333,0.0048573333333333,0.0004511406921505,0.8747961158133333,0.0003012915657318
Neutrophils,Efnb3,Ephb2,Inflammatory-Mac,0.6666666666666666,0.165128,0.1097714966244839,0.3333333333333333,0.0071473333333333,0.001872260034059,0.0011802248586666,0.0002055207860088
Neutrophils,L1cam,Erbb2,Inflammatory-Mac,1.0,35.389713,0.4382630506626701,0.3333333333333333,0.0048573333333333,0.0004511406921505,0.171899632612,0.0001977182960199
Neutrophils,Liph,Lpar1,Inflammatory-Mac,0.3333333333333333,0.016601,0.0198598806325589,1.0,0.327471,0.0063653059443752,0.005436346071,0.000126414216245
Neutrophils,Bmp2,Bmpr1a,Inflammatory-Mac,0.3333333333333333,0.0602826666666666,0.0054505363405155,1.0,1.592065666666667,0.0218698793879423,0.0959739638951111,0.0001192025723666
Neutrophils,Fgf18,Fgfr1,Inflammatory-Mac,0.3333333333333333,0.1678953333333333,0.032988518307712,1.0,0.2909543333333333,0.0032849269601337,0.0488498747797777,0.0001083648731638
Neutrophils,Dhh,Boc,Inflammatory-Mac,0.6666666666666666,0.2603533333333333,0.0441094168347232,0.3333333333333333,0.0354673333333333,0.0019535109306383,0.0092340384577777,8.616822793071412e-05
Neutrophils,Clcf1,Cntfr,Inflammatory-Mac,0.3333333333333333,0.4594446666666667,0.0260128311074004,0.3333333333333333,0.012461,0.0029735962975731,0.0057251399913333,7.735165827036091e-05
Neutrophils,Ntn1,Unc5b,Inflammatory-Mac,0.6666666666666666,0.165052,0.0093992520400676,0.6666666666666666,0.096652,0.0067867421984975,0.015952605904,6.379030045464131e-05
