Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Gpha2,Tshr,Neutrophils,0.3333333333333333,0.0188626666666666,1.0,1.0,1.667958333333333,0.5429550982603464,0.0314621420555555,0.5429550982603464
Resolving-Mac,Icos,Icosl,Neutrophils,0.6666666666666666,0.0363613333333333,0.3929425664966427,1.0,27.259396,0.6671925731352637,0.9911879844213334,0.2621683620352695
Resolving-Mac,Hc,C5ar2,Neutrophils,0.3333333333333333,0.0238546666666666,0.306859794008936,1.0,57.90644699999999,0.7572277498355255,1.381338991036,0.2323627513323795
Resolving-Mac,Oxt,Avpr2,Neutrophils,0.6666666666666666,0.5632320000000001,0.461821343838516,0.6666666666666666,0.234272,0.4655085737600355,0.131949487104,0.2149817951022105
Resolving-Mac,Hc,C5ar1,Neutrophils,0.3333333333333333,0.0238546666666666,0.306859794008936,1.0,229.3671723333333,0.5405518047416775,5.471477440287556,0.1658736154541897
Resolving-Mac,B2m,Gm11127,Neutrophils,1.0,2478.621582,0.2509038347745219,1.0,0.151681,0.3944062017331431,375.959800179342,0.0989580284736992
Resolving-Mac,Insl3,Rxfp2,Neutrophils,0.3333333333333333,0.0520573333333333,0.0741009262853027,0.3333333333333333,0.0001453333333333,1.0,7.565665777777779e-06,0.0741009262853027
Resolving-Mac,Slamf1,Slamf1,Neutrophils,0.3333333333333333,0.0119046666666666,0.0555858191881114,0.6666666666666666,0.2022626666666667,0.9444141808118884,0.0024078696257777,0.052496035893298
Resolving-Mac,Gnas,Avpr2,Neutrophils,1.0,66.258798,0.099927274593303,0.6666666666666666,0.234272,0.4655085737600355,15.522581125056,0.0465170030756559
Resolving-Mac,Gnrh1,Gnrhr,Neutrophils,1.0,1.040346,0.0388390926250619,0.3333333333333333,0.1112073333333333,1.0,0.115694104404,0.0388390926250619
Resolving-Mac,Tnfsf18,Tnfrsf18,Neutrophils,0.6666666666666666,0.081615,0.1272361621027524,0.6666666666666666,0.7966953333333334,0.2189265747605062,0.06502228963,0.0278553771548281
Resolving-Mac,Fgf22,Fgfrl1,Neutrophils,0.3333333333333333,0.0717473333333333,0.6953631044876413,1.0,0.2687716666666666,0.0366577909302274,0.0192836503588888,0.0254904753049018
Resolving-Mac,Rln1,Rxfp2,Neutrophils,1.0,0.1170383333333333,0.015398204749527,0.3333333333333333,0.0001453333333333,1.0,1.700957111111111e-05,0.015398204749527
Resolving-Mac,Nmb,Nmbr,Neutrophils,1.0,0.536628,0.022685922220897,0.6666666666666666,0.336221,0.5724991124434157,0.180425602788,0.0129876703364239
Resolving-Mac,Podxl2,Sell,Neutrophils,0.3333333333333333,0.0296723333333333,0.0147106346914137,1.0,267.3435366666667,0.7715042802640716,7.932706534485556,0.0113493176298268
Resolving-Mac,Il16,Kcnj10,Neutrophils,1.0,1.798348,0.0791229134517439,0.3333333333333333,0.0475829999999999,0.0998892638407078,0.0855707928839999,0.0079035295776267
Resolving-Mac,Lta,Tnfrsf1b,Neutrophils,0.3333333333333333,0.0521976666666666,0.0135002915279469,1.0,209.6152953333334,0.5454690975693403,10.94142931404422,0.0073639918366722
Resolving-Mac,Lta,Tnfrsf1a,Neutrophils,0.3333333333333333,0.0521976666666666,0.0135002915279469,1.0,113.5526836666667,0.3393254752374426,5.927185131138112,0.0045809928385646
Resolving-Mac,Fgf22,Fgfr1,Neutrophils,0.3333333333333333,0.0717473333333333,0.6953631044876413,1.0,0.5741476666666667,0.0064822308288857,0.0411935640228888,0.0045075041531795
Resolving-Mac,Lta,Tnfrsf14,Neutrophils,0.3333333333333333,0.0521976666666666,0.0135002915279469,1.0,10.69583933333333,0.2455152292867831,0.5582978562415556,0.0033145271699223
Resolving-Mac,Agrp,Sdc3,Neutrophils,0.3333333333333333,0.1124603333333333,0.0385714872860978,1.0,15.36873766666667,0.0779891702592966,1.728373360905889,0.0030081582891097
Resolving-Mac,Ifnb1,Ifnar1,Neutrophils,0.3333333333333333,0.0225333333333333,0.0119475199882362,1.0,37.76134866666666,0.2217548211149075,0.8508890566222221,0.0026494201577581
Resolving-Mac,Shank1,Sstr2,Neutrophils,0.3333333333333333,0.0132146666666666,0.0328755490798843,0.6666666666666666,0.0716023333333333,0.0772472397508246,0.0009462009675555,0.0025395454217138
Resolving-Mac,Lta,Ltbr,Neutrophils,0.3333333333333333,0.0521976666666666,0.0135002915279469,1.0,14.41376933333333,0.1832776122385866,0.7523651270715557,0.0024743011957669
Resolving-Mac,Ifnb1,Ifnar2,Neutrophils,0.3333333333333333,0.0225333333333333,0.0119475199882362,1.0,53.27148833333334,0.2042488376129897,1.200384203777778,0.0024402670699552
Resolving-Mac,Icam5,Itgal,Neutrophils,0.3333333333333333,0.0295436666666666,0.0035611242522823,1.0,49.28281533333333,0.6169255450395754,1.455995068602889,0.0021969485202929
Resolving-Mac,Agrp,Mc5r,Neutrophils,0.3333333333333333,0.1124603333333333,0.0385714872860978,0.3333333333333333,0.06332,0.0406343154398098,0.0071209883066666,0.0015673259813659
Resolving-Mac,Icam5,Itgb2,Neutrophils,0.3333333333333333,0.0295436666666666,0.0035611242522823,1.0,190.6043296666667,0.4132279930513526,5.631150780895444,0.0014715562277771
Resolving-Mac,Gnas,Gcgr,Neutrophils,1.0,66.258798,0.099927274593303,0.3333333333333333,0.0135946666666666,0.0145706136545556,0.900766272544,0.0014560017116517
Resolving-Mac,Tnfsf13b,Tnfrsf13c,Neutrophils,1.0,0.439076,0.0497201066996778,0.3333333333333333,0.0209073333333333,0.0223349736837091,0.0091799082906666,0.0011104972746885
Resolving-Mac,Cxcl5,Cxcr2,Neutrophils,0.6666666666666666,0.3622496666666666,0.0008465762094071,1.0,282.6561686666666,0.9697058452052896,102.3921028807771,0.0008209298986738
Resolving-Mac,Cxcl5,Cxcr1,Neutrophils,0.6666666666666666,0.3622496666666666,0.0008465762094071,1.0,11.510206,0.9627990635838352,4.169568286764666,0.0008150827816695
Resolving-Mac,Il11,Il11ra1,Neutrophils,0.6666666666666666,0.100172,0.0095057942876602,1.0,3.114522666666666,0.0767737589883537,0.3119879645653333,0.0007297955596336
Resolving-Mac,Sfrp2,Fzd5,Neutrophils,1.0,0.3700483333333333,0.0014460389612103,1.0,15.97657333333333,0.479693129114909,5.912104334377778,0.000693654954125
Resolving-Mac,Tnfsf11,Tnfrsf11a,Neutrophils,0.3333333333333333,0.0118256666666666,0.0068036323499418,1.0,6.116353333333334,0.0955344989220852,0.0723299557355555,0.0006499816074017
Resolving-Mac,Wnt11,Fzd8,Neutrophils,1.0,1.446574,0.1603262263996406,0.3333333333333333,0.0285176666666666,0.0039452684332456,0.0412529151406666,0.0006325300000358
Resolving-Mac,Vegfc,Vipr2,Neutrophils,0.3333333333333333,0.044456,0.0055848758606944,0.3333333333333333,0.259706,0.105821767310359,0.011545489936,0.0005910014337876
Resolving-Mac,Vegfc,Nrp2,Neutrophils,0.3333333333333333,0.044456,0.0055848758606944,1.0,8.217959,0.0718957099669197,0.365337585304,0.0004015286150817
Resolving-Mac,Sema7a,Plxnc1,Neutrophils,0.6666666666666666,0.0487726666666666,0.0006865263390213,1.0,54.85003033333334,0.520304675577914,2.675182246104222,0.0003572028641002
Resolving-Mac,Myoc,Fzd7,Neutrophils,0.3333333333333333,0.0651496666666666,0.0019258201137554,1.0,4.247626666666666,0.1690144349607748,0.2767314614577778,0.0003254913983624
Resolving-Mac,Igfbp4,Fzd8,Neutrophils,1.0,4.436121666666666,0.0703799127826519,0.3333333333333333,0.0285176666666666,0.0039452684332456,0.1265078389827778,0.0002776676482359
Resolving-Mac,Ntn3,Cdon,Neutrophils,1.0,0.1609393333333333,0.0869068967177579,1.0,0.0698083333333333,0.0026935856571107,0.0112349066277777,0.0002340911705029
Resolving-Mac,Gal,Galr1,Neutrophils,0.6666666666666666,0.5802006666666667,0.0079134847521086,0.3333333333333333,0.001949,0.0262258463857042,0.0011308110993333,0.0002075378354844
Resolving-Mac,Slit2,App,Neutrophils,0.3333333333333333,0.0028236666666666,0.0015027612861656,1.0,69.033643,0.117246251345688,0.1949279966176667,0.0001761931274703
Resolving-Mac,Dll1,Notch2,Neutrophils,0.3333333333333333,0.007854,0.0004010928614407,1.0,77.189569,0.3773905436700489,0.606246874926,0.0001513686530413
Resolving-Mac,Igf2,Igf1r,Neutrophils,0.3333333333333333,0.0101253333333333,0.0002866687746862,1.0,41.965716,0.4976981374547604,0.424916863072,0.0001426745152278
Resolving-Mac,Il11,Il6st,Neutrophils,0.6666666666666666,0.100172,0.0095057942876602,1.0,3.403012,0.0136969776806959,0.3408865180640001,0.0001302006521953
Resolving-Mac,Pgf,Nrp2,Neutrophils,0.3333333333333333,0.0798923333333333,0.0016583886427075,1.0,8.217959,0.0718957099669197,0.6565519197476667,0.0001192310288685
Resolving-Mac,Wnt3,Fzd8,Neutrophils,0.3333333333333333,0.0062156666666666,0.0247655526794264,0.3333333333333333,0.0285176666666666,0.0039452684332456,0.0001772563101111,9.770675321802336e-05
Resolving-Mac,Pgf,Nrp1,Neutrophils,0.3333333333333333,0.0798923333333333,0.0016583886427075,1.0,19.17638633333334,0.0579793628385463,1.532046249071445,9.615231684286803e-05
Resolving-Mac,Igf2,Igf2r,Neutrophils,0.3333333333333333,0.0101253333333333,0.0002866687746862,1.0,50.91805766666667,0.3100583880423179,0.515562306560889,8.888405818129878e-05
Resolving-Mac,Thbs2,Itga4,Neutrophils,0.6666666666666666,0.020777,0.0002118363365263,1.0,56.80247866666667,0.4029958735011471,1.180185099257333,8.53691694776999e-05
Resolving-Mac,Igf2,Insr,Neutrophils,0.3333333333333333,0.0101253333333333,0.0002866687746862,1.0,16.92690533333333,0.2921914834524206,0.1713905588017778,8.3762174535076e-05
Resolving-Mac,Slit2,Gpc1,Neutrophils,0.3333333333333333,0.0028236666666666,0.0015027612861656,1.0,2.928649333333333,0.0549862597060225,0.0082695295008888,8.263122235726264e-05
Resolving-Mac,Apod,Lepr,Neutrophils,0.6666666666666666,0.3329673333333333,0.002446266572933,0.6666666666666666,0.1474133333333333,0.0316061342801165,0.0490838244977777,7.731702978908281e-05
Resolving-Mac,Cadm3,Cadm1,Neutrophils,0.3333333333333333,0.014296,0.0013625161321856,1.0,1.039394666666667,0.0516546853808157,0.0148591861546666,7.038034213433341e-05
Resolving-Mac,Dll1,Notch1,Neutrophils,0.3333333333333333,0.007854,0.0004010928614407,1.0,25.26300833333334,0.1723295699423422,0.19841566745,6.912016031903084e-05
Resolving-Mac,Sema7a,Itgb1,Neutrophils,0.6666666666666666,0.0487726666666666,0.0006865263390213,1.0,59.85226566666666,0.0835823383322618,2.919154602605111,5.738147674209339e-05
