Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Tac2,Tacr1,ECs,0.3333333333333333,0.2158096666666667,1.0,0.6666666666666666,0.3904633333333333,1.0,0.0842657618122222,1.0
sCs,Tac2,Tacr2,ECs,0.3333333333333333,0.2158096666666667,1.0,0.6666666666666666,0.1204133333333333,0.6304682086876998,0.0259863613288888,0.6304682086876998
sCs,Fgf8,Fgfr3,ECs,0.3333333333333333,0.0471583333333333,0.6507739368430736,1.0,4.166450999999999,0.7126954333415383,0.1964828850749999,0.4638036129257532
sCs,Cgn,F11r,ECs,0.6666666666666666,0.0410956666666666,0.680549575508672,1.0,22.96155933333333,0.5489763553419701,0.9436205885095552,0.3736056255922756
sCs,Ngf,Ntrk1,ECs,1.0,4.322670666666667,0.4267112155220338,0.3333333333333333,0.0535146666666666,0.4601248445175601,0.2313262798364445,0.1963404316959749
sCs,Ccl28,Ccr10,ECs,0.3333333333333333,0.104916,0.4621035940803382,0.3333333333333333,0.2056166666666667,0.3876180888860402,0.0215724782,0.1791197120047912
sCs,Lgi1,Adam22,ECs,1.0,0.0875876666666666,0.9723391973001576,1.0,1.715363,0.1765901754351529,0.1502446426563333,0.1717055494337106
sCs,Ntf5,Ntrk1,ECs,1.0,0.3435949999999999,0.3706185263061005,0.3333333333333333,0.0535146666666666,0.4601248445175601,0.0183873718933333,0.1705307917919218
sCs,Fgg,Itgb1,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,94.799851,0.1681963571786457,6.039951306812667,0.1681963571786457
sCs,Ntf3,Ntrk1,ECs,0.6666666666666666,3.341617,0.3290525342066271,0.3333333333333333,0.0535146666666666,0.4601248445175601,0.1788255198826667,0.1514052461399334
sCs,Nppc,Npr3,ECs,1.0,2.065932333333333,1.0,0.6666666666666666,0.3190146666666667,0.1466753431539481,0.6590627146742222,0.1466753431539481
sCs,Fgf8,Fgfr2,ECs,0.3333333333333333,0.0471583333333333,0.6507739368430736,1.0,0.3777296666666667,0.2121489992374768,0.0178131015305555,0.138061039431091
sCs,Fgg,Itga5,ECs,0.3333333333333333,0.0637126666666666,1.0,1.0,24.43393833333333,0.1197493722400791,1.556751368385556,0.1197493722400791
sCs,Gm13306,Ccr10,ECs,0.3333333333333333,0.3354936666666666,0.3064673287176118,0.3333333333333333,0.2056166666666667,0.3876180888860402,0.0689830894277777,0.1187922802635305
