Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Rspo2,Rnf43,M2,0.3333333333333333,0.1502133333333333,0.4718442068098269,1.0,0.2440563333333333,1.0,0.0366605153511111,0.4718442068098269
sCs,Ifne,Ifnar2,M2,0.6666666666666666,0.157645,1.0,1.0,96.06569666666668,0.347671752729116,15.14427675101667,0.347671752729116
sCs,Fgg,Itgav,M2,0.3333333333333333,0.0637126666666666,1.0,1.0,79.76382166666667,0.2832386002345773,5.081965781907778,0.2832386002345773
sCs,Ifne,Ifnar1,M2,0.6666666666666666,0.157645,1.0,1.0,43.49958833333333,0.2733047918752272,6.857492602808333,0.2733047918752272
sCs,Ifnl2,Il10rb,M2,0.3333333333333333,0.0016616666666666,1.0,1.0,101.0756123333333,0.2484717934181257,0.1679539758272222,0.2484717934181257
sCs,Fgg,Itgb2,M2,0.3333333333333333,0.0637126666666666,1.0,1.0,99.694255,0.2331157147689298,6.351786837396666,0.2331157147689298
sCs,Lgi1,Adam22,M2,1.0,0.0875876666666666,0.9723391973001576,1.0,2.293933666666666,0.2361518516099917,0.2009202973514444,0.2296197018354053
sCs,Cgn,F11r,M2,0.6666666666666666,0.0410956666666666,0.680549575508672,1.0,11.11217866666667,0.265675482042703,0.4566623904257777,0.1808053365272234
sCs,Fgg,Tlr4,M2,0.3333333333333333,0.0637126666666666,1.0,1.0,19.73820233333333,0.1724327946912327,1.257573505862889,0.1724327946912327
sCs,Wnt7b,Fzd10,M2,0.3333333333333333,0.1563246666666667,0.8811408494368089,0.6666666666666666,0.0309526666666666,0.1948587736601335,0.0048386652991111,0.1716980253431049
sCs,Lgi1,Adam11,M2,1.0,0.0875876666666666,0.9723391973001576,0.6666666666666666,0.321026,0.1634374406038719,0.0281179182793333,0.158916629805561
sCs,Sectm1a,Cd7,M2,0.3333333333333333,0.124553,0.1574435308974171,1.0,7.494468333333333,0.9028348294175658,0.9334585143216668,0.1421455033606688
sCs,Fgg,Itgb1,M2,0.3333333333333333,0.0637126666666666,1.0,1.0,76.38610333333334,0.1355262079445491,4.866762339642222,0.1355262079445491
sCs,Wnt9a,Fzd10,M2,1.0,2.226372,0.6323014568620083,0.6666666666666666,0.0309526666666666,0.1948587736601335,0.068912150392,0.1232094864676467
sCs,Fgg,Itga5,M2,0.3333333333333333,0.0637126666666666,1.0,1.0,25.01395866666667,0.1225920196207674,1.593706010543111,0.1225920196207674
sCs,Col9a2,Mag,M2,0.3333333333333333,0.0793523333333333,0.2543094054857856,1.0,0.7039083333333332,0.4637607859836402,0.0558567687027777,0.1179387297711202
sCs,Clec4g,Lag3,M2,0.3333333333333333,0.1630686666666667,0.2933042670690857,1.0,14.550925,0.3710293364573632,2.372799938516667,0.1088244875907561
sCs,Cxcl17,Gpr35,M2,0.6666666666666666,0.2371393333333333,0.2972870423069626,1.0,48.45537766666666,0.3095503400738483,11.49067595628822,0.0920253050456688
sCs,Ccl28,Ccr3,M2,0.3333333333333333,0.104916,0.4621035940803382,0.6666666666666666,0.24544,0.1806605474874316,0.02575058304,0.0834838883024637
sCs,Rspo2,Znrf3,M2,0.3333333333333333,0.1502133333333333,0.4718442068098269,1.0,2.470677,0.1752482588560115,0.3711286277600001,0.0826898756947179
sCs,Gdf7,Bmpr2,M2,0.6666666666666666,0.084242,0.5181944003034622,1.0,22.468903,0.1516869379794604,1.892825326526,0.0786033218601349
sCs,Ren1,Atp6ap2,M2,0.6666666666666666,0.1903546666666667,0.2380837035168652,1.0,59.26737466666666,0.2585083912805999,11.28182134888178,0.0615466351862721
sCs,Fgg,Itga2b,M2,0.3333333333333333,0.0637126666666666,1.0,0.6666666666666666,0.3092193333333333,0.0490478797608986,0.0197011883115555,0.0490478797608986
sCs,Il17f,Il17ra,M2,0.3333333333333333,0.1107016666666667,0.2683323327917212,1.0,18.40625766666667,0.1794042525568314,2.037603400796111,0.0481399616013296
sCs,Gdf7,Acvr2a,M2,0.6666666666666666,0.084242,0.5181944003034622,1.0,6.012963333333334,0.0847436196259978,0.5065440571266667,0.0439136691516386
sCs,Lgi1,Adam23,M2,1.0,0.0875876666666666,0.9723391973001576,1.0,0.6300623333333333,0.0329903525506454,0.0551856896312222,0.0320778129177438
sCs,Wnt3,Fzd7,M2,0.6666666666666666,0.046675,0.1252863175977953,1.0,5.344803,0.2325110717631453,0.249468680025,0.0291304559819212
sCs,Wnt3,Lrp6,M2,0.6666666666666666,0.046675,0.1252863175977953,1.0,19.24455733333333,0.2208699154157989,0.8982397135333333,0.0276719783705819
sCs,Ifng,Ifngr2,M2,0.3333333333333333,0.066283,0.0676508321757617,1.0,46.101837,0.3337982155115101,3.055768061870999,0.0225817270581379
sCs,Uts2,Uts2r,M2,1.0,0.323114,0.4212030686136271,0.3333333333333333,0.029538,0.0531331620869039,0.0095441413319999,0.0223798509161491
sCs,Ifnb1,Ifnar2,M2,0.3333333333333333,0.0131783333333333,0.0642004137666732,1.0,96.06569666666668,0.347671752729116,1.265985772572222,0.0223206703801937
sCs,Ifng,Ifngr1,M2,0.3333333333333333,0.066283,0.0676508321757617,1.0,116.6423796666667,0.3113660589380238,7.731406851445666,0.0210641729984445
sCs,Ifnb1,Ifnar1,M2,0.3333333333333333,0.0131783333333333,0.0642004137666732,1.0,43.49958833333333,0.2733047918752272,0.5732520749194444,0.0175462807228041
sCs,Agrp,Sdc3,M2,0.3333333333333333,0.1911673333333333,0.0391953412450009,1.0,86.782706,0.3702353628030166,16.59001848547067,0.0145115013860309
sCs,Ntf5,Ngfr,M2,1.0,0.3435949999999999,0.3706185263061005,0.6666666666666666,0.2652796666666666,0.0385976387046184,0.0911487670683333,0.014304999975601
sCs,Tnfsf13b,Tnfrsf17,M2,0.6666666666666666,0.115704,0.0138956643423158,0.3333333333333333,0.1124936666666667,1.0,0.013015967208,0.0138956643423158
sCs,Ifnl2,Ifnlr1,M2,0.3333333333333333,0.0016616666666666,1.0,0.3333333333333333,0.057148,0.0113580247567893,9.496092666666669e-05,0.0113580247567893
sCs,Efnb2,Grm5,M2,1.0,9.899486,0.1799253972395612,0.3333333333333333,0.0002013333333333,0.056868468129178,0.0019930965146666,0.0102320817185476
sCs,Gpha2,Tshr,M2,0.3333333333333333,0.027778,0.1647219745921681,1.0,0.209825,0.0536212155931065,0.00582851885,0.0088325925125288
sCs,Clcf1,Crlf1,M2,1.0,6.253622,0.3388573869821445,0.6666666666666666,0.197127,0.0243810280977907,1.232757743994,0.0082616914731556
