Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Cd34,Sell,Neutro,0.0,-149.70886166666668,0.0751303665623189,0.6666666666666667,257.39288866666664,0.7943737072523673,33257.92170603509,0.48530456364106
ECs,Sele,Cd44,Neutro,0.0,-6.367848333333333,0.0447251109546715,0.0,647.6608773333334,0.493671986726495,5514.243419608677,0.3914983476114015
ECs,Sema7a,Plxnc1,Neutro,0.0,-17.004290666666662,0.2711978822258278,0.0,48.51919433333333,0.4361627246388896,1462.81421075306,0.3402930123142294
ECs,Dll4,Notch2,Neutro,0.0,-11.218313833333337,0.4126194315629267,0.0,83.13158066666666,0.3443700332290594,2313.8463482967,0.3340146684318526
ECs,Icam2,Itgal,Neutro,0.0,-26.41791616666667,0.0627019627157473,0.33333333333333337,55.92213266666668,0.4708236187522883,1350.2389235684,0.2823394875247594
ECs,Tshb,Tshr,Neutro,0.0,-2.1641211666666678,0.1355208133328516,0.0,1.662959,0.3948102843649178,3.927898995487111,0.2749258213573047
ECs,Icam2,Itgam,Neutro,0.0,-26.41791616666667,0.0627019627157473,0.6666666666666667,158.88926833333335,0.439798920603246,3845.1007663720993,0.263562571351995
ECs,Icam2,Itgb2,Neutro,0.0,-26.41791616666667,0.0627019627157473,0.33333333333333337,187.69835266666664,0.4380369253555863,4535.405176409691,0.2625834238213106
ECs,Efna3,Epha1,Neutro,0.16666666666666663,-0.0585273333333333,0.1417871514468859,0.0,7.095344000000001,0.2433775853912526,1.0371743776342226,0.2603117459944349
ECs,Nts,Sort1,Neutro,0.0,-0.345010333333333,0.5727738391357073,0.0,5.852937,0.2172490765886058,7.381268451168887,0.2534021745845882
ECs,Efna1,Epha1,Neutro,0.0,-11.66924083333333,0.2726322296028913,0.0,7.095344000000001,0.2433775853912526,97.73800589069587,0.2475095137102947
ECs,Jag2,Notch2,Neutro,0.0,-2.8868863333333312,0.192390655399434,0.0,83.13158066666666,0.3443700332290594,1276.5593116726636,0.2250298192836176
ECs,Ren1,Atp6ap2,Neutro,-0.16666666666666669,0.1905949999999999,0.1337047940638827,0.0,71.68751999999999,0.2994473866228934,41.920038264106665,0.2174318167441919
ECs,Mfng,Notch2,Neutro,0.0,-9.104967000000002,0.045677756606379,0.0,83.13158066666666,0.3443700332290594,1230.0811520796713,0.2055756494782
