Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Lcn2,Lrp2,MuSCs,0.0,0.828374000000001,0.5700371410749842,0.16666666666666669,0.00463683333333333,0.0,0.02277216383972222,0.5700371410749842
FAPs,Agt,Lrp2,MuSCs,0.6666666666666667,0.6326726666666668,0.375476929111267,0.16666666666666669,0.00463683333333333,0.0,0.010381962036166668,0.375476929111267
FAPs,Rspo3,Lgr6,MuSCs,0.0,-0.28931466666666683,-0.027126640110859968,0.0,0.2444211666666667,0.33782357791405965,0.5616730003892219,0.3160393379837106
FAPs,Wnt7a,Fzd10,MuSCs,0.33333333333333337,0.43305,0.0,-0.16666666666666663,0.01033016666666666,0.3064097532220855,0.023837871505888886,0.3064097532220855
FAPs,Myoc,Fzd10,MuSCs,0.0,-1.7543823333333286,-0.055591052009717264,-0.16666666666666663,0.01033016666666666,0.3064097532220855,0.2584862075315548,0.2681939755400974
FAPs,Agt,Agtr1a,MuSCs,0.6666666666666667,0.6326726666666668,0.375476929111267,0.0,9.054974333333332,0.03237232236468501,14.12624455021167,0.21437232438799028
FAPs,Lgi2,Adam11,MuSCs,0.0,-0.12010766666666495,-0.005790967085790189,0.0,1.0231983333333328,0.2261922876633569,7.22499754035033,0.21040756631849755
FAPs,Col2a1,Ddr1,MuSCs,0.0,0.1490986666666666,0.21960606951556072,0.0,0.5590888333333304,0.08073805770627829,1.9197234230439997,0.1889272985879998
FAPs,Tg,Lrp2,MuSCs,0.0,-0.04339399999999999,0.1854004418626173,0.16666666666666669,0.00463683333333333,0.0,0.0007689658493333328,0.1854004418626173
FAPs,Cp,Slc40a1,MuSCs,0.0,12.57354466666667,0.03533069532678645,0.0,-1.2061281666666712,0.4043158373945408,140.28275264260256,0.1781991647451866
FAPs,Enho,Gpr19,MuSCs,0.3333333333333333,0.3032293333333333,0.3890127761956158,0.0,2.6677450000000005,0.27241699051642804,1.2816681236156662,0.17789133087750847
FAPs,Sema5a,Plxnb3,MuSCs,0.0,1.1661556666666666,0.0614020930106372,0.0,2.3565218333333333,0.3356516191194032,12.684719532644662,0.15351699478993447
FAPs,C3,Cd46,MuSCs,0.0,25.211012333333358,0.3834414498170109,0.0,1.2111705,0.17763053476473362,167.05162872416938,0.1495413304028258
FAPs,Cxcl13,Ackr4,MuSCs,0.0,4.383332333333335,0.17601203948730293,0.16666666666666669,0.018600166666666654,0.1296600382551686,0.3392341877042222,0.14423595040839887
FAPs,Rln1,Rxfp1,MuSCs,0.0,2.330773000000001,0.14226564366417804,-0.5,-0.012758333333333337,0.14420470698026333,0.06975412083666674,0.1314286674986782
FAPs,Ccl11,Ackr4,MuSCs,0.0,24.84407033333332,0.003863971112833986,0.16666666666666669,0.018600166666666654,0.1296600382551686,2.9887225210304424,0.1171825305916905
FAPs,Ccl20,Ackr4,MuSCs,0.0,0.10723566666666673,-0.07181812772901908,0.16666666666666669,0.018600166666666654,0.1296600382551686,0.02372204808405552,0.1137694529396207
FAPs,Arf1,Chrm3,MuSCs,0.0,-22.291550666666712,-0.03987972677564869,0.0,0.8115916666666667,0.5701847032318379,55.833494578212786,0.11261840752315605
FAPs,Rspo3,Sdc4,MuSCs,0.0,-0.28931466666666683,-0.027126640110859968,0.0,16.484938500000002,0.10889505744334296,34.824748943583,0.0996177099829029
FAPs,Rbp4,Stra6,MuSCs,0.0,0.4890143333333334,-0.0073150001439405985,0.0,0.5950308333333333,0.10580795953819644,3.1566221951846654,0.09876675581870142
FAPs,Tnfsf11,Tnfrsf11b,MuSCs,0.0,-0.3715656666666661,-0.08433180755119872,0.0,0.11028483333333317,0.11370846599661798,0.04026092350472221,0.09872709503372364
FAPs,Liph,Lpar1,MuSCs,0.0,0.15070833333333328,0.2263597815797743,0.0,4.537911166666671,0.08638483656695889,2.7387673507301664,0.0937534828196024
FAPs,Ccl21b,Ackr4,MuSCs,0.0,0.03797700000000001,0.1904659565078584,0.16666666666666669,0.018600166666666654,0.1296600382551686,0.004038708038499998,0.09320532924221757
FAPs,Has2,Cd44,MuSCs,0.0,2.9544766666666646,0.007977882722644214,0.0,32.83289149999999,0.09611584777162703,1845.363834886592,0.09089408518141308
FAPs,Agt,Mas1,MuSCs,0.6666666666666667,0.6326726666666668,0.375476929111267,0.0,-0.05150516666666671,-0.12873729237282874,0.4837139853081668,0.0907015389457155
FAPs,Myoc,Fzd7,MuSCs,0.0,-1.7543823333333286,-0.055591052009717264,0.0,2.067669333333333,0.10698005123395682,58.591694657158435,0.08872073543863906
FAPs,Col2a1,Mag,MuSCs,0.0,0.1490986666666666,0.21960606951556072,0.0,0.002190333333333405,0.02382044288494217,0.07777143015733333,0.0873973144516276
FAPs,Dcn,Met,MuSCs,0.0,55.930684333333254,-0.02245152961243635,0.0,8.567493999999996,0.10259305929861118,10333.463534406306,0.08414776623029696
FAPs,Col1a1,Cd44,MuSCs,0.0,-458.3627930000005,-0.046738163448128416,0.0,32.83289149999999,0.09611584777162703,1812.638406678889,0.08282905156369773
FAPs,Tnc,Cntn1,MuSCs,0.0,8.066809000000019,-0.1004374424666774,0.16666666666666669,0.06509583333333332,0.18526886635716502,6.16695969670711,0.0807461281898123
FAPs,Sema5a,Met,MuSCs,0.0,1.1661556666666666,0.0614020930106372,0.0,8.567493999999996,0.10259305929861118,74.57403604951331,0.08002233630258351
FAPs,Col9a2,Mag,MuSCs,0.6666666666666667,0.08142466666666673,0.2082681383547611,0.0,0.002190333333333405,0.02382044288494217,0.04237335042333335,0.07939268862935278
FAPs,Col1a2,Cd44,MuSCs,0.0,-322.0786743333329,-0.03834397766488473,0.0,32.83289149999999,0.09611584777162703,6513.590820562407,0.07793578560694334
