Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,C3,Cd19,Neutrophils,0.0,-10.164915333333326,-0.027858524006516,0.0,0.0269843333333332,0.9612929915054016,1.221873049586223,0.1785535975111059
Inflammatory-Mac,Siglec1,Spn,Neutrophils,0.0,16.44115866666666,0.1079223344657647,0.33333333333333337,1.463462666666667,0.2950912779833503,102.40782315959513,0.1538552007561614
Inflammatory-Mac,Tnfsf8,Tnfrsf8,Neutrophils,-0.3333333333333333,0.0162393333333332,0.199119359186027,0.0,0.2670323333333342,0.0053528775752405,0.1311877771774446,0.1229883414657267
Inflammatory-Mac,Apoe,Sorl1,Neutrophils,0.0,288.8257546666666,0.0971802652988264,0.0,-64.70038866666673,-0.0242165771059359,16716.008348153002,0.0761373899795442
Inflammatory-Mac,Fn1,Itgb3,Neutrophils,0.0,-38.08821633333332,0.0469531261187471,0.0,7.020092666666663,0.134173442205625,2388.1101929755177,0.0708818169597305
Inflammatory-Mac,Dll3,Notch2,Neutrophils,0.3333333333333333,0.2201530000000001,0.1646778426055148,0.0,-19.398970333333335,-0.0470354323887154,15.87889561296778,0.0601172831741335
Inflammatory-Mac,Thbs1,Itgb3,Neutrophils,0.0,-96.47652166666614,-0.0152343773469661,0.0,7.020092666666663,0.134173442205625,5759.505749747917,0.0556822191325369
Inflammatory-Mac,Slamf6,Slamf6,Neutrophils,0.0,0.539711,0.0885131119269065,0.0,0.3540633333333334,0.0822006602689947,0.9420403953329995,0.0528734626128605
Inflammatory-Mac,Cdh1,Itgb7,Neutrophils,0.0,-0.1558426666666666,0.154423146456465,0.0,2.4177500000000007,0.0667335241167254,0.3677290997593339,0.0501052028834156
Inflammatory-Mac,Cd86,Cd28,Neutrophils,0.0,10.389472666666704,-0.0360376151570096,0.0,0.8211833333333337,0.083130630391048,100.28421055142088,0.0491338083968566
Inflammatory-Mac,Hp,Cd163,Neutrophils,0.0,2.43574133333334,0.0680740096659913,0.0,2.498263,0.0969666437919758,119.58207269665677,0.0445603915797663
Inflammatory-Mac,Icam1,Spn,Neutrophils,0.0,-2.442584000000004,0.0297737688921957,0.33333333333333337,1.463462666666667,0.2950912779833503,52.32591384517294,0.0405784813832597
Inflammatory-Mac,Omg,Tnfrsf1b,Neutrophils,0.0,1.0567613333333337,0.0617065942282382,0.0,-5.1066536666666025,0.012679267073146,206.1002155984552,0.035501098079726
Inflammatory-Mac,Ly86,Cd180,Neutrophils,0.0,25.355332666666698,0.0526609820498379,0.0,13.37586366666666,0.0418856472026949,2325.5504361025287,0.0325322692230991
Inflammatory-Mac,Fn1,Itgb7,Neutrophils,0.0,-38.08821633333332,0.0469531261187471,0.0,2.4177500000000007,0.0667335241167254,646.5394991103826,0.0320453045512918
Inflammatory-Mac,Apoe,Lrp8,Neutrophils,0.0,288.8257546666666,0.0971802652988264,0.0,-0.5800673333333322,0.0184229185805954,1097.2130199249582,0.0314852269730311
Inflammatory-Mac,Cd80,Cd28,Neutrophils,0.0,-4.96448066666667,0.0491238063707177,0.0,0.8211833333333337,0.083130630391048,18.76554567206978,0.0290781857914023
Inflammatory-Mac,Cxcl2,Cxcr1,Neutrophils,0.0,-42.87377900000013,0.0299646577636666,0.0,3.597601000000001,-0.010144747632936,1112.3370146981297,0.0278568063037915
Inflammatory-Mac,Dll3,Notch1,Neutrophils,0.3333333333333333,0.2201530000000001,0.1646778426055148,0.0,-11.284057999999996,-0.0805794114888308,4.913371430397001,0.0249001496472828
Inflammatory-Mac,Mrc1,Ptprc,Neutrophils,0.0,59.58711499999998,0.0614767934501834,0.0,-98.62351466666657,-0.0287554168447359,20659.83466938045,0.0247948090005485
Inflammatory-Mac,Cd80,Cd274,Neutrophils,0.0,-4.96448066666667,0.0491238063707177,0.0,11.277356666666648,-0.0225422903237438,134.306732486795,0.0239802848181621
Inflammatory-Mac,Pf4,Cxcr3,Neutrophils,0.0,24.814520666666624,0.0505609357522705,0.0,-1.127545333333332,-0.1424653222760609,43.726376650790485,0.0236939846393443
Inflammatory-Mac,Chad,Itgb1,Neutrophils,0.33333333333333337,0.3761376666666667,0.2946756029189621,0.0,-4.118758000000007,-0.0129849242177077,20.19310040548811,0.0228426675026889
Inflammatory-Mac,Spp1,Itgb3,Neutrophils,0.0,-296.45430499999986,0.008951196875501,0.0,7.020092666666663,0.134173442205625,4041.697769112636,0.0215223380120288
Inflammatory-Mac,Mmp12,Plaur,Neutrophils,0.0,1.628981,0.0749205088009196,0.0,-33.67290499999996,-0.0545394370064666,67.91268665345143,0.0207796709392199
Inflammatory-Mac,Il17c,Il17re,Neutrophils,-0.33333333333333337,-0.283239666666667,-0.004115274856723,0.0,0.0096359999999999,0.1277720789612497,0.0117420834377778,0.0205600370107158
Inflammatory-Mac,Icosl,Cd28,Neutrophils,0.0,1.233260666666668,0.0371775181023703,0.0,0.8211833333333337,0.083130630391048,6.56219328905689,0.0190623844219439
Inflammatory-Mac,Adam15,Itgb3,Neutrophils,0.0,-9.034622666666657,-0.0215143628656823,0.0,7.020092666666663,0.134173442205625,133.6224504824193,0.0187788002998191
Inflammatory-Mac,Bmp8a,Bmpr1a,Neutrophils,0.0,-0.0458686666666665,0.0246253059816017,0.0,8.711560666666664,0.0975201214667007,1.6157117418975555,0.0178892248371087
